hgnc_symbol	ensembl_gene_id	gene_biotype
MT-TF	ENSG00000210049	Mt_tRNA
MT-RNR1	ENSG00000211459	Mt_rRNA
MT-TV	ENSG00000210077	Mt_tRNA
MT-RNR2	ENSG00000210082	Mt_rRNA
MT-TL1	ENSG00000209082	Mt_tRNA
MT-ND1	ENSG00000198888	protein_coding
MT-TI	ENSG00000210100	Mt_tRNA
MT-TQ	ENSG00000210107	Mt_tRNA
MT-TM	ENSG00000210112	Mt_tRNA
MT-ND2	ENSG00000198763	protein_coding
MT-TW	ENSG00000210117	Mt_tRNA
MT-TA	ENSG00000210127	Mt_tRNA
MT-TN	ENSG00000210135	Mt_tRNA
MT-TC	ENSG00000210140	Mt_tRNA
MT-TY	ENSG00000210144	Mt_tRNA
MT-CO1	ENSG00000198804	protein_coding
MT-TS1	ENSG00000210151	Mt_tRNA
MT-TD	ENSG00000210154	Mt_tRNA
MT-CO2	ENSG00000198712	protein_coding
MT-TK	ENSG00000210156	Mt_tRNA
MT-ATP8	ENSG00000228253	protein_coding
MT-ATP6	ENSG00000198899	protein_coding
MT-CO3	ENSG00000198938	protein_coding
MT-TG	ENSG00000210164	Mt_tRNA
MT-ND3	ENSG00000198840	protein_coding
MT-TR	ENSG00000210174	Mt_tRNA
MT-ND4L	ENSG00000212907	protein_coding
MT-ND4	ENSG00000198886	protein_coding
MT-TH	ENSG00000210176	Mt_tRNA
MT-TS2	ENSG00000210184	Mt_tRNA
MT-TL2	ENSG00000210191	Mt_tRNA
MT-ND5	ENSG00000198786	protein_coding
MT-ND6	ENSG00000198695	protein_coding
MT-TE	ENSG00000210194	Mt_tRNA
MT-CYB	ENSG00000198727	protein_coding
MT-TT	ENSG00000210195	Mt_tRNA
MT-TP	ENSG00000210196	Mt_tRNA
	ENSG00000278457	rRNA
	ENSG00000271254	protein_coding
KIR2DL3	ENSG00000273947	protein_coding
	ENSG00000273918	unprocessed_pseudogene
KIR2DL1	ENSG00000276820	protein_coding
	ENSG00000275151	processed_pseudogene
KIR3DP1	ENSG00000275593	transcribed_unprocessed_pseudogene
LILRP1	ENSG00000277921	unprocessed_pseudogene
	ENSG00000280538	lncRNA
KIR2DL3	ENSG00000277554	protein_coding
KIR3DL2	ENSG00000273735	protein_coding
LILRP2	ENSG00000274826	transcribed_processed_pseudogene
KIR2DS4	ENSG00000274324	protein_coding
INTS3	ENSG00000262826	protein_coding
PCMTD2	ENSG00000280663	protein_coding
LILRP2	ENSG00000273755	transcribed_unprocessed_pseudogene
KIR2DS4	ENSG00000274714	protein_coding
KIR2DS4	ENSG00000274807	protein_coding
KIR2DS5	ENSG00000275047	protein_coding
KIR2DS4	ENSG00000276885	protein_coding
	ENSG00000278294	rRNA
	ENSG00000281806	lncRNA
KIR2DS4	ENSG00000274957	protein_coding
	ENSG00000279969	lncRNA
	ENSG00000281362	lncRNA
LINC02109	ENSG00000274882	lncRNA
	ENSG00000276970	unprocessed_pseudogene
	ENSG00000274130	unprocessed_pseudogene
KIR2DS3	ENSG00000278306	protein_coding
KIR2DL4	ENSG00000276779	protein_coding
KIR2DP1	ENSG00000278614	unprocessed_pseudogene
NCR1	ENSG00000277334	protein_coding
KIR2DL2	ENSG00000275407	protein_coding
KIR2DL2	ENSG00000278731	protein_coding
KIR2DL4	ENSG00000278074	protein_coding
KIR2DL4	ENSG00000275699	protein_coding
KIR3DL2	ENSG00000275511	protein_coding
KIR3DL3	ENSG00000276433	protein_coding
KIR3DL1	ENSG00000277272	protein_coding
KIR2DL4	ENSG00000275732	protein_coding
KIR2DL4	ENSG00000278430	protein_coding
KIR3DL1	ENSG00000275786	protein_coding
KIR2DL1	ENSG00000278805	protein_coding
KIR2DL4	ENSG00000273575	protein_coding
KIR3DL3	ENSG00000277620	protein_coding
	ENSG00000277995	snoRNA
KIR2DS4	ENSG00000277345	protein_coding
KIR3DP1	ENSG00000275751	transcribed_unprocessed_pseudogene
KIR3DL2	ENSG00000276424	protein_coding
KIR2DL4	ENSG00000275237	protein_coding
FCAR	ENSG00000276858	protein_coding
OPRL1	ENSG00000277044	protein_coding
KIR3DL1	ENSG00000276423	protein_coding
NPBWR2	ENSG00000277339	protein_coding
KIR3DL1	ENSG00000275717	protein_coding
	ENSG00000280695	lncRNA
LILRP1	ENSG00000277070	transcribed_unprocessed_pseudogene
KIR3DP1	ENSG00000277742	unprocessed_pseudogene
KIR2DS5	ENSG00000276676	protein_coding
KIR2DS4	ENSG00000275938	unprocessed_pseudogene
KIR2DL1	ENSG00000277616	protein_coding
KIR2DP1	ENSG00000277376	unprocessed_pseudogene
KIR3DP1	ENSG00000276518	protein_coding
KIR2DL3	ENSG00000277317	protein_coding
LILRP2	ENSG00000274861	transcribed_processed_pseudogene
KIR2DS2	ENSG00000276258	protein_coding
	ENSG00000276974	unprocessed_pseudogene
KIR2DS2	ENSG00000278152	protein_coding
MYT1	ENSG00000276876	protein_coding
LILRP1	ENSG00000278325	unprocessed_pseudogene
KIR3DL3	ENSG00000276930	protein_coding
KIR3DP1	ENSG00000278786	transcribed_unprocessed_pseudogene
KIR2DL5B	ENSG00000275946	protein_coding
KIR2DL4	ENSG00000274189	protein_coding
KIR3DL1	ENSG00000274948	protein_coding
LILRP1	ENSG00000274339	unprocessed_pseudogene
KIR3DL1	ENSG00000273775	protein_coding
LILRP2	ENSG00000277267	transcribed_processed_pseudogene
KIR2DL1	ENSG00000273510	protein_coding
KIR3DL1	ENSG00000276501	protein_coding
KIR3DS1	ENSG00000276534	protein_coding
	ENSG00000275422	unprocessed_pseudogene
KIR2DL2	ENSG00000275914	protein_coding
KIR3DP1	ENSG00000277176	transcribed_unprocessed_pseudogene
	ENSG00000277185	unprocessed_pseudogene
KIR2DL4	ENSG00000276044	protein_coding
KIR2DL1	ENSG00000278207	protein_coding
KIR3DL1	ENSG00000276329	protein_coding
KIR2DL2	ENSG00000277251	protein_coding
KIR3DL1	ENSG00000276379	protein_coding
LILRP2	ENSG00000275442	transcribed_processed_pseudogene
KIR3DL1	ENSG00000275288	protein_coding
	ENSG00000278704	protein_coding
KIR2DL2	ENSG00000277725	protein_coding
KIR3DL2	ENSG00000274722	protein_coding
KIR2DL3	ENSG00000277484	protein_coding
KIR3DL3	ENSG00000276328	protein_coding
KIR2DL4	ENSG00000275848	protein_coding
KIR2DS5	ENSG00000277650	protein_coding
KIR2DS4	ENSG00000273526	protein_coding
KIR2DL2	ENSG00000273661	protein_coding
KIR3DL3	ENSG00000275433	protein_coding
LILRP1	ENSG00000274271	unprocessed_pseudogene
KIR2DL5A	ENSG00000274676	protein_coding
KIR3DL3	ENSG00000276086	protein_coding
FCAR	ENSG00000273738	protein_coding
KIR3DP1	ENSG00000277835	transcribed_unprocessed_pseudogene
FCAR	ENSG00000276985	protein_coding
KIR2DS1	ENSG00000275306	protein_coding
KIR3DL2	ENSG00000278403	protein_coding
KIR2DS4	ENSG00000277078	protein_coding
KIR2DL3	ENSG00000274830	protein_coding
LILRP1	ENSG00000275112	unprocessed_pseudogene
KIR2DS2	ENSG00000274518	protein_coding
KIR3DL1	ENSG00000275659	protein_coding
	ENSG00000276013	unprocessed_pseudogene
KIR3DL2	ENSG00000276004	protein_coding
KIR3DL1	ENSG00000278427	protein_coding
KIR2DL4	ENSG00000274945	protein_coding
KIR2DL4	ENSG00000274193	protein_coding
KIR2DL1	ENSG00000278755	protein_coding
KIR3DL3	ENSG00000274724	protein_coding
KIR3DP1	ENSG00000274163	unprocessed_pseudogene
LILRP2	ENSG00000274842	transcribed_processed_pseudogene
LILRP1	ENSG00000276307	unprocessed_pseudogene
LILRP2	ENSG00000273883	transcribed_processed_pseudogene
KIR2DL4	ENSG00000277355	protein_coding
	ENSG00000278345	unprocessed_pseudogene
KIR2DL5B	ENSG00000275436	protein_coding
KIR2DS4	ENSG00000274406	protein_coding
KIR2DL1	ENSG00000275080	protein_coding
KIR2DL1	ENSG00000278821	protein_coding
KIR2DL1	ENSG00000275276	protein_coding
KIR3DP1	ENSG00000276035	unprocessed_pseudogene
KIR2DS1	ENSG00000273603	protein_coding
LILRP1	ENSG00000276001	unprocessed_pseudogene
KIR2DL4	ENSG00000277964	protein_coding
LILRP2	ENSG00000276247	transcribed_processed_pseudogene
KIR2DL5A	ENSG00000275596	protein_coding
	ENSG00000275018	protein_coding
KIR3DL3	ENSG00000274480	protein_coding
LILRP2	ENSG00000273922	transcribed_processed_pseudogene
KIR2DS5	ENSG00000274243	protein_coding
KIR2DP1	ENSG00000273522	unprocessed_pseudogene
KIR2DL5B	ENSG00000278414	protein_coding
	ENSG00000277551	snRNA
KIR3DL1	ENSG00000274920	protein_coding
KIR3DS1	ENSG00000275608	protein_coding
KIR3DL2	ENSG00000278726	protein_coding
KIR3DL3	ENSG00000274696	protein_coding
LILRP2	ENSG00000274788	transcribed_unprocessed_pseudogene
LILRP2	ENSG00000275289	transcribed_processed_pseudogene
KIR2DS2	ENSG00000275452	protein_coding
LILRP1	ENSG00000273881	unprocessed_pseudogene
	ENSG00000277940	unprocessed_pseudogene
KIR2DS2	ENSG00000275737	protein_coding
KIR2DL3	ENSG00000278369	protein_coding
KIR3DP1	ENSG00000274610	protein_coding
KIR2DL5B	ENSG00000278481	protein_coding
	ENSG00000274009	unprocessed_pseudogene
FCAR	ENSG00000275269	protein_coding
KIR2DP1	ENSG00000274942	unprocessed_pseudogene
KIR3DL2	ENSG00000278361	protein_coding
KIR2DS3	ENSG00000277163	protein_coding
KIR3DL1	ENSG00000273518	protein_coding
	ENSG00000278086	protein_coding
LILRP2	ENSG00000277963	transcribed_processed_pseudogene
KIR2DL4	ENSG00000277540	protein_coding
KIR2DL3	ENSG00000276590	protein_coding
KIR3DL3	ENSG00000274556	protein_coding
KIR2DL1	ENSG00000275750	protein_coding
NCR1	ENSG00000275521	protein_coding
SBNO2	ENSG00000278788	protein_coding
PTCHD3	ENSG00000276595	protein_coding
KIR2DS1	ENSG00000273517	protein_coding
DNAH10	ENSG00000281935	protein_coding
KIR2DL5B	ENSG00000274707	protein_coding
KIR3DL2	ENSG00000278710	protein_coding
KIR3DL3	ENSG00000276806	protein_coding
	ENSG00000275336	unprocessed_pseudogene
ODAD2P1	ENSG00000276777	unprocessed_pseudogene
FAM210CP	ENSG00000273681	processed_pseudogene
TRIAP1P1	ENSG00000278364	processed_pseudogene
	ENSG00000273501	snRNA
	ENSG00000278036	snRNA
KIR2DL1	ENSG00000274782	protein_coding
KIR2DL1	ENSG00000273794	protein_coding
KIR2DL3	ENSG00000273887	protein_coding
	ENSG00000273929	snRNA
NCR1	ENSG00000276450	protein_coding
KIR3DP1	ENSG00000278051	unprocessed_pseudogene
KIR3DL2	ENSG00000278442	protein_coding
KIR3DL2	ENSG00000278850	protein_coding
FCAR	ENSG00000275970	protein_coding
KIR3DS1	ENSG00000275037	protein_coding
KIR2DP1	ENSG00000274851	unprocessed_pseudogene
KIR3DP1	ENSG00000273688	unprocessed_pseudogene
KIR2DS2	ENSG00000275253	protein_coding
KIR3DL2	ENSG00000278474	protein_coding
SNTG2	ENSG00000281486	protein_coding
KIR2DP1	ENSG00000275815	unprocessed_pseudogene
LILRP1	ENSG00000277570	unprocessed_pseudogene
KIR3DL2	ENSG00000275626	protein_coding
