Gene	GRCP	GLCP	TWAS_z
ENSG00000112137	1.000	1.000	   11.672
ENSG00000070961	0.926	0.984	   -6.333
ENSG00000158186	0.979	0.979	   -5.648
ENSG00000164116	0.933	0.973	    7.550
ENSG00000140545	0.864	0.971	   -4.899
ENSG00000272750	0.889	0.969	    6.932
ENSG00000140945	0.963	0.963	   -3.986
ENSG00000140511	0.778	0.961	   -3.986
ENSG00000182134	0.922	0.927	    0.008
ENSG00000134222	0.046	0.918	    3.602
ENSG00000182511	0.768	0.913	    4.521
ENSG00000203288	0.788	0.896	   -4.867
ENSG00000102780	0.865	0.874	    4.237
ENSG00000105329	0.859	0.872	   -5.354
ENSG00000115486	0.823	0.851	   -4.984
ENSG00000068745	0.838	0.838	   -3.692
ENSG00000260123	0.765	0.836	   -2.233
ENSG00000169174	0.210	0.799	   -4.651
ENSG00000112214	0.634	0.738	   -4.552
ENSG00000075790	0.696	0.736	    3.590
ENSG00000123384	0.733	0.733	    4.300
ENSG00000185800	0.690	0.723	    2.540
ENSG00000119638	0.440	0.700	    4.413
ENSG00000158220	0.288	0.680	   -4.995
ENSG00000172775	0.658	0.658	    4.107
ENSG00000271614	0.070	0.641	   -4.141
ENSG00000138380	0.340	0.637	    7.540
ENSG00000119640	0.465	0.635	    4.567
ENSG00000244754	0.532	0.633	    4.168
ENSG00000144426	0.408	0.611	    8.329
ENSG00000163596	0.431	0.610	   -8.529
ENSG00000183520	0.607	0.607	    4.466
ENSG00000175518	0.595	0.604	    3.143
ENSG00000104936	0.507	0.597	    3.490
ENSG00000148842	0.481	0.596	   -5.438
ENSG00000153774	0.302	0.596	    1.841
ENSG00000185787	0.125	0.595	    7.476
ENSG00000130475	0.568	0.584	    4.752
ENSG00000183386	0.582	0.582	    4.555
ENSG00000112902	0.469	0.578	   -3.977
ENSG00000108784	0.575	0.575	    2.604
ENSG00000263335	0.559	0.559	   -3.660
ENSG00000143457	0.557	0.557	   -4.005
ENSG00000143376	0.340	0.552	   -2.451
ENSG00000106992	0.543	0.543	   -2.060
ENSG00000108591	0.450	0.542	    3.204
ENSG00000267185	0.527	0.527	   -1.793
ENSG00000243069	0.351	0.503	   -4.146
ENSG00000153820	0.229	0.497	    3.716
ENSG00000257727	0.364	0.497	    3.846
ENSG00000130479	0.422	0.496	    4.440
ENSG00000114790	0.401	0.494	   -4.234
ENSG00000126005	0.493	0.493	   -0.503
ENSG00000205396	0.434	0.472	    0.696
ENSG00000171962	0.463	0.469	   -2.242
ENSG00000155875	0.469	0.469	    4.038
ENSG00000163431	0.434	0.434	    3.893
ENSG00000260244	0.428	0.428	    5.229
ENSG00000160712	0.350	0.428	   -5.316
ENSG00000257303	0.347	0.428	   -3.824
ENSG00000219607	0.427	0.427	   -3.269
ENSG00000281026	0.235	0.425	   -3.903
ENSG00000143603	0.181	0.418	    3.437
ENSG00000183196	0.160	0.418	   -4.320
ENSG00000280022	0.376	0.416	   -2.942
ENSG00000135473	0.380	0.416	    3.892
ENSG00000147874	0.399	0.415	    3.706
ENSG00000159210	0.399	0.415	   -4.212
ENSG00000159199	0.330	0.413	   -1.898
ENSG00000183431	0.388	0.412	    3.592
ENSG00000204120	0.332	0.405	   -3.273
ENSG00000263503	0.333	0.403	   -2.765
ENSG00000174953	0.385	0.403	    4.039
ENSG00000168490	0.337	0.399	    3.915
ENSG00000259138	0.259	0.395	   -4.314
ENSG00000168487	0.374	0.393	    3.785
ENSG00000145545	0.391	0.391	   -2.644
ENSG00000145029	0.337	0.390	    2.324
ENSG00000072310	0.284	0.387	   -4.138
ENSG00000264070	0.335	0.386	    2.767
ENSG00000102547	0.042	0.386	   -2.578
ENSG00000274627	0.378	0.378	    2.430
ENSG00000121989	0.370	0.377	   -4.003
ENSG00000119703	0.143	0.370	    0.000
ENSG00000106261	0.328	0.366	   -3.843
ENSG00000197815	0.348	0.364	    4.164
ENSG00000167447	0.362	0.362	   -3.709
ENSG00000112941	0.361	0.361	   -3.762
ENSG00000170581	0.348	0.348	   -3.910
ENSG00000163346	0.145	0.342	    3.420
ENSG00000168453	0.218	0.335	    3.737
ENSG00000267801	0.301	0.318	   -3.961
ENSG00000143437	0.315	0.316	    3.660
ENSG00000160209	0.316	0.316	    3.734
ENSG00000228452	0.218	0.306	    1.550
ENSG00000083642	0.169	0.301	    3.900
ENSG00000279594	0.247	0.300	   -4.232
ENSG00000254019	0.057	0.294	   -2.831
ENSG00000165757	0.118	0.290	   -4.453
