Gene	GRCP	GLCP	TWAS_z
ENSG00000272750	0.817	0.972	    6.992
ENSG00000203288	0.579	0.913	   -4.764
ENSG00000134222	0.030	0.851	    0.000
ENSG00000204084	0.728	0.848	    3.615
ENSG00000115486	0.470	0.822	   -6.030
ENSG00000119703	0.326	0.677	   -4.239
ENSG00000269489	0.451	0.629	   -4.699
ENSG00000138442	0.326	0.628	    8.599
ENSG00000154305	0.425	0.623	    6.859
ENSG00000159199	0.614	0.620	   -4.244
ENSG00000141569	0.196	0.593	    3.181
ENSG00000138380	0.240	0.575	    3.583
ENSG00000183386	0.466	0.568	    0.000
ENSG00000185787	0.027	0.526	    0.000
ENSG00000273455	0.243	0.492	    4.208
ENSG00000140564	0.280	0.451	   -5.073
ENSG00000118640	0.105	0.442	    5.066
ENSG00000251632	0.380	0.437	    4.005
ENSG00000159210	0.310	0.435	   -4.527
ENSG00000250786	0.269	0.425	   -0.291
ENSG00000119718	0.379	0.407	   -4.504
ENSG00000163131	0.173	0.397	    3.594
ENSG00000228452	0.338	0.393	    1.843
ENSG00000257303	0.259	0.387	   -3.820
ENSG00000274627	0.291	0.381	    3.269
ENSG00000269621	0.069	0.376	   -2.688
ENSG00000117385	0.296	0.368	   -3.950
ENSG00000163935	0.099	0.351	   -2.637
ENSG00000204120	0.213	0.349	    0.000
ENSG00000143603	0.234	0.343	    3.778
ENSG00000172922	0.211	0.332	    2.018
ENSG00000119684	0.203	0.329	   -4.476
ENSG00000130479	0.147	0.324	    0.000
ENSG00000112214	0.224	0.319	    0.000
ENSG00000163596	0.171	0.319	    0.000
ENSG00000135473	0.230	0.315	    4.024
ENSG00000263503	0.263	0.315	   -2.907
ENSG00000153774	0.106	0.314	    4.457
ENSG00000255120	0.311	0.311	    3.929
ENSG00000182218	0.293	0.311	    3.587
ENSG00000106868	0.069	0.304	    3.586
ENSG00000261783	0.247	0.303	    4.606
ENSG00000268601	0.300	0.300	   -1.887
ENSG00000279594	0.181	0.290	   -4.076
ENSG00000110944	0.249	0.289	    4.071
ENSG00000171962	0.160	0.278	   -4.151
ENSG00000136147	0.084	0.271	   -2.903
ENSG00000119640	0.126	0.257	    0.000
ENSG00000143437	0.181	0.253	    3.770
ENSG00000264070	0.080	0.253	    2.730
ENSG00000167549	0.194	0.247	   -3.687
ENSG00000159202	0.116	0.243	   -4.092
ENSG00000221838	0.212	0.231	   -3.732
ENSG00000185829	0.011	0.228	   -2.653
ENSG00000167526	0.178	0.226	    3.734
ENSG00000257740	0.163	0.222	    0.000
ENSG00000237640	0.087	0.221	   -3.509
ENSG00000137714	0.136	0.216	    0.000
ENSG00000248278	0.124	0.190	   -4.149
ENSG00000119638	0.068	0.176	    0.000
ENSG00000119969	0.112	0.173	   -3.598
ENSG00000259138	0.111	0.172	    0.000
ENSG00000164010	0.148	0.169	   -0.078
ENSG00000232642	0.159	0.165	   -3.855
ENSG00000104936	0.165	0.165	    0.000
ENSG00000143387	0.165	0.165	    3.704
ENSG00000140830	0.141	0.163	   -2.900
ENSG00000136169	0.097	0.162	   -3.277
ENSG00000122378	0.048	0.162	    0.000
ENSG00000021488	0.049	0.160	   -1.078
ENSG00000148842	0.070	0.159	    0.000
ENSG00000186453	0.149	0.157	   -3.667
ENSG00000059378	0.124	0.156	    0.000
ENSG00000197815	0.087	0.156	    0.000
ENSG00000176349	0.106	0.155	   -3.727
ENSG00000165757	0.053	0.153	    0.000
ENSG00000124126	0.034	0.153	    0.000
ENSG00000159314	0.017	0.152	   -2.810
ENSG00000163344	0.120	0.151	   -3.505
ENSG00000125755	0.049	0.150	   -1.507
ENSG00000261701	0.114	0.148	   -3.412
ENSG00000133794	0.097	0.147	    0.000
ENSG00000267280	0.115	0.146	    3.414
ENSG00000104783	0.141	0.145	    0.239
ENSG00000137860	0.075	0.140	   -2.180
ENSG00000233797	0.073	0.138	    0.000
ENSG00000259520	0.083	0.137	   -2.073
ENSG00000214655	0.093	0.136	    0.000
ENSG00000175662	0.084	0.135	    0.000
ENSG00000121068	0.133	0.133	    3.488
ENSG00000197020	0.125	0.131	    3.554
ENSG00000235571	0.082	0.129	   -3.007
ENSG00000104497	0.128	0.129	   -2.812
ENSG00000172818	0.128	0.128	   -3.974
ENSG00000267342	0.068	0.128	    0.000
ENSG00000245958	0.047	0.125	   -3.130
ENSG00000203760	0.120	0.121	    0.000
ENSG00000177462	0.121	0.121	    3.554
ENSG00000105287	0.103	0.117	   -2.664
ENSG00000258260	0.074	0.113	    0.000
ENSG00000170703	0.074	0.112	    3.247
ENSG00000108219	0.105	0.110	    3.681
ENSG00000118197	0.107	0.108	    2.885
ENSG00000204316	0.042	0.108	   -1.609
ENSG00000145390	0.083	0.107	   -3.821
ENSG00000146243	0.060	0.104	   -3.233
ENSG00000091536	0.103	0.103	    0.000
ENSG00000260244	0.037	0.102	    0.000
ENSG00000160207	0.063	0.101	   -3.303
ENSG00000243560	0.091	0.101	   -3.342
ENSG00000137200	0.081	0.099	    3.500
ENSG00000162407	0.019	0.098	    0.000
ENSG00000134905	0.057	0.098	    1.499
ENSG00000205784	0.057	0.096	    3.261
ENSG00000129151	0.036	0.094	    3.520
ENSG00000143450	0.050	0.094	    0.000
ENSG00000272140	0.055	0.091	   -3.279
ENSG00000130164	0.030	0.089	    0.000
ENSG00000156006	0.087	0.087	    3.300
ENSG00000166507	0.076	0.087	    0.000
ENSG00000182134	0.059	0.085	    0.000
ENSG00000175893	0.068	0.085	    0.293
ENSG00000137944	0.074	0.084	    3.335
ENSG00000066923	0.071	0.083	   -3.519
ENSG00000168899	0.005	0.083	    0.000
ENSG00000261664	0.082	0.082	    3.297
ENSG00000158008	0.057	0.081	   -3.139
ENSG00000266980	0.034	0.081	    0.000
