Gene	GRCP	GLCP	TWAS_z
ENSG00000138675	0.925	0.936	   -4.910
ENSG00000272750	0.476	0.931	    6.481
ENSG00000267453	0.204	0.742	    0.000
ENSG00000183431	0.322	0.672	    3.926
ENSG00000163596	0.298	0.608	   -6.091
ENSG00000215533	0.237	0.524	    4.554
ENSG00000253111	0.110	0.487	    0.000
ENSG00000103194	0.289	0.432	    4.108
ENSG00000119718	0.397	0.400	   -4.469
ENSG00000130475	0.346	0.381	    0.000
ENSG00000261783	0.124	0.381	    2.925
ENSG00000142039	0.356	0.361	    0.000
ENSG00000203288	0.256	0.337	    0.000
ENSG00000174953	0.281	0.335	    4.211
ENSG00000183386	0.291	0.291	    0.000
ENSG00000214425	0.017	0.276	    2.794
ENSG00000173402	0.200	0.266	    4.259
ENSG00000248278	0.145	0.259	   -4.363
ENSG00000237781	0.256	0.256	    0.000
ENSG00000172775	0.225	0.255	    0.000
ENSG00000110944	0.209	0.248	    0.000
ENSG00000173960	0.152	0.224	   -3.899
ENSG00000055955	0.199	0.220	    1.458
ENSG00000249602	0.133	0.208	    0.000
ENSG00000036530	0.106	0.197	    0.000
ENSG00000141569	0.143	0.194	    0.000
ENSG00000264070	0.032	0.192	   -2.826
ENSG00000136378	0.015	0.186	    0.000
ENSG00000134905	0.104	0.185	    3.670
ENSG00000115486	0.091	0.175	    0.000
ENSG00000272854	0.027	0.166	    0.000
ENSG00000143603	0.089	0.165	    0.000
ENSG00000115129	0.160	0.160	    0.000
ENSG00000267280	0.097	0.149	    3.313
ENSG00000139540	0.130	0.147	    0.000
ENSG00000250412	0.029	0.145	    0.000
ENSG00000182218	0.096	0.144	    0.000
ENSG00000121068	0.130	0.142	    0.000
ENSG00000250742	0.011	0.141	    0.000
ENSG00000137860	0.081	0.141	   -3.272
ENSG00000123810	0.064	0.138	    0.000
ENSG00000164535	0.138	0.138	    3.385
ENSG00000259520	0.056	0.134	   -1.892
ENSG00000245958	0.051	0.132	   -2.566
ENSG00000117407	0.056	0.129	    0.000
ENSG00000108433	0.049	0.126	    0.000
ENSG00000165757	0.030	0.123	    0.000
ENSG00000105329	0.116	0.118	    0.000
ENSG00000120088	0.018	0.117	    0.000
ENSG00000231871	0.071	0.116	    0.000
ENSG00000121989	0.091	0.108	    0.000
ENSG00000130208	0.007	0.107	    0.000
ENSG00000158186	0.003	0.105	    0.000
ENSG00000088298	0.033	0.105	    0.000
ENSG00000185305	0.102	0.102	    0.000
ENSG00000263503	0.091	0.101	   -2.837
ENSG00000104497	0.084	0.100	   -3.292
ENSG00000242142	0.051	0.098	   -2.946
ENSG00000100296	0.067	0.096	    3.097
ENSG00000182534	0.024	0.089	    2.718
ENSG00000091732	0.006	0.089	    0.000
ENSG00000138380	0.034	0.084	    0.000
ENSG00000255120	0.082	0.083	    0.000
ENSG00000254689	0.065	0.079	   -3.177
ENSG00000061918	0.007	0.079	    0.000
ENSG00000181322	0.003	0.078	    0.000
ENSG00000197020	0.058	0.078	    3.161
ENSG00000137944	0.066	0.077	    3.278
