Gene	GRCP	GLCP	TWAS_z
ENSG00000143126	0.892	0.985	    9.893
ENSG00000272750	0.714	0.952	    6.998
ENSG00000203288	0.713	0.713	   -4.668
ENSG00000134243	0.248	0.582	    0.000
ENSG00000213445	0.512	0.542	   -4.118
ENSG00000102780	0.318	0.536	    4.199
ENSG00000163596	0.218	0.475	   -8.571
ENSG00000213277	0.206	0.409	    5.350
ENSG00000115486	0.154	0.378	    0.000
ENSG00000119718	0.317	0.375	   -4.526
ENSG00000163131	0.141	0.374	    3.659
ENSG00000114491	0.322	0.364	   -3.589
ENSG00000166822	0.073	0.330	    0.000
ENSG00000183431	0.329	0.329	    4.420
ENSG00000135469	0.164	0.297	   -4.062
ENSG00000238083	0.008	0.274	   -2.732
ENSG00000140564	0.148	0.252	   -4.794
ENSG00000033627	0.150	0.249	   -4.218
ENSG00000147874	0.133	0.240	    0.000
ENSG00000174953	0.193	0.230	    4.212
ENSG00000183386	0.131	0.230	    0.000
ENSG00000182511	0.194	0.225	    0.000
ENSG00000130203	0.014	0.221	    0.000
ENSG00000143603	0.100	0.191	    0.000
ENSG00000248278	0.088	0.189	   -4.361
ENSG00000155875	0.132	0.189	    3.811
ENSG00000261783	0.072	0.185	    1.594
ENSG00000257303	0.102	0.176	    0.000
ENSG00000229800	0.121	0.164	    0.000
ENSG00000167526	0.131	0.163	    3.728
ENSG00000263503	0.152	0.158	   -2.852
ENSG00000164008	0.055	0.156	    0.000
ENSG00000121068	0.104	0.127	    3.763
ENSG00000182534	0.101	0.120	    3.171
ENSG00000143437	0.114	0.114	    3.901
ENSG00000137714	0.016	0.111	    1.116
ENSG00000280429	0.103	0.109	    3.822
ENSG00000245958	0.032	0.107	   -3.147
ENSG00000108433	0.045	0.105	   -3.572
ENSG00000118640	0.026	0.104	    0.000
ENSG00000164535	0.103	0.103	    3.298
ENSG00000273565	0.020	0.101	    0.000
ENSG00000250412	0.024	0.100	    3.281
ENSG00000264070	0.100	0.100	   -2.731
ENSG00000115947	0.059	0.098	   -3.843
ENSG00000283050	0.026	0.098	   -3.159
ENSG00000050820	0.093	0.093	   -0.130
ENSG00000160207	0.034	0.091	    0.000
ENSG00000134905	0.090	0.091	    3.410
ENSG00000139168	0.022	0.090	    0.000
ENSG00000259138	0.047	0.087	    0.000
ENSG00000250786	0.085	0.085	    3.332
ENSG00000115705	0.048	0.083	    3.189
ENSG00000168890	0.058	0.081	    0.000
ENSG00000242142	0.077	0.081	   -2.766
ENSG00000197020	0.081	0.081	    3.404
ENSG00000110944	0.061	0.080	    0.000
ENSG00000108771	0.051	0.077	    3.587
ENSG00000214425	0.010	0.076	    2.815
ENSG00000158470	0.039	0.076	    0.000
ENSG00000104412	0.049	0.076	   -3.175
ENSG00000121989	0.076	0.076	    0.000
ENSG00000170608	0.051	0.072	    3.377
ENSG00000250731	0.053	0.070	    2.373
ENSG00000143452	0.055	0.070	    2.653
ENSG00000141569	0.067	0.068	    3.512
ENSG00000164068	0.038	0.068	    0.000
ENSG00000267453	0.034	0.066	    2.772
ENSG00000269489	0.048	0.066	    0.000
ENSG00000267280	0.051	0.064	    3.322
ENSG00000171962	0.022	0.064	   -4.204
ENSG00000100296	0.057	0.063	    3.514
ENSG00000070961	0.011	0.061	    0.000
ENSG00000037042	0.027	0.059	    3.537
ENSG00000159202	0.028	0.058	    0.000
ENSG00000249244	0.014	0.056	    3.050
ENSG00000145390	0.055	0.055	   -3.378
ENSG00000138380	0.022	0.055	    0.000
ENSG00000164597	0.049	0.055	   -3.554
ENSG00000230939	0.014	0.055	    2.467
ENSG00000136169	0.025	0.054	    0.000
ENSG00000271984	0.047	0.053	    0.000
ENSG00000137944	0.049	0.052	    3.427
ENSG00000234327	0.029	0.052	   -0.418
ENSG00000139645	0.023	0.051	    0.000
ENSG00000104497	0.050	0.050	   -3.215
ENSG00000270362	0.045	0.050	    3.145
ENSG00000137804	0.049	0.050	    0.000
ENSG00000258260	0.026	0.048	    0.000
ENSG00000229453	0.029	0.048	    3.141
ENSG00000243069	0.027	0.047	    0.000
ENSG00000228638	0.018	0.046	    0.000
ENSG00000172113	0.021	0.045	    0.000
ENSG00000204538	0.019	0.044	    2.323
ENSG00000204525	0.025	0.044	   -0.991
ENSG00000112902	0.044	0.044	    0.000
ENSG00000160208	0.018	0.043	    0.000
ENSG00000279594	0.016	0.043	    0.000
ENSG00000205959	0.023	0.042	   -2.567
ENSG00000094975	0.042	0.042	    0.000
ENSG00000269845	0.042	0.042	    2.530
ENSG00000261476	0.015	0.041	    0.000
ENSG00000198740	0.041	0.041	    3.950
ENSG00000163354	0.039	0.040	    0.000
ENSG00000059378	0.024	0.039	    2.826
ENSG00000135473	0.028	0.039	    0.000
ENSG00000196821	0.027	0.038	   -3.219
ENSG00000106723	0.015	0.038	    0.000
ENSG00000185019	0.038	0.038	    3.626
ENSG00000242338	0.025	0.038	   -3.095
ENSG00000197134	0.019	0.037	    2.729
ENSG00000117477	0.023	0.037	    0.000
ENSG00000263335	0.037	0.037	   -3.042
ENSG00000070366	0.004	0.037	    0.000
ENSG00000266918	0.013	0.035	   -0.524
ENSG00000276952	0.012	0.035	    2.246
ENSG00000104450	0.016	0.035	    0.000
ENSG00000108797	0.035	0.035	   -3.447
ENSG00000181027	0.024	0.034	   -2.702
ENSG00000180011	0.033	0.034	    3.363
ENSG00000138606	0.008	0.034	    0.000
ENSG00000160862	0.011	0.034	    0.000
ENSG00000132881	0.034	0.034	    3.091
ENSG00000176986	0.030	0.034	    0.000
ENSG00000230487	0.028	0.033	   -3.503
ENSG00000119638	0.017	0.033	    0.000
ENSG00000244515	0.021	0.032	    2.854
ENSG00000021488	0.017	0.032	   -0.565
ENSG00000164393	0.019	0.032	    2.892
ENSG00000130475	0.024	0.032	    0.000
ENSG00000172548	0.031	0.031	   -3.145
ENSG00000058063	0.026	0.031	   -2.980
ENSG00000130208	0.001	0.031	    0.000
ENSG00000200084	0.014	0.031	    0.000
ENSG00000263065	0.022	0.031	    0.000
ENSG00000166529	0.019	0.031	   -1.688
ENSG00000279699	0.030	0.030	    0.000
ENSG00000107779	0.019	0.030	    2.924
ENSG00000274627	0.018	0.030	    1.872
ENSG00000146243	0.012	0.029	   -1.833
ENSG00000257740	0.018	0.029	    0.000
ENSG00000062485	0.013	0.029	    0.000
ENSG00000115129	0.016	0.029	   -3.263
ENSG00000058262	0.010	0.029	    0.000
ENSG00000157303	0.027	0.028	    0.000
ENSG00000280198	0.018	0.028	    0.000
ENSG00000186453	0.015	0.028	   -2.935
ENSG00000182600	0.007	0.027	    2.420
ENSG00000149257	0.023	0.027	    0.000
ENSG00000167258	0.010	0.027	    2.617
ENSG00000115504	0.013	0.027	    0.000
