Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.423	1.000	   -3.754
ENSG00000087237	0.225	1.000	   38.807
ENSG00000134575	0.016	0.997	   11.126
ENSG00000155158	0.350	0.990	    9.620
ENSG00000184371	0.980	0.980	    5.921
ENSG00000160796	0.062	0.968	   -3.543
ENSG00000143303	0.029	0.966	   -3.345
ENSG00000175445	0.067	0.966	  -24.704
ENSG00000185236	0.035	0.934	    6.991
ENSG00000182109	0.017	0.880	    2.472
ENSG00000090621	0.074	0.880	   -4.102
ENSG00000168496	0.133	0.864	   -8.971
ENSG00000272622	0.160	0.846	   -6.896
ENSG00000161180	0.039	0.835	   -5.557
ENSG00000185651	0.018	0.834	    5.898
ENSG00000277494	0.123	0.827	    5.334
ENSG00000239961	0.054	0.789	   -0.058
ENSG00000086300	0.787	0.787	   -4.732
ENSG00000122565	0.786	0.787	   -2.362
ENSG00000138640	0.014	0.731	    5.113
ENSG00000145431	0.043	0.729	   -3.707
ENSG00000106635	0.184	0.718	   -0.626
ENSG00000117505	0.174	0.711	   -3.700
ENSG00000102977	0.014	0.694	   11.278
ENSG00000281691	0.073	0.662	    4.963
ENSG00000188038	0.059	0.661	    6.631
ENSG00000164850	0.634	0.634	   -4.545
ENSG00000060642	0.004	0.625	   -5.533
ENSG00000270130	0.029	0.564	   -6.164
ENSG00000164849	0.144	0.555	   -3.797
ENSG00000187553	0.077	0.547	    3.208
ENSG00000146540	0.013	0.542	    1.838
ENSG00000001617	0.005	0.531	   -4.733
ENSG00000228060	0.085	0.520	   -7.071
ENSG00000108852	0.142	0.518	   -0.247
ENSG00000149289	0.008	0.471	   -2.882
ENSG00000243970	0.036	0.467	    1.311
ENSG00000149485	0.025	0.455	   -8.710
ENSG00000112343	0.066	0.447	    3.470
ENSG00000260063	0.007	0.447	   -5.743
ENSG00000109917	0.086	0.413	  -15.287
ENSG00000270095	0.031	0.412	   -6.241
ENSG00000152291	0.360	0.389	    3.871
ENSG00000132740	0.056	0.381	    3.833
ENSG00000266265	0.042	0.376	   -4.775
ENSG00000197345	0.045	0.373	   -3.546
ENSG00000050628	0.160	0.372	    2.671
ENSG00000270028	0.007	0.357	   -6.312
ENSG00000197653	0.212	0.349	   -1.217
ENSG00000175213	0.013	0.339	    7.820
ENSG00000176473	0.113	0.333	    3.383
ENSG00000133574	0.002	0.324	    1.070
ENSG00000106560	0.005	0.303	    3.687
ENSG00000183426	0.292	0.292	    3.280
ENSG00000183793	0.291	0.291	   -2.732
ENSG00000213445	0.276	0.276	    1.719
ENSG00000172493	0.090	0.269	    0.000
ENSG00000122483	0.020	0.268	    4.670
ENSG00000166762	0.006	0.261	   -0.069
ENSG00000169047	0.094	0.251	   -7.410
ENSG00000261379	0.084	0.246	   -7.247
ENSG00000161649	0.020	0.245	   -3.492
ENSG00000254135	0.030	0.243	    2.908
ENSG00000269386	0.017	0.238	   -2.614
ENSG00000101460	0.038	0.237	    3.928
ENSG00000026025	0.019	0.230	    3.556
ENSG00000082701	0.048	0.229	   -2.633
ENSG00000143575	0.225	0.225	   -4.108
ENSG00000235782	0.013	0.224	    1.561
ENSG00000179195	0.222	0.222	   -4.538
ENSG00000270048	0.010	0.204	   -6.003
ENSG00000225792	0.083	0.185	   -3.313
ENSG00000146112	0.014	0.173	   -3.629
ENSG00000111785	0.006	0.166	    0.000
ENSG00000196821	0.008	0.163	    5.471
ENSG00000263412	0.091	0.160	    4.018
ENSG00000090273	0.001	0.149	   -1.316
ENSG00000154127	0.002	0.148	   -1.769
ENSG00000110906	0.015	0.140	    1.755
ENSG00000275389	0.011	0.139	    0.000
ENSG00000117500	0.003	0.137	    4.131
ENSG00000143314	0.002	0.131	    0.234
ENSG00000069275	0.019	0.130	    3.074
ENSG00000133561	0.005	0.129	    0.852
ENSG00000131771	0.007	0.129	    0.000
ENSG00000205531	0.119	0.124	    3.682
ENSG00000273733	0.045	0.121	    4.344
ENSG00000146374	0.019	0.121	    4.248
ENSG00000145743	0.032	0.120	    3.600
ENSG00000102901	0.002	0.114	    0.000
ENSG00000005243	0.050	0.113	    3.714
ENSG00000095485	0.072	0.111	   -3.806
ENSG00000209482	0.083	0.108	    3.920
ENSG00000214894	0.008	0.103	    2.180
ENSG00000106948	0.071	0.103	    3.742
ENSG00000078747	0.015	0.100	   -3.817
ENSG00000004534	0.018	0.099	   -4.933
ENSG00000167191	0.011	0.094	    2.333
ENSG00000104313	0.041	0.092	    3.565
ENSG00000271751	0.063	0.090	   -1.793
ENSG00000259618	0.023	0.090	    3.061
ENSG00000261195	0.013	0.089	    2.559
ENSG00000003756	0.004	0.084	    0.000
ENSG00000147889	0.076	0.084	    0.000
