Gene	GRCP	GLCP	TWAS_z
ENSG00000087237	0.112	0.958	   41.888
ENSG00000152291	0.118	0.888	    4.931
ENSG00000233559	0.125	0.860	    0.000
ENSG00000090621	0.066	0.843	   -6.947
ENSG00000185651	0.015	0.775	    0.000
ENSG00000155158	0.125	0.772	   10.139
ENSG00000228060	0.158	0.741	   -7.385
ENSG00000110080	0.023	0.658	    0.000
ENSG00000182109	0.016	0.611	    1.252
ENSG00000213398	0.026	0.594	   -7.832
ENSG00000117505	0.070	0.582	   -4.670
ENSG00000141744	0.076	0.512	    7.056
ENSG00000060642	0.009	0.424	   -5.647
ENSG00000134575	0.008	0.415	   11.271
ENSG00000124257	0.069	0.384	    0.000
ENSG00000175213	0.010	0.372	    0.000
ENSG00000086300	0.364	0.364	   -4.620
ENSG00000108433	0.013	0.329	   -3.566
ENSG00000119242	0.020	0.328	   -6.704
ENSG00000250091	0.043	0.326	    0.000
ENSG00000141736	0.002	0.323	    7.145
ENSG00000243970	0.018	0.288	    0.918
ENSG00000143294	0.003	0.276	    0.000
ENSG00000197894	0.003	0.250	    0.000
ENSG00000168496	0.008	0.227	    0.000
ENSG00000004534	0.005	0.226	   -4.975
ENSG00000185607	0.002	0.203	    0.000
ENSG00000134824	0.006	0.197	    0.000
ENSG00000164077	0.002	0.189	    3.523
ENSG00000196821	0.059	0.176	    6.087
ENSG00000142230	0.020	0.157	    0.000
ENSG00000176473	0.069	0.156	    3.782
ENSG00000270028	0.005	0.152	   -5.781
ENSG00000146112	0.006	0.132	   -3.412
ENSG00000101460	0.008	0.130	    3.902
ENSG00000260063	0.002	0.128	    0.000
ENSG00000132740	0.037	0.124	    3.751
ENSG00000143303	0.010	0.121	    0.000
ENSG00000069275	0.117	0.117	    4.255
ENSG00000246090	0.002	0.113	   -0.063
ENSG00000087157	0.002	0.098	   -1.291
ENSG00000165476	0.009	0.098	    0.578
ENSG00000266265	0.010	0.095	    4.148
ENSG00000271751	0.008	0.090	   -2.992
ENSG00000101000	0.002	0.087	    0.000
ENSG00000226647	0.012	0.085	    0.000
ENSG00000112640	0.010	0.083	    3.609
ENSG00000143575	0.065	0.081	   -4.059
ENSG00000183793	0.080	0.080	   -3.368
ENSG00000183426	0.080	0.080	    3.228
ENSG00000154127	0.002	0.076	    0.000
ENSG00000117500	0.002	0.070	    0.000
ENSG00000165113	0.004	0.069	    3.351
ENSG00000106635	0.013	0.064	    0.000
ENSG00000229124	0.027	0.062	    2.484
ENSG00000162607	0.016	0.062	   -3.536
ENSG00000141750	0.005	0.061	    7.043
ENSG00000270130	0.002	0.060	    0.000
ENSG00000003756	0.002	0.059	    0.000
ENSG00000158161	0.005	0.058	    3.382
ENSG00000089847	0.001	0.055	   -0.945
ENSG00000103642	0.012	0.052	   -5.124
ENSG00000159792	0.009	0.051	    0.000
ENSG00000119927	0.002	0.050	   -3.143
ENSG00000145743	0.006	0.050	    3.543
ENSG00000174628	0.003	0.049	    0.000
ENSG00000204520	0.047	0.047	    3.929
ENSG00000188038	0.004	0.047	    0.000
ENSG00000274080	0.005	0.046	   -5.551
ENSG00000137404	0.004	0.045	    0.000
ENSG00000178188	0.003	0.043	   -3.021
ENSG00000137312	0.003	0.043	    2.257
ENSG00000167772	0.004	0.040	    0.000
ENSG00000165118	0.005	0.040	    2.627
ENSG00000143951	0.001	0.040	    0.000
ENSG00000228063	0.009	0.038	    3.568
ENSG00000143320	0.002	0.037	    0.000
ENSG00000266469	0.001	0.037	    0.000
ENSG00000134825	0.002	0.036	    0.000
ENSG00000170634	0.002	0.036	    3.216
ENSG00000267282	0.003	0.035	    0.000
ENSG00000146374	0.003	0.034	    0.000
ENSG00000197136	0.003	0.034	    0.000
ENSG00000251417	0.011	0.033	   -1.970
ENSG00000124564	0.009	0.033	   -0.470
ENSG00000280832	0.002	0.033	    0.000
ENSG00000137700	0.004	0.032	    0.681
ENSG00000149485	0.007	0.031	    0.000
ENSG00000120725	0.002	0.031	   -3.196
ENSG00000176953	0.002	0.031	    0.000
ENSG00000095485	0.016	0.031	   -3.822
ENSG00000270061	0.001	0.030	    0.000
ENSG00000235119	0.007	0.030	    3.377
ENSG00000116641	0.006	0.030	   -3.481
ENSG00000142208	0.001	0.030	    0.000
ENSG00000203799	0.003	0.028	   -0.384
ENSG00000250508	0.007	0.028	   -2.628
ENSG00000164078	0.001	0.028	    0.000
ENSG00000072958	0.002	0.028	   -2.458
ENSG00000015676	0.001	0.027	    2.528
ENSG00000179627	0.000	0.027	    0.000
ENSG00000095397	0.003	0.026	   -3.207
ENSG00000062524	0.004	0.026	    3.697
ENSG00000223745	0.001	0.026	    2.599
ENSG00000185236	0.001	0.025	    0.000
ENSG00000155189	0.002	0.024	    2.587
ENSG00000229635	0.000	0.023	    0.000
ENSG00000103550	0.011	0.023	   -3.311
ENSG00000198792	0.001	0.022	    0.000
ENSG00000236526	0.002	0.022	    2.895
ENSG00000116962	0.004	0.022	    0.000
ENSG00000268516	0.002	0.021	    3.196
ENSG00000204713	0.001	0.021	    0.000
ENSG00000182793	0.002	0.021	   -2.940
ENSG00000180210	0.001	0.021	    0.000
ENSG00000160695	0.006	0.020	   -3.379
ENSG00000175164	0.004	0.019	   -3.290
ENSG00000172493	0.001	0.019	   -5.383
ENSG00000269938	0.001	0.019	    0.000
ENSG00000224079	0.008	0.018	    0.000
ENSG00000143353	0.004	0.018	   -3.422
ENSG00000243236	0.001	0.017	   -1.616
ENSG00000131748	0.001	0.016	    0.000
ENSG00000148057	0.003	0.016	    0.000
ENSG00000058404	0.001	0.016	    0.000
ENSG00000131470	0.000	0.016	    0.000
ENSG00000111877	0.002	0.016	    2.688
ENSG00000277383	0.004	0.015	    0.000
ENSG00000272288	0.006	0.015	    0.000
ENSG00000228962	0.003	0.015	   -0.461
ENSG00000178952	0.002	0.014	    3.089
ENSG00000258521	0.001	0.014	    2.820
ENSG00000014641	0.001	0.014	    2.984
ENSG00000143319	0.002	0.014	    0.000
ENSG00000011523	0.011	0.014	    3.595
ENSG00000275409	0.001	0.014	   -2.427
ENSG00000009950	0.000	0.013	   -3.941
ENSG00000280048	0.001	0.013	    0.000
ENSG00000157045	0.009	0.013	    0.000
ENSG00000174775	0.002	0.013	    2.559
ENSG00000253966	0.000	0.013	   -2.321
ENSG00000125686	0.000	0.013	    7.280
ENSG00000111328	0.000	0.013	   -0.347
ENSG00000057608	0.003	0.012	    3.342
ENSG00000113734	0.002	0.012	    2.952
ENSG00000179195	0.001	0.012	    0.000
ENSG00000249244	0.000	0.012	    1.373
ENSG00000145384	0.000	0.012	    1.640
ENSG00000070047	0.001	0.012	    0.000
ENSG00000172500	0.001	0.012	    2.697
ENSG00000234420	0.001	0.012	    2.599
ENSG00000187676	0.006	0.011	   -3.047
ENSG00000196296	0.002	0.011	    0.000
ENSG00000275759	0.001	0.011	   -2.538
ENSG00000133612	0.002	0.011	    0.000
ENSG00000197345	0.008	0.011	   -3.564
ENSG00000102898	0.002	0.011	    0.000
ENSG00000184110	0.002	0.011	    2.891
ENSG00000230224	0.001	0.011	    0.000
ENSG00000236409	0.005	0.011	    0.000
ENSG00000111875	0.002	0.011	    2.928
ENSG00000180953	0.002	0.011	   -1.618
ENSG00000124587	0.005	0.011	   -3.137
ENSG00000165832	0.005	0.011	   -3.330
ENSG00000124713	0.004	0.010	    3.234
ENSG00000037042	0.001	0.010	   -2.536
ENSG00000149289	0.001	0.010	    2.880
ENSG00000228274	0.000	0.010	   -2.252
ENSG00000174348	0.001	0.010	    0.000
ENSG00000176182	0.005	0.010	    0.000
ENSG00000151553	0.002	0.010	    2.171
ENSG00000070371	0.000	0.010	   -2.204
ENSG00000165181	0.001	0.010	    1.261
ENSG00000277494	0.002	0.009	    4.889
ENSG00000263432	0.001	0.009	   -2.234
ENSG00000117481	0.000	0.009	   -2.009
ENSG00000276073	0.001	0.009	   -2.853
ENSG00000104313	0.000	0.009	   -0.442
ENSG00000082701	0.000	0.009	    0.000
ENSG00000069696	0.000	0.009	    1.600
ENSG00000175707	0.001	0.009	    0.000
ENSG00000124568	0.002	0.009	    0.374
ENSG00000078814	0.000	0.009	    2.985
ENSG00000129244	0.001	0.009	    2.231
ENSG00000206869	0.002	0.009	    0.000
ENSG00000174915	0.001	0.009	    2.511
ENSG00000244752	0.001	0.008	    2.310
ENSG00000172399	0.002	0.008	    0.000
ENSG00000115677	0.002	0.008	    3.123
ENSG00000108786	0.002	0.008	   -3.150
ENSG00000111707	0.000	0.008	    0.000
ENSG00000138750	0.000	0.008	   -1.916
ENSG00000198874	0.000	0.008	    1.561
ENSG00000204764	0.000	0.008	    2.101
ENSG00000108788	0.000	0.008	    0.000
ENSG00000180376	0.001	0.008	    0.402
ENSG00000226816	0.001	0.008	    0.533
ENSG00000187164	0.001	0.008	    3.017
ENSG00000243955	0.001	0.008	   -2.864
ENSG00000153363	0.001	0.008	    0.000
ENSG00000204444	0.001	0.008	   -4.250
ENSG00000001460	0.002	0.008	    2.862
ENSG00000224468	0.000	0.007	    2.367
ENSG00000272977	0.001	0.007	   -2.804
ENSG00000189308	0.001	0.007	    0.000
ENSG00000184381	0.000	0.007	   -1.258
ENSG00000267213	0.002	0.007	    4.234
ENSG00000261766	0.000	0.007	    0.000
ENSG00000001461	0.001	0.007	    2.879
ENSG00000170145	0.000	0.007	    0.000
ENSG00000139620	0.001	0.007	   -2.322
ENSG00000164096	0.000	0.007	    1.855
ENSG00000171703	0.001	0.007	   -2.294
ENSG00000248714	0.000	0.007	    0.000
ENSG00000100058	0.001	0.007	    2.676
ENSG00000185565	0.000	0.007	   -1.305
ENSG00000177548	0.001	0.007	    2.307
ENSG00000162521	0.000	0.007	    2.515
ENSG00000063169	0.001	0.007	    0.000
ENSG00000175395	0.000	0.007	   -1.715
ENSG00000035115	0.001	0.007	    2.881
ENSG00000261819	0.005	0.007	   -2.384
ENSG00000253404	0.001	0.007	   -2.798
ENSG00000162378	0.000	0.006	    0.000
ENSG00000103932	0.003	0.006	   -4.689
ENSG00000256274	0.000	0.006	   -0.924
ENSG00000071243	0.001	0.006	    0.000
ENSG00000228638	0.000	0.006	    2.169
ENSG00000100211	0.000	0.006	   -2.228
ENSG00000133433	0.003	0.006	   -2.015
ENSG00000235782	0.001	0.006	    0.000
ENSG00000244945	0.000	0.006	    0.000
ENSG00000112308	0.006	0.006	   -3.324
ENSG00000279086	0.001	0.006	    0.000
ENSG00000235812	0.001	0.006	   -3.232
ENSG00000117697	0.001	0.006	   -2.753
ENSG00000164889	0.000	0.006	    0.000
ENSG00000166394	0.001	0.006	    0.000
ENSG00000118156	0.001	0.006	   -3.360
ENSG00000120688	0.001	0.006	    0.000
ENSG00000132182	0.000	0.006	   -2.598
ENSG00000244349	0.000	0.006	    0.000
ENSG00000155875	0.001	0.006	    0.000
ENSG00000146859	0.000	0.006	   -2.093
ENSG00000026297	0.000	0.006	   -0.351
ENSG00000229759	0.001	0.006	   -1.924
ENSG00000135862	0.000	0.006	    0.000
ENSG00000100221	0.000	0.006	    0.000
ENSG00000279853	0.000	0.006	    0.000
ENSG00000170236	0.001	0.006	    0.000
ENSG00000198131	0.001	0.006	    2.572
ENSG00000230912	0.000	0.006	   -2.285
ENSG00000220205	0.001	0.005	    0.000
ENSG00000250412	0.000	0.005	    1.445
ENSG00000259905	0.000	0.005	   -0.964
ENSG00000235559	0.000	0.005	    0.000
ENSG00000155115	0.000	0.005	    1.340
ENSG00000114446	0.000	0.005	    1.554
ENSG00000170571	0.000	0.005	   -1.839
ENSG00000278765	0.000	0.005	   -2.619
ENSG00000151914	0.001	0.005	    2.686
ENSG00000226578	0.000	0.005	    1.857
