Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.269	0.998	   -3.169
ENSG00000087237	0.131	0.977	   39.201
ENSG00000185651	0.022	0.974	    5.975
ENSG00000149485	0.046	0.973	   -8.402
ENSG00000155158	0.079	0.969	    5.824
ENSG00000143303	0.070	0.921	   -3.453
ENSG00000090621	0.019	0.860	   -7.058
ENSG00000184371	0.847	0.847	    5.732
ENSG00000182109	0.014	0.810	    1.378
ENSG00000175213	0.018	0.770	    8.374
ENSG00000134825	0.060	0.716	    8.319
ENSG00000161180	0.008	0.711	   -5.769
ENSG00000277494	0.064	0.695	    5.752
ENSG00000167772	0.105	0.691	   -7.059
ENSG00000117505	0.188	0.684	   -3.834
ENSG00000140416	0.012	0.625	    5.454
ENSG00000131042	0.010	0.585	   -3.032
ENSG00000235016	0.004	0.561	    0.000
ENSG00000197653	0.014	0.528	   -6.073
ENSG00000060642	0.012	0.503	   -5.560
ENSG00000250091	0.100	0.458	   -6.627
ENSG00000243970	0.004	0.447	    1.032
ENSG00000185236	0.021	0.432	   -2.316
ENSG00000173175	0.143	0.386	   -3.239
ENSG00000090273	0.001	0.377	    1.387
ENSG00000270028	0.032	0.362	   -4.548
ENSG00000117500	0.020	0.351	    5.147
ENSG00000136238	0.001	0.343	   -0.537
ENSG00000260063	0.006	0.336	   -5.301
ENSG00000228962	0.006	0.320	   -4.184
ENSG00000246575	0.183	0.308	   -4.283
ENSG00000133818	0.009	0.282	   -1.781
ENSG00000158715	0.002	0.254	   -1.251
ENSG00000167258	0.004	0.253	   -7.197
ENSG00000132740	0.245	0.245	    4.364
ENSG00000183682	0.008	0.240	    2.079
ENSG00000173991	0.053	0.233	    0.000
ENSG00000196821	0.016	0.209	    5.228
ENSG00000143321	0.001	0.198	    0.000
ENSG00000176473	0.029	0.194	    3.090
ENSG00000134575	0.003	0.189	    0.000
ENSG00000109917	0.003	0.174	  -14.148
ENSG00000263412	0.028	0.168	    3.325
ENSG00000069275	0.011	0.162	    3.155
ENSG00000108433	0.005	0.151	    0.000
ENSG00000146112	0.020	0.149	   -3.424
ENSG00000101460	0.015	0.142	    3.929
ENSG00000137312	0.015	0.137	    2.906
ENSG00000187676	0.065	0.135	   -3.376
ENSG00000183426	0.132	0.133	    3.224
ENSG00000183793	0.126	0.126	   -2.821
ENSG00000146374	0.040	0.125	    0.000
ENSG00000203799	0.013	0.121	    0.162
ENSG00000114054	0.002	0.120	    3.553
ENSG00000108306	0.008	0.117	   -7.435
ENSG00000149289	0.002	0.115	   -2.573
ENSG00000143575	0.106	0.106	   -4.105
ENSG00000184990	0.004	0.100	    0.883
ENSG00000254093	0.002	0.100	    0.000
ENSG00000269997	0.005	0.098	    0.000
ENSG00000171988	0.019	0.097	    0.000
ENSG00000161647	0.004	0.096	    0.000
ENSG00000178952	0.026	0.094	    2.772
ENSG00000196296	0.013	0.094	    0.000
ENSG00000179195	0.004	0.092	    6.381
ENSG00000185022	0.006	0.085	    2.780
ENSG00000026025	0.016	0.085	    2.651
ENSG00000117280	0.027	0.082	   -2.555
ENSG00000129244	0.011	0.082	    2.354
ENSG00000230224	0.029	0.080	   -3.856
ENSG00000089847	0.079	0.079	   -1.741
ENSG00000111328	0.002	0.079	   -3.265
ENSG00000106511	0.025	0.074	   -3.622
ENSG00000270130	0.002	0.072	    0.000
ENSG00000100321	0.005	0.066	    2.338
ENSG00000132692	0.001	0.065	    0.000
ENSG00000005243	0.018	0.063	    3.692
ENSG00000169946	0.003	0.063	    0.000
ENSG00000158156	0.006	0.062	    1.326
ENSG00000124713	0.012	0.059	    3.337
ENSG00000130173	0.007	0.054	    0.000
ENSG00000271970	0.034	0.053	    0.874
ENSG00000110080	0.016	0.049	    1.328
ENSG00000158161	0.012	0.049	    3.478
ENSG00000254909	0.006	0.048	    2.232
ENSG00000228063	0.018	0.047	    3.566
ENSG00000178188	0.004	0.045	   -2.984
ENSG00000142230	0.005	0.045	    0.000
ENSG00000205609	0.002	0.044	    2.692
ENSG00000228060	0.007	0.043	    0.000
ENSG00000164096	0.006	0.043	    2.865
ENSG00000122870	0.003	0.042	    2.887
ENSG00000157045	0.034	0.041	    3.393
ENSG00000078747	0.002	0.040	    0.000
ENSG00000255398	0.000	0.040	    0.000
ENSG00000271751	0.013	0.040	   -3.392
ENSG00000187474	0.003	0.038	    3.354
ENSG00000137700	0.021	0.036	    3.343
ENSG00000116641	0.031	0.035	   -3.744
ENSG00000009950	0.001	0.034	   -4.596
ENSG00000179673	0.006	0.034	    3.594
ENSG00000106948	0.005	0.034	    0.000
ENSG00000174628	0.003	0.034	    0.000
ENSG00000050344	0.008	0.033	    3.317
ENSG00000100156	0.006	0.033	    0.750
ENSG00000148488	0.002	0.033	    0.000
ENSG00000160695	0.009	0.033	   -3.251
ENSG00000108861	0.003	0.032	    0.000
ENSG00000086015	0.003	0.032	   -2.736
ENSG00000037042	0.005	0.031	   -3.092
ENSG00000155189	0.004	0.031	    2.473
ENSG00000165832	0.014	0.030	   -2.458
ENSG00000184381	0.002	0.030	   -1.901
ENSG00000187837	0.014	0.030	    0.000
ENSG00000095485	0.027	0.029	   -3.815
ENSG00000229635	0.000	0.029	    0.000
ENSG00000004534	0.002	0.029	   -4.895
ENSG00000267282	0.002	0.029	    0.000
ENSG00000272186	0.003	0.028	    0.000
ENSG00000143319	0.002	0.028	    0.000
ENSG00000259982	0.003	0.027	    1.657
ENSG00000228782	0.001	0.027	   -1.594
ENSG00000108797	0.005	0.026	    3.328
ENSG00000161395	0.023	0.026	    7.783
ENSG00000138592	0.004	0.026	    0.324
ENSG00000242574	0.026	0.026	    1.512
ENSG00000185482	0.001	0.026	    0.000
ENSG00000141744	0.002	0.026	    0.000
ENSG00000164077	0.002	0.025	    0.000
ENSG00000242338	0.002	0.025	    2.039
ENSG00000268746	0.004	0.025	    0.000
ENSG00000137185	0.004	0.025	    1.640
ENSG00000247473	0.006	0.025	   -1.368
ENSG00000133612	0.010	0.024	   -3.548
ENSG00000235316	0.001	0.024	   -1.951
ENSG00000142208	0.001	0.024	    0.000
ENSG00000261766	0.003	0.023	    0.000
ENSG00000227191	0.005	0.023	   -0.655
ENSG00000105963	0.000	0.023	   -1.794
ENSG00000165118	0.007	0.023	    0.000
ENSG00000135862	0.002	0.023	   -2.743
ENSG00000250959	0.002	0.022	   -2.068
ENSG00000003756	0.001	0.022	    0.000
ENSG00000143353	0.013	0.021	   -2.210
ENSG00000255158	0.003	0.021	    3.085
ENSG00000069696	0.003	0.020	    2.386
ENSG00000117713	0.001	0.019	    0.000
ENSG00000011523	0.015	0.019	    3.373
ENSG00000134318	0.002	0.019	    2.774
ENSG00000229152	0.003	0.019	   -3.005
ENSG00000241043	0.003	0.019	    0.060
ENSG00000146205	0.001	0.018	   -1.666
ENSG00000103550	0.018	0.018	   -3.254
ENSG00000174348	0.018	0.018	    1.641
ENSG00000166507	0.001	0.018	    0.000
ENSG00000235298	0.003	0.017	    3.644
ENSG00000120725	0.003	0.017	   -3.092
ENSG00000220205	0.006	0.017	    3.336
ENSG00000259616	0.017	0.017	    3.610
ENSG00000155875	0.003	0.017	   -2.987
ENSG00000274964	0.009	0.016	    2.603
ENSG00000108786	0.006	0.016	   -2.046
ENSG00000197345	0.014	0.016	   -3.560
ENSG00000103642	0.003	0.016	   -2.743
ENSG00000165113	0.003	0.016	    0.000
ENSG00000119242	0.003	0.015	   -2.784
ENSG00000251417	0.005	0.015	   -2.836
ENSG00000055147	0.001	0.015	    0.000
ENSG00000112339	0.002	0.015	   -2.042
ENSG00000205426	0.009	0.014	   -0.304
ENSG00000219565	0.004	0.014	   -3.579
ENSG00000101782	0.002	0.014	   -3.556
ENSG00000108785	0.005	0.014	   -2.698
ENSG00000121211	0.008	0.014	   -3.479
ENSG00000267082	0.000	0.014	    0.000
ENSG00000251259	0.010	0.014	    0.000
ENSG00000263155	0.000	0.013	    1.411
ENSG00000023516	0.008	0.013	    3.224
ENSG00000270427	0.000	0.013	    0.000
ENSG00000042445	0.007	0.013	   -1.147
ENSG00000224081	0.004	0.013	   -0.987
ENSG00000249898	0.001	0.013	    0.000
ENSG00000269938	0.001	0.013	    0.000
ENSG00000180953	0.004	0.013	   -1.209
ENSG00000243955	0.003	0.013	   -0.288
ENSG00000143727	0.002	0.013	    2.894
ENSG00000161649	0.001	0.013	    0.000
ENSG00000170276	0.007	0.013	    0.000
ENSG00000254473	0.004	0.013	   -2.086
ENSG00000184110	0.001	0.012	    2.575
ENSG00000268516	0.005	0.012	    3.142
ENSG00000121210	0.004	0.012	   -3.370
ENSG00000167183	0.009	0.012	    0.000
ENSG00000172869	0.003	0.012	   -2.577
ENSG00000204257	0.004	0.012	    3.372
ENSG00000162607	0.004	0.012	    0.000
ENSG00000203801	0.002	0.012	   -0.751
ENSG00000275409	0.001	0.011	   -2.678
ENSG00000105058	0.004	0.011	   -2.563
ENSG00000143036	0.004	0.011	    0.125
ENSG00000112308	0.011	0.011	   -3.374
ENSG00000105402	0.005	0.011	    3.133
ENSG00000175164	0.010	0.011	   -1.597
ENSG00000113734	0.003	0.011	    2.912
ENSG00000250251	0.004	0.011	    1.315
ENSG00000122547	0.003	0.011	    1.470
ENSG00000087085	0.004	0.011	   -2.759
ENSG00000069869	0.001	0.011	    1.106
ENSG00000176903	0.001	0.011	   -2.668
ENSG00000164825	0.002	0.011	    2.660
ENSG00000100883	0.011	0.011	   -2.949
ENSG00000088448	0.003	0.011	   -0.184
ENSG00000267213	0.004	0.010	    4.116
ENSG00000276073	0.002	0.010	   -2.654
ENSG00000262333	0.001	0.010	    2.166
ENSG00000226816	0.002	0.010	    1.785
ENSG00000180376	0.002	0.010	    0.313
ENSG00000109332	0.010	0.010	    0.554
ENSG00000272750	0.002	0.010	   -0.635
ENSG00000175395	0.000	0.010	   -1.607
ENSG00000078804	0.003	0.010	    2.739
ENSG00000105204	0.003	0.010	    2.913
ENSG00000187164	0.004	0.010	    3.086
ENSG00000174915	0.001	0.010	    2.165
ENSG00000167658	0.003	0.009	    1.154
ENSG00000100201	0.001	0.009	    2.190
ENSG00000120688	0.002	0.009	    3.325
ENSG00000168488	0.001	0.009	    0.000
ENSG00000116353	0.004	0.009	    2.696
ENSG00000165119	0.003	0.009	    0.000
ENSG00000244752	0.002	0.009	    2.275
ENSG00000275807	0.001	0.009	    0.000
ENSG00000260439	0.001	0.009	   -1.788
ENSG00000162341	0.005	0.009	    1.882
ENSG00000145740	0.002	0.009	    2.913
ENSG00000172568	0.002	0.009	   -2.595
ENSG00000141279	0.004	0.009	    3.565
ENSG00000162520	0.001	0.009	   -2.576
ENSG00000119661	0.001	0.009	    2.739
ENSG00000152128	0.005	0.009	    3.204
ENSG00000258521	0.002	0.009	    2.388
ENSG00000182632	0.001	0.009	    0.538
ENSG00000095787	0.002	0.009	   -2.816
ENSG00000250412	0.000	0.009	    1.932
ENSG00000270095	0.001	0.009	    0.000
ENSG00000153363	0.002	0.009	    3.433
ENSG00000178904	0.003	0.009	   -4.343
ENSG00000132182	0.002	0.009	    0.939
ENSG00000156689	0.001	0.008	    2.103
ENSG00000124151	0.001	0.008	    2.431
ENSG00000178966	0.002	0.008	    1.858
ENSG00000068878	0.003	0.008	    1.812
ENSG00000178636	0.001	0.008	    0.000
ENSG00000108588	0.000	0.008	   -1.514
ENSG00000224470	0.002	0.008	    0.000
ENSG00000198131	0.002	0.008	    2.304
ENSG00000189316	0.001	0.008	   -2.509
ENSG00000139734	0.001	0.008	    1.170
ENSG00000118900	0.004	0.008	   -2.327
ENSG00000138439	0.000	0.008	   -1.614
ENSG00000228638	0.001	0.008	    2.107
ENSG00000256269	0.008	0.008	    2.128
ENSG00000124562	0.000	0.008	   -5.159
ENSG00000001461	0.003	0.008	    2.167
ENSG00000168286	0.003	0.008	   11.907
ENSG00000100577	0.005	0.008	   -1.912
ENSG00000140280	0.001	0.008	   -2.264
ENSG00000276966	0.004	0.008	    0.000
ENSG00000182836	0.001	0.008	    0.888
ENSG00000001460	0.003	0.008	    2.672
ENSG00000180573	0.004	0.008	    0.000
ENSG00000198523	0.001	0.008	    0.176
ENSG00000140832	0.002	0.008	    2.444
ENSG00000164329	0.001	0.008	    2.135
ENSG00000223374	0.001	0.008	   -0.265
ENSG00000138750	0.001	0.008	   -1.459
ENSG00000107566	0.002	0.008	    0.000
ENSG00000172500	0.002	0.007	    3.699
ENSG00000236526	0.001	0.007	    0.000
ENSG00000115677	0.004	0.007	    3.066
ENSG00000108771	0.003	0.007	   -1.153
ENSG00000172732	0.002	0.007	   -3.664
ENSG00000225302	0.006	0.007	    3.237
ENSG00000137809	0.001	0.007	    2.297
ENSG00000254815	0.004	0.007	   -2.016
ENSG00000065613	0.003	0.007	    2.871
ENSG00000003056	0.003	0.007	   -3.083
ENSG00000196812	0.000	0.007	    0.000
ENSG00000228696	0.001	0.007	    0.111
ENSG00000246090	0.003	0.007	   -1.108
ENSG00000263766	0.001	0.007	    0.000
ENSG00000128872	0.001	0.007	    2.584
ENSG00000184517	0.003	0.007	    2.309
ENSG00000157429	0.001	0.007	   -2.795
ENSG00000233822	0.002	0.007	   -2.593
ENSG00000204149	0.002	0.007	   -2.575
ENSG00000262879	0.002	0.007	   -0.535
ENSG00000258666	0.002	0.007	   -1.840
ENSG00000218537	0.003	0.007	    2.721
ENSG00000051180	0.001	0.007	   -2.689
ENSG00000233266	0.004	0.007	   -2.437
ENSG00000267892	0.001	0.007	   -2.625
ENSG00000143437	0.000	0.007	    0.963
ENSG00000117481	0.000	0.007	   -2.096
ENSG00000164047	0.000	0.007	    0.000
ENSG00000250470	0.005	0.007	   -1.752
ENSG00000254635	0.003	0.007	   -0.022
ENSG00000189223	0.002	0.007	    2.392
ENSG00000268041	0.002	0.007	   -2.745
ENSG00000231443	0.004	0.007	   -1.906
ENSG00000172340	0.001	0.007	    1.268
ENSG00000011478	0.002	0.007	   -2.738
ENSG00000185129	0.001	0.007	    0.000
ENSG00000229274	0.001	0.007	    0.000
ENSG00000163257	0.002	0.007	   -2.289
ENSG00000180185	0.000	0.007	    1.531
ENSG00000189180	0.000	0.007	    1.765
ENSG00000132128	0.000	0.007	   -1.931
ENSG00000122882	0.000	0.007	   -1.596
ENSG00000228274	0.001	0.006	   -2.305
ENSG00000115590	0.001	0.006	    0.000
ENSG00000117174	0.002	0.006	    2.854
ENSG00000234420	0.001	0.006	    2.667
ENSG00000179428	0.004	0.006	    2.434
ENSG00000145743	0.001	0.006	    0.987
ENSG00000015676	0.001	0.006	    2.286
ENSG00000107960	0.002	0.006	    2.895
ENSG00000162365	0.001	0.006	   -2.065
ENSG00000149633	0.002	0.006	    2.837
ENSG00000033178	0.001	0.006	   -2.291
ENSG00000072958	0.001	0.006	   -2.091
ENSG00000196199	0.001	0.006	    2.358
ENSG00000006016	0.004	0.006	   -2.787
ENSG00000185591	0.001	0.006	    2.487
ENSG00000263432	0.006	0.006	   -2.668
ENSG00000175643	0.002	0.006	   -2.812
ENSG00000263345	0.003	0.006	    0.804
ENSG00000106025	0.002	0.006	   -2.756
ENSG00000272288	0.004	0.006	    0.000
ENSG00000198039	0.001	0.006	   -2.317
ENSG00000213463	0.001	0.006	    2.673
ENSG00000137142	0.001	0.006	   -0.888
ENSG00000134852	0.001	0.006	   -1.456
ENSG00000197114	0.000	0.006	    0.000
ENSG00000263142	0.004	0.006	   -0.772
ENSG00000248049	0.001	0.006	   -0.163
