Gene	GRCP	GLCP	TWAS_z
ENSG00000143303	0.031	0.872	   -3.365
ENSG00000246575	0.018	0.781	   -4.960
ENSG00000175213	0.013	0.739	    0.000
ENSG00000161180	0.002	0.681	   -5.480
ENSG00000223745	0.035	0.650	    3.228
ENSG00000228962	0.005	0.602	    1.083
ENSG00000277494	0.010	0.589	    3.972
ENSG00000250091	0.024	0.547	   -6.656
ENSG00000087237	0.046	0.488	    0.000
ENSG00000119242	0.004	0.466	   -6.257
ENSG00000182109	0.003	0.453	    1.089
ENSG00000090621	0.009	0.397	    0.000
ENSG00000146540	0.001	0.387	    3.341
ENSG00000060642	0.004	0.386	   -5.560
ENSG00000141744	0.003	0.333	    0.000
ENSG00000149485	0.002	0.330	    0.000
ENSG00000260063	0.002	0.299	   -5.438
ENSG00000152291	0.005	0.243	    0.000
ENSG00000182782	0.000	0.208	    5.520
ENSG00000134825	0.003	0.202	    0.000
ENSG00000256508	0.001	0.177	    3.551
ENSG00000037042	0.001	0.171	   -3.372
ENSG00000103642	0.001	0.164	   -3.781
ENSG00000185651	0.001	0.152	    0.000
ENSG00000108306	0.000	0.131	   -7.287
ENSG00000259298	0.002	0.128	    0.000
ENSG00000101460	0.001	0.125	    3.810
ENSG00000224331	0.009	0.115	    0.000
ENSG00000179195	0.001	0.113	    0.000
ENSG00000117500	0.001	0.112	    0.000
ENSG00000176473	0.021	0.112	    3.927
ENSG00000132740	0.011	0.108	    3.978
ENSG00000196821	0.004	0.101	    5.063
ENSG00000270048	0.002	0.098	    0.000
ENSG00000082701	0.001	0.088	   -2.794
ENSG00000137700	0.002	0.080	    2.312
ENSG00000270130	0.001	0.079	    0.000
ENSG00000152128	0.004	0.076	    3.272
ENSG00000185022	0.001	0.075	    3.059
ENSG00000120725	0.000	0.068	    0.000
ENSG00000228060	0.004	0.067	    0.000
ENSG00000146112	0.001	0.065	   -3.574
ENSG00000230224	0.003	0.065	   -3.652
ENSG00000164077	0.001	0.060	    0.000
ENSG00000184371	0.051	0.057	    0.000
ENSG00000280832	0.002	0.056	    0.000
ENSG00000122870	0.000	0.051	    2.966
ENSG00000143575	0.011	0.051	   -4.120
ENSG00000158161	0.001	0.049	    3.436
ENSG00000165113	0.000	0.049	    0.000
ENSG00000139269	0.011	0.048	    0.000
ENSG00000009950	0.002	0.048	    0.000
ENSG00000154127	0.000	0.047	   -1.779
ENSG00000134824	0.000	0.047	    1.566
ENSG00000143951	0.000	0.044	    2.743
ENSG00000179673	0.001	0.043	    2.565
ENSG00000086300	0.024	0.041	   -3.922
ENSG00000117280	0.002	0.041	   -2.793
ENSG00000185236	0.001	0.040	    0.000
ENSG00000102901	0.003	0.040	    0.000
ENSG00000130749	0.001	0.040	    0.000
ENSG00000167183	0.001	0.039	    0.000
ENSG00000003756	0.001	0.038	    0.000
ENSG00000090273	0.000	0.038	    0.000
ENSG00000095485	0.003	0.037	   -3.809
ENSG00000107566	0.001	0.037	    3.667
ENSG00000203799	0.001	0.035	    0.000
ENSG00000116641	0.001	0.032	   -3.395
ENSG00000078804	0.000	0.032	    3.521
ENSG00000174579	0.001	0.031	    0.000
ENSG00000214894	0.001	0.030	    0.000
ENSG00000267282	0.002	0.030	    0.000
ENSG00000277383	0.001	0.029	    0.000
ENSG00000250508	0.000	0.029	    1.865
ENSG00000149428	0.001	0.028	    0.000
ENSG00000213445	0.001	0.027	    0.000
ENSG00000134575	0.000	0.027	    0.000
