Gene	GRCP	GLCP	TWAS_z
ENSG00000273342	0.024	0.989	   -5.928
ENSG00000138640	0.025	0.982	    5.252
ENSG00000184371	0.972	0.972	    5.920
ENSG00000143303	0.029	0.970	   -3.316
ENSG00000163659	0.181	0.957	   -2.089
ENSG00000240875	0.234	0.956	   -1.193
ENSG00000188038	0.229	0.944	   12.152
ENSG00000168710	0.887	0.924	    5.826
ENSG00000134222	0.252	0.918	   -2.227
ENSG00000130158	0.095	0.917	   -3.494
ENSG00000090621	0.078	0.843	   -7.170
ENSG00000185651	0.028	0.771	    6.007
ENSG00000167772	0.080	0.764	   -6.986
ENSG00000060642	0.013	0.754	   -5.590
ENSG00000172493	0.219	0.748	   -5.090
ENSG00000277494	0.060	0.743	    5.026
ENSG00000117505	0.068	0.721	   -3.606
ENSG00000223745	0.001	0.720	    3.143
ENSG00000243970	0.023	0.715	    1.336
ENSG00000043591	0.214	0.611	   -4.242
ENSG00000130173	0.023	0.576	   -6.284
ENSG00000248896	0.028	0.548	   -4.865
ENSG00000004534	0.170	0.546	   -5.180
ENSG00000114054	0.002	0.521	    4.072
ENSG00000228060	0.168	0.507	   -7.371
ENSG00000270028	0.092	0.480	   -6.296
ENSG00000149485	0.001	0.460	   -2.699
ENSG00000185236	0.028	0.460	   -6.705
ENSG00000149289	0.009	0.431	   -3.019
ENSG00000197653	0.068	0.425	   -3.067
ENSG00000260063	0.007	0.360	   -5.524
ENSG00000269386	0.040	0.341	   -1.366
ENSG00000106635	0.217	0.337	   -0.452
ENSG00000270130	0.012	0.301	   -6.291
ENSG00000250091	0.060	0.296	   -6.230
ENSG00000090273	0.002	0.266	    4.226
ENSG00000143418	0.243	0.265	    3.859
ENSG00000025434	0.010	0.256	  -10.949
ENSG00000180210	0.023	0.235	    5.535
ENSG00000132740	0.064	0.227	    3.796
ENSG00000176473	0.085	0.217	    3.689
ENSG00000183426	0.211	0.211	    2.929
ENSG00000183793	0.210	0.211	   -3.051
ENSG00000152128	0.036	0.201	    3.338
ENSG00000161649	0.016	0.189	   -3.593
ENSG00000101460	0.019	0.183	    3.905
ENSG00000137656	0.101	0.181	   12.015
ENSG00000141699	0.012	0.180	    3.420
ENSG00000117500	0.020	0.179	    5.027
ENSG00000146112	0.032	0.179	   -3.443
ENSG00000143575	0.179	0.179	   -4.104
ENSG00000105976	0.073	0.173	   -3.396
ENSG00000107566	0.056	0.171	    3.717
ENSG00000187676	0.067	0.164	   -3.195
ENSG00000178952	0.042	0.148	    2.715
ENSG00000137404	0.014	0.147	   -0.968
ENSG00000171988	0.016	0.137	    0.000
ENSG00000168214	0.015	0.120	    0.000
ENSG00000026025	0.013	0.118	    2.930
ENSG00000108306	0.011	0.117	   -7.273
ENSG00000005243	0.057	0.116	    2.458
ENSG00000175213	0.004	0.109	    5.351
ENSG00000111328	0.005	0.108	   -2.156
ENSG00000141750	0.037	0.106	    4.366
ENSG00000184381	0.007	0.101	   -2.219
ENSG00000112640	0.027	0.095	    3.583
ENSG00000095485	0.052	0.094	   -3.842
ENSG00000152291	0.042	0.093	    2.947
ENSG00000269997	0.007	0.089	    0.000
ENSG00000263412	0.045	0.088	    3.408
ENSG00000104313	0.025	0.088	    3.506
ENSG00000158715	0.076	0.076	   -0.566
ENSG00000204520	0.075	0.075	    2.648
ENSG00000198162	0.049	0.073	    3.350
ENSG00000272288	0.041	0.072	    3.272
ENSG00000174579	0.005	0.071	    0.000
ENSG00000164096	0.017	0.067	    3.438
ENSG00000157045	0.055	0.066	    3.637
ENSG00000158161	0.019	0.065	    3.436
ENSG00000179889	0.057	0.064	    2.952
ENSG00000164077	0.013	0.063	    0.000
ENSG00000234616	0.011	0.062	   -2.622
ENSG00000229635	0.000	0.061	    2.740
ENSG00000228063	0.034	0.060	    3.534
ENSG00000115239	0.004	0.059	   -3.182
ENSG00000143353	0.028	0.059	   -1.874
ENSG00000231113	0.030	0.059	   -1.643
ENSG00000003756	0.003	0.058	    0.000
ENSG00000243305	0.014	0.058	   -2.824
ENSG00000164849	0.013	0.055	   -0.909
ENSG00000122870	0.006	0.055	    2.955
ENSG00000152601	0.017	0.055	    0.000
ENSG00000167183	0.054	0.054	   -3.907
ENSG00000259982	0.022	0.054	    2.506
ENSG00000135845	0.022	0.053	    0.290
ENSG00000168496	0.004	0.052	    0.000
ENSG00000137700	0.033	0.050	    3.119
ENSG00000230224	0.013	0.049	   -3.827
ENSG00000108433	0.012	0.048	   -2.579
ENSG00000261766	0.007	0.045	   -3.017
ENSG00000259530	0.045	0.045	    3.776
ENSG00000250508	0.033	0.045	   -1.722
ENSG00000101782	0.044	0.044	   -3.074
ENSG00000175220	0.001	0.044	    5.343
ENSG00000116962	0.018	0.043	   -3.174
ENSG00000176953	0.005	0.043	    3.086
ENSG00000271751	0.023	0.042	   -1.730
ENSG00000116641	0.009	0.042	   -2.964
ENSG00000120688	0.006	0.041	    2.943
ENSG00000259616	0.033	0.039	    2.856
ENSG00000205531	0.038	0.039	    4.163
ENSG00000197345	0.034	0.038	   -3.393
ENSG00000259675	0.026	0.037	    3.695
ENSG00000050344	0.015	0.037	    2.978
ENSG00000014641	0.005	0.037	    2.983
ENSG00000011523	0.031	0.037	    3.406
ENSG00000086015	0.005	0.037	   -2.877
ENSG00000267282	0.003	0.036	    0.000
ENSG00000165118	0.025	0.036	    3.376
ENSG00000103550	0.030	0.035	   -3.139
ENSG00000178188	0.008	0.035	   -3.076
ENSG00000242611	0.004	0.035	    1.603
ENSG00000161180	0.001	0.035	   -5.813
ENSG00000196072	0.012	0.035	   -0.891
ENSG00000072958	0.012	0.033	   -3.195
ENSG00000069275	0.009	0.033	    1.555
ENSG00000156030	0.009	0.033	    2.822
ENSG00000271427	0.010	0.032	   -0.387
ENSG00000133612	0.012	0.032	   -3.187
ENSG00000105856	0.006	0.030	   -2.954
ENSG00000138069	0.009	0.029	    3.269
ENSG00000146006	0.003	0.029	   -2.787
ENSG00000168488	0.005	0.029	   -2.935
ENSG00000006016	0.021	0.028	   -3.459
ENSG00000203799	0.013	0.028	    1.121
ENSG00000178636	0.012	0.027	    3.811
ENSG00000132510	0.001	0.026	    0.833
ENSG00000110080	0.002	0.026	    0.300
ENSG00000068137	0.009	0.026	    3.377
ENSG00000213445	0.005	0.025	    0.819
ENSG00000170442	0.003	0.025	    2.481
ENSG00000141086	0.000	0.025	    0.000
ENSG00000175164	0.013	0.024	   -3.545
ENSG00000069667	0.018	0.024	    3.559
ENSG00000176046	0.009	0.024	   -1.946
ENSG00000274964	0.017	0.023	    2.870
ENSG00000154127	0.001	0.023	    0.000
ENSG00000122547	0.005	0.023	    1.106
ENSG00000141279	0.005	0.023	    3.291
ENSG00000037042	0.012	0.022	   -3.151
ENSG00000042445	0.016	0.022	   -0.768
ENSG00000124587	0.014	0.022	   -2.811
ENSG00000015676	0.004	0.021	    2.595
ENSG00000069956	0.002	0.021	    0.000
ENSG00000167658	0.016	0.021	    0.973
ENSG00000241043	0.009	0.020	   -0.476
ENSG00000130164	0.005	0.020	   -3.654
ENSG00000088448	0.006	0.020	   -0.409
ENSG00000278967	0.004	0.020	    0.000
ENSG00000091972	0.005	0.020	    2.557
ENSG00000196821	0.002	0.020	    4.383
ENSG00000109917	0.001	0.019	    0.000
ENSG00000163491	0.007	0.019	    0.000
ENSG00000204632	0.019	0.019	   -2.814
ENSG00000272186	0.004	0.019	    0.000
ENSG00000108852	0.008	0.019	   -1.746
