Gene	GRCP	GLCP	TWAS_z
ENSG00000277494	0.011	0.960	    4.488
ENSG00000149485	0.004	0.642	    0.000
ENSG00000101473	0.020	0.560	    0.000
ENSG00000134825	0.050	0.550	    0.000
ENSG00000246090	0.149	0.521	    0.095
ENSG00000161180	0.001	0.458	    0.000
ENSG00000152291	0.004	0.386	    0.000
ENSG00000185651	0.003	0.312	    0.000
ENSG00000250091	0.014	0.306	    0.000
ENSG00000025434	0.004	0.302	  -11.218
ENSG00000146374	0.006	0.242	    0.000
ENSG00000165476	0.001	0.221	    0.000
ENSG00000197894	0.000	0.199	    0.000
ENSG00000175216	0.001	0.187	    0.000
ENSG00000114054	0.001	0.178	    0.000
ENSG00000108433	0.001	0.171	    0.000
ENSG00000122483	0.003	0.165	    0.000
ENSG00000037042	0.001	0.156	   -3.392
ENSG00000269386	0.004	0.151	    2.863
ENSG00000090273	0.000	0.147	    0.000
ENSG00000003756	0.003	0.145	    0.000
ENSG00000087157	0.006	0.135	    0.000
ENSG00000262039	0.001	0.122	    3.089
ENSG00000173991	0.003	0.098	    0.000
ENSG00000271751	0.001	0.094	   -3.416
ENSG00000101460	0.001	0.093	    4.173
ENSG00000213057	0.001	0.091	    0.000
ENSG00000160695	0.003	0.082	   -3.475
ENSG00000143303	0.009	0.077	    0.000
ENSG00000197345	0.007	0.076	   -3.691
ENSG00000228962	0.000	0.073	   -1.043
ENSG00000184381	0.000	0.067	    0.000
ENSG00000196821	0.001	0.065	    6.004
ENSG00000164849	0.005	0.064	   -1.451
ENSG00000165113	0.001	0.063	    3.315
ENSG00000095596	0.001	0.061	    0.000
ENSG00000137411	0.000	0.060	   -1.969
ENSG00000154127	0.001	0.059	    0.000
ENSG00000057608	0.001	0.056	    0.000
ENSG00000279513	0.002	0.055	    3.825
ENSG00000141744	0.001	0.054	    0.000
ENSG00000143575	0.012	0.054	   -4.105
ENSG00000060642	0.001	0.052	    0.000
ENSG00000187553	0.003	0.052	    3.637
ENSG00000100982	0.001	0.052	    0.000
ENSG00000180210	0.003	0.047	    0.000
ENSG00000131462	0.001	0.045	    0.000
ENSG00000279807	0.000	0.044	    0.000
ENSG00000072958	0.001	0.044	   -3.209
ENSG00000168496	0.001	0.044	    0.000
ENSG00000069275	0.000	0.043	    0.000
ENSG00000064601	0.001	0.041	    0.000
ENSG00000278765	0.000	0.039	   -1.738
ENSG00000122870	0.000	0.039	    2.788
ENSG00000269997	0.001	0.038	    0.000
ENSG00000117500	0.000	0.038	    0.000
ENSG00000270130	0.000	0.037	    0.000
ENSG00000158161	0.001	0.037	    2.882
ENSG00000132740	0.002	0.035	    3.673
ENSG00000134824	0.000	0.035	    0.000
ENSG00000142208	0.001	0.034	    0.000
ENSG00000171532	0.000	0.033	    0.000
ENSG00000055147	0.000	0.033	   -2.835
ENSG00000111328	0.001	0.033	    0.000
ENSG00000175164	0.002	0.033	   -3.488
ENSG00000204290	0.000	0.032	    0.000
ENSG00000143353	0.001	0.031	    0.000
ENSG00000130204	0.005	0.030	    0.000
ENSG00000109917	0.001	0.029	    0.000
ENSG00000105976	0.003	0.029	    3.783
ENSG00000131771	0.000	0.028	    0.000
ENSG00000253695	0.000	0.025	    0.000
ENSG00000143458	0.003	0.024	    0.000
ENSG00000038358	0.001	0.023	    0.000
ENSG00000270061	0.000	0.020	    0.000
ENSG00000068137	0.000	0.020	    0.000
ENSG00000250412	0.000	0.020	    1.519
ENSG00000095485	0.003	0.020	   -3.809
ENSG00000026025	0.000	0.019	    0.000
ENSG00000006607	0.000	0.019	   -3.822
ENSG00000103550	0.001	0.019	   -2.697
ENSG00000272186	0.000	0.019	    0.000
ENSG00000124713	0.001	0.019	    3.215
ENSG00000253404	0.000	0.019	   -2.830
ENSG00000110080	0.002	0.019	    3.939
ENSG00000159792	0.001	0.018	    0.000
ENSG00000152128	0.000	0.018	    0.000
ENSG00000228063	0.001	0.018	    0.000
ENSG00000023516	0.001	0.018	    3.315
ENSG00000266469	0.000	0.017	    0.000
ENSG00000256269	0.000	0.017	    0.000
ENSG00000141736	0.000	0.017	    0.000
ENSG00000268201	0.000	0.017	    0.000
ENSG00000261195	0.000	0.016	    2.370
ENSG00000255968	0.000	0.016	    0.000
ENSG00000178966	0.000	0.015	    2.779
ENSG00000185607	0.000	0.015	    0.000
ENSG00000183426	0.014	0.015	    4.313
ENSG00000141084	0.000	0.015	    0.000
ENSG00000183793	0.014	0.014	   -2.573
ENSG00000141279	0.000	0.014	    3.472
ENSG00000182782	0.000	0.014	    0.000
ENSG00000161395	0.000	0.014	    0.000
ENSG00000220205	0.001	0.014	    3.352
ENSG00000226816	0.000	0.013	    2.772
ENSG00000164535	0.000	0.013	    0.000
ENSG00000276073	0.000	0.013	   -2.655
ENSG00000164078	0.000	0.013	    0.000
ENSG00000108786	0.000	0.013	   -3.042
ENSG00000228274	0.000	0.013	   -2.419
ENSG00000275759	0.000	0.013	   -2.603
ENSG00000214546	0.000	0.013	    0.000
ENSG00000113734	0.000	0.013	    2.965
ENSG00000143294	0.000	0.013	    0.000
ENSG00000042445	0.000	0.013	   -4.017
ENSG00000153363	0.000	0.013	    2.867
ENSG00000069956	0.000	0.012	    0.000
ENSG00000267733	0.000	0.012	    0.000
ENSG00000115677	0.000	0.012	    3.098
ENSG00000178852	0.001	0.012	   -3.233
ENSG00000275409	0.000	0.012	   -2.464
ENSG00000263142	0.000	0.011	   -2.844
ENSG00000167772	0.001	0.011	    0.000
ENSG00000102898	0.001	0.011	    0.000
ENSG00000130749	0.000	0.010	    0.000
ENSG00000204257	0.000	0.010	    3.120
ENSG00000182722	0.000	0.010	   -2.575
ENSG00000234961	0.000	0.010	    0.000
ENSG00000142230	0.000	0.010	    0.000
ENSG00000161955	0.001	0.010	    3.522
ENSG00000131055	0.000	0.010	    0.000
ENSG00000158825	0.000	0.010	    2.011
ENSG00000245261	0.000	0.010	    0.000
ENSG00000249244	0.000	0.009	    1.391
ENSG00000204764	0.000	0.009	    2.498
ENSG00000134575	0.000	0.009	    0.000
ENSG00000281691	0.000	0.009	    0.000
ENSG00000161647	0.000	0.009	    0.000
ENSG00000111707	0.000	0.009	    0.000
ENSG00000240065	0.000	0.009	    0.000
ENSG00000138750	0.000	0.009	   -1.819
ENSG00000145692	0.000	0.008	   -3.157
ENSG00000001460	0.000	0.008	    2.825
ENSG00000204256	0.000	0.008	    3.287
ENSG00000100211	0.000	0.008	    0.000
ENSG00000169696	0.000	0.008	   -1.495
ENSG00000132837	0.000	0.008	   -2.629
ENSG00000105700	0.000	0.008	    2.721
ENSG00000198898	0.000	0.008	    0.000
ENSG00000254815	0.000	0.008	    0.000
ENSG00000251417	0.000	0.008	   -2.729
ENSG00000221983	0.000	0.008	    3.007
ENSG00000180185	0.000	0.007	    1.499
ENSG00000103227	0.000	0.007	   -2.315
ENSG00000101246	0.000	0.007	    2.256
ENSG00000100058	0.000	0.007	    2.721
ENSG00000112343	0.000	0.007	    0.000
ENSG00000184949	0.000	0.007	    2.330
ENSG00000178295	0.000	0.007	    2.596
ENSG00000205220	0.000	0.007	    0.000
ENSG00000165832	0.000	0.007	    0.000
ENSG00000248714	0.000	0.007	    0.000
ENSG00000272140	0.000	0.007	    0.000
ENSG00000113946	0.000	0.007	    0.367
ENSG00000118596	0.000	0.007	    0.000
ENSG00000175707	0.000	0.007	    0.000
ENSG00000204428	0.000	0.007	   -2.002
ENSG00000138069	0.000	0.007	    0.000
ENSG00000108592	0.000	0.006	   -1.751
ENSG00000138018	0.000	0.006	   -2.768
ENSG00000233266	0.000	0.006	   -3.246
ENSG00000272942	0.000	0.006	   -2.799
ENSG00000263432	0.000	0.006	    0.000
ENSG00000172113	0.000	0.006	    0.000
ENSG00000170634	0.000	0.006	    0.000
ENSG00000257735	0.000	0.006	    2.489
ENSG00000259905	0.000	0.006	   -0.971
ENSG00000128891	0.000	0.006	   -2.151
ENSG00000228638	0.000	0.006	    2.149
ENSG00000204152	0.000	0.006	    2.372
ENSG00000140280	0.000	0.006	    0.000
ENSG00000176125	0.000	0.006	    2.902
ENSG00000171503	0.000	0.006	   -2.271
ENSG00000204149	0.000	0.006	   -2.411
ENSG00000166747	0.000	0.006	   -2.426
ENSG00000229618	0.000	0.006	    0.000
ENSG00000141086	0.000	0.006	    0.000
ENSG00000233223	0.000	0.006	    0.000
ENSG00000128298	0.000	0.006	    0.000
ENSG00000117280	0.000	0.006	    0.000
ENSG00000204644	0.000	0.006	   -1.981
ENSG00000116977	0.000	0.006	    0.000
ENSG00000101294	0.000	0.006	    0.000
ENSG00000141098	0.000	0.005	   10.951
ENSG00000223500	0.000	0.005	   -2.128
ENSG00000196502	0.000	0.005	   -1.638
ENSG00000245958	0.000	0.005	   -1.497
ENSG00000168286	0.000	0.005	    0.000
ENSG00000226251	0.000	0.005	    2.655
ENSG00000142396	0.000	0.005	    0.000
ENSG00000231233	0.000	0.005	    2.708
ENSG00000143036	0.000	0.005	    0.455
ENSG00000283050	0.000	0.005	   -1.399
ENSG00000217130	0.000	0.005	    0.000
ENSG00000283443	0.000	0.005	   -1.940
ENSG00000143319	0.000	0.005	    0.000
ENSG00000234177	0.000	0.005	   -2.319
ENSG00000174628	0.000	0.005	    0.000
