Gene	GRCP	GLCP	TWAS_z
ENSG00000185651	0.006	0.925	    5.714
ENSG00000087157	0.012	0.733	    5.964
ENSG00000160796	0.146	0.729	    0.000
ENSG00000164078	0.002	0.636	    4.443
ENSG00000179627	0.043	0.612	    0.000
ENSG00000277494	0.009	0.597	    5.535
ENSG00000250091	0.015	0.562	   -6.410
ENSG00000143303	0.039	0.510	    0.000
ENSG00000228962	0.002	0.425	   -1.989
ENSG00000154127	0.005	0.407	    0.000
ENSG00000064601	0.008	0.400	    0.000
ENSG00000270028	0.004	0.333	   -5.777
ENSG00000117500	0.002	0.293	    5.032
ENSG00000141736	0.001	0.272	    0.000
ENSG00000141744	0.012	0.269	    0.000
ENSG00000269386	0.002	0.261	   -2.436
ENSG00000270061	0.005	0.255	    0.000
ENSG00000182109	0.002	0.234	    0.841
ENSG00000090273	0.000	0.215	    1.943
ENSG00000108852	0.068	0.209	    0.000
ENSG00000122483	0.004	0.205	    4.975
ENSG00000135535	0.001	0.197	    0.550
ENSG00000196821	0.007	0.162	    5.950
ENSG00000108433	0.001	0.161	    0.000
ENSG00000114054	0.001	0.147	    3.089
ENSG00000057608	0.001	0.137	    0.000
ENSG00000069275	0.007	0.134	    3.497
ENSG00000117505	0.001	0.132	    0.000
ENSG00000101460	0.002	0.118	    3.683
ENSG00000149485	0.001	0.115	   -7.510
ENSG00000164849	0.011	0.102	    0.000
ENSG00000137312	0.001	0.099	    2.377
ENSG00000025434	0.002	0.098	  -11.105
ENSG00000160695	0.001	0.097	   -3.637
ENSG00000271751	0.001	0.097	   -3.540
ENSG00000141096	0.000	0.089	    0.000
ENSG00000095596	0.001	0.086	    0.000
ENSG00000269997	0.001	0.084	    0.000
ENSG00000132740	0.007	0.078	    3.752
ENSG00000171988	0.001	0.077	    0.000
ENSG00000001617	0.001	0.069	    0.000
ENSG00000087237	0.002	0.066	    0.000
ENSG00000159792	0.008	0.061	    0.000
ENSG00000165113	0.000	0.056	    0.000
ENSG00000230224	0.002	0.053	    0.000
ENSG00000187553	0.002	0.051	    3.400
ENSG00000161180	0.000	0.051	   -5.647
