Gene	GRCP	GLCP	TWAS_z
ENSG00000185651	0.009	0.926	    6.001
ENSG00000134825	0.051	0.817	    9.893
ENSG00000134222	0.019	0.769	   -6.359
ENSG00000143303	0.093	0.721	   -3.847
ENSG00000106635	0.039	0.698	    5.545
ENSG00000119927	0.010	0.676	    5.320
ENSG00000246090	0.002	0.642	   -0.523
ENSG00000175220	0.013	0.628	    0.000
ENSG00000117505	0.042	0.573	   -5.065
ENSG00000270028	0.005	0.563	   -6.227
ENSG00000119242	0.005	0.505	   -6.466
ENSG00000149485	0.002	0.440	   -6.849
ENSG00000250091	0.005	0.423	   -6.206
ENSG00000213445	0.009	0.375	    0.000
ENSG00000108852	0.092	0.357	    3.026
ENSG00000141744	0.003	0.301	   -3.475
ENSG00000090621	0.004	0.295	    0.000
ENSG00000057608	0.003	0.273	    3.423
ENSG00000161179	0.001	0.227	    0.000
ENSG00000122483	0.006	0.222	    5.063
ENSG00000087157	0.006	0.211	    0.678
ENSG00000090273	0.000	0.178	    3.919
ENSG00000135535	0.001	0.162	    0.000
ENSG00000167191	0.001	0.149	    0.000
ENSG00000069275	0.002	0.142	    3.196
ENSG00000105976	0.005	0.137	    3.994
ENSG00000278765	0.003	0.136	   -3.494
ENSG00000133574	0.000	0.136	    0.000
ENSG00000101460	0.004	0.123	    3.962
ENSG00000143319	0.017	0.123	    0.000
ENSG00000179195	0.002	0.122	    0.000
ENSG00000132740	0.002	0.113	    3.727
ENSG00000176473	0.016	0.111	    3.677
ENSG00000137312	0.002	0.110	    2.893
ENSG00000131748	0.001	0.108	    0.000
ENSG00000154127	0.001	0.107	    0.000
ENSG00000134575	0.001	0.099	    0.000
ENSG00000130202	0.000	0.097	    0.000
ENSG00000101000	0.001	0.095	    0.000
ENSG00000112039	0.000	0.093	   -5.493
ENSG00000109917	0.001	0.092	   -5.692
ENSG00000270130	0.001	0.092	    0.000
ENSG00000108433	0.001	0.086	    0.000
ENSG00000227117	0.002	0.084	   -3.449
ENSG00000281691	0.001	0.084	    0.000
ENSG00000120725	0.000	0.082	   -3.086
ENSG00000175213	0.002	0.077	    0.000
ENSG00000110063	0.001	0.072	    0.000
ENSG00000141736	0.001	0.070	    0.000
ENSG00000165476	0.000	0.069	   -2.788
ENSG00000196821	0.001	0.067	    4.864
ENSG00000139428	0.001	0.062	    4.391
ENSG00000108788	0.000	0.061	    0.000
ENSG00000102898	0.002	0.060	    0.000
