Gene	GRCP	GLCP	TWAS_z
ENSG00000273342	0.002	0.989	   -5.561
ENSG00000154127	0.010	0.974	   -5.374
ENSG00000185651	0.010	0.937	    6.033
ENSG00000277494	0.008	0.854	    5.380
ENSG00000246575	0.021	0.739	   -4.941
ENSG00000160796	0.058	0.642	   -3.564
ENSG00000213445	0.013	0.467	    0.000
ENSG00000134825	0.007	0.414	    9.320
ENSG00000060642	0.005	0.393	   -5.559
ENSG00000213057	0.001	0.379	   -0.004
ENSG00000108433	0.015	0.335	   -4.026
ENSG00000270028	0.013	0.328	   -6.064
ENSG00000003756	0.008	0.323	    0.000
ENSG00000168496	0.012	0.318	    0.000
ENSG00000117500	0.005	0.294	    5.143
ENSG00000187553	0.005	0.279	    2.833
ENSG00000057608	0.008	0.272	    3.216
ENSG00000134575	0.003	0.262	   11.631
ENSG00000141736	0.001	0.240	    0.000
ENSG00000260063	0.002	0.236	    0.000
ENSG00000090273	0.001	0.220	    3.301
ENSG00000122483	0.006	0.199	    5.156
ENSG00000095596	0.001	0.187	    0.000
ENSG00000175707	0.020	0.185	   -5.863
ENSG00000174527	0.001	0.185	    0.000
ENSG00000119242	0.001	0.164	    0.000
ENSG00000182109	0.001	0.152	    0.641
ENSG00000243970	0.007	0.136	    3.896
ENSG00000164849	0.010	0.127	    0.000
ENSG00000101460	0.004	0.121	    3.963
ENSG00000250091	0.003	0.119	   -5.579
ENSG00000197894	0.001	0.105	    0.000
ENSG00000137312	0.004	0.102	    3.064
ENSG00000183763	0.000	0.093	    0.000
ENSG00000165476	0.002	0.086	   -3.312
ENSG00000175189	0.004	0.079	    0.000
ENSG00000143303	0.007	0.077	    0.000
ENSG00000258521	0.001	0.077	    3.250
ENSG00000132740	0.001	0.075	    3.636
ENSG00000183562	0.002	0.075	    3.437
ENSG00000230224	0.002	0.073	   -3.983
ENSG00000078747	0.001	0.073	    3.813
ENSG00000141744	0.001	0.070	    0.000
ENSG00000142230	0.001	0.066	    0.000
ENSG00000140105	0.003	0.062	    0.000
ENSG00000141086	0.000	0.062	    0.000
ENSG00000228063	0.002	0.057	    3.627
ENSG00000234616	0.000	0.056	   -2.872
ENSG00000261114	0.002	0.056	    6.210
ENSG00000143575	0.011	0.054	   -4.092
ENSG00000141699	0.002	0.053	    0.000
ENSG00000277332	0.001	0.051	    3.243
ENSG00000139428	0.000	0.051	    4.378
ENSG00000250508	0.000	0.050	   -1.979
ENSG00000176473	0.003	0.048	    3.541
ENSG00000180210	0.004	0.048	    0.000
ENSG00000278765	0.000	0.045	   -2.930
ENSG00000111785	0.000	0.045	    0.000
ENSG00000120725	0.000	0.043	   -2.985
ENSG00000100983	0.000	0.043	    2.460
ENSG00000122870	0.000	0.042	    2.844
ENSG00000134222	0.005	0.041	   -6.303
ENSG00000142208	0.001	0.041	   -1.209
ENSG00000117280	0.003	0.041	   -2.785
ENSG00000270130	0.000	0.038	    0.000
ENSG00000280832	0.001	0.038	    0.000
ENSG00000179195	0.000	0.038	    0.000
ENSG00000158161	0.001	0.036	    3.506
ENSG00000274080	0.001	0.035	   -5.501
ENSG00000196993	0.000	0.034	   -3.000
ENSG00000086015	0.000	0.034	   -2.685
ENSG00000229618	0.000	0.034	    3.226
ENSG00000159792	0.002	0.033	    0.000
ENSG00000276571	0.000	0.033	    0.000
ENSG00000203799	0.001	0.033	    3.704
ENSG00000272186	0.001	0.032	   -3.467
ENSG00000271751	0.001	0.032	   -3.467
ENSG00000185236	0.001	0.031	    0.000
ENSG00000261766	0.000	0.029	    0.000
ENSG00000069275	0.011	0.028	    0.000
ENSG00000175164	0.002	0.028	   -3.233
ENSG00000128228	0.000	0.028	    0.000
ENSG00000072958	0.001	0.028	   -3.062
ENSG00000182782	0.000	0.027	    0.000
ENSG00000108852	0.006	0.027	    0.000
ENSG00000188038	0.002	0.027	    0.000
ENSG00000055147	0.000	0.026	    0.000
ENSG00000125746	0.001	0.026	    0.000
ENSG00000161647	0.000	0.026	    0.000
ENSG00000269997	0.000	0.026	    0.000
ENSG00000267733	0.000	0.025	    2.489
ENSG00000143319	0.002	0.024	    0.000
ENSG00000138069	0.000	0.023	    0.000
ENSG00000204520	0.002	0.023	    4.098
ENSG00000213398	0.000	0.022	    0.000
ENSG00000142751	0.000	0.022	    0.000
ENSG00000198670	0.000	0.021	    0.000
ENSG00000069956	0.000	0.021	    0.000
ENSG00000131462	0.000	0.021	    0.000
ENSG00000160695	0.001	0.021	   -3.678
ENSG00000149485	0.000	0.020	   -7.339
ENSG00000269938	0.000	0.020	    0.000
ENSG00000167772	0.001	0.019	    0.000
