Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.017	0.999	   -4.823
ENSG00000277494	0.035	0.959	    5.699
ENSG00000185651	0.008	0.820	    5.997
ENSG00000182109	0.004	0.736	    1.619
ENSG00000246575	0.019	0.681	   -5.030
ENSG00000161180	0.002	0.669	   -5.626
ENSG00000134825	0.006	0.578	    8.709
ENSG00000270028	0.013	0.533	   -6.323
ENSG00000095596	0.014	0.526	    0.000
ENSG00000139428	0.003	0.463	    5.528
ENSG00000117505	0.007	0.458	    0.000
ENSG00000060642	0.005	0.398	   -5.574
ENSG00000269938	0.002	0.392	    0.000
ENSG00000141736	0.001	0.347	    0.000
ENSG00000273342	0.001	0.336	    0.000
ENSG00000154127	0.001	0.335	    0.000
ENSG00000141086	0.001	0.308	    0.000
ENSG00000108433	0.002	0.303	   -3.776
ENSG00000187553	0.002	0.273	    3.789
ENSG00000117500	0.002	0.218	    5.101
ENSG00000179195	0.002	0.180	    0.000
ENSG00000002933	0.001	0.175	   -1.032
ENSG00000260063	0.001	0.174	    0.000
ENSG00000101000	0.003	0.164	    0.000
ENSG00000119242	0.001	0.162	    0.000
ENSG00000069275	0.003	0.161	    2.411
ENSG00000131470	0.001	0.154	   -3.138
ENSG00000122483	0.003	0.149	    0.000
ENSG00000169679	0.001	0.138	    0.000
ENSG00000137411	0.000	0.134	   -2.607
ENSG00000175707	0.002	0.131	    0.000
ENSG00000141744	0.003	0.113	    0.000
ENSG00000270130	0.001	0.105	    0.000
ENSG00000213057	0.001	0.102	    0.000
ENSG00000137312	0.001	0.100	    1.985
ENSG00000003756	0.002	0.095	    0.000
ENSG00000101460	0.004	0.092	    3.363
ENSG00000164849	0.006	0.088	    0.000
ENSG00000149485	0.000	0.078	   -8.162
ENSG00000168496	0.007	0.074	    0.000
ENSG00000250091	0.004	0.071	   -5.608
ENSG00000114054	0.000	0.070	    3.077
ENSG00000187676	0.002	0.068	   -3.427
ENSG00000229635	0.000	0.065	    2.714
ENSG00000213445	0.002	0.065	    0.000
ENSG00000226221	0.001	0.062	    0.000
ENSG00000182782	0.000	0.059	    0.000
ENSG00000159792	0.006	0.058	    0.000
ENSG00000167191	0.000	0.056	    0.000
ENSG00000263412	0.001	0.055	    0.000
ENSG00000140105	0.002	0.054	    0.000
ENSG00000122870	0.000	0.054	    2.859
ENSG00000165476	0.001	0.054	    0.000
ENSG00000120725	0.000	0.052	   -2.924
ENSG00000272186	0.001	0.050	   -3.608
ENSG00000277332	0.001	0.049	    3.290
ENSG00000044115	0.000	0.047	    0.000
ENSG00000138069	0.001	0.045	   -3.402
ENSG00000203799	0.001	0.044	    1.237
ENSG00000269997	0.001	0.042	    0.000
ENSG00000026025	0.003	0.041	    0.000
ENSG00000117280	0.003	0.041	   -2.093
