Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.038	0.851	    0.000
ENSG00000182109	0.006	0.846	    1.783
ENSG00000160796	0.142	0.804	   -3.982
ENSG00000134574	0.003	0.740	  -10.630
ENSG00000270028	0.014	0.627	   -6.532
ENSG00000141744	0.004	0.417	   -6.411
ENSG00000272777	0.017	0.373	   -0.769
ENSG00000277494	0.005	0.372	    5.059
ENSG00000117505	0.028	0.353	    0.000
ENSG00000090621	0.001	0.333	    0.000
ENSG00000250091	0.010	0.301	   -6.491
ENSG00000149485	0.001	0.287	   -7.428
ENSG00000025434	0.003	0.279	  -11.477
ENSG00000057608	0.020	0.276	    3.360
ENSG00000134575	0.002	0.242	    0.000
ENSG00000173991	0.017	0.230	    0.000
ENSG00000122483	0.005	0.220	    5.086
ENSG00000004534	0.011	0.204	   -5.033
ENSG00000164078	0.005	0.197	    4.263
ENSG00000117500	0.004	0.197	    4.410
ENSG00000134824	0.001	0.185	    0.000
ENSG00000003756	0.003	0.184	    0.000
ENSG00000167191	0.008	0.183	    3.858
ENSG00000180210	0.009	0.170	    0.000
ENSG00000196821	0.006	0.161	    6.146
ENSG00000109917	0.002	0.147	  -12.602
ENSG00000105976	0.005	0.142	    4.003
ENSG00000138821	0.019	0.140	    0.000
ENSG00000060642	0.002	0.135	    0.000
ENSG00000230224	0.012	0.129	   -4.457
ENSG00000108797	0.001	0.129	    0.000
ENSG00000110080	0.003	0.127	    0.000
ENSG00000213057	0.000	0.126	    0.000
ENSG00000082701	0.005	0.124	   -3.149
ENSG00000132740	0.004	0.120	    3.626
ENSG00000101460	0.004	0.120	    3.949
ENSG00000261270	0.005	0.104	    0.000
ENSG00000137312	0.002	0.103	    2.809
ENSG00000142208	0.001	0.102	    0.000
ENSG00000131462	0.001	0.089	    0.000
ENSG00000106635	0.007	0.083	    0.000
ENSG00000197345	0.018	0.081	   -3.885
ENSG00000270061	0.001	0.077	    0.000
ENSG00000134825	0.002	0.073	    0.000
ENSG00000270130	0.000	0.071	    0.000
ENSG00000165113	0.001	0.062	    3.310
ENSG00000108433	0.001	0.061	   -0.401
ENSG00000183682	0.000	0.061	    0.000
ENSG00000175213	0.001	0.057	    0.000
ENSG00000269938	0.001	0.057	    0.000
ENSG00000146374	0.001	0.056	    0.000
ENSG00000198026	0.001	0.056	    0.000
ENSG00000154127	0.001	0.056	    0.000
ENSG00000143575	0.009	0.054	   -4.073
ENSG00000224079	0.000	0.053	    3.292
ENSG00000278765	0.001	0.052	   -3.198
ENSG00000179673	0.000	0.050	    0.000
ENSG00000211695	0.001	0.049	   -3.431
ENSG00000120725	0.000	0.046	   -3.262
ENSG00000270424	0.000	0.041	    3.015
ENSG00000160695	0.001	0.041	   -3.363
ENSG00000279513	0.001	0.040	    3.317
