Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.023	0.999	   -4.589
ENSG00000277494	0.009	0.950	    4.956
ENSG00000042493	0.029	0.812	    2.915
ENSG00000161180	0.001	0.767	    0.000
ENSG00000152291	0.017	0.755	    4.924
ENSG00000182109	0.004	0.727	    1.771
ENSG00000253695	0.003	0.711	   -3.791
ENSG00000270028	0.014	0.639	   -6.497
ENSG00000146374	0.008	0.538	   -5.405
ENSG00000250091	0.009	0.457	   -6.355
ENSG00000149485	0.001	0.342	   -7.779
ENSG00000141744	0.004	0.340	    0.000
ENSG00000103642	0.002	0.300	   -4.332
ENSG00000224079	0.001	0.297	    1.947
ENSG00000141748	0.001	0.263	    0.000
ENSG00000185651	0.001	0.253	    0.000
ENSG00000246575	0.006	0.236	    0.000
ENSG00000057608	0.003	0.216	    3.486
ENSG00000090273	0.001	0.216	    1.783
ENSG00000143303	0.041	0.211	    0.000
ENSG00000134575	0.005	0.209	   11.757
ENSG00000122483	0.002	0.204	    0.000
ENSG00000004534	0.001	0.203	   -4.912
ENSG00000154127	0.002	0.200	    0.000
ENSG00000180210	0.013	0.198	    0.000
ENSG00000060642	0.002	0.190	    0.000
ENSG00000108433	0.002	0.169	    0.000
ENSG00000131470	0.001	0.157	   -1.129
ENSG00000037042	0.001	0.154	   -3.347
ENSG00000167191	0.002	0.147	    3.716
ENSG00000270130	0.001	0.140	    0.000
ENSG00000003756	0.002	0.138	    0.000
ENSG00000100979	0.001	0.137	    0.000
ENSG00000117500	0.001	0.136	    5.134
ENSG00000105976	0.005	0.132	    3.997
ENSG00000175220	0.003	0.128	    0.000
ENSG00000273342	0.000	0.120	    0.000
ENSG00000176473	0.022	0.105	    3.984
ENSG00000101460	0.001	0.100	    2.798
ENSG00000179195	0.001	0.092	    0.000
ENSG00000227117	0.003	0.088	   -3.502
ENSG00000108799	0.001	0.086	    0.000
ENSG00000044115	0.000	0.084	    0.000
ENSG00000106635	0.007	0.082	    0.000
ENSG00000142230	0.001	0.079	    0.000
ENSG00000108306	0.000	0.078	    0.000
ENSG00000164850	0.000	0.077	    0.000
ENSG00000260063	0.001	0.075	    0.000
ENSG00000226221	0.002	0.072	    0.000
ENSG00000255968	0.004	0.070	    0.000
ENSG00000143575	0.010	0.059	   -4.114
ENSG00000082701	0.002	0.057	    0.000
ENSG00000213445	0.003	0.052	    0.000
ENSG00000130749	0.001	0.049	    0.000
ENSG00000277332	0.001	0.049	    3.218
ENSG00000211695	0.001	0.048	   -3.472
ENSG00000137656	0.002	0.045	    0.000
ENSG00000160695	0.001	0.045	   -3.505
ENSG00000228063	0.002	0.043	    3.553
ENSG00000134825	0.001	0.043	    9.177
ENSG00000168496	0.001	0.043	    0.000
ENSG00000271751	0.001	0.043	   -3.620
ENSG00000272186	0.001	0.042	   -3.512
ENSG00000263412	0.000	0.042	    2.586
ENSG00000132740	0.001	0.041	    3.691
ENSG00000117280	0.004	0.040	   -2.997
ENSG00000167772	0.002	0.039	    0.000
ENSG00000256269	0.001	0.038	    3.134
ENSG00000165113	0.000	0.038	    0.000
ENSG00000120725	0.000	0.038	   -2.991
ENSG00000203799	0.001	0.038	    3.763
ENSG00000280832	0.004	0.035	    0.000
ENSG00000010310	0.001	0.035	    0.000
ENSG00000158161	0.001	0.035	    3.515
ENSG00000213398	0.000	0.035	    0.000
ENSG00000184381	0.001	0.035	   -2.982
ENSG00000055147	0.000	0.035	   -2.771
ENSG00000149428	0.001	0.033	    0.000
ENSG00000108784	0.000	0.033	    0.000
ENSG00000185022	0.000	0.032	    0.000
ENSG00000072958	0.001	0.032	   -3.226
ENSG00000260367	0.001	0.031	    0.000
ENSG00000183562	0.001	0.031	    2.878
ENSG00000164077	0.001	0.030	    0.000
ENSG00000261766	0.000	0.030	    0.000
ENSG00000170634	0.000	0.030	    3.339
ENSG00000158458	0.001	0.028	    0.000
ENSG00000185236	0.000	0.027	    0.000
ENSG00000100982	0.001	0.027	    0.000
ENSG00000122550	0.000	0.026	    2.846
ENSG00000122870	0.000	0.026	    2.830
ENSG00000213071	0.001	0.026	    0.000
ENSG00000173991	0.001	0.026	    0.000
ENSG00000229635	0.000	0.026	    0.000
ENSG00000149289	0.000	0.026	    0.000
ENSG00000225173	0.000	0.025	    2.844
ENSG00000272072	0.000	0.025	   -2.750
ENSG00000124191	0.000	0.025	   -3.086
ENSG00000262879	0.000	0.024	   -0.939
ENSG00000251417	0.000	0.024	   -3.160
ENSG00000159792	0.002	0.024	    0.000
ENSG00000204520	0.002	0.024	    4.159
ENSG00000009954	0.000	0.023	    0.000
ENSG00000143319	0.002	0.023	    0.000
ENSG00000114054	0.000	0.023	    2.603
ENSG00000138069	0.001	0.023	   -3.201
ENSG00000146205	0.000	0.021	   -2.714
ENSG00000211688	0.000	0.021	   -2.705
ENSG00000174628	0.001	0.020	    0.000
ENSG00000172493	0.000	0.020	   -0.758
ENSG00000182782	0.000	0.020	    0.000
ENSG00000175707	0.001	0.018	    0.000
ENSG00000197579	0.000	0.018	    0.000
ENSG00000281691	0.001	0.018	    0.000
ENSG00000198131	0.000	0.018	    3.144
ENSG00000278765	0.000	0.017	    0.000
ENSG00000155189	0.000	0.016	    0.000
ENSG00000140105	0.001	0.016	    0.000
ENSG00000102898	0.001	0.016	    0.000
ENSG00000095485	0.003	0.016	   -3.821
ENSG00000259556	0.000	0.015	    0.000
ENSG00000183426	0.015	0.015	    4.143
ENSG00000228265	0.000	0.015	    0.000
ENSG00000165476	0.000	0.015	   -2.530
ENSG00000112343	0.000	0.015	    0.000
ENSG00000161647	0.000	0.015	    0.000
ENSG00000161649	0.001	0.015	    0.000
ENSG00000103550	0.001	0.015	   -2.872
ENSG00000183793	0.014	0.014	   -2.764
ENSG00000100201	0.000	0.014	    2.516
ENSG00000102901	0.001	0.014	    0.000
ENSG00000231113	0.000	0.014	    0.000
ENSG00000243955	0.000	0.014	   -2.941
ENSG00000220205	0.001	0.014	    3.374
ENSG00000275409	0.000	0.014	   -2.921
ENSG00000227191	0.000	0.014	   -2.787
ENSG00000033178	0.000	0.014	   -2.500
ENSG00000197442	0.000	0.013	   -2.447
ENSG00000161328	0.001	0.012	   -2.559
ENSG00000175395	0.000	0.012	   -1.619
ENSG00000113734	0.000	0.012	    2.953
ENSG00000230224	0.000	0.012	    0.000
ENSG00000124713	0.001	0.012	    3.269
ENSG00000175164	0.000	0.012	   -2.360
ENSG00000106948	0.000	0.012	    2.423
ENSG00000196296	0.000	0.012	    0.000
ENSG00000115677	0.000	0.011	    3.180
ENSG00000276445	0.000	0.011	   -3.014
ENSG00000095397	0.000	0.011	   -2.054
ENSG00000188599	0.000	0.011	    2.554
ENSG00000204219	0.001	0.011	   -3.065
ENSG00000267213	0.000	0.011	    3.620
ENSG00000165185	0.000	0.011	   -2.182
ENSG00000276571	0.000	0.011	    0.000
ENSG00000279853	0.000	0.011	   -2.517
ENSG00000279513	0.001	0.010	    0.000
ENSG00000092439	0.000	0.010	    0.000
ENSG00000115694	0.000	0.010	    0.000
ENSG00000172269	0.000	0.010	    0.000
ENSG00000204257	0.000	0.010	    3.155
ENSG00000242574	0.000	0.010	    0.000
ENSG00000273733	0.001	0.010	    0.000
ENSG00000119927	0.000	0.010	    0.000
ENSG00000111707	0.000	0.010	    2.664
ENSG00000184076	0.000	0.010	    0.000
ENSG00000131055	0.000	0.010	   -2.539
ENSG00000198646	0.000	0.010	    0.000
ENSG00000138594	0.000	0.010	    0.000
ENSG00000042445	0.000	0.010	   -2.392
ENSG00000119661	0.000	0.010	    1.493
ENSG00000188483	0.000	0.010	    0.000
ENSG00000023516	0.001	0.009	    3.334
ENSG00000231441	0.000	0.009	    0.000
ENSG00000174915	0.000	0.009	    2.157
ENSG00000110514	0.000	0.009	    1.865
ENSG00000198898	0.000	0.009	    0.000
ENSG00000261195	0.000	0.009	    1.971
ENSG00000162607	0.000	0.009	    0.000
ENSG00000253671	0.000	0.009	    0.531
ENSG00000172209	0.000	0.009	    0.000
ENSG00000221983	0.000	0.008	    0.000
ENSG00000276073	0.000	0.008	   -2.682
ENSG00000254815	0.000	0.008	   -2.844
ENSG00000100890	0.000	0.008	   -1.985
ENSG00000141738	0.000	0.008	    0.000
ENSG00000105204	0.000	0.008	    2.514
ENSG00000244005	0.000	0.008	    0.000
ENSG00000117480	0.000	0.008	   -0.680
ENSG00000134851	0.000	0.008	    1.663
ENSG00000143578	0.000	0.008	    0.000
ENSG00000272777	0.000	0.008	   -0.603
ENSG00000105856	0.000	0.008	    0.000
ENSG00000275759	0.000	0.008	   -2.980
ENSG00000228638	0.000	0.008	    2.119
ENSG00000100211	0.000	0.008	    0.000
ENSG00000228782	0.000	0.008	   -2.438
ENSG00000244752	0.000	0.008	    1.375
ENSG00000172113	0.000	0.007	    2.125
ENSG00000114446	0.000	0.007	    1.545
ENSG00000001460	0.000	0.007	    2.454
ENSG00000235238	0.000	0.007	    2.517
ENSG00000253404	0.000	0.007	   -2.822
ENSG00000143036	0.000	0.007	    0.586
ENSG00000138286	0.000	0.007	    0.000
ENSG00000174579	0.000	0.007	    0.000
ENSG00000278129	0.000	0.007	    1.074
ENSG00000138750	0.000	0.007	   -1.781
ENSG00000204256	0.000	0.007	    2.426
ENSG00000249244	0.000	0.007	    1.497
ENSG00000198468	0.000	0.007	    2.475
ENSG00000131748	0.000	0.007	    0.000
ENSG00000206562	0.000	0.007	    2.645
ENSG00000162378	0.000	0.007	    1.885
ENSG00000233266	0.000	0.007	   -2.128
ENSG00000172500	0.000	0.007	    3.509
ENSG00000100577	0.001	0.007	   -3.059
ENSG00000100249	0.001	0.007	    1.453
ENSG00000160741	0.000	0.007	   -2.386
ENSG00000166321	0.000	0.007	   -1.646
ENSG00000197008	0.000	0.006	    2.528
ENSG00000005020	0.000	0.006	    0.000
ENSG00000146856	0.000	0.006	    0.000
ENSG00000204152	0.000	0.006	    2.377
ENSG00000131462	0.000	0.006	    0.000
ENSG00000234420	0.000	0.006	    0.000
ENSG00000270424	0.000	0.006	    0.000
ENSG00000178295	0.000	0.006	    2.509
ENSG00000282995	0.000	0.006	   -1.901
ENSG00000188643	0.000	0.006	   -2.473
ENSG00000050405	0.000	0.006	    1.920
ENSG00000108592	0.000	0.006	   -1.589
ENSG00000128872	0.000	0.006	   -1.548
ENSG00000168286	0.000	0.006	    0.000
ENSG00000119383	0.000	0.006	    0.195
ENSG00000280152	0.001	0.006	    3.092
ENSG00000263142	0.000	0.006	   -0.790
ENSG00000060656	0.000	0.006	    0.000
ENSG00000184898	0.000	0.006	   -2.047
ENSG00000153363	0.000	0.006	    2.315
ENSG00000221947	0.000	0.006	   -0.850
ENSG00000249484	0.000	0.005	    0.000
ENSG00000133812	0.000	0.005	    0.000
ENSG00000003056	0.000	0.005	   -2.991
ENSG00000085998	0.000	0.005	    0.000
ENSG00000249700	0.000	0.005	   -2.454
ENSG00000136816	0.000	0.005	   -2.062
ENSG00000259905	0.000	0.005	   -0.989
ENSG00000196693	0.000	0.005	    1.461
ENSG00000132837	0.000	0.005	   -2.664
ENSG00000213640	0.000	0.005	   -2.487
ENSG00000226578	0.000	0.005	    1.757
ENSG00000146677	0.000	0.005	    0.000
ENSG00000184517	0.000	0.005	    1.357
ENSG00000250412	0.000	0.005	    0.263
ENSG00000176635	0.000	0.005	    0.000
ENSG00000002919	0.000	0.005	    2.551
ENSG00000075790	0.000	0.005	   -2.553
ENSG00000198105	0.000	0.005	   -1.690
ENSG00000223500	0.000	0.005	   -2.100
ENSG00000107960	0.000	0.005	   -2.800
ENSG00000141279	0.000	0.005	    3.647
ENSG00000234177	0.000	0.005	   -2.656
ENSG00000261514	0.000	0.005	    0.000
ENSG00000145247	0.000	0.005	    0.000
ENSG00000112357	0.000	0.005	    1.389
ENSG00000131910	0.000	0.005	    0.000
ENSG00000117174	0.000	0.005	    2.390
ENSG00000143553	0.000	0.005	    0.000
ENSG00000250508	0.000	0.005	   -1.441
ENSG00000141452	0.000	0.005	   -2.579
ENSG00000186687	0.000	0.005	    2.091
ENSG00000124224	0.000	0.005	    2.040
ENSG00000070047	0.000	0.005	    0.000
ENSG00000136238	0.000	0.005	   -2.461
ENSG00000268038	0.000	0.005	   -0.402
ENSG00000283050	0.000	0.005	   -1.480
ENSG00000197375	0.000	0.005	    1.061
ENSG00000110435	0.000	0.005	    1.753
ENSG00000108774	0.000	0.005	    1.592
ENSG00000188171	0.000	0.005	   -0.641
ENSG00000100348	0.000	0.005	   -0.605
ENSG00000206530	0.000	0.005	   -0.887
ENSG00000187098	0.000	0.005	    0.000
ENSG00000197345	0.001	0.005	   -3.560
ENSG00000131435	0.000	0.005	    0.000
ENSG00000272983	0.000	0.005	    1.827
