Gene	GRCP	GLCP	TWAS_z
ENSG00000277494	0.011	0.954	    4.963
ENSG00000141086	0.005	0.939	  -13.127
ENSG00000143303	0.043	0.873	   -3.456
ENSG00000100979	0.010	0.845	  -11.966
ENSG00000183682	0.005	0.834	    3.144
ENSG00000161180	0.005	0.635	   -6.189
ENSG00000161395	0.019	0.502	    7.295
ENSG00000204290	0.002	0.500	   -1.908
ENSG00000149485	0.007	0.488	   -9.017
ENSG00000182109	0.003	0.468	    1.202
ENSG00000187553	0.008	0.436	    4.026
ENSG00000250091	0.021	0.392	   -6.491
ENSG00000060642	0.004	0.389	   -5.566
ENSG00000134825	0.004	0.319	    0.000
ENSG00000102977	0.002	0.301	    0.000
ENSG00000119242	0.003	0.301	    0.000
ENSG00000004534	0.001	0.266	   -4.969
ENSG00000117500	0.002	0.243	    0.000
ENSG00000117505	0.011	0.231	    0.000
ENSG00000247317	0.001	0.208	    3.624
ENSG00000185651	0.002	0.161	    0.000
ENSG00000141736	0.001	0.155	    0.000
ENSG00000003756	0.002	0.134	    0.000
ENSG00000270028	0.003	0.132	    0.000
ENSG00000105976	0.005	0.129	    4.054
ENSG00000132740	0.004	0.121	    3.689
ENSG00000271751	0.001	0.118	   -3.730
ENSG00000173991	0.010	0.116	    0.000
ENSG00000122483	0.001	0.113	    0.000
ENSG00000176473	0.011	0.112	    3.246
ENSG00000146112	0.002	0.103	   -3.468
ENSG00000160695	0.002	0.099	   -3.689
ENSG00000260063	0.001	0.092	    0.000
ENSG00000110090	0.001	0.090	    0.000
ENSG00000057608	0.001	0.081	    0.000
ENSG00000131470	0.000	0.081	    0.000
ENSG00000134824	0.001	0.081	    0.000
ENSG00000180210	0.004	0.071	    0.000
ENSG00000165113	0.001	0.069	    3.276
ENSG00000246090	0.002	0.068	   -2.816
ENSG00000270130	0.000	0.058	    0.000
ENSG00000101460	0.000	0.058	    0.000
ENSG00000143575	0.011	0.057	   -4.080
ENSG00000234616	0.001	0.053	   -3.251
ENSG00000106948	0.003	0.052	    3.760
ENSG00000159792	0.004	0.051	    0.000
ENSG00000110080	0.005	0.049	    0.496
ENSG00000164849	0.004	0.048	    0.000
ENSG00000120725	0.000	0.048	    0.000
ENSG00000154127	0.000	0.047	    0.000
ENSG00000137338	0.001	0.047	    3.074
ENSG00000146374	0.001	0.043	    0.000
ENSG00000182759	0.000	0.042	    3.059
ENSG00000095485	0.003	0.040	   -3.809
ENSG00000251417	0.000	0.040	   -3.016
ENSG00000158161	0.001	0.039	    2.197
ENSG00000185236	0.001	0.038	    0.000
ENSG00000141744	0.000	0.038	    0.000
ENSG00000263412	0.001	0.037	    2.935
ENSG00000178952	0.000	0.036	    3.085
ENSG00000117713	0.001	0.035	    0.000
ENSG00000117280	0.002	0.035	   -3.013
ENSG00000015676	0.000	0.034	    2.592
ENSG00000103550	0.001	0.034	   -3.443
ENSG00000228063	0.001	0.034	    0.000
ENSG00000179195	0.000	0.032	    0.000
ENSG00000069956	0.000	0.031	    0.000
ENSG00000155189	0.001	0.030	    3.336
ENSG00000111785	0.000	0.029	    0.000
ENSG00000269997	0.000	0.028	    0.000
ENSG00000173327	0.001	0.028	    0.000
ENSG00000072958	0.000	0.027	   -2.702
ENSG00000130749	0.001	0.027	    0.000
ENSG00000124191	0.000	0.027	   -3.056
ENSG00000170236	0.000	0.026	    0.000
ENSG00000257918	0.000	0.026	    0.000
ENSG00000168496	0.001	0.025	    0.000
ENSG00000092439	0.000	0.024	    0.000
ENSG00000203799	0.000	0.023	    0.000
ENSG00000270061	0.000	0.023	    0.000
ENSG00000268516	0.000	0.022	    3.176
ENSG00000055147	0.000	0.022	    0.000
ENSG00000132801	0.000	0.021	    0.000
ENSG00000280832	0.001	0.021	    0.000
ENSG00000233266	0.000	0.020	   -3.125
ENSG00000269938	0.000	0.020	    0.000
ENSG00000023516	0.001	0.020	    3.377
ENSG00000182782	0.000	0.019	    0.000
ENSG00000278765	0.000	0.019	    0.000
ENSG00000272288	0.001	0.018	    0.000
ENSG00000143412	0.001	0.018	    0.000
ENSG00000196821	0.000	0.018	    0.000
ENSG00000197345	0.002	0.017	   -3.572
ENSG00000276073	0.000	0.017	   -2.831
ENSG00000270482	0.000	0.016	    0.000
ENSG00000279853	0.000	0.015	   -2.507
ENSG00000198740	0.000	0.015	    0.000
ENSG00000068137	0.000	0.015	    0.000
ENSG00000183426	0.014	0.015	    4.153
ENSG00000112343	0.000	0.014	    0.000
ENSG00000134575	0.000	0.014	    0.000
ENSG00000106565	0.000	0.014	   -0.747
ENSG00000143319	0.001	0.014	    0.000
ENSG00000183793	0.014	0.014	   -3.627
ENSG00000178852	0.001	0.014	   -2.995
ENSG00000213398	0.000	0.014	    0.000
ENSG00000102901	0.001	0.014	    0.000
ENSG00000168286	0.001	0.014	    0.000
ENSG00000229635	0.000	0.013	    0.000
ENSG00000131748	0.000	0.013	    0.000
ENSG00000111816	0.000	0.013	    2.151
ENSG00000255398	0.000	0.013	    0.000
ENSG00000268707	0.000	0.013	   -0.948
ENSG00000115677	0.000	0.013	    3.096
ENSG00000281691	0.000	0.013	    0.000
ENSG00000275759	0.000	0.012	   -2.568
ENSG00000253966	0.000	0.012	   -2.615
ENSG00000196083	0.000	0.012	   -3.044
ENSG00000136243	0.000	0.012	    0.388
ENSG00000089847	0.001	0.012	   -0.972
ENSG00000261195	0.000	0.012	    2.423
ENSG00000279159	0.000	0.012	    0.000
ENSG00000267082	0.000	0.011	    0.000
ENSG00000102898	0.001	0.011	    0.000
ENSG00000103091	0.000	0.011	   -3.324
ENSG00000270427	0.000	0.011	    0.000
ENSG00000258521	0.000	0.010	    0.000
ENSG00000175164	0.000	0.010	   -3.273
ENSG00000161647	0.000	0.010	    0.000
ENSG00000249898	0.000	0.010	    0.000
ENSG00000141279	0.000	0.010	    3.376
ENSG00000220205	0.001	0.010	    3.328
ENSG00000211695	0.000	0.010	    0.000
ENSG00000228274	0.000	0.010	   -2.342
ENSG00000153363	0.000	0.009	    2.497
ENSG00000142230	0.000	0.009	    0.000
ENSG00000234515	0.000	0.009	    2.482
ENSG00000105204	0.000	0.009	    0.000
ENSG00000124713	0.000	0.009	    3.146
ENSG00000110921	0.000	0.009	    0.000
ENSG00000113734	0.000	0.009	    2.788
ENSG00000272186	0.000	0.009	    0.000
ENSG00000122550	0.000	0.008	    2.810
ENSG00000250412	0.000	0.008	    1.606
ENSG00000204257	0.000	0.008	    3.153
ENSG00000101782	0.000	0.008	    3.112
ENSG00000100211	0.000	0.008	   -2.316
ENSG00000174628	0.000	0.008	    0.000
ENSG00000184381	0.000	0.008	   -1.728
ENSG00000180185	0.000	0.008	    1.518
ENSG00000189292	0.000	0.008	    2.885
ENSG00000176903	0.000	0.007	   -2.744
ENSG00000006015	0.000	0.007	    0.000
ENSG00000253368	0.000	0.007	    0.000
ENSG00000185823	0.000	0.007	   -1.328
ENSG00000100077	0.000	0.007	   -2.770
ENSG00000261621	0.000	0.007	   -1.339
ENSG00000247095	0.000	0.007	    0.000
ENSG00000224165	0.000	0.007	    0.000
ENSG00000198898	0.000	0.007	    0.000
ENSG00000272462	0.001	0.007	    1.759
ENSG00000231890	0.000	0.007	    0.000
ENSG00000221983	0.000	0.007	    2.611
ENSG00000077616	0.000	0.006	    1.889
ENSG00000175395	0.000	0.006	   -1.722
ENSG00000275409	0.000	0.006	    0.000
ENSG00000228265	0.000	0.006	    0.000
ENSG00000231441	0.000	0.006	    2.586
ENSG00000253404	0.000	0.006	   -2.827
ENSG00000217130	0.000	0.006	    0.000
ENSG00000274330	0.000	0.006	    0.000
ENSG00000206562	0.000	0.006	    0.000
ENSG00000167183	0.001	0.006	    0.000
ENSG00000048991	0.000	0.006	    0.000
ENSG00000143727	0.000	0.006	    2.887
ENSG00000005243	0.000	0.006	    0.000
ENSG00000161328	0.000	0.006	    0.000
ENSG00000165185	0.000	0.006	    0.000
ENSG00000204219	0.000	0.006	   -2.746
ENSG00000226413	0.000	0.006	    0.000
ENSG00000273765	0.000	0.006	    2.504
ENSG00000178295	0.000	0.006	    2.588
ENSG00000066777	0.000	0.006	    0.000
ENSG00000101464	0.000	0.006	    0.000
ENSG00000073578	0.000	0.006	   -1.415
ENSG00000245958	0.000	0.005	   -1.350
ENSG00000259905	0.000	0.005	   -0.698
ENSG00000264538	0.000	0.005	    1.180
ENSG00000255422	0.000	0.005	   -1.852
ENSG00000249915	0.000	0.005	   -1.277
ENSG00000147883	0.001	0.005	    0.000
ENSG00000040199	0.000	0.005	    2.653
ENSG00000111707	0.000	0.005	    0.000
ENSG00000146856	0.000	0.005	   -2.984
ENSG00000172113	0.000	0.005	    2.104
ENSG00000172500	0.000	0.005	    0.000
ENSG00000283050	0.000	0.005	   -1.512
ENSG00000184949	0.000	0.005	    0.000
ENSG00000276931	0.000	0.005	   -1.912
ENSG00000204149	0.000	0.005	   -2.361
ENSG00000198105	0.000	0.005	   -1.692
ENSG00000240634	0.000	0.005	    0.000
ENSG00000233232	0.000	0.005	    0.000
ENSG00000100058	0.000	0.005	    0.000
ENSG00000100226	0.000	0.005	    0.000
ENSG00000213174	0.000	0.005	    0.000
ENSG00000123892	0.000	0.005	    0.000
ENSG00000163946	0.000	0.005	    2.558
ENSG00000095787	0.000	0.005	   -3.133
ENSG00000001460	0.000	0.005	    2.842
ENSG00000074696	0.000	0.005	    1.670
ENSG00000135976	0.000	0.005	   -1.763
ENSG00000277383	0.000	0.005	    0.000
ENSG00000213640	0.000	0.005	   -2.376
ENSG00000198468	0.000	0.005	    2.489
ENSG00000275784	0.000	0.005	    0.000
ENSG00000170145	0.000	0.005	    0.000
ENSG00000067836	0.000	0.005	   -2.878
ENSG00000172543	0.000	0.005	   -3.605
ENSG00000223685	0.000	0.005	   -2.553
ENSG00000135698	0.000	0.005	   -1.228
