Gene	GRCP	GLCP	TWAS_z
ENSG00000095596	0.014	0.748	    3.955
ENSG00000103642	0.001	0.720	   -4.665
ENSG00000149485	0.004	0.664	    0.000
ENSG00000161180	0.002	0.547	   -5.924
ENSG00000187553	0.009	0.485	    3.883
ENSG00000173991	0.028	0.484	    6.182
ENSG00000134222	0.041	0.434	    0.359
ENSG00000185651	0.003	0.420	    0.000
ENSG00000117505	0.007	0.380	   -4.275
ENSG00000250091	0.012	0.338	    0.000
ENSG00000161179	0.001	0.290	    0.000
ENSG00000141736	0.001	0.273	    0.000
ENSG00000277494	0.003	0.264	    4.731
ENSG00000131748	0.001	0.253	    0.000
ENSG00000025434	0.003	0.236	  -11.584
ENSG00000260001	0.004	0.221	    0.000
ENSG00000246575	0.007	0.220	    0.000
ENSG00000004534	0.000	0.204	   -4.899
ENSG00000131771	0.003	0.196	    0.000
ENSG00000164849	0.007	0.173	    0.000
ENSG00000260063	0.001	0.160	    0.000
ENSG00000183682	0.001	0.156	    0.000
ENSG00000109917	0.005	0.152	    0.000
ENSG00000105976	0.005	0.138	    4.040
ENSG00000132740	0.001	0.136	    3.480
ENSG00000271751	0.001	0.112	   -3.514
ENSG00000164068	0.000	0.106	    0.000
ENSG00000143303	0.007	0.106	    0.000
ENSG00000256269	0.001	0.096	    3.478
ENSG00000060642	0.001	0.096	    0.000
ENSG00000141744	0.002	0.093	    0.000
ENSG00000110514	0.001	0.092	    0.000
ENSG00000160695	0.001	0.092	   -3.562
ENSG00000213057	0.001	0.090	    0.000
ENSG00000134825	0.003	0.090	    0.000
ENSG00000270130	0.000	0.089	    0.000
ENSG00000197345	0.007	0.081	   -3.668
ENSG00000154127	0.001	0.078	    0.000
ENSG00000108433	0.002	0.076	   -3.909
ENSG00000175793	0.000	0.075	    0.000
ENSG00000143294	0.001	0.072	    0.000
ENSG00000125966	0.001	0.068	    0.000
ENSG00000141086	0.000	0.059	    0.000
ENSG00000143575	0.011	0.058	   -4.103
ENSG00000124587	0.001	0.058	   -2.895
ENSG00000106948	0.001	0.057	    3.328
ENSG00000173327	0.007	0.054	    0.000
ENSG00000213445	0.001	0.054	    0.000
ENSG00000272767	0.001	0.049	    0.000
ENSG00000090273	0.000	0.048	    0.000
ENSG00000103550	0.001	0.042	   -3.058
ENSG00000117500	0.000	0.041	    0.000
ENSG00000119242	0.000	0.040	    0.000
ENSG00000111785	0.001	0.040	    0.000
ENSG00000251417	0.000	0.039	   -3.066
ENSG00000211689	0.000	0.039	   -3.051
ENSG00000003756	0.001	0.035	    0.000
ENSG00000122870	0.000	0.033	    2.218
ENSG00000243955	0.000	0.032	   -2.937
ENSG00000100982	0.001	0.032	    0.000
ENSG00000122483	0.000	0.030	    0.000
ENSG00000117280	0.002	0.030	   -2.817
ENSG00000185236	0.001	0.026	    0.000
ENSG00000272186	0.000	0.025	    0.000
ENSG00000269997	0.000	0.025	    0.000
ENSG00000269938	0.000	0.024	    0.000
ENSG00000117713	0.000	0.024	    0.000
ENSG00000134824	0.000	0.023	    0.000
ENSG00000120725	0.000	0.021	   -2.993
ENSG00000244405	0.000	0.021	    0.000
ENSG00000276571	0.000	0.021	    0.000
ENSG00000185607	0.000	0.020	    0.000
ENSG00000112343	0.000	0.020	    0.000
ENSG00000167772	0.001	0.020	    0.000
ENSG00000159792	0.001	0.019	    0.000
ENSG00000131470	0.000	0.018	    0.000
ENSG00000179195	0.000	0.018	    0.000
ENSG00000095485	0.003	0.018	   -3.820
ENSG00000180210	0.001	0.017	    0.000
ENSG00000015676	0.000	0.017	    2.530
ENSG00000270061	0.000	0.017	    0.000
ENSG00000272288	0.002	0.017	    0.000
ENSG00000279699	0.000	0.017	    0.000
ENSG00000182782	0.000	0.016	    0.000
ENSG00000281691	0.000	0.016	    0.000
ENSG00000130749	0.000	0.016	    0.000
ENSG00000149289	0.000	0.015	    0.000
ENSG00000175707	0.002	0.015	    0.000
ENSG00000213398	0.000	0.015	    0.000
ENSG00000183426	0.014	0.015	    4.343
ENSG00000253404	0.000	0.014	   -2.837
ENSG00000183793	0.014	0.014	   -4.123
ENSG00000023516	0.000	0.014	    0.000
ENSG00000133561	0.000	0.014	    0.000
ENSG00000250508	0.000	0.014	   -1.553
ENSG00000225173	0.000	0.014	    0.000
ENSG00000037042	0.001	0.013	   -3.373
ENSG00000259556	0.000	0.013	    0.000
ENSG00000276073	0.000	0.013	   -2.671
ENSG00000124713	0.001	0.012	    3.146
ENSG00000113734	0.000	0.012	    2.953
ENSG00000043591	0.001	0.012	    0.000
ENSG00000143319	0.001	0.012	    0.000
ENSG00000038358	0.000	0.012	    0.000
ENSG00000168286	0.001	0.012	    0.000
ENSG00000106638	0.001	0.012	    0.999
ENSG00000277383	0.000	0.012	    0.000
ENSG00000235316	0.000	0.012	    0.000
ENSG00000078804	0.000	0.011	    0.000
ENSG00000227117	0.000	0.011	    0.000
ENSG00000171503	0.000	0.011	   -2.687
ENSG00000146006	0.000	0.011	    0.000
ENSG00000244005	0.000	0.010	    3.336
ENSG00000162607	0.000	0.010	    0.000
ENSG00000069956	0.000	0.010	   -1.078
ENSG00000198131	0.000	0.010	    3.110
ENSG00000275409	0.000	0.010	   -2.673
ENSG00000000460	0.000	0.010	   -1.489
ENSG00000149428	0.000	0.010	    0.000
ENSG00000142230	0.000	0.010	    0.000
ENSG00000115677	0.000	0.010	    0.000
ENSG00000204764	0.000	0.010	    2.534
ENSG00000187676	0.000	0.010	    0.000
ENSG00000275759	0.000	0.010	   -2.812
ENSG00000100330	0.000	0.010	    0.000
ENSG00000228824	0.000	0.010	    0.000
ENSG00000248161	0.003	0.009	    0.000
ENSG00000253368	0.000	0.009	    0.000
ENSG00000283050	0.000	0.009	   -1.149
ENSG00000095321	0.000	0.009	    2.386
ENSG00000102898	0.001	0.009	    0.000
ENSG00000164825	0.000	0.009	    2.680
ENSG00000272540	0.000	0.009	    0.000
ENSG00000141576	0.000	0.009	    0.000
ENSG00000095787	0.000	0.009	   -3.047
ENSG00000110921	0.000	0.009	    0.000
ENSG00000141279	0.000	0.009	    0.000
ENSG00000250412	0.000	0.009	    0.149
ENSG00000226251	0.000	0.008	    2.757
ENSG00000162039	0.000	0.008	   -1.229
ENSG00000153363	0.000	0.008	    0.000
ENSG00000155189	0.000	0.008	    0.000
ENSG00000114054	0.000	0.008	    0.000
ENSG00000069275	0.002	0.008	    0.000
ENSG00000178996	0.000	0.008	    2.027
ENSG00000158825	0.000	0.008	    0.000
ENSG00000025293	0.000	0.008	    0.000
ENSG00000228063	0.000	0.008	    0.000
ENSG00000124370	0.000	0.007	    0.675
ENSG00000100058	0.000	0.007	    2.782
ENSG00000228274	0.000	0.007	   -2.128
ENSG00000221983	0.000	0.007	    2.642
ENSG00000214425	0.000	0.007	   -0.055
ENSG00000227191	0.000	0.007	   -2.703
ENSG00000268707	0.000	0.007	   -0.708
ENSG00000245958	0.000	0.007	   -0.580
ENSG00000138674	0.000	0.007	    0.000
ENSG00000188425	0.000	0.007	    0.000
ENSG00000204152	0.000	0.007	    2.386
ENSG00000234420	0.000	0.007	    0.000
ENSG00000220205	0.001	0.007	    3.233
ENSG00000108592	0.000	0.007	   -1.791
ENSG00000165113	0.000	0.007	    0.000
ENSG00000072958	0.000	0.007	    0.000
ENSG00000113396	0.000	0.007	    1.573
ENSG00000197935	0.000	0.006	   -2.220
ENSG00000123892	0.000	0.006	    0.000
ENSG00000185823	0.000	0.006	   -1.207
ENSG00000184949	0.000	0.006	    2.256
ENSG00000198468	0.000	0.006	    2.392
ENSG00000249915	0.000	0.006	   -1.278
ENSG00000184517	0.000	0.006	    1.511
ENSG00000055147	0.000	0.006	    0.000
ENSG00000142453	0.000	0.006	    0.000
ENSG00000138750	0.000	0.006	   -1.824
ENSG00000206562	0.000	0.006	    2.622
ENSG00000264538	0.000	0.006	    1.162
ENSG00000120937	0.000	0.006	   -1.941
ENSG00000084628	0.000	0.006	    2.754
ENSG00000152214	0.000	0.006	   -1.788
ENSG00000198898	0.000	0.006	    0.000
ENSG00000108786	0.000	0.006	    0.000
ENSG00000263412	0.000	0.006	    0.000
ENSG00000268030	0.000	0.006	    0.000
ENSG00000033178	0.000	0.006	    0.000
ENSG00000235545	0.000	0.006	    0.000
ENSG00000197008	0.000	0.006	    2.474
ENSG00000001460	0.000	0.006	    2.829
ENSG00000175189	0.000	0.006	    0.000
ENSG00000275807	0.000	0.006	    0.000
ENSG00000228782	0.000	0.006	   -2.661
ENSG00000245680	0.000	0.006	    0.000
ENSG00000234515	0.000	0.006	    0.000
ENSG00000109805	0.000	0.006	    0.000
ENSG00000143578	0.000	0.006	    0.000
ENSG00000124383	0.000	0.005	   -2.673
ENSG00000279159	0.000	0.005	    0.000
ENSG00000069696	0.000	0.005	    2.368
ENSG00000174628	0.000	0.005	    0.000
ENSG00000259905	0.000	0.005	   -0.980
ENSG00000185591	0.000	0.005	    0.000
ENSG00000184381	0.000	0.005	   -2.723
ENSG00000230224	0.000	0.005	    0.000
ENSG00000196296	0.000	0.005	    0.000
ENSG00000137700	0.000	0.005	   -0.306
ENSG00000189292	0.000	0.005	    0.000
ENSG00000249244	0.000	0.005	    1.541
ENSG00000077616	0.000	0.005	    0.000
ENSG00000198105	0.000	0.005	   -1.664
ENSG00000185022	0.000	0.005	    0.000
ENSG00000213640	0.000	0.005	   -2.353
ENSG00000223313	0.000	0.005	   -2.219
ENSG00000272977	0.000	0.005	   -2.743
ENSG00000230286	0.000	0.005	    0.000
ENSG00000197535	0.000	0.005	    0.000
ENSG00000180185	0.000	0.005	    1.535
ENSG00000261766	0.000	0.005	    0.000
ENSG00000204257	0.000	0.005	    0.000
ENSG00000196502	0.000	0.005	    0.000
ENSG00000175595	0.000	0.005	   -2.679
ENSG00000168528	0.000	0.005	    0.000
ENSG00000233288	0.000	0.005	    0.000
ENSG00000140832	0.000	0.005	    2.463
ENSG00000204149	0.000	0.004	   -2.536
ENSG00000217130	0.000	0.004	    0.000
ENSG00000164597	0.000	0.004	    0.000
ENSG00000005243	0.000	0.004	    0.000
ENSG00000133706	0.000	0.004	   -1.673
ENSG00000196821	0.000	0.004	    0.000
ENSG00000100890	0.000	0.004	   -1.882
ENSG00000226578	0.000	0.004	    1.851
ENSG00000228970	0.000	0.004	    0.000
ENSG00000076003	0.000	0.004	    0.000
ENSG00000108788	0.000	0.004	    0.000
ENSG00000143353	0.000	0.004	    0.000
ENSG00000256274	0.000	0.004	   -0.893
ENSG00000268516	0.000	0.004	    0.000
ENSG00000264880	0.000	0.004	    1.309
ENSG00000231441	0.000	0.004	    2.545
ENSG00000176390	0.000	0.004	    1.316
ENSG00000112339	0.000	0.004	   -1.893
ENSG00000237440	0.000	0.004	    0.335
ENSG00000179094	0.000	0.004	    0.000
ENSG00000279088	0.000	0.004	    0.000
ENSG00000135976	0.000	0.004	   -1.017
ENSG00000152670	0.000	0.004	    0.000
ENSG00000243646	0.000	0.004	    0.483
ENSG00000124299	0.000	0.004	   -4.109
ENSG00000141012	0.000	0.004	    0.428
ENSG00000138031	0.000	0.004	   -1.888
ENSG00000179428	0.000	0.004	    2.623
ENSG00000225693	0.000	0.004	    1.281
ENSG00000251600	0.000	0.004	   -0.094
ENSG00000115694	0.000	0.004	    0.000
ENSG00000266469	0.000	0.004	    0.000
ENSG00000251022	0.000	0.004	   -2.677
ENSG00000162377	0.000	0.004	    2.313
ENSG00000206144	0.000	0.004	    0.000
ENSG00000178966	0.000	0.004	    0.000
ENSG00000131015	0.000	0.004	    0.146
ENSG00000273389	0.000	0.004	    1.775
ENSG00000186188	0.000	0.004	    0.000
ENSG00000272941	0.000	0.004	    0.000
ENSG00000128989	0.000	0.004	   -1.785
ENSG00000205268	0.000	0.004	    0.000
ENSG00000219392	0.000	0.004	   -1.739
ENSG00000112357	0.000	0.004	    2.107
ENSG00000118514	0.000	0.004	   -1.940
ENSG00000248714	0.000	0.004	    0.000
ENSG00000151575	0.000	0.004	   -1.479
ENSG00000223685	0.000	0.004	   -2.516
ENSG00000087191	0.000	0.004	   -2.025
ENSG00000169710	0.000	0.004	    0.000
ENSG00000139220	0.000	0.004	    2.332
ENSG00000145723	0.000	0.004	    1.452
ENSG00000224316	0.000	0.004	    0.000
ENSG00000184925	0.000	0.004	    2.356
ENSG00000235979	0.000	0.004	    2.297
ENSG00000068137	0.000	0.004	    0.000
ENSG00000275228	0.000	0.004	   -2.624
ENSG00000065833	0.000	0.003	   -1.451
