Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.399	1.000	   -4.587
ENSG00000184371	0.986	0.986	    5.923
ENSG00000143303	0.144	0.977	   -3.785
ENSG00000155158	0.282	0.940	    9.672
ENSG00000090621	0.077	0.927	   -5.897
ENSG00000246575	0.473	0.891	   -3.296
ENSG00000086300	0.833	0.833	   -4.729
ENSG00000213445	0.277	0.721	    4.853
ENSG00000141744	0.024	0.701	    7.107
ENSG00000160796	0.058	0.696	   -3.629
ENSG00000100979	0.010	0.687	  -11.475
ENSG00000164850	0.675	0.675	   -4.639
ENSG00000119242	0.403	0.650	   -8.795
ENSG00000060642	0.015	0.640	   -5.557
ENSG00000173991	0.199	0.615	    8.650
ENSG00000152291	0.381	0.599	    4.867
ENSG00000164849	0.113	0.552	   -3.656
ENSG00000154127	0.010	0.533	   -2.397
ENSG00000270028	0.078	0.510	   -6.261
ENSG00000250091	0.036	0.493	   -6.431
ENSG00000271984	0.004	0.457	    0.000
ENSG00000228060	0.031	0.454	   -6.886
ENSG00000134575	0.007	0.431	   11.916
ENSG00000260063	0.005	0.428	   -5.541
ENSG00000132740	0.176	0.405	    3.930
ENSG00000243970	0.013	0.401	    1.058
ENSG00000183426	0.357	0.357	    2.594
ENSG00000183793	0.357	0.357	   -2.745
ENSG00000204219	0.351	0.351	   -4.311
ENSG00000124257	0.010	0.342	    0.000
ENSG00000161649	0.020	0.335	   -3.563
ENSG00000182109	0.007	0.309	    2.059
ENSG00000109917	0.065	0.304	    0.000
ENSG00000143575	0.297	0.297	   -4.109
ENSG00000130749	0.097	0.290	    0.000
ENSG00000176473	0.134	0.289	    3.481
ENSG00000223572	0.286	0.286	    4.502
ENSG00000139428	0.061	0.281	    7.728
ENSG00000185236	0.014	0.273	    0.000
ENSG00000101460	0.066	0.258	    3.972
ENSG00000185651	0.007	0.258	    0.000
ENSG00000180210	0.031	0.256	    0.000
ENSG00000179195	0.251	0.251	   -6.987
ENSG00000196821	0.109	0.239	    6.242
ENSG00000069275	0.044	0.229	    3.479
ENSG00000230869	0.007	0.229	   -2.766
ENSG00000274080	0.227	0.227	   -6.023
ENSG00000146112	0.038	0.217	   -3.490
ENSG00000132801	0.006	0.214	    0.000
ENSG00000050628	0.133	0.203	    1.484
ENSG00000009950	0.065	0.198	   -5.508
