Gene	GRCP	GLCP	TWAS_z
ENSG00000152291	0.022	0.854	    4.756
ENSG00000228060	0.062	0.769	   -7.382
ENSG00000246575	0.015	0.604	   -3.666
ENSG00000143321	0.014	0.577	    0.000
ENSG00000223745	0.016	0.574	    2.920
ENSG00000134824	0.004	0.408	    5.455
ENSG00000060642	0.004	0.403	   -5.351
ENSG00000143303	0.019	0.368	    0.000
ENSG00000164849	0.035	0.365	    4.062
ENSG00000260063	0.002	0.296	   -5.460
ENSG00000143319	0.012	0.270	    0.000
ENSG00000057608	0.023	0.220	    3.419
ENSG00000004534	0.010	0.200	   -5.019
ENSG00000101000	0.003	0.200	    1.433
ENSG00000246090	0.003	0.190	    0.000
ENSG00000179195	0.002	0.183	    0.000
ENSG00000134825	0.005	0.168	    0.000
ENSG00000243970	0.006	0.166	    0.000
ENSG00000185651	0.001	0.157	    0.000
ENSG00000142230	0.003	0.148	   -3.004
ENSG00000132740	0.002	0.138	    3.571
ENSG00000103642	0.001	0.138	    0.000
ENSG00000106635	0.002	0.127	    0.000
ENSG00000100982	0.002	0.125	    0.000
ENSG00000115239	0.001	0.125	    0.000
ENSG00000185236	0.002	0.107	    0.000
ENSG00000250091	0.011	0.105	    0.000
ENSG00000100311	0.002	0.104	    0.000
ENSG00000154127	0.001	0.098	    0.000
ENSG00000182109	0.001	0.098	    0.000
ENSG00000176473	0.001	0.088	    2.640
ENSG00000270061	0.001	0.083	    0.000
ENSG00000107566	0.001	0.076	    0.000
ENSG00000204290	0.000	0.073	    0.000
ENSG00000119242	0.001	0.071	    0.000
ENSG00000090621	0.001	0.070	    0.000
ENSG00000124587	0.001	0.058	   -3.086
ENSG00000110080	0.005	0.057	    4.639
ENSG00000117500	0.000	0.055	    0.000
ENSG00000025434	0.000	0.055	   10.702
ENSG00000196821	0.001	0.055	    4.826
ENSG00000158161	0.001	0.052	    2.797
ENSG00000281691	0.000	0.052	    0.000
ENSG00000250508	0.001	0.050	    0.000
ENSG00000143353	0.001	0.048	   -3.563
ENSG00000263412	0.001	0.046	    0.000
ENSG00000143575	0.012	0.044	   -4.115
ENSG00000167191	0.001	0.043	    0.000
ENSG00000270048	0.000	0.042	    0.000
ENSG00000168496	0.001	0.039	    0.000
ENSG00000198502	0.001	0.038	   -2.397
ENSG00000130204	0.004	0.036	    0.000
ENSG00000124713	0.001	0.036	    0.000
ENSG00000117280	0.004	0.036	   -3.251
ENSG00000230224	0.001	0.036	    0.000
ENSG00000259982	0.000	0.033	    2.340
ENSG00000261766	0.000	0.031	    0.000
ENSG00000160695	0.001	0.031	   -3.092
ENSG00000134575	0.000	0.030	   10.781
ENSG00000159792	0.005	0.030	    0.000
ENSG00000184381	0.000	0.029	   -2.214
ENSG00000269938	0.000	0.027	    0.000
ENSG00000131462	0.000	0.026	    0.000
ENSG00000175164	0.001	0.025	    1.047
