Gene	GRCP	GLCP	TWAS_z
ENSG00000136238	0.058	0.953	   -2.429
ENSG00000134222	0.107	0.953	   -7.364
ENSG00000134825	0.083	0.903	   10.256
ENSG00000198754	0.009	0.815	    2.580
ENSG00000246090	0.014	0.808	   -0.035
ENSG00000149485	0.001	0.784	   -8.752
ENSG00000182109	0.002	0.773	    1.481
ENSG00000087237	0.136	0.680	    0.000
ENSG00000270028	0.016	0.635	   -6.647
ENSG00000106565	0.171	0.630	   -4.687
ENSG00000161180	0.007	0.628	   -4.134
ENSG00000167772	0.035	0.624	   -6.792
ENSG00000250091	0.010	0.543	   -6.493
ENSG00000102898	0.048	0.465	    0.000
ENSG00000102904	0.005	0.448	  -11.948
ENSG00000060642	0.005	0.399	   -5.550
ENSG00000164849	0.031	0.354	    2.057
ENSG00000269997	0.006	0.347	    0.000
ENSG00000124664	0.009	0.323	    0.000
ENSG00000141736	0.001	0.303	    7.073
ENSG00000185651	0.006	0.297	    5.662
ENSG00000057608	0.002	0.269	    3.133
ENSG00000152291	0.028	0.256	    2.185
ENSG00000270130	0.001	0.250	   -5.855
ENSG00000131771	0.001	0.213	    1.868
ENSG00000155158	0.028	0.208	    8.923
ENSG00000179195	0.002	0.205	   -5.169
ENSG00000271984	0.005	0.190	    0.000
ENSG00000137312	0.001	0.190	    1.682
ENSG00000165476	0.004	0.181	   -4.728
ENSG00000161647	0.001	0.179	    2.873
ENSG00000158715	0.001	0.158	   -2.407
ENSG00000175213	0.004	0.153	    0.000
ENSG00000101460	0.001	0.149	    3.777
ENSG00000272462	0.007	0.148	    0.780
ENSG00000117505	0.009	0.135	   -2.866
ENSG00000110514	0.004	0.135	    4.821
ENSG00000269938	0.001	0.135	    0.000
ENSG00000064601	0.004	0.133	   -5.246
ENSG00000182782	0.003	0.123	    0.000
ENSG00000260063	0.001	0.120	    0.000
ENSG00000176473	0.015	0.120	    3.423
ENSG00000160796	0.014	0.117	   -2.681
ENSG00000038358	0.004	0.109	    0.000
ENSG00000145743	0.001	0.108	    3.483
ENSG00000141086	0.000	0.107	    0.000
ENSG00000171243	0.000	0.087	    0.000
ENSG00000174502	0.000	0.082	    1.051
ENSG00000108788	0.001	0.081	   -3.303
ENSG00000187676	0.005	0.080	   -2.257
ENSG00000131042	0.002	0.076	   -4.917
ENSG00000132740	0.004	0.076	    3.647
ENSG00000119242	0.001	0.075	   -6.039
ENSG00000120725	0.000	0.075	   -3.052
ENSG00000161179	0.000	0.065	    1.853
ENSG00000111328	0.000	0.064	   -3.958
ENSG00000164440	0.003	0.059	    0.000
ENSG00000108306	0.000	0.057	    0.000
ENSG00000130193	0.001	0.055	   -1.662
ENSG00000116641	0.001	0.055	   -3.435
ENSG00000154127	0.001	0.054	   -1.301
ENSG00000158161	0.001	0.054	    2.124
ENSG00000198576	0.000	0.054	   -2.505
ENSG00000122483	0.001	0.051	    0.000
ENSG00000143575	0.012	0.049	   -4.103
ENSG00000204632	0.002	0.048	   -2.837
ENSG00000223745	0.001	0.043	    2.466
ENSG00000198746	0.000	0.042	    0.000
ENSG00000270061	0.000	0.042	    0.000
ENSG00000234616	0.001	0.041	   -3.249
ENSG00000213057	0.002	0.041	    0.513
ENSG00000122870	0.000	0.041	    2.794
ENSG00000152601	0.001	0.041	    0.000
ENSG00000228063	0.002	0.041	    3.576
ENSG00000095485	0.003	0.041	   -3.807
ENSG00000184110	0.000	0.040	    3.042
ENSG00000176953	0.001	0.039	    3.087
ENSG00000003756	0.001	0.037	    0.000
ENSG00000184381	0.000	0.037	    0.000
ENSG00000169682	0.001	0.036	    0.000
ENSG00000178188	0.000	0.035	   -2.996
ENSG00000055147	0.000	0.035	    2.849
ENSG00000110080	0.002	0.035	    1.076
ENSG00000280832	0.001	0.034	    0.000
ENSG00000109917	0.001	0.033	    0.000
ENSG00000173991	0.002	0.033	    0.000
ENSG00000233266	0.001	0.032	   -2.005
ENSG00000272186	0.000	0.031	    0.000
ENSG00000229618	0.001	0.031	   -1.545
ENSG00000134824	0.000	0.029	    3.914
ENSG00000261195	0.000	0.029	    0.000
ENSG00000271751	0.002	0.028	   -3.245
ENSG00000259298	0.000	0.028	    0.000
ENSG00000197345	0.003	0.026	   -2.642
ENSG00000237624	0.001	0.026	    0.834
ENSG00000137700	0.001	0.025	    2.719
ENSG00000004534	0.003	0.024	   -4.849
ENSG00000273733	0.001	0.023	    0.000
ENSG00000072958	0.001	0.023	   -3.188
ENSG00000250508	0.001	0.022	   -2.667
ENSG00000160695	0.001	0.020	    1.868
ENSG00000171102	0.000	0.020	    2.463
ENSG00000188486	0.000	0.020	    0.000
ENSG00000159792	0.002	0.020	    0.000
ENSG00000180210	0.001	0.019	    0.000
ENSG00000135862	0.000	0.019	   -3.040
ENSG00000037042	0.001	0.019	   -3.355
ENSG00000086015	0.000	0.018	   -2.869
ENSG00000263766	0.001	0.018	    3.559
ENSG00000100201	0.000	0.018	    2.356
ENSG00000142230	0.001	0.018	   -2.202
ENSG00000100979	0.000	0.018	   -7.098
ENSG00000117500	0.000	0.017	    0.000
ENSG00000138594	0.000	0.017	   -0.554
ENSG00000069275	0.005	0.017	    3.623
ENSG00000146112	0.000	0.017	    0.000
ENSG00000268516	0.000	0.017	    3.136
ENSG00000103642	0.001	0.017	   -2.758
ENSG00000204219	0.001	0.016	   -1.792
ENSG00000196114	0.000	0.016	    0.000
ENSG00000174628	0.000	0.016	    0.000
ENSG00000176697	0.001	0.016	    3.435
ENSG00000143294	0.000	0.016	    0.000
ENSG00000107518	0.000	0.016	    2.997
ENSG00000255968	0.001	0.016	    0.000
ENSG00000147874	0.000	0.016	   -2.548
ENSG00000170091	0.000	0.015	    2.808
ENSG00000185056	0.000	0.015	    2.748
ENSG00000141744	0.000	0.015	    5.728
ENSG00000183426	0.014	0.015	    2.514
ENSG00000236526	0.000	0.015	    2.994
ENSG00000220205	0.001	0.015	    3.361
ENSG00000183793	0.014	0.014	   -2.795
ENSG00000250412	0.000	0.014	    1.711
ENSG00000235475	0.000	0.014	    1.323
ENSG00000217130	0.000	0.014	    0.000
ENSG00000275409	0.000	0.014	   -2.555
ENSG00000263432	0.000	0.013	   -1.933
ENSG00000143951	0.000	0.013	    2.502
ENSG00000172399	0.001	0.013	    3.252
ENSG00000161649	0.000	0.013	    0.000
ENSG00000198324	0.000	0.013	   -0.779
ENSG00000175164	0.001	0.013	   -2.818
ENSG00000078140	0.000	0.013	    2.659
ENSG00000259556	0.000	0.013	   -2.465
ENSG00000100815	0.000	0.012	   -2.180
ENSG00000261766	0.000	0.012	   -3.431
ENSG00000124713	0.001	0.012	    3.286
ENSG00000183682	0.000	0.012	    5.864
ENSG00000141279	0.000	0.012	    3.467
ENSG00000162378	0.000	0.012	    2.274
ENSG00000273765	0.000	0.012	    2.620
ENSG00000204520	0.001	0.011	    3.393
ENSG00000136243	0.000	0.011	    0.992
ENSG00000165406	0.001	0.011	    1.680
ENSG00000276571	0.000	0.011	    0.000
ENSG00000157045	0.004	0.011	    3.205
ENSG00000244005	0.000	0.011	    3.388
ENSG00000069956	0.000	0.011	    0.000
ENSG00000011523	0.002	0.011	    2.645
ENSG00000076003	0.000	0.011	   -2.402
ENSG00000266469	0.000	0.011	    0.000
ENSG00000217330	0.000	0.010	    2.464
ENSG00000175707	0.001	0.010	    0.000
ENSG00000078804	0.000	0.010	    0.000
ENSG00000110921	0.000	0.010	   -2.650
ENSG00000204764	0.000	0.010	    2.316
ENSG00000167566	0.000	0.010	    0.000
ENSG00000134851	0.000	0.010	    2.591
ENSG00000124587	0.001	0.010	   -3.142
ENSG00000175161	0.000	0.010	   -1.525
ENSG00000131051	0.000	0.009	    0.000
ENSG00000277494	0.003	0.009	    5.284
ENSG00000164825	0.000	0.009	    2.709
ENSG00000105875	0.000	0.009	   -2.219
ENSG00000126524	0.000	0.009	    1.678
ENSG00000268707	0.000	0.009	   -0.897
ENSG00000153363	0.000	0.009	    2.881
ENSG00000240065	0.000	0.009	    2.613
ENSG00000258521	0.000	0.009	    2.555
ENSG00000103550	0.002	0.009	   -3.277
ENSG00000162522	0.000	0.009	   -2.599
ENSG00000129244	0.000	0.009	    0.000
ENSG00000095787	0.000	0.009	   -2.848
ENSG00000095397	0.000	0.009	   -1.757
ENSG00000197442	0.000	0.009	    0.000
ENSG00000227191	0.000	0.008	   -1.995
ENSG00000165832	0.000	0.008	    0.000
ENSG00000140105	0.000	0.008	    2.546
ENSG00000164096	0.000	0.008	    2.966
ENSG00000253944	0.000	0.008	   -2.383
ENSG00000162365	0.000	0.008	   -2.062
ENSG00000117481	0.000	0.008	   -1.904
ENSG00000276073	0.000	0.008	   -2.681
ENSG00000130749	0.000	0.008	    0.000
ENSG00000196821	0.000	0.008	    5.573
ENSG00000244752	0.000	0.008	    2.321
ENSG00000133612	0.001	0.008	   -2.209
ENSG00000180953	0.000	0.008	   -1.217
ENSG00000137338	0.001	0.008	    0.000
ENSG00000198131	0.001	0.008	    2.642
ENSG00000108786	0.001	0.008	   -2.003
ENSG00000198105	0.000	0.008	   -1.711
ENSG00000197008	0.000	0.008	    0.539
ENSG00000139625	0.000	0.008	    2.410
ENSG00000228638	0.000	0.008	    2.108
ENSG00000253404	0.000	0.008	   -2.648
ENSG00000234420	0.000	0.008	    2.735
ENSG00000198945	0.000	0.008	   -2.814
ENSG00000230362	0.000	0.008	   -2.353
ENSG00000267213	0.000	0.008	    3.888
ENSG00000277383	0.000	0.007	    0.000
ENSG00000174775	0.001	0.007	    3.434
ENSG00000113734	0.000	0.007	    2.321
ENSG00000117480	0.000	0.007	    1.360
ENSG00000229124	0.001	0.007	    0.000
ENSG00000226314	0.000	0.007	    2.710
ENSG00000204257	0.000	0.007	    3.127
ENSG00000082701	0.000	0.007	    0.000
ENSG00000134490	0.000	0.007	   -3.187
ENSG00000197136	0.001	0.007	    0.000
ENSG00000121210	0.000	0.007	    0.000
ENSG00000152422	0.000	0.007	   -1.571
ENSG00000172543	0.000	0.007	   -3.835
ENSG00000176933	0.000	0.007	    1.051
ENSG00000176155	0.000	0.007	    1.475
ENSG00000108861	0.000	0.007	    0.808
ENSG00000227345	0.000	0.006	    2.382
ENSG00000120688	0.000	0.006	    3.239
ENSG00000133812	0.000	0.006	    0.000
ENSG00000178904	0.000	0.006	   -4.328
ENSG00000174915	0.000	0.006	    2.411
ENSG00000197498	0.000	0.006	    2.191
ENSG00000197062	0.000	0.006	   -1.950
ENSG00000167088	0.000	0.006	    2.834
ENSG00000243646	0.000	0.006	    0.105
ENSG00000175395	0.000	0.006	   -1.741
ENSG00000273257	0.000	0.006	   -1.929
ENSG00000139620	0.000	0.006	   -2.577
ENSG00000117450	0.000	0.006	    0.619
ENSG00000115677	0.000	0.006	    3.101
ENSG00000162521	0.000	0.006	    2.464
ENSG00000169075	0.000	0.006	   -2.525
ENSG00000143727	0.000	0.006	    2.842
ENSG00000215068	0.000	0.006	    1.045
ENSG00000164897	0.000	0.006	    0.000
ENSG00000278765	0.000	0.006	   -2.516
ENSG00000176125	0.000	0.006	    2.026
ENSG00000264538	0.000	0.005	    1.175
ENSG00000023191	0.000	0.005	    2.664
ENSG00000178996	0.000	0.005	    1.743
ENSG00000275807	0.000	0.005	    0.000
ENSG00000223799	0.000	0.005	    2.501
ENSG00000280128	0.000	0.005	    0.978
ENSG00000165637	0.000	0.005	   -2.749
ENSG00000145384	0.001	0.005	   -3.202
ENSG00000182180	0.000	0.005	    0.697
ENSG00000133433	0.000	0.005	   -1.289
ENSG00000185591	0.000	0.005	    2.464
ENSG00000276966	0.001	0.005	   -1.019
ENSG00000160741	0.000	0.005	   -2.199
ENSG00000228274	0.000	0.005	   -2.206
ENSG00000257763	0.000	0.005	    2.534
ENSG00000106610	0.000	0.005	   -1.003
ENSG00000231389	0.000	0.005	   -0.346
ENSG00000184517	0.000	0.005	    2.316
ENSG00000089558	0.000	0.005	    1.725
ENSG00000149428	0.000	0.005	    0.000
ENSG00000162607	0.000	0.005	    0.000
ENSG00000187166	0.000	0.005	   -2.412
ENSG00000279853	0.000	0.005	    0.000
