Gene	GRCP	GLCP	TWAS_z
ENSG00000100979	0.011	0.664	    0.000
ENSG00000161180	0.001	0.627	   -5.749
ENSG00000161395	0.002	0.486	    6.193
ENSG00000168268	0.004	0.467	    0.000
ENSG00000144852	0.033	0.428	    0.000
ENSG00000213057	0.001	0.325	    0.000
ENSG00000246575	0.008	0.288	    0.000
ENSG00000137312	0.002	0.246	    3.539
ENSG00000243970	0.002	0.223	    0.000
ENSG00000250091	0.009	0.215	    0.000
ENSG00000256897	0.001	0.207	    0.000
ENSG00000004534	0.043	0.206	   -5.431
ENSG00000260063	0.001	0.192	    0.000
ENSG00000108433	0.001	0.173	    0.000
ENSG00000164512	0.013	0.135	    0.000
ENSG00000159792	0.010	0.114	    0.000
ENSG00000134575	0.001	0.100	    0.000
ENSG00000132740	0.001	0.098	    3.505
ENSG00000154127	0.001	0.093	    0.000
ENSG00000152291	0.002	0.090	    0.000
ENSG00000256269	0.001	0.089	    2.721
ENSG00000204160	0.001	0.088	    0.000
ENSG00000119242	0.001	0.086	    0.000
ENSG00000143314	0.001	0.082	    0.000
ENSG00000160695	0.001	0.082	    0.000
ENSG00000197345	0.003	0.081	   -3.676
ENSG00000185236	0.001	0.074	    0.000
ENSG00000110514	0.001	0.073	    0.000
ENSG00000103642	0.000	0.066	    0.000
ENSG00000250508	0.001	0.064	   -3.375
ENSG00000141086	0.000	0.057	    0.000
ENSG00000272462	0.000	0.054	    0.000
ENSG00000134825	0.001	0.054	    0.000
ENSG00000165476	0.001	0.051	    0.000
ENSG00000175213	0.001	0.048	    0.000
ENSG00000259876	0.000	0.048	    0.000
ENSG00000060642	0.001	0.046	    0.000
ENSG00000253111	0.001	0.046	    0.000
ENSG00000103550	0.001	0.045	   -3.542
ENSG00000173327	0.002	0.041	    0.000
ENSG00000185651	0.000	0.041	    0.000
ENSG00000095485	0.003	0.040	   -3.827
ENSG00000251417	0.000	0.038	    0.000
ENSG00000258701	0.008	0.037	   -0.870
ENSG00000223745	0.000	0.037	    2.496
ENSG00000270061	0.000	0.036	    0.000
ENSG00000117500	0.000	0.035	    0.000
ENSG00000266469	0.000	0.035	    0.000
ENSG00000132855	0.000	0.033	    0.000
ENSG00000100982	0.001	0.033	    0.000
ENSG00000269997	0.000	0.032	    0.000
ENSG00000003756	0.001	0.032	    0.000
ENSG00000248290	0.000	0.032	   -3.488
ENSG00000038358	0.001	0.031	    0.000
ENSG00000164849	0.003	0.031	    0.000
ENSG00000168496	0.001	0.029	    0.000
ENSG00000187553	0.001	0.028	    0.000
ENSG00000228962	0.000	0.027	    0.000
ENSG00000143319	0.002	0.027	    0.000
ENSG00000117505	0.000	0.025	    0.000
ENSG00000141504	0.001	0.025	    0.000
ENSG00000267282	0.001	0.024	    0.000
ENSG00000131470	0.000	0.023	    0.000
ENSG00000167183	0.003	0.022	    3.926
ENSG00000173991	0.002	0.022	    0.000
ENSG00000229635	0.000	0.022	    0.000
ENSG00000095397	0.000	0.021	   -3.169
ENSG00000235545	0.000	0.021	    0.000
