Gene	GRCP	GLCP	TWAS_z
ENSG00000166035	0.086	1.000	   33.450
ENSG00000155158	0.375	0.972	    8.963
ENSG00000134243	0.972	0.972	   -7.962
ENSG00000116191	0.026	0.970	    4.051
ENSG00000134222	0.966	0.966	   -7.952
ENSG00000254237	0.043	0.964	  -10.546
ENSG00000143126	0.412	0.949	   -7.103
ENSG00000110921	0.089	0.899	    7.637
ENSG00000143028	0.204	0.867	   -3.015
ENSG00000090621	0.006	0.833	   -4.602
ENSG00000162650	0.329	0.799	   -3.501
ENSG00000087237	0.226	0.658	   39.246
ENSG00000183255	0.622	0.622	   -4.509
ENSG00000100979	0.011	0.614	  -10.883
ENSG00000279140	0.009	0.526	    0.000
ENSG00000277229	0.051	0.499	   23.380
ENSG00000117505	0.024	0.496	    0.000
ENSG00000239961	0.044	0.495	    0.000
ENSG00000277494	0.062	0.483	    5.783
ENSG00000119242	0.149	0.464	   -6.506
ENSG00000254235	0.047	0.411	    0.000
ENSG00000149289	0.011	0.405	    3.020
ENSG00000246090	0.009	0.382	    0.000
ENSG00000117713	0.016	0.365	   -5.806
ENSG00000182109	0.004	0.353	    1.747
ENSG00000108433	0.056	0.339	   -3.889
ENSG00000174579	0.003	0.331	   -4.949
ENSG00000123095	0.123	0.327	    0.000
ENSG00000152128	0.324	0.324	    3.936
ENSG00000004534	0.002	0.310	   -4.897
ENSG00000183426	0.308	0.308	    2.996
ENSG00000183793	0.308	0.308	   -2.806
ENSG00000182782	0.005	0.278	    0.000
ENSG00000106948	0.103	0.278	    3.959
ENSG00000154127	0.005	0.266	    0.000
ENSG00000196821	0.112	0.249	    5.967
ENSG00000143412	0.011	0.232	    0.000
ENSG00000101460	0.037	0.225	    3.956
ENSG00000259359	0.218	0.218	    4.072
ENSG00000132855	0.029	0.189	   -3.256
ENSG00000103642	0.015	0.174	    0.000
ENSG00000149485	0.035	0.165	   -7.281
ENSG00000157045	0.097	0.163	    3.921
ENSG00000197345	0.044	0.161	   -3.611
ENSG00000143106	0.070	0.155	    0.000
ENSG00000143319	0.032	0.155	    0.000
ENSG00000133574	0.001	0.148	    0.000
ENSG00000143575	0.140	0.140	    0.000
ENSG00000267282	0.007	0.134	    0.000
ENSG00000250091	0.022	0.127	    0.000
ENSG00000260063	0.003	0.122	    0.000
ENSG00000095485	0.078	0.121	   -3.808
ENSG00000168496	0.022	0.116	    0.000
ENSG00000250508	0.032	0.111	   -2.870
ENSG00000124713	0.047	0.111	    3.604
ENSG00000204520	0.010	0.108	    3.515
ENSG00000152291	0.075	0.107	    4.067
ENSG00000261819	0.102	0.107	    0.000
ENSG00000141096	0.003	0.104	    0.000
ENSG00000108861	0.003	0.101	   -2.415
ENSG00000124587	0.038	0.101	   -3.138
ENSG00000112640	0.027	0.101	    3.411
ENSG00000169679	0.014	0.093	    0.000
ENSG00000221968	0.003	0.092	   -7.481
ENSG00000280152	0.084	0.088	    3.058
