Gene	GRCP	GLCP	TWAS_z
ENSG00000087237	0.052	0.948	   41.763
ENSG00000143126	0.310	0.878	   -7.392
ENSG00000152291	0.014	0.845	    4.912
ENSG00000198099	0.001	0.715	    0.773
ENSG00000090621	0.009	0.688	   -6.778
ENSG00000182109	0.007	0.654	    1.763
ENSG00000154127	0.026	0.607	    0.000
ENSG00000134243	0.069	0.582	    0.000
ENSG00000250091	0.009	0.420	   -6.468
ENSG00000060642	0.005	0.413	   -5.545
ENSG00000223745	0.009	0.397	    3.101
ENSG00000277494	0.007	0.379	    0.000
ENSG00000161180	0.001	0.358	   -5.811
ENSG00000119242	0.003	0.339	    0.000
ENSG00000246575	0.027	0.318	   -4.927
ENSG00000117505	0.022	0.300	    0.000
ENSG00000108433	0.002	0.284	   -3.934
ENSG00000184371	0.265	0.269	    0.000
ENSG00000057608	0.115	0.264	    3.902
ENSG00000260063	0.001	0.246	    0.000
ENSG00000270028	0.006	0.236	    0.000
ENSG00000279140	0.099	0.199	    0.000
ENSG00000004534	0.003	0.198	   -4.878
ENSG00000101460	0.002	0.194	    3.898
ENSG00000159753	0.001	0.158	    0.000
ENSG00000143303	0.007	0.131	    0.000
ENSG00000134824	0.001	0.129	    0.000
ENSG00000134825	0.002	0.121	    0.000
ENSG00000281691	0.003	0.111	    0.000
ENSG00000131748	0.001	0.108	    0.000
ENSG00000176473	0.006	0.105	    3.117
ENSG00000270130	0.001	0.088	    0.000
ENSG00000271751	0.001	0.081	   -3.404
ENSG00000228060	0.006	0.081	    0.000
ENSG00000130204	0.002	0.076	    0.000
ENSG00000167258	0.000	0.074	   -7.129
ENSG00000185651	0.001	0.070	    0.000
ENSG00000139269	0.017	0.066	    0.000
ENSG00000155158	0.002	0.057	   10.127
ENSG00000196821	0.002	0.056	    5.970
ENSG00000182782	0.001	0.055	    0.654
ENSG00000037042	0.001	0.052	   -3.338
ENSG00000102901	0.003	0.051	    0.000
ENSG00000164850	0.001	0.050	   -3.178
ENSG00000103642	0.000	0.050	    0.000
ENSG00000164849	0.005	0.049	    0.000
ENSG00000103550	0.001	0.049	   -3.356
ENSG00000158161	0.001	0.046	    3.528
ENSG00000117280	0.000	0.041	   -2.608
ENSG00000003756	0.001	0.041	    0.000
ENSG00000134575	0.001	0.041	    0.000
ENSG00000143319	0.004	0.039	    0.000
ENSG00000178188	0.000	0.038	   -3.028
ENSG00000009950	0.001	0.038	   -4.748
ENSG00000138594	0.000	0.038	   -2.792
ENSG00000256269	0.001	0.038	    2.555
ENSG00000117500	0.000	0.038	    0.000
ENSG00000072958	0.001	0.037	   -2.761
ENSG00000130203	0.001	0.037	    0.000
ENSG00000143314	0.000	0.033	    0.000
ENSG00000274080	0.001	0.033	   -5.193
ENSG00000269938	0.000	0.031	    0.000
ENSG00000259982	0.000	0.031	    2.954
ENSG00000185236	0.001	0.030	    0.000
ENSG00000108306	0.000	0.030	    0.000
ENSG00000132740	0.002	0.029	    3.617
ENSG00000110080	0.001	0.029	    0.000
ENSG00000168938	0.000	0.029	   -2.449
ENSG00000141744	0.000	0.029	    0.000
ENSG00000095397	0.001	0.028	   -2.980
ENSG00000255750	0.002	0.027	    0.000
ENSG00000187676	0.001	0.027	   -2.121
ENSG00000230224	0.001	0.027	    0.000
ENSG00000176953	0.001	0.027	    3.332
ENSG00000124191	0.000	0.026	   -1.726
ENSG00000280832	0.001	0.024	    0.000
ENSG00000270048	0.000	0.024	    0.000
ENSG00000280128	0.000	0.023	    2.097
ENSG00000270095	0.000	0.023	    0.000
ENSG00000179195	0.000	0.023	    0.000
ENSG00000267282	0.002	0.023	    0.000
ENSG00000270061	0.000	0.023	    0.000
ENSG00000122870	0.000	0.021	    0.000
ENSG00000092439	0.000	0.021	    0.000
ENSG00000131462	0.000	0.021	    0.000
ENSG00000206869	0.002	0.020	    0.000
ENSG00000179627	0.000	0.020	    0.000
ENSG00000251417	0.000	0.020	   -3.010
ENSG00000142208	0.001	0.020	    0.000
ENSG00000023516	0.001	0.019	    3.309
ENSG00000261766	0.000	0.019	    0.000
ENSG00000025434	0.000	0.018	    0.000
ENSG00000014641	0.000	0.018	    0.000
ENSG00000261195	0.000	0.017	    0.000
ENSG00000161395	0.000	0.017	    6.861
ENSG00000151914	0.000	0.017	    0.000
ENSG00000236809	0.000	0.016	    0.000
ENSG00000213445	0.013	0.016	    4.084
ENSG00000149428	0.000	0.016	    0.000
ENSG00000122483	0.000	0.016	    0.000
ENSG00000147874	0.000	0.016	    0.000
ENSG00000269997	0.000	0.015	    0.000
ENSG00000141736	0.000	0.015	    0.000
ENSG00000089847	0.003	0.014	   -1.274
ENSG00000183426	0.014	0.014	    3.033
ENSG00000173991	0.001	0.014	    0.000
ENSG00000015676	0.000	0.014	    2.499
ENSG00000159792	0.002	0.014	    0.000
ENSG00000259876	0.000	0.014	    0.000
ENSG00000226221	0.000	0.014	    0.000
