Gene	GRCP	GLCP	TWAS_z
ENSG00000087237	0.062	0.986	   39.818
ENSG00000160796	0.160	0.974	   -3.858
ENSG00000143303	0.058	0.914	   -2.966
ENSG00000143294	0.001	0.907	    2.446
ENSG00000246090	0.009	0.768	    0.136
ENSG00000185236	0.016	0.734	    7.046
ENSG00000168496	0.012	0.660	    0.000
ENSG00000134575	0.002	0.654	   11.436
ENSG00000117505	0.086	0.650	   -5.126
ENSG00000142208	0.034	0.617	    1.523
ENSG00000152291	0.026	0.597	    1.282
ENSG00000221968	0.012	0.576	    0.000
ENSG00000110080	0.015	0.560	    2.929
ENSG00000102904	0.004	0.550	    0.000
ENSG00000143126	0.268	0.540	   -7.172
ENSG00000090621	0.012	0.530	   -6.989
ENSG00000250091	0.005	0.457	   -6.140
ENSG00000188038	0.015	0.432	    0.000
ENSG00000179195	0.002	0.426	    5.829
ENSG00000060642	0.005	0.395	   -5.566
ENSG00000154127	0.006	0.359	   -3.401
ENSG00000243970	0.012	0.346	    1.258
ENSG00000246575	0.007	0.310	   -2.944
ENSG00000260063	0.002	0.296	   -5.496
ENSG00000197894	0.001	0.270	    0.279
ENSG00000003756	0.010	0.266	    0.000
ENSG00000119242	0.002	0.258	   -5.950
ENSG00000254093	0.002	0.258	    0.000
ENSG00000108852	0.030	0.249	    0.942
ENSG00000164849	0.029	0.247	   -4.261
ENSG00000167772	0.022	0.241	    0.000
ENSG00000233927	0.029	0.231	    3.075
ENSG00000038358	0.011	0.214	    0.000
ENSG00000122483	0.003	0.203	    4.701
ENSG00000182109	0.002	0.195	    1.325
ENSG00000203799	0.001	0.193	   -2.380
ENSG00000174579	0.006	0.181	    0.000
ENSG00000108465	0.002	0.179	   -1.562
ENSG00000009950	0.001	0.175	   -5.375
ENSG00000141699	0.003	0.171	    3.347
ENSG00000102898	0.012	0.167	    0.000
ENSG00000281691	0.006	0.151	    0.000
ENSG00000101460	0.003	0.137	    3.906
ENSG00000280183	0.001	0.134	    3.325
ENSG00000090273	0.000	0.132	   -0.593
ENSG00000184451	0.001	0.132	    3.267
ENSG00000185651	0.001	0.124	    0.000
ENSG00000130173	0.006	0.112	    0.000
ENSG00000137312	0.002	0.106	    3.058
ENSG00000165476	0.003	0.101	    1.248
ENSG00000132740	0.010	0.097	    3.622
ENSG00000069275	0.000	0.094	    2.820
ENSG00000161180	0.000	0.091	   -5.429
ENSG00000117500	0.002	0.090	    5.151
ENSG00000114054	0.000	0.082	    2.753
ENSG00000278967	0.001	0.080	    0.000
ENSG00000197345	0.019	0.077	   -3.868
ENSG00000010310	0.002	0.076	   -3.500
ENSG00000137161	0.001	0.074	   -0.180
ENSG00000280832	0.001	0.072	    2.281
ENSG00000108861	0.001	0.071	   -2.711
ENSG00000131042	0.002	0.068	   -5.051
ENSG00000124713	0.001	0.067	    3.108
ENSG00000165113	0.001	0.066	    3.298
ENSG00000188763	0.001	0.065	    0.000
ENSG00000253368	0.000	0.064	    0.000
ENSG00000111785	0.000	0.062	    0.000
ENSG00000170509	0.001	0.059	   -2.059
ENSG00000143575	0.011	0.059	   -4.110
ENSG00000159792	0.008	0.055	    0.000
ENSG00000211689	0.001	0.054	    3.353
ENSG00000143951	0.000	0.053	    2.724
ENSG00000267185	0.000	0.053	    0.000
ENSG00000158161	0.001	0.053	    3.468
ENSG00000134824	0.000	0.051	    2.377
ENSG00000108306	0.000	0.049	    0.000
ENSG00000044115	0.000	0.049	    2.866
ENSG00000231113	0.003	0.047	   -0.310
ENSG00000116641	0.000	0.045	    0.000
ENSG00000130164	0.001	0.044	   -3.524
ENSG00000142230	0.001	0.040	    0.000
ENSG00000117280	0.001	0.040	   -2.309
ENSG00000161649	0.001	0.039	    0.000
ENSG00000228060	0.003	0.038	   -6.790
ENSG00000261766	0.000	0.036	   -3.062
ENSG00000108433	0.001	0.035	   -3.859
ENSG00000148057	0.001	0.035	    3.424
ENSG00000146540	0.001	0.034	   -3.508
ENSG00000271751	0.002	0.034	   -3.362
ENSG00000149428	0.001	0.034	    1.129
ENSG00000259982	0.000	0.031	    2.149
ENSG00000131470	0.001	0.031	    3.305
ENSG00000213463	0.003	0.030	    3.517
ENSG00000120725	0.000	0.030	   -2.913
ENSG00000275807	0.000	0.029	   -2.895
ENSG00000108785	0.000	0.028	   -3.173
ENSG00000175164	0.001	0.028	   -3.348
ENSG00000234616	0.001	0.026	   -3.217
ENSG00000204618	0.003	0.026	    3.387
ENSG00000122870	0.000	0.025	    0.000
ENSG00000095485	0.003	0.024	   -3.817
ENSG00000165832	0.001	0.024	   -2.288
ENSG00000130749	0.000	0.023	    0.000
ENSG00000177575	0.001	0.023	    3.428
ENSG00000279285	0.000	0.023	    2.649
ENSG00000014641	0.000	0.022	    2.924
ENSG00000260404	0.000	0.022	    0.447
ENSG00000135862	0.000	0.022	   -2.977
ENSG00000270130	0.000	0.022	    0.000
ENSG00000269997	0.000	0.022	    0.000
ENSG00000160695	0.001	0.022	   -1.527
ENSG00000103550	0.002	0.021	   -3.293
ENSG00000140105	0.001	0.021	   -2.557
ENSG00000134222	0.002	0.020	   -4.707
ENSG00000141736	0.000	0.020	    0.000
ENSG00000069956	0.000	0.020	    0.000
ENSG00000270061	0.000	0.020	    0.000
ENSG00000209482	0.000	0.019	    0.000
ENSG00000183426	0.015	0.019	    2.983
ENSG00000183098	0.000	0.019	    2.876
ENSG00000273733	0.000	0.019	    0.000
ENSG00000123095	0.001	0.019	    0.000
ENSG00000244067	0.000	0.018	    2.752
ENSG00000105856	0.000	0.018	    0.000
ENSG00000176986	0.000	0.018	    0.000
ENSG00000131748	0.001	0.018	    0.000
ENSG00000099834	0.000	0.018	   -2.895
ENSG00000256616	0.000	0.017	   -2.569
ENSG00000204219	0.001	0.017	   -3.587
ENSG00000267076	0.000	0.016	   -2.805
ENSG00000066629	0.000	0.016	   -3.156
ENSG00000179673	0.000	0.016	   -0.386
ENSG00000144224	0.000	0.016	   -3.131
ENSG00000267643	0.000	0.016	    2.833
ENSG00000269243	0.000	0.016	    0.000
ENSG00000170442	0.000	0.016	    2.590
ENSG00000198898	0.000	0.016	    0.000
ENSG00000235119	0.001	0.016	    0.000
ENSG00000164096	0.000	0.015	    2.777
ENSG00000143314	0.000	0.015	   -0.714
ENSG00000267162	0.000	0.015	   -2.757
ENSG00000025434	0.000	0.015	    0.000
ENSG00000015676	0.000	0.014	    2.598
ENSG00000177030	0.000	0.014	   -3.239
ENSG00000168488	0.000	0.014	    0.000
ENSG00000158825	0.001	0.014	    3.104
ENSG00000176953	0.000	0.014	    0.000
ENSG00000236526	0.000	0.013	    0.000
ENSG00000251417	0.000	0.013	   -3.012
ENSG00000226816	0.000	0.013	    2.383
ENSG00000141744	0.000	0.013	   -0.214
ENSG00000204381	0.000	0.013	    2.819
ENSG00000143319	0.001	0.012	    0.000
ENSG00000147324	0.000	0.012	   -2.593
ENSG00000109163	0.000	0.012	   -1.408
ENSG00000245573	0.000	0.012	    0.000
ENSG00000072958	0.000	0.012	   -2.397
ENSG00000178966	0.000	0.012	    3.100
ENSG00000240634	0.000	0.012	    0.000
ENSG00000178188	0.001	0.011	   -3.211
ENSG00000118007	0.000	0.011	    0.000
ENSG00000178425	0.002	0.011	   -2.377
ENSG00000136240	0.000	0.011	    0.684
ENSG00000188486	0.000	0.011	    0.000
ENSG00000157045	0.001	0.011	    0.000
ENSG00000184110	0.000	0.011	    2.800
ENSG00000165119	0.000	0.011	    3.151
ENSG00000171105	0.001	0.011	   -3.435
ENSG00000245849	0.000	0.011	    0.000
ENSG00000272072	0.000	0.011	    0.000
ENSG00000258521	0.000	0.011	    2.569
ENSG00000134490	0.000	0.011	    3.251
ENSG00000223572	0.010	0.010	    3.466
ENSG00000213445	0.006	0.010	    2.389
ENSG00000181626	0.000	0.010	    2.470
ENSG00000275409	0.000	0.010	   -2.595
ENSG00000164825	0.000	0.010	    0.023
ENSG00000112339	0.000	0.010	   -1.114
ENSG00000055147	0.000	0.010	    2.487
ENSG00000148288	0.000	0.010	    0.000
ENSG00000161647	0.000	0.010	    0.000
ENSG00000204713	0.000	0.010	   -2.475
ENSG00000229399	0.000	0.009	   -0.041
ENSG00000023191	0.000	0.009	    1.949
ENSG00000112640	0.000	0.009	    0.000
ENSG00000170604	0.000	0.009	   -2.493
ENSG00000197935	0.000	0.009	   -1.953
ENSG00000105204	0.000	0.009	    3.022
ENSG00000177042	0.000	0.009	   -2.760
ENSG00000115677	0.000	0.009	    3.056
ENSG00000176855	0.000	0.009	    0.000
ENSG00000204619	0.001	0.009	    0.000
ENSG00000113734	0.000	0.008	    2.633
ENSG00000106025	0.000	0.008	    2.822
ENSG00000198860	0.000	0.008	   -1.164
ENSG00000266824	0.000	0.008	    0.000
ENSG00000242574	0.000	0.008	    3.412
ENSG00000275759	0.000	0.008	   -2.514
ENSG00000015520	0.000	0.008	    0.751
ENSG00000166148	0.000	0.008	    2.840
ENSG00000214248	0.001	0.008	    0.000
ENSG00000174915	0.000	0.008	    2.482
ENSG00000264701	0.000	0.008	   -0.467
ENSG00000228008	0.000	0.008	    0.000
ENSG00000004534	0.000	0.008	   -4.882
ENSG00000230224	0.001	0.008	   -3.546
ENSG00000143033	0.000	0.008	    0.370
ENSG00000187653	0.000	0.008	    0.000
ENSG00000235313	0.000	0.008	    0.000
ENSG00000175793	0.000	0.008	    0.000
ENSG00000167083	0.000	0.008	    0.000
ENSG00000279513	0.000	0.007	    0.000
ENSG00000244752	0.000	0.007	    2.360
ENSG00000272941	0.000	0.007	    2.257
ENSG00000275784	0.000	0.007	   -2.694
ENSG00000180376	0.000	0.007	    0.637
ENSG00000196296	0.000	0.007	    0.000
ENSG00000186377	0.000	0.007	   -1.951
ENSG00000204463	0.001	0.007	    0.000
ENSG00000108588	0.000	0.007	   -1.281
ENSG00000124587	0.001	0.007	   -3.210
ENSG00000254635	0.000	0.007	   -0.001
ENSG00000283050	0.000	0.007	   -1.574
ENSG00000272186	0.000	0.007	   -1.895
ENSG00000169248	0.000	0.007	    0.246
ENSG00000023516	0.000	0.007	    0.000
ENSG00000276073	0.000	0.007	   -2.180
ENSG00000133812	0.000	0.007	    1.117
ENSG00000175395	0.000	0.007	   -1.726
ENSG00000198453	0.000	0.007	    0.967
