Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.027	1.000	   -3.996
ENSG00000280390	0.032	0.992	   14.811
ENSG00000175213	0.026	0.969	    9.158
ENSG00000160796	0.206	0.880	   -4.136
ENSG00000090621	0.003	0.822	   -6.546
ENSG00000151148	0.014	0.817	   -8.097
ENSG00000087237	0.180	0.813	   40.712
ENSG00000246090	0.297	0.809	    0.086
ENSG00000228060	0.055	0.675	   -7.369
ENSG00000179627	0.029	0.640	    0.000
ENSG00000250091	0.025	0.548	   -6.646
ENSG00000168496	0.028	0.477	    0.000
ENSG00000154127	0.006	0.409	    0.000
ENSG00000060642	0.004	0.399	   -5.559
ENSG00000076984	0.073	0.377	   -1.530
ENSG00000246575	0.025	0.361	   -3.890
ENSG00000185651	0.004	0.348	    0.000
ENSG00000243970	0.004	0.320	    0.790
ENSG00000223745	0.001	0.309	    2.589
ENSG00000260063	0.002	0.296	   -5.467
ENSG00000135535	0.001	0.278	    0.000
ENSG00000143303	0.012	0.258	    0.000
ENSG00000259672	0.003	0.252	    0.000
ENSG00000100979	0.003	0.226	   -6.062
ENSG00000109917	0.003	0.213	  -14.114
ENSG00000152291	0.006	0.211	   -2.114
ENSG00000005243	0.002	0.205	    3.970
ENSG00000004534	0.005	0.202	   -4.965
ENSG00000273342	0.000	0.182	    0.000
ENSG00000270061	0.002	0.181	    4.489
ENSG00000131771	0.001	0.170	    0.000
ENSG00000117713	0.002	0.155	    0.000
ENSG00000179195	0.004	0.138	    0.000
ENSG00000270028	0.004	0.137	    0.000
ENSG00000149485	0.001	0.126	    0.000
ENSG00000196821	0.006	0.126	    6.103
ENSG00000164078	0.001	0.126	    0.000
ENSG00000101460	0.002	0.122	    3.916
ENSG00000128298	0.000	0.117	   -2.414
ENSG00000122483	0.001	0.116	    3.963
ENSG00000270095	0.001	0.116	    0.000
ENSG00000132740	0.003	0.114	    3.725
ENSG00000269938	0.001	0.113	    0.000
ENSG00000267765	0.001	0.100	    0.000
ENSG00000271751	0.001	0.086	   -3.497
ENSG00000188038	0.001	0.081	    0.000
ENSG00000197345	0.006	0.079	   -3.650
ENSG00000161179	0.000	0.076	    0.000
ENSG00000114054	0.000	0.075	    2.768
ENSG00000145743	0.001	0.071	    3.589
ENSG00000185607	0.000	0.071	    0.000
ENSG00000259982	0.003	0.070	    0.940
ENSG00000112640	0.001	0.067	    3.667
ENSG00000230224	0.002	0.064	   -3.932
ENSG00000182109	0.000	0.064	    2.279
ENSG00000179673	0.000	0.060	    0.000
ENSG00000182782	0.000	0.060	    0.000
ENSG00000224331	0.001	0.058	    0.000
ENSG00000269997	0.001	0.057	    0.000
ENSG00000158161	0.001	0.054	    3.460
ENSG00000143575	0.012	0.053	   -4.107
ENSG00000234616	0.001	0.053	   -3.271
ENSG00000103642	0.001	0.051	   -4.920
ENSG00000110090	0.001	0.050	    0.000
ENSG00000254093	0.000	0.048	    0.000
ENSG00000180210	0.003	0.048	    0.000
ENSG00000141086	0.000	0.046	    0.000
ENSG00000175220	0.001	0.044	    5.221
ENSG00000160695	0.002	0.044	   -3.645
ENSG00000102898	0.001	0.044	    0.000
ENSG00000178188	0.000	0.042	   -3.006
ENSG00000164849	0.004	0.042	    0.000
ENSG00000184110	0.000	0.042	    2.986
ENSG00000117280	0.009	0.040	   -3.264
ENSG00000224079	0.000	0.040	    3.165
ENSG00000069275	0.001	0.040	    3.113
ENSG00000068878	0.000	0.039	    3.318
ENSG00000111879	0.001	0.038	    3.442
ENSG00000229124	0.001	0.037	    3.087
ENSG00000248593	0.000	0.036	    1.361
ENSG00000120725	0.000	0.035	   -3.072
ENSG00000134825	0.001	0.034	    0.000
ENSG00000176953	0.001	0.033	    3.369
ENSG00000117500	0.000	0.031	    2.824
ENSG00000177548	0.000	0.030	    2.846
ENSG00000267282	0.002	0.030	    0.000
ENSG00000274080	0.000	0.029	    0.000
ENSG00000170634	0.000	0.028	    3.019
ENSG00000043591	0.002	0.028	    0.000
ENSG00000095397	0.000	0.027	   -3.144
ENSG00000124713	0.001	0.027	    3.317
ENSG00000141744	0.000	0.027	    0.000
ENSG00000110080	0.001	0.027	    2.404
ENSG00000095485	0.003	0.026	   -3.334
ENSG00000003756	0.001	0.026	    0.000
ENSG00000137404	0.001	0.025	   -2.139
ENSG00000159792	0.002	0.024	    0.000
ENSG00000181524	0.000	0.024	    0.000
ENSG00000164265	0.001	0.024	    3.000
ENSG00000226221	0.001	0.024	    0.000
ENSG00000282890	0.000	0.023	    0.000
ENSG00000204520	0.006	0.023	    3.529
ENSG00000270048	0.000	0.023	    0.000
ENSG00000175832	0.000	0.023	    0.000
ENSG00000103932	0.001	0.022	   -4.719
ENSG00000130749	0.000	0.022	    0.000
ENSG00000251417	0.000	0.022	   -1.246
ENSG00000206341	0.001	0.022	   -1.665
ENSG00000148057	0.000	0.022	    2.906
ENSG00000010327	0.018	0.021	    0.000
ENSG00000072958	0.001	0.021	   -3.179
ENSG00000088298	0.000	0.021	   -2.331
ENSG00000103550	0.001	0.020	   -2.794
ENSG00000260686	0.000	0.020	    0.000
ENSG00000228962	0.001	0.020	   -1.502
ENSG00000270424	0.000	0.020	    2.560
ENSG00000014641	0.000	0.019	    2.916
ENSG00000023516	0.001	0.019	    3.291
ENSG00000124564	0.001	0.019	    0.000
ENSG00000227191	0.000	0.019	   -2.875
ENSG00000228265	0.000	0.018	   -2.882
ENSG00000261195	0.000	0.018	    0.000
ENSG00000155875	0.000	0.018	   -3.148
ENSG00000175164	0.001	0.018	   -3.341
ENSG00000143319	0.002	0.018	    0.000
ENSG00000137312	0.001	0.018	    3.539
ENSG00000099203	0.000	0.017	    0.000
ENSG00000260853	0.001	0.016	    0.000
ENSG00000276571	0.000	0.016	    0.000
ENSG00000166477	0.000	0.016	    0.000
ENSG00000220205	0.001	0.016	    3.321
ENSG00000137700	0.001	0.015	    2.606
ENSG00000183426	0.014	0.015	    2.946
ENSG00000142230	0.000	0.015	    0.000
ENSG00000111328	0.000	0.015	    0.000
ENSG00000183793	0.014	0.014	   -2.939
ENSG00000266962	0.000	0.014	    0.000
ENSG00000278967	0.000	0.014	    0.000
ENSG00000275784	0.000	0.014	    0.000
ENSG00000271984	0.000	0.014	    0.000
ENSG00000173991	0.001	0.014	    0.000
ENSG00000108786	0.000	0.014	   -2.544
ENSG00000279853	0.000	0.014	    0.000
ENSG00000122870	0.000	0.014	    2.401
ENSG00000240634	0.000	0.013	   -3.087
ENSG00000069956	0.000	0.013	    0.000
ENSG00000277332	0.000	0.013	    0.000
ENSG00000236680	0.000	0.013	   -2.631
ENSG00000270130	0.000	0.013	    0.000
ENSG00000260442	0.000	0.013	    0.000
ENSG00000236526	0.000	0.012	    0.000
ENSG00000230911	0.000	0.012	    2.843
ENSG00000175707	0.001	0.012	    0.000
ENSG00000277494	0.002	0.012	    4.969
ENSG00000078140	0.000	0.012	    2.896
ENSG00000196296	0.000	0.012	    2.704
ENSG00000275759	0.000	0.012	   -2.548
ENSG00000133812	0.000	0.012	    0.000
ENSG00000273733	0.000	0.012	    0.000
ENSG00000115677	0.000	0.012	    3.055
ENSG00000151914	0.000	0.011	    0.000
ENSG00000276445	0.000	0.011	   -3.054
ENSG00000100815	0.000	0.011	   -2.247
ENSG00000146374	0.001	0.011	    0.000
ENSG00000256269	0.001	0.011	    2.476
ENSG00000101464	0.000	0.011	    0.000
ENSG00000141736	0.000	0.011	    0.000
ENSG00000229152	0.000	0.011	   -3.137
ENSG00000161647	0.000	0.010	    0.000
ENSG00000106025	0.000	0.010	   -2.809
ENSG00000204257	0.000	0.010	    3.294
ENSG00000100221	0.000	0.010	    0.000
ENSG00000224468	0.000	0.010	    1.947
ENSG00000035115	0.000	0.010	    2.863
ENSG00000170956	0.000	0.010	    0.000
ENSG00000161649	0.000	0.010	    0.000
ENSG00000242574	0.001	0.010	    3.306
ENSG00000095321	0.000	0.010	    2.387
ENSG00000260796	0.000	0.009	    0.000
ENSG00000197498	0.000	0.009	    2.102
ENSG00000129244	0.000	0.009	    0.645
ENSG00000240065	0.000	0.009	    2.550
ENSG00000162607	0.000	0.009	    0.000
ENSG00000248874	0.000	0.009	   -2.324
ENSG00000203799	0.000	0.009	    2.951
ENSG00000237934	0.000	0.009	    0.000
ENSG00000245958	0.000	0.009	   -0.567
ENSG00000145740	0.000	0.008	    2.742
ENSG00000250412	0.000	0.008	    1.580
ENSG00000185022	0.000	0.008	    0.000
ENSG00000109846	0.000	0.008	    2.572
ENSG00000113734	0.000	0.008	    2.963
ENSG00000238231	0.000	0.008	   -1.840
ENSG00000136267	0.000	0.008	   -1.999
ENSG00000152128	0.000	0.008	    3.174
ENSG00000015676	0.000	0.008	    2.535
ENSG00000168297	0.000	0.008	    1.199
ENSG00000124568	0.000	0.008	   -3.292
ENSG00000198105	0.000	0.008	   -1.706
ENSG00000268030	0.000	0.008	   -2.131
ENSG00000174628	0.000	0.008	    0.000
ENSG00000279159	0.001	0.008	   -1.524
ENSG00000157895	0.000	0.008	    0.017
ENSG00000226816	0.000	0.008	   -1.028
ENSG00000100196	0.000	0.008	   -0.890
ENSG00000283443	0.000	0.008	   -0.444
ENSG00000176155	0.000	0.008	    1.363
ENSG00000277383	0.000	0.008	    0.000
ENSG00000138750	0.000	0.007	   -1.917
ENSG00000140105	0.000	0.007	   -1.782
ENSG00000162039	0.000	0.007	   -1.366
ENSG00000198131	0.000	0.007	    3.074
ENSG00000185507	0.000	0.007	   -2.430
ENSG00000100316	0.000	0.007	    2.389
ENSG00000174775	0.001	0.007	    3.163
ENSG00000276073	0.000	0.007	   -2.088
ENSG00000249915	0.000	0.007	   -1.503
ENSG00000149428	0.000	0.007	    0.000
ENSG00000124562	0.000	0.007	   -5.713
ENSG00000131470	0.000	0.007	    2.757
ENSG00000230613	0.000	0.007	    0.000
ENSG00000237668	0.000	0.007	   -2.381
ENSG00000139985	0.000	0.007	    3.006
ENSG00000196693	0.000	0.007	    2.313
ENSG00000132837	0.000	0.007	    0.000
ENSG00000133739	0.000	0.007	    0.228
ENSG00000162040	0.000	0.007	    1.677
ENSG00000217130	0.000	0.007	    0.000
ENSG00000091879	0.000	0.007	    0.000
ENSG00000228274	0.000	0.007	   -2.260
ENSG00000236475	0.000	0.007	    2.550
ENSG00000198898	0.000	0.007	    0.000
ENSG00000176903	0.000	0.007	   -2.564
ENSG00000253404	0.000	0.007	   -2.806
ENSG00000184517	0.000	0.007	    1.979
ENSG00000138592	0.000	0.007	    1.991
ENSG00000270409	0.000	0.007	    2.180
ENSG00000260551	0.000	0.006	   -1.166
ENSG00000196684	0.000	0.006	    0.000
ENSG00000182722	0.000	0.006	   -2.429
ENSG00000152409	0.000	0.006	   -2.732
ENSG00000265943	0.000	0.006	    2.267
ENSG00000258521	0.000	0.006	    0.000
ENSG00000108578	0.001	0.006	    0.445
ENSG00000250686	0.000	0.006	    0.905
ENSG00000235119	0.000	0.006	    0.000
ENSG00000175395	0.000	0.006	   -1.727
ENSG00000185823	0.000	0.006	   -1.835
ENSG00000278765	0.000	0.006	   -2.552
ENSG00000111707	0.000	0.006	   -0.396
ENSG00000196993	0.000	0.006	   -3.004
ENSG00000112343	0.000	0.006	    0.000
ENSG00000120688	0.000	0.006	    3.011
ENSG00000268516	0.000	0.006	    2.915
ENSG00000148925	0.000	0.006	    2.674
ENSG00000143727	0.000	0.006	    2.550
ENSG00000261621	0.000	0.006	    0.419
ENSG00000177030	0.000	0.006	    0.000
ENSG00000185523	0.000	0.006	    1.063
ENSG00000229453	0.000	0.006	   -2.103
ENSG00000163116	0.000	0.006	   -0.694
ENSG00000182472	0.000	0.006	    0.000
ENSG00000173567	0.000	0.006	    0.000
ENSG00000163257	0.000	0.006	   -2.176
ENSG00000204267	0.000	0.006	   -0.101
ENSG00000267892	0.000	0.006	   -1.545
ENSG00000263412	0.000	0.006	    2.748
ENSG00000249244	0.000	0.006	    1.614
ENSG00000120051	0.000	0.006	    2.943
ENSG00000131055	0.000	0.006	   -2.436
ENSG00000258904	0.000	0.005	    3.047
ENSG00000198646	0.000	0.005	   -2.791
ENSG00000258666	0.000	0.005	   -2.819
ENSG00000198837	0.000	0.005	    1.269
ENSG00000122733	0.000	0.005	   -1.837
ENSG00000119383	0.000	0.005	    2.427
ENSG00000100319	0.000	0.005	    0.000
ENSG00000198162	0.000	0.005	    0.000
ENSG00000100211	0.000	0.005	    0.479
ENSG00000232748	0.000	0.005	   -2.316
ENSG00000144035	0.000	0.005	   -1.767
ENSG00000266970	0.000	0.005	    0.431
ENSG00000132182	0.000	0.005	    0.000
ENSG00000196793	0.000	0.005	    1.851
ENSG00000242349	0.000	0.005	    1.635
ENSG00000086015	0.000	0.005	   -2.835
ENSG00000037042	0.000	0.005	   -2.793
ENSG00000184898	0.000	0.005	   -1.941
ENSG00000174915	0.000	0.005	    2.350
ENSG00000112282	0.000	0.005	   -2.845
ENSG00000113946	0.000	0.005	    2.726
ENSG00000197442	0.000	0.005	    0.000
ENSG00000117174	0.000	0.005	    2.222
ENSG00000146006	0.000	0.005	    0.000
ENSG00000231817	0.000	0.005	    2.164
ENSG00000250848	0.000	0.005	   -1.470
ENSG00000272858	0.000	0.005	   -0.014
ENSG00000226251	0.000	0.005	    2.636
ENSG00000172869	0.000	0.005	   -3.301
ENSG00000108773	0.000	0.005	    0.000
ENSG00000164329	0.000	0.005	    0.000
ENSG00000137338	0.000	0.005	    2.754
ENSG00000164889	0.000	0.005	    1.789
ENSG00000172543	0.000	0.005	   -3.610
ENSG00000166321	0.000	0.005	   -1.565
ENSG00000112041	0.005	0.005	   -3.840
ENSG00000054392	0.000	0.005	    2.145
ENSG00000011523	0.000	0.005	    0.000
ENSG00000224205	0.000	0.005	   -1.443
ENSG00000235413	0.000	0.005	    0.000
ENSG00000110435	0.000	0.005	    1.831
ENSG00000124151	0.000	0.005	    1.316
ENSG00000266654	0.000	0.004	    1.486
ENSG00000280069	0.000	0.004	    1.188
ENSG00000198468	0.000	0.004	    2.482
ENSG00000187166	0.000	0.004	   -2.506
ENSG00000203706	0.000	0.004	    1.382
ENSG00000236756	0.000	0.004	   -1.412
ENSG00000171703	0.000	0.004	    2.708
ENSG00000249846	0.000	0.004	    0.369
ENSG00000163029	0.000	0.004	   -2.530
ENSG00000260034	0.000	0.004	   -2.134
ENSG00000248646	0.000	0.004	   -0.611
ENSG00000238021	0.000	0.004	   -0.894
ENSG00000230939	0.000	0.004	   -0.104
ENSG00000174123	0.000	0.004	    1.959
ENSG00000235298	0.000	0.004	    0.000
ENSG00000273038	0.000	0.004	    1.617
ENSG00000248092	0.000	0.004	    1.672
ENSG00000221983	0.000	0.004	    2.698
ENSG00000203896	0.000	0.004	   -2.069
ENSG00000168291	0.000	0.004	    1.090
ENSG00000274330	0.000	0.004	   -2.598
ENSG00000231441	0.000	0.004	    2.534
ENSG00000257735	0.000	0.004	    0.000
ENSG00000253966	0.000	0.004	    0.000
ENSG00000263603	0.000	0.004	    1.168
ENSG00000138744	0.000	0.004	   -0.619
ENSG00000185591	0.000	0.004	    2.360
ENSG00000087191	0.000	0.004	   -1.706
ENSG00000154305	0.000	0.004	   -2.581
ENSG00000235313	0.000	0.004	    0.000
ENSG00000178904	0.000	0.004	    0.000
ENSG00000275228	0.000	0.004	   -2.514
ENSG00000103496	0.000	0.004	    0.000
ENSG00000063169	0.000	0.004	    0.000
ENSG00000188994	0.000	0.004	    1.402
ENSG00000147432	0.000	0.004	   -1.283
ENSG00000134851	0.000	0.004	    1.934
ENSG00000197134	0.000	0.004	    0.263
ENSG00000270614	0.000	0.004	    1.227
ENSG00000188883	0.000	0.004	    0.682
ENSG00000264701	0.000	0.004	    0.000
ENSG00000182586	0.000	0.004	   -2.022
ENSG00000225693	0.000	0.004	    1.328
ENSG00000260886	0.000	0.004	   -2.706
ENSG00000166575	0.000	0.004	   -0.699
ENSG00000133706	0.000	0.004	   -1.652
ENSG00000130997	0.000	0.004	   -2.384
ENSG00000226438	0.000	0.004	    6.194
ENSG00000118514	0.000	0.004	   -2.100
ENSG00000124067	0.000	0.004	    0.000
ENSG00000067167	0.000	0.004	   -1.634
ENSG00000127483	0.000	0.004	   -2.092
ENSG00000078804	0.000	0.004	    0.000
ENSG00000229659	0.000	0.004	   -1.624
ENSG00000113597	0.000	0.004	    1.088
ENSG00000240280	0.000	0.004	    1.771
ENSG00000228063	0.000	0.004	    0.000
ENSG00000227345	0.000	0.004	   -2.673
ENSG00000265443	0.000	0.004	    0.000
ENSG00000256616	0.000	0.004	   -2.718
ENSG00000135976	0.000	0.004	   -1.481
ENSG00000006747	0.000	0.004	    1.103
ENSG00000255374	0.000	0.004	   -0.834
ENSG00000270091	0.000	0.004	   -2.387
ENSG00000170571	0.000	0.004	   -2.430
ENSG00000263531	0.000	0.004	   -1.810
ENSG00000159596	0.000	0.004	    1.173
ENSG00000122565	0.000	0.004	    0.000
ENSG00000271049	0.000	0.004	    2.140
ENSG00000250950	0.000	0.004	    0.000
ENSG00000169062	0.000	0.004	    2.381
ENSG00000228741	0.000	0.004	   -2.833
ENSG00000149089	0.000	0.004	   -0.973
ENSG00000108797	0.000	0.004	    3.229
ENSG00000225254	0.000	0.004	   -2.478
ENSG00000257918	0.000	0.004	   -2.545
ENSG00000172732	0.000	0.004	    0.000
ENSG00000113658	0.000	0.003	    1.762
ENSG00000272983	0.000	0.003	    1.587
ENSG00000182348	0.000	0.003	   -0.891
ENSG00000278978	0.000	0.003	    1.544
ENSG00000172650	0.000	0.003	   -1.348
ENSG00000272556	0.000	0.003	    1.797
ENSG00000144401	0.000	0.003	    1.876
ENSG00000198650	0.000	0.003	   -2.748
ENSG00000117461	0.000	0.003	    0.000
ENSG00000166148	0.000	0.003	    0.000
ENSG00000063854	0.000	0.003	    0.566
ENSG00000113318	0.000	0.003	    0.403
ENSG00000188603	0.000	0.003	   -2.170
ENSG00000141431	0.000	0.003	    0.000
ENSG00000169248	0.000	0.003	    0.572
ENSG00000108306	0.000	0.003	    0.000
ENSG00000151575	0.000	0.003	   -1.036
ENSG00000163060	0.000	0.003	    2.252
ENSG00000189223	0.000	0.003	    2.551
ENSG00000253540	0.000	0.003	    2.117
ENSG00000255222	0.000	0.003	    0.000
ENSG00000042980	0.000	0.003	    0.000
ENSG00000234420	0.000	0.003	    0.000
ENSG00000243646	0.000	0.003	   -0.262
ENSG00000119979	0.000	0.003	    0.000
ENSG00000213463	0.000	0.003	    2.404
ENSG00000128487	0.000	0.003	   -1.076
ENSG00000276128	0.000	0.003	    0.520
ENSG00000183562	0.000	0.003	    2.841
ENSG00000064225	0.000	0.003	    0.157
ENSG00000127948	0.000	0.003	    1.608
ENSG00000249274	0.000	0.003	   -0.494
ENSG00000265939	0.000	0.003	    2.396
ENSG00000196502	0.000	0.003	   -1.441
ENSG00000179029	0.000	0.003	    0.000
ENSG00000124786	0.000	0.003	    2.293
ENSG00000108468	0.000	0.003	    0.000
ENSG00000151366	0.000	0.003	   -1.851
ENSG00000115459	0.000	0.003	    0.000
ENSG00000140386	0.000	0.003	    2.148
ENSG00000282935	0.000	0.003	   -1.927
ENSG00000232855	0.000	0.003	    1.254
ENSG00000213462	0.000	0.003	    0.080
ENSG00000118094	0.000	0.003	    1.385
ENSG00000271824	0.000	0.003	   -1.655
ENSG00000168152	0.000	0.003	   -0.873
ENSG00000216937	0.000	0.003	   -2.309
ENSG00000026025	0.000	0.003	    0.000
ENSG00000066185	0.000	0.003	    0.274
ENSG00000180185	0.000	0.003	    1.501
