Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.170	0.997	   -4.652
ENSG00000167772	0.011	0.969	   -6.953
ENSG00000060642	0.005	0.732	   -5.583
ENSG00000087237	0.010	0.695	   39.943
ENSG00000182109	0.021	0.681	    1.561
ENSG00000228060	0.053	0.663	   -7.368
ENSG00000277494	0.015	0.603	    5.644
ENSG00000270028	0.012	0.535	   -6.279
ENSG00000250091	0.005	0.459	   -6.323
ENSG00000149485	0.004	0.457	   -8.344
ENSG00000154127	0.005	0.361	    0.000
ENSG00000246575	0.025	0.343	   -4.909
ENSG00000117713	0.005	0.330	   -3.978
ENSG00000281691	0.004	0.273	    0.000
ENSG00000260063	0.002	0.252	   -5.407
ENSG00000143126	0.005	0.248	    0.000
ENSG00000134575	0.000	0.214	    0.000
ENSG00000122483	0.004	0.212	    5.041
ENSG00000179195	0.003	0.206	    6.016
ENSG00000090621	0.006	0.196	   -6.967
ENSG00000134825	0.011	0.187	    0.000
ENSG00000270048	0.001	0.158	    0.000
ENSG00000069275	0.001	0.147	    2.892
ENSG00000161647	0.001	0.140	    0.000
ENSG00000132740	0.002	0.140	    3.822
ENSG00000173039	0.043	0.134	    0.000
ENSG00000204290	0.001	0.129	   -2.863
ENSG00000108306	0.000	0.124	   -7.122
ENSG00000101460	0.001	0.115	    3.793
ENSG00000201457	0.001	0.112	    0.000
ENSG00000270061	0.001	0.104	    0.000
ENSG00000146112	0.003	0.101	   -3.471
ENSG00000025434	0.004	0.098	    0.000
ENSG00000100982	0.003	0.097	    0.000
ENSG00000143319	0.017	0.095	    0.000
ENSG00000196821	0.005	0.088	    0.000
ENSG00000131470	0.000	0.085	    0.000
ENSG00000271751	0.002	0.082	   -3.571
ENSG00000137161	0.001	0.074	   -3.431
ENSG00000146374	0.000	0.069	    0.000
ENSG00000117500	0.001	0.066	    5.203
ENSG00000042445	0.000	0.065	    0.000
ENSG00000131748	0.001	0.061	    0.000
ENSG00000204580	0.000	0.058	    0.000
ENSG00000145743	0.000	0.058	    2.546
ENSG00000158711	0.001	0.056	    0.000
ENSG00000168496	0.001	0.055	    0.000
ENSG00000187553	0.002	0.055	    0.000
