Gene	GRCP	GLCP	TWAS_z
ENSG00000155158	0.093	0.950	    9.182
ENSG00000143303	0.023	0.935	   -3.072
ENSG00000143321	0.017	0.925	    3.459
ENSG00000168496	0.091	0.873	   -9.479
ENSG00000160796	0.070	0.854	   -3.502
ENSG00000175213	0.012	0.841	    9.133
ENSG00000167772	0.095	0.830	   -6.958
ENSG00000130204	0.087	0.814	    8.814
ENSG00000228060	0.202	0.803	   -7.340
ENSG00000182109	0.012	0.792	    1.515
ENSG00000277494	0.018	0.671	    5.496
ENSG00000102898	0.032	0.633	    0.000
ENSG00000281691	0.044	0.625	    4.802
ENSG00000231964	0.021	0.571	   -5.326
ENSG00000270028	0.052	0.567	   -6.387
ENSG00000134222	0.252	0.540	   -5.410
ENSG00000141744	0.075	0.517	    7.629
ENSG00000131771	0.015	0.467	   -6.060
ENSG00000060642	0.009	0.457	   -5.549
ENSG00000152291	0.089	0.433	    4.722
ENSG00000183763	0.005	0.389	    0.000
ENSG00000260063	0.007	0.356	   -5.515
ENSG00000110514	0.075	0.355	    1.097
ENSG00000246090	0.018	0.350	    0.371
ENSG00000250091	0.056	0.301	   -4.034
ENSG00000256894	0.071	0.286	    0.000
ENSG00000182782	0.004	0.274	    1.293
ENSG00000164850	0.260	0.260	   -4.704
ENSG00000213057	0.001	0.256	    0.570
ENSG00000109917	0.003	0.238	  -13.616
ENSG00000185651	0.005	0.229	    0.000
ENSG00000184371	0.229	0.229	    5.212
ENSG00000123095	0.107	0.223	    3.458
ENSG00000225940	0.028	0.220	    0.000
ENSG00000196072	0.011	0.219	   -0.156
ENSG00000161649	0.007	0.193	   -3.455
ENSG00000106638	0.015	0.193	    0.488
ENSG00000143412	0.017	0.192	    3.386
ENSG00000242866	0.040	0.191	   -0.303
ENSG00000133561	0.004	0.190	    3.074
ENSG00000229635	0.001	0.188	    0.000
ENSG00000069275	0.013	0.166	    3.249
ENSG00000123096	0.050	0.154	    1.378
ENSG00000256508	0.012	0.153	    3.525
ENSG00000176473	0.090	0.153	    1.893
ENSG00000003756	0.012	0.152	    0.000
ENSG00000102901	0.022	0.147	    0.000
ENSG00000178952	0.136	0.145	    0.671
ENSG00000002726	0.014	0.131	   -1.038
ENSG00000258521	0.010	0.128	    2.896
ENSG00000214894	0.049	0.127	    3.132
ENSG00000170236	0.014	0.122	    3.769
ENSG00000134824	0.011	0.119	    6.649
ENSG00000179195	0.002	0.117	    0.000
ENSG00000256249	0.008	0.116	   -0.720
ENSG00000101460	0.007	0.115	    3.872
ENSG00000087157	0.008	0.112	    3.138
ENSG00000201457	0.006	0.110	    0.000
ENSG00000082701	0.013	0.099	   -2.870
ENSG00000108468	0.005	0.098	    1.281
ENSG00000100979	0.002	0.088	   -0.558
ENSG00000273733	0.029	0.083	    5.680
ENSG00000078747	0.003	0.083	   -3.781
ENSG00000108852	0.032	0.081	    1.061
ENSG00000108306	0.003	0.080	   -7.121
ENSG00000237624	0.004	0.079	    4.816
ENSG00000183426	0.076	0.076	    2.497
ENSG00000183793	0.076	0.076	   -2.737
ENSG00000250508	0.006	0.074	   -2.123
ENSG00000254852	0.073	0.073	   -2.770
ENSG00000149485	0.001	0.071	    0.000
ENSG00000161180	0.002	0.071	   -4.995
ENSG00000026025	0.006	0.070	    1.266
ENSG00000118156	0.003	0.070	   -3.137
