Gene	GRCP	GLCP	TWAS_z
ENSG00000134222	0.140	0.999	   -4.831
ENSG00000243970	0.082	0.995	    2.914
ENSG00000184371	0.976	0.976	    5.869
ENSG00000143321	0.011	0.973	    3.402
ENSG00000155158	0.022	0.967	    9.289
ENSG00000143294	0.009	0.963	    3.544
ENSG00000109917	0.022	0.954	  -13.918
ENSG00000143303	0.171	0.946	   -2.500
ENSG00000167772	0.121	0.946	   -6.971
ENSG00000139428	0.131	0.897	    7.299
ENSG00000183248	0.416	0.869	   -1.475
ENSG00000185651	0.028	0.865	    4.493
ENSG00000143319	0.058	0.850	    3.466
ENSG00000277494	0.072	0.841	    5.223
ENSG00000086300	0.770	0.770	   -4.726
ENSG00000214546	0.016	0.735	   -3.313
ENSG00000152291	0.475	0.686	    5.022
ENSG00000188038	0.082	0.683	   11.489
ENSG00000182109	0.006	0.669	    1.340
ENSG00000226291	0.059	0.664	    3.981
ENSG00000281691	0.035	0.660	    4.972
ENSG00000274080	0.274	0.658	   -6.144
ENSG00000228060	0.029	0.627	   -6.884
ENSG00000090273	0.002	0.626	    0.894
ENSG00000164850	0.611	0.613	   -4.568
ENSG00000134575	0.009	0.587	   10.738
ENSG00000090621	0.008	0.558	   -4.861
ENSG00000240230	0.011	0.539	    0.887
ENSG00000256894	0.282	0.534	    3.958
ENSG00000132740	0.051	0.496	    3.485
ENSG00000130204	0.011	0.479	    7.122
ENSG00000135535	0.013	0.458	    3.782
ENSG00000270028	0.090	0.457	   -6.412
ENSG00000110921	0.111	0.453	    4.010
ENSG00000176473	0.200	0.421	    3.630
ENSG00000087237	0.002	0.415	    0.000
ENSG00000142208	0.018	0.413	   -0.201
ENSG00000260063	0.010	0.413	   -5.558
ENSG00000123095	0.328	0.405	    3.551
ENSG00000254093	0.033	0.403	    3.637
ENSG00000179195	0.026	0.384	    5.559
ENSG00000112343	0.035	0.344	   -2.669
ENSG00000069275	0.034	0.336	    3.798
ENSG00000102904	0.007	0.317	  -12.198
ENSG00000149485	0.021	0.310	    0.000
ENSG00000246090	0.005	0.302	    0.231
ENSG00000161649	0.030	0.296	   -3.704
ENSG00000182782	0.001	0.290	    2.443
ENSG00000117505	0.002	0.288	    0.559
ENSG00000183426	0.272	0.272	    2.732
ENSG00000183793	0.271	0.271	   -2.757
ENSG00000143412	0.004	0.267	   -0.130
ENSG00000141744	0.057	0.244	    2.547
ENSG00000158715	0.228	0.228	    4.000
ENSG00000250091	0.011	0.224	   -6.247
ENSG00000143575	0.223	0.223	   -4.098
ENSG00000223572	0.212	0.212	    2.467
ENSG00000037042	0.022	0.207	   -3.420
ENSG00000124257	0.005	0.199	   -2.913
ENSG00000280183	0.014	0.196	    3.099
ENSG00000082701	0.064	0.193	   -3.254
ENSG00000175707	0.053	0.189	   -1.792
ENSG00000131462	0.017	0.188	   -3.019
ENSG00000101670	0.052	0.186	  -13.322
ENSG00000110080	0.008	0.178	    2.327
ENSG00000187676	0.113	0.178	   -3.649
ENSG00000101460	0.019	0.171	    3.905
ENSG00000137312	0.020	0.156	    2.177
ENSG00000149634	0.008	0.151	    0.000
ENSG00000175213	0.007	0.151	    9.292
ENSG00000117500	0.010	0.149	    5.170
ENSG00000142230	0.029	0.143	    0.000
ENSG00000271751	0.032	0.135	   -2.632
ENSG00000089847	0.012	0.127	   -0.761
ENSG00000198162	0.062	0.121	    3.298
ENSG00000154127	0.003	0.121	    1.483
ENSG00000134824	0.005	0.120	    2.105
ENSG00000204632	0.037	0.120	   -2.278
ENSG00000026025	0.102	0.116	    3.546
ENSG00000158825	0.112	0.114	   -3.579
ENSG00000114854	0.001	0.114	    0.000
ENSG00000168496	0.010	0.111	    0.000
ENSG00000229124	0.053	0.111	    1.189
ENSG00000095485	0.084	0.110	   -3.920
ENSG00000106948	0.044	0.108	    4.052
ENSG00000230224	0.069	0.106	   -3.441
ENSG00000263412	0.048	0.104	    3.883
ENSG00000228962	0.002	0.104	   -2.883
ENSG00000145743	0.035	0.096	    3.587
ENSG00000115459	0.025	0.096	    0.000
ENSG00000209482	0.047	0.095	    3.855
ENSG00000104313	0.032	0.095	    3.524
ENSG00000116962	0.022	0.093	   -3.581
ENSG00000170236	0.031	0.091	    3.724
ENSG00000004534	0.002	0.089	   -4.995
ENSG00000179889	0.081	0.086	    0.446
ENSG00000110514	0.007	0.085	    2.705
ENSG00000276571	0.013	0.081	   -2.886
ENSG00000259876	0.007	0.080	   -0.373
ENSG00000087157	0.078	0.078	    2.706
ENSG00000269997	0.006	0.076	    0.000
ENSG00000119242	0.002	0.076	   -4.447
ENSG00000103550	0.059	0.075	   -3.679
ENSG00000280152	0.067	0.074	    2.277
ENSG00000112041	0.074	0.074	   -3.598
ENSG00000105229	0.033	0.073	   -3.450
ENSG00000117280	0.009	0.072	   -2.193
ENSG00000171988	0.006	0.071	    2.874
ENSG00000134825	0.005	0.071	    8.843
ENSG00000272186	0.020	0.070	   -3.601
ENSG00000213057	0.002	0.070	    0.624
ENSG00000003756	0.002	0.068	    0.000
ENSG00000279159	0.013	0.068	   -0.029
ENSG00000143353	0.036	0.067	   -3.386
ENSG00000115884	0.008	0.067	    3.336
ENSG00000158161	0.032	0.065	    3.499
ENSG00000203799	0.022	0.065	    1.981
ENSG00000167191	0.018	0.063	    3.092
ENSG00000165113	0.016	0.060	    3.321
ENSG00000234616	0.018	0.058	   -2.846
ENSG00000261195	0.012	0.057	    2.990
ENSG00000143569	0.040	0.056	    0.000
ENSG00000173991	0.011	0.056	    0.000
ENSG00000140105	0.002	0.054	   -0.531
ENSG00000102898	0.005	0.054	    0.000
ENSG00000122870	0.007	0.054	    2.679
ENSG00000105976	0.021	0.054	    0.000
ENSG00000091732	0.053	0.053	    3.624
ENSG00000005243	0.028	0.053	    0.100
ENSG00000011523	0.049	0.053	    2.664
ENSG00000205531	0.051	0.052	    2.345
ENSG00000141699	0.004	0.051	    0.000
ENSG00000137700	0.050	0.051	    1.822
ENSG00000116641	0.028	0.051	   -2.967
ENSG00000166762	0.050	0.050	   -0.213
ENSG00000183255	0.047	0.049	    3.182
ENSG00000160695	0.034	0.049	   -2.111
ENSG00000183763	0.000	0.049	    0.000
ENSG00000259616	0.034	0.048	    2.290
ENSG00000167183	0.048	0.048	    3.842
ENSG00000133612	0.026	0.046	   -3.553
ENSG00000023516	0.019	0.046	    2.300
ENSG00000137656	0.007	0.045	    0.000
ENSG00000261766	0.011	0.045	   -3.058
ENSG00000180573	0.045	0.045	   -4.107
ENSG00000117713	0.002	0.044	    0.000
ENSG00000108852	0.014	0.044	    0.745
ENSG00000178188	0.010	0.044	   -3.029
ENSG00000108433	0.023	0.044	   -3.708
ENSG00000171532	0.004	0.043	    0.000
ENSG00000139597	0.019	0.043	    3.062
ENSG00000196072	0.012	0.043	   -0.010
ENSG00000078804	0.001	0.042	    0.000
ENSG00000176953	0.009	0.042	    2.898
ENSG00000050344	0.016	0.042	    2.789
ENSG00000171102	0.011	0.040	    2.875
ENSG00000204219	0.018	0.040	   -3.485
ENSG00000167658	0.013	0.039	   -0.376
ENSG00000167258	0.005	0.039	    0.000
ENSG00000259675	0.029	0.037	    3.509
ENSG00000236526	0.009	0.036	    3.083
ENSG00000197345	0.035	0.036	   -3.563
ENSG00000103876	0.009	0.036	    0.841
ENSG00000181741	0.008	0.036	    3.690
ENSG00000165832	0.015	0.035	   -1.365
ENSG00000159792	0.003	0.035	    0.000
ENSG00000181222	0.028	0.035	    3.523
ENSG00000100979	0.001	0.033	   -0.469
ENSG00000072958	0.016	0.032	   -2.823
ENSG00000108424	0.031	0.032	    3.603
ENSG00000112308	0.031	0.032	   -3.418
