Gene	GRCP	GLCP	TWAS_z
ENSG00000087237	0.328	0.994	   39.018
ENSG00000243970	0.029	0.689	    2.137
ENSG00000134825	0.037	0.628	    9.526
ENSG00000271984	0.010	0.621	    0.000
ENSG00000117505	0.032	0.621	   -4.722
ENSG00000277494	0.017	0.603	    5.432
ENSG00000246090	0.011	0.538	   -0.114
ENSG00000124257	0.009	0.517	    0.000
ENSG00000270028	0.026	0.394	   -6.651
ENSG00000185651	0.005	0.391	    0.000
ENSG00000060642	0.005	0.372	   -5.607
ENSG00000246575	0.025	0.367	   -2.276
ENSG00000250091	0.024	0.351	   -6.707
ENSG00000122483	0.005	0.300	    3.671
ENSG00000213445	0.008	0.298	    0.000
ENSG00000260063	0.003	0.296	   -5.530
ENSG00000182109	0.004	0.272	    0.824
ENSG00000213057	0.001	0.266	    0.000
ENSG00000057608	0.001	0.248	    0.000
ENSG00000004534	0.007	0.233	   -4.991
ENSG00000117500	0.003	0.229	    4.908
ENSG00000142230	0.007	0.217	    0.000
ENSG00000090621	0.004	0.212	    0.000
ENSG00000228060	0.007	0.190	   -6.933
ENSG00000137312	0.002	0.164	    3.492
ENSG00000254093	0.000	0.164	    0.000
ENSG00000143303	0.008	0.164	    0.000
ENSG00000214855	0.012	0.155	    0.000
ENSG00000154127	0.002	0.149	    0.000
ENSG00000134824	0.001	0.138	    1.392
ENSG00000167772	0.003	0.131	    0.000
ENSG00000101460	0.001	0.125	    3.800
ENSG00000176473	0.014	0.115	    3.499
ENSG00000196821	0.002	0.103	    6.117
ENSG00000132740	0.002	0.102	    3.835
ENSG00000255968	0.006	0.096	    0.000
ENSG00000108433	0.001	0.094	    0.000
ENSG00000164849	0.009	0.084	    0.000
ENSG00000116641	0.001	0.080	   -3.164
ENSG00000145743	0.001	0.075	    3.629
ENSG00000230224	0.001	0.073	   -3.877
ENSG00000090273	0.000	0.071	    0.000
ENSG00000269938	0.001	0.067	    0.000
ENSG00000270061	0.000	0.067	    0.000
ENSG00000112640	0.001	0.062	    0.000
ENSG00000188038	0.003	0.061	    0.000
ENSG00000003756	0.001	0.060	    0.000
ENSG00000180210	0.003	0.058	    0.000
ENSG00000134575	0.000	0.058	    0.000
ENSG00000196072	0.002	0.057	   -1.182
ENSG00000267282	0.002	0.057	    0.000
ENSG00000280832	0.003	0.056	    0.000
ENSG00000160695	0.001	0.056	   -0.999
ENSG00000175213	0.001	0.053	    0.000
ENSG00000250508	0.001	0.051	   -3.465
