Gene	GRCP	GLCP	TWAS_z
ENSG00000087237	0.242	0.994	   39.844
ENSG00000134222	0.373	0.980	   -4.981
ENSG00000152291	0.156	0.909	    4.999
ENSG00000228060	0.185	0.838	   -7.273
ENSG00000182109	0.013	0.801	    1.869
ENSG00000090621	0.036	0.778	   -7.158
ENSG00000167772	0.068	0.764	   -6.923
ENSG00000161180	0.058	0.697	   -6.384
ENSG00000277494	0.081	0.677	    5.282
ENSG00000134825	0.045	0.658	    9.373
ENSG00000143303	0.044	0.624	    0.000
ENSG00000250091	0.080	0.578	   -6.562
ENSG00000232075	0.023	0.560	    3.600
ENSG00000270028	0.073	0.526	   -6.574
ENSG00000100982	0.019	0.465	    0.000
ENSG00000060642	0.017	0.463	   -5.562
ENSG00000119242	0.004	0.423	   -5.732
ENSG00000134575	0.025	0.413	   11.442
ENSG00000197653	0.003	0.394	   -5.956
ENSG00000143314	0.005	0.377	    0.298
ENSG00000117500	0.010	0.341	    4.793
ENSG00000260063	0.006	0.338	   -5.514
ENSG00000246575	0.109	0.329	   -4.172
ENSG00000141736	0.001	0.266	    0.000
ENSG00000246090	0.016	0.250	   -0.445
ENSG00000110080	0.010	0.250	    2.761
ENSG00000117505	0.023	0.220	   -3.214
ENSG00000105976	0.022	0.216	   -4.099
ENSG00000122483	0.007	0.195	    4.286
ENSG00000196821	0.082	0.184	    6.154
ENSG00000108852	0.019	0.183	   -1.509
ENSG00000176473	0.065	0.151	    3.503
ENSG00000185651	0.003	0.148	    0.000
ENSG00000137312	0.014	0.130	    2.937
ENSG00000132740	0.010	0.128	    3.572
ENSG00000187676	0.020	0.119	   -3.125
ENSG00000209480	0.015	0.113	    0.000
ENSG00000143319	0.006	0.109	    0.000
ENSG00000270048	0.002	0.095	    0.000
ENSG00000171988	0.006	0.093	    0.000
ENSG00000183426	0.092	0.092	    3.525
ENSG00000271751	0.025	0.091	   -3.289
ENSG00000183793	0.089	0.089	   -2.626
ENSG00000108433	0.007	0.085	   -3.841
ENSG00000164849	0.018	0.083	    0.000
ENSG00000143575	0.075	0.080	   -4.104
ENSG00000003756	0.004	0.079	    0.000
ENSG00000130158	0.013	0.079	   -1.123
ENSG00000131462	0.007	0.078	    0.000
ENSG00000146112	0.006	0.077	    0.000
ENSG00000111271	0.001	0.076	    0.000
ENSG00000172938	0.004	0.073	   -3.314
ENSG00000229124	0.033	0.073	    3.318
ENSG00000165113	0.004	0.073	    3.340
ENSG00000230224	0.019	0.072	   -3.853
ENSG00000069275	0.011	0.071	    3.203
ENSG00000145743	0.009	0.070	    3.590
ENSG00000180210	0.005	0.069	    0.000
ENSG00000173991	0.011	0.068	    0.000
ENSG00000101000	0.002	0.067	    0.000
ENSG00000106948	0.007	0.064	    0.000
ENSG00000130173	0.003	0.060	    0.000
ENSG00000117280	0.002	0.056	   -2.198
ENSG00000154127	0.001	0.055	   -1.624
ENSG00000158161	0.006	0.055	    3.365
ENSG00000263412	0.011	0.053	    3.679
ENSG00000141744	0.004	0.053	    0.000
ENSG00000258521	0.002	0.053	    3.002
ENSG00000269997	0.005	0.050	    0.000
ENSG00000160695	0.012	0.047	   -1.493
ENSG00000259359	0.022	0.046	    0.000
ENSG00000005243	0.008	0.042	    0.000
ENSG00000198162	0.021	0.041	    3.429
ENSG00000204632	0.019	0.040	   -3.012
ENSG00000183682	0.002	0.040	    4.215
ENSG00000250508	0.008	0.039	    3.559
ENSG00000124257	0.001	0.037	    0.000
ENSG00000178188	0.003	0.036	   -2.913
ENSG00000133983	0.007	0.031	    2.507
ENSG00000157045	0.023	0.031	    3.770
ENSG00000108306	0.002	0.031	    0.000
ENSG00000159792	0.004	0.030	    0.000
ENSG00000274080	0.017	0.030	    0.000
ENSG00000234667	0.000	0.029	   -3.463
ENSG00000198898	0.003	0.028	   -0.641
ENSG00000124191	0.003	0.028	   -2.273
ENSG00000141096	0.001	0.027	    0.000
ENSG00000267282	0.002	0.027	    0.000
ENSG00000251417	0.002	0.027	   -2.945
ENSG00000131470	0.001	0.026	    0.000
ENSG00000255398	0.000	0.026	    0.000
ENSG00000092445	0.002	0.025	    4.494
ENSG00000280832	0.001	0.025	    0.000
ENSG00000185236	0.001	0.025	    0.000
ENSG00000111877	0.006	0.024	    3.529
ENSG00000095485	0.018	0.024	   -3.781
ENSG00000165118	0.010	0.024	    3.401
ENSG00000272462	0.003	0.024	    1.414
ENSG00000072958	0.003	0.023	    0.000
ENSG00000148057	0.005	0.023	    3.571
ENSG00000270130	0.001	0.022	    0.000
ENSG00000242338	0.001	0.022	    2.042
ENSG00000214894	0.001	0.021	   -0.469
ENSG00000131910	0.000	0.020	   -1.000
ENSG00000259556	0.002	0.020	    2.879
ENSG00000004534	0.002	0.020	   -4.994
ENSG00000230896	0.001	0.020	    0.000
ENSG00000137713	0.003	0.020	    1.808
ENSG00000108468	0.001	0.020	    0.000
ENSG00000175213	0.001	0.020	    5.181
ENSG00000108861	0.002	0.019	    0.000
ENSG00000124713	0.006	0.017	   -3.264
ENSG00000038358	0.002	0.017	    0.000
ENSG00000086015	0.002	0.017	   -1.148
ENSG00000015676	0.001	0.017	    2.562
ENSG00000124587	0.007	0.017	   -3.089
ENSG00000260796	0.001	0.016	    0.000
ENSG00000165832	0.006	0.016	   -3.032
ENSG00000213445	0.016	0.016	    1.213
ENSG00000103550	0.011	0.016	   -3.182
ENSG00000109917	0.001	0.016	    0.000
ENSG00000010704	0.001	0.015	    0.450
ENSG00000275409	0.001	0.015	   -2.663
ENSG00000145390	0.002	0.015	    2.707
ENSG00000226816	0.001	0.015	    2.491
ENSG00000196296	0.003	0.015	    0.000
ENSG00000268516	0.003	0.014	    3.126
ENSG00000198740	0.001	0.013	    0.000
ENSG00000182149	0.001	0.013	    2.911
ENSG00000231113	0.005	0.013	   -3.286
ENSG00000095397	0.002	0.013	   -2.144
ENSG00000183114	0.002	0.013	   -2.979
ENSG00000236526	0.002	0.013	    2.640
ENSG00000115677	0.003	0.013	    3.067
ENSG00000261766	0.001	0.013	    0.000
ENSG00000226221	0.001	0.013	    0.000
ENSG00000108785	0.003	0.013	   -3.046
ENSG00000197345	0.009	0.012	   -3.568
ENSG00000185522	0.005	0.012	   -0.769
ENSG00000011523	0.010	0.012	    3.517
ENSG00000025434	0.000	0.012	    0.000
ENSG00000137161	0.005	0.012	   -2.713
ENSG00000245573	0.002	0.012	   -2.653
ENSG00000141279	0.002	0.011	    3.311
ENSG00000179195	0.001	0.011	    0.000
ENSG00000168394	0.001	0.011	    2.642
ENSG00000254815	0.006	0.011	   -0.893
ENSG00000122870	0.000	0.011	    0.000
ENSG00000204257	0.003	0.011	    3.304
ENSG00000174156	0.001	0.011	   -0.779
ENSG00000035115	0.002	0.010	    2.876
ENSG00000282572	0.001	0.010	    0.000
ENSG00000220205	0.002	0.010	    0.000
ENSG00000037042	0.002	0.010	   -3.369
ENSG00000112640	0.002	0.010	   -2.936
ENSG00000113734	0.002	0.010	    2.912
ENSG00000276571	0.001	0.010	    0.000
ENSG00000240065	0.001	0.010	    2.531
ENSG00000125968	0.001	0.010	    2.508
ENSG00000214248	0.001	0.009	    0.000
ENSG00000069956	0.000	0.009	    0.000
ENSG00000248734	0.000	0.009	   -1.666
ENSG00000204713	0.001	0.009	    0.000
ENSG00000156689	0.000	0.009	    2.178
ENSG00000174915	0.001	0.009	    2.313
ENSG00000033178	0.001	0.009	   -2.356
ENSG00000267213	0.002	0.009	    4.435
ENSG00000101460	0.004	0.009	    3.865
ENSG00000242574	0.002	0.009	    0.000
ENSG00000272186	0.001	0.009	    0.000
ENSG00000244752	0.001	0.009	    2.826
ENSG00000117481	0.000	0.009	   -1.935
ENSG00000165476	0.001	0.009	    0.000
ENSG00000174628	0.000	0.008	    0.000
ENSG00000275784	0.001	0.008	   -2.729
ENSG00000001460	0.002	0.008	    2.880
ENSG00000100815	0.000	0.008	   -2.233
ENSG00000248714	0.001	0.008	    0.000
ENSG00000164825	0.001	0.008	    2.320
ENSG00000164329	0.000	0.008	    2.068
ENSG00000175164	0.002	0.008	   -3.341
ENSG00000087077	0.001	0.007	   -1.642
ENSG00000221983	0.002	0.007	    2.335
ENSG00000120688	0.001	0.007	    2.760
ENSG00000129083	0.001	0.007	    2.917
ENSG00000185507	0.000	0.007	    0.000
ENSG00000249700	0.001	0.007	   -2.934
ENSG00000174775	0.006	0.007	    3.195
ENSG00000100058	0.001	0.007	    2.226
ENSG00000267132	0.001	0.007	    0.000
ENSG00000244067	0.003	0.007	    2.638
ENSG00000091972	0.001	0.007	    0.000
ENSG00000241697	0.006	0.007	    3.269
ENSG00000260853	0.001	0.007	    0.000
ENSG00000272540	0.000	0.007	    0.000
ENSG00000095787	0.001	0.007	   -2.790
ENSG00000103932	0.003	0.007	   -4.705
ENSG00000274330	0.003	0.007	   -1.590
ENSG00000175707	0.002	0.007	    0.000
ENSG00000176390	0.001	0.007	    0.185
ENSG00000175395	0.000	0.007	   -1.721
ENSG00000257829	0.001	0.006	    0.000
ENSG00000262879	0.002	0.006	   -0.574
ENSG00000228638	0.000	0.006	    2.119
ENSG00000100201	0.000	0.006	    2.263
ENSG00000155876	0.001	0.006	    0.000
ENSG00000116641	0.001	0.006	    0.000
ENSG00000129244	0.001	0.006	    2.201
ENSG00000100226	0.000	0.006	   -1.928
ENSG00000100221	0.000	0.006	   -1.768
ENSG00000174606	0.001	0.006	   -1.229
ENSG00000170634	0.002	0.006	    2.187
ENSG00000213638	0.002	0.006	    0.000
ENSG00000112308	0.006	0.006	   -3.229
ENSG00000170681	0.006	0.006	    3.283
ENSG00000102904	0.000	0.006	  -10.652
ENSG00000136827	0.001	0.006	   -0.096
ENSG00000198468	0.001	0.006	    2.505
ENSG00000105229	0.001	0.006	   -2.519
ENSG00000111879	0.001	0.006	    2.589
ENSG00000180185	0.000	0.006	    1.565
ENSG00000189316	0.001	0.006	   -2.204
ENSG00000196993	0.001	0.006	   -2.932
ENSG00000176125	0.001	0.006	    2.197
ENSG00000168488	0.000	0.006	    0.000
ENSG00000136273	0.002	0.006	   -2.718
ENSG00000101782	0.001	0.006	   -1.454
ENSG00000108774	0.001	0.006	    1.555
