Gene	GRCP	GLCP	TWAS_z
ENSG00000025434	0.002	0.980	   11.389
ENSG00000110080	0.029	0.964	    4.913
ENSG00000175445	0.023	0.957	  -25.011
ENSG00000185651	0.014	0.938	    5.931
ENSG00000246575	0.024	0.871	   -3.752
ENSG00000213057	0.008	0.797	    3.723
ENSG00000043591	0.093	0.750	   -4.422
ENSG00000160796	0.086	0.705	   -3.313
ENSG00000255199	0.014	0.701	   -1.602
ENSG00000145431	0.015	0.699	   -3.728
ENSG00000277494	0.007	0.585	    5.084
ENSG00000197653	0.004	0.573	   -4.472
ENSG00000270028	0.009	0.541	   -6.207
ENSG00000110514	0.012	0.469	    1.476
ENSG00000130204	0.006	0.467	    0.000
ENSG00000134222	0.044	0.457	   -5.334
ENSG00000270048	0.003	0.453	   -6.331
ENSG00000166603	0.006	0.448	    3.876
ENSG00000267282	0.048	0.422	    0.000
ENSG00000182109	0.003	0.398	    0.707
ENSG00000196114	0.079	0.388	    6.304
ENSG00000168496	0.007	0.358	    0.000
ENSG00000146374	0.006	0.350	    0.000
ENSG00000250091	0.008	0.345	   -6.226
ENSG00000134575	0.001	0.306	   11.618
ENSG00000243970	0.007	0.305	    0.747
ENSG00000188038	0.023	0.301	    2.233
ENSG00000159792	0.070	0.301	  -13.704
ENSG00000149289	0.002	0.297	    0.579
ENSG00000057608	0.001	0.268	    2.941
ENSG00000197894	0.000	0.265	    0.000
ENSG00000164077	0.001	0.257	   -4.246
ENSG00000117500	0.013	0.240	    5.098
ENSG00000107566	0.004	0.239	   -3.277
ENSG00000256249	0.036	0.236	    5.811
ENSG00000226647	0.006	0.203	   -3.525
ENSG00000060642	0.002	0.185	    0.045
ENSG00000090621	0.003	0.174	   -6.964
ENSG00000131462	0.002	0.170	   -3.315
ENSG00000130749	0.003	0.153	    0.000
ENSG00000101460	0.003	0.135	    3.995
ENSG00000116641	0.001	0.129	   -3.364
ENSG00000176473	0.008	0.115	    3.538
ENSG00000260063	0.001	0.114	    0.000
ENSG00000115459	0.003	0.112	    4.321
ENSG00000145743	0.001	0.100	    1.800
ENSG00000090273	0.001	0.099	    6.137
ENSG00000270130	0.001	0.096	    0.000
ENSG00000235545	0.001	0.095	    3.518
ENSG00000110090	0.001	0.093	    0.000
ENSG00000197345	0.009	0.083	   -3.715
ENSG00000137312	0.001	0.082	    3.618
ENSG00000131470	0.001	0.080	    0.000
ENSG00000140105	0.005	0.078	   -2.690
ENSG00000131910	0.001	0.076	    0.000
ENSG00000130173	0.021	0.070	    0.000
ENSG00000003756	0.002	0.069	    0.000
ENSG00000267604	0.002	0.068	   -3.007
ENSG00000143418	0.014	0.067	    3.700
ENSG00000110063	0.008	0.067	   -2.780
ENSG00000184381	0.000	0.066	   -2.973
ENSG00000124299	0.000	0.066	   -0.871
ENSG00000161647	0.001	0.065	    2.962
ENSG00000197061	0.000	0.065	    0.000
ENSG00000279080	0.000	0.062	    0.000
ENSG00000277383	0.003	0.062	   -4.201
ENSG00000044115	0.000	0.061	   -3.087
ENSG00000139269	0.015	0.059	    0.000
ENSG00000131042	0.004	0.059	   -5.593
ENSG00000069275	0.020	0.059	    4.078
ENSG00000267620	0.000	0.059	    0.000
ENSG00000139697	0.000	0.059	   -4.597
ENSG00000256331	0.000	0.056	    0.617
ENSG00000177455	0.001	0.053	    3.065
ENSG00000277332	0.001	0.053	    3.218
ENSG00000253379	0.001	0.052	    3.515
ENSG00000125746	0.002	0.052	   -2.361
ENSG00000198576	0.000	0.052	   -2.971
ENSG00000108861	0.001	0.050	    0.000
ENSG00000181524	0.001	0.050	    0.000
ENSG00000078747	0.000	0.048	    3.748
ENSG00000005243	0.002	0.047	    1.911
ENSG00000082641	0.001	0.044	    1.957
ENSG00000141736	0.000	0.041	    0.000
ENSG00000143951	0.000	0.041	    2.815
ENSG00000165115	0.001	0.040	   -2.390
ENSG00000225595	0.000	0.039	    2.450
ENSG00000279159	0.001	0.039	   -0.642
ENSG00000104313	0.002	0.039	    3.766
ENSG00000187553	0.001	0.038	    3.828
ENSG00000271751	0.001	0.038	   -3.494
ENSG00000196993	0.000	0.038	   -2.473
ENSG00000269997	0.000	0.037	    0.000
ENSG00000229124	0.003	0.037	    3.040
ENSG00000128298	0.000	0.036	    1.521
ENSG00000141744	0.001	0.036	    0.000
ENSG00000132740	0.003	0.034	    3.124
ENSG00000226425	0.001	0.033	    0.000
ENSG00000063169	0.001	0.033	    0.000
ENSG00000174628	0.000	0.033	    0.000
ENSG00000270095	0.000	0.032	    0.000
ENSG00000134825	0.001	0.032	   -3.830
ENSG00000259556	0.000	0.032	    2.917
ENSG00000066629	0.001	0.031	   -3.387
ENSG00000262031	0.002	0.030	    3.052
ENSG00000274600	0.001	0.030	    0.026
ENSG00000196502	0.000	0.029	   -1.558
ENSG00000122870	0.000	0.029	    0.000
ENSG00000280832	0.004	0.029	    4.926
ENSG00000165113	0.001	0.029	    1.114
ENSG00000068878	0.000	0.027	    3.119
