Gene	GRCP	GLCP	TWAS_z
ENSG00000186152	0.772	1.000	    3.021
ENSG00000170858	0.907	1.000	   11.049
ENSG00000239961	0.085	0.999	    4.006
ENSG00000104972	0.573	0.998	    8.431
ENSG00000142208	0.476	0.993	    4.988
ENSG00000155158	0.510	0.983	    7.457
ENSG00000141086	0.045	0.977	  -12.448
ENSG00000185651	0.022	0.975	    5.786
ENSG00000109917	0.005	0.944	  -10.295
ENSG00000152284	0.480	0.935	   -4.924
ENSG00000004534	0.907	0.907	   -6.212
ENSG00000280832	0.056	0.894	   -2.227
ENSG00000090621	0.045	0.892	   -7.106
ENSG00000134222	0.550	0.881	   -7.568
ENSG00000108852	0.495	0.878	    1.340
ENSG00000143303	0.084	0.873	   -0.737
ENSG00000134824	0.055	0.853	    4.252
ENSG00000246575	0.796	0.851	   -1.982
ENSG00000115459	0.474	0.821	   -4.907
ENSG00000134825	0.034	0.820	    3.032
ENSG00000141744	0.047	0.787	    7.390
ENSG00000166278	0.182	0.655	    4.698
ENSG00000164849	0.156	0.642	   -3.734
ENSG00000060642	0.015	0.595	   -5.563
ENSG00000204160	0.014	0.542	    5.738
ENSG00000180210	0.026	0.542	    0.000
ENSG00000272810	0.058	0.541	    3.400
ENSG00000176473	0.065	0.518	    2.819
ENSG00000149289	0.011	0.508	   -2.995
ENSG00000132740	0.091	0.478	    3.746
ENSG00000025434	0.021	0.476	   10.802
ENSG00000260063	0.036	0.448	   -5.628
ENSG00000182109	0.006	0.445	    1.878
ENSG00000117713	0.018	0.401	   -5.102
ENSG00000103642	0.026	0.398	   -3.645
ENSG00000131067	0.009	0.385	   -0.014
ENSG00000266970	0.218	0.380	    3.708
ENSG00000266265	0.030	0.376	    0.000
ENSG00000183426	0.368	0.368	    2.056
ENSG00000183793	0.366	0.366	   -2.805
ENSG00000154127	0.012	0.359	    5.079
ENSG00000185236	0.003	0.352	    0.000
ENSG00000042445	0.346	0.350	   -5.181
ENSG00000106635	0.045	0.349	    5.419
ENSG00000106638	0.022	0.347	    0.201
ENSG00000213445	0.330	0.344	    4.764
ENSG00000131748	0.147	0.318	    0.109
ENSG00000179195	0.054	0.316	    6.382
ENSG00000143575	0.310	0.310	   -4.102
ENSG00000204520	0.303	0.303	    1.181
ENSG00000164078	0.004	0.301	   -3.646
ENSG00000196821	0.009	0.289	    5.950
ENSG00000147889	0.287	0.287	    4.049
ENSG00000270028	0.069	0.282	   -6.450
ENSG00000272462	0.263	0.263	    4.372
ENSG00000106948	0.156	0.244	   -3.384
ENSG00000277383	0.159	0.206	    4.141
ENSG00000149485	0.012	0.205	    3.541
ENSG00000108785	0.013	0.193	   -1.464
ENSG00000089847	0.023	0.187	   -1.509
ENSG00000204287	0.000	0.178	    2.511
ENSG00000111252	0.010	0.170	    0.000
ENSG00000246090	0.016	0.170	   -0.150
ENSG00000198746	0.001	0.165	    0.000
ENSG00000204632	0.067	0.165	   -3.185
ENSG00000188038	0.027	0.164	    0.000
ENSG00000271751	0.049	0.156	   -2.632
ENSG00000151135	0.001	0.155	    0.000
ENSG00000164077	0.032	0.154	   -2.580
ENSG00000161180	0.004	0.148	   -5.573
ENSG00000063169	0.147	0.147	    2.215
ENSG00000197119	0.023	0.142	   -0.484
ENSG00000095485	0.109	0.139	   -3.867
ENSG00000141741	0.002	0.137	    0.000
ENSG00000229124	0.034	0.134	    2.371
ENSG00000130208	0.001	0.130	    0.000
ENSG00000235119	0.034	0.129	    0.000
ENSG00000111328	0.019	0.126	   -4.366
ENSG00000062282	0.001	0.126	   -2.796
ENSG00000173338	0.124	0.125	    3.329
ENSG00000196072	0.034	0.125	   -3.327
ENSG00000157045	0.121	0.124	    3.662
ENSG00000160796	0.015	0.121	   -2.955
ENSG00000185022	0.011	0.116	   -3.124
ENSG00000254852	0.027	0.116	   -2.506
ENSG00000010310	0.042	0.107	   -3.186
ENSG00000145743	0.056	0.107	    3.596
ENSG00000235423	0.013	0.103	   -4.946
ENSG00000069275	0.076	0.102	    3.421
ENSG00000130921	0.012	0.102	   -4.641
ENSG00000250091	0.009	0.101	    0.000
ENSG00000276966	0.088	0.100	    3.561
ENSG00000107611	0.049	0.098	   -0.366
ENSG00000141096	0.002	0.095	   10.779
ENSG00000066379	0.090	0.090	   -0.710
ENSG00000179912	0.001	0.088	   -4.092
ENSG00000165113	0.025	0.086	    3.361
ENSG00000173991	0.011	0.084	    0.000
ENSG00000162607	0.061	0.083	   -3.281
ENSG00000244405	0.016	0.082	    2.657
ENSG00000256269	0.044	0.077	    3.517
ENSG00000116641	0.076	0.077	   -3.474
ENSG00000183255	0.075	0.075	    3.696
ENSG00000272186	0.054	0.075	   -3.542
ENSG00000158161	0.029	0.074	    0.318
ENSG00000203799	0.072	0.072	   -3.930
ENSG00000240890	0.031	0.071	    3.323
ENSG00000279048	0.001	0.070	   -4.278
ENSG00000275807	0.011	0.070	   -3.142
ENSG00000130748	0.008	0.070	    0.000
