Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.088	1.000	   15.603
ENSG00000163703	0.999	0.999	   12.514
ENSG00000162613	0.068	0.999	   11.545
ENSG00000269894	0.999	0.999	   13.199
ENSG00000198945	0.998	0.998	  -18.070
ENSG00000103253	0.720	0.994	  -13.905
ENSG00000177311	0.045	0.993	  -33.624
ENSG00000176720	0.546	0.992	    5.625
ENSG00000172340	0.836	0.992	   -6.576
ENSG00000101417	0.827	0.989	  -15.617
ENSG00000132386	0.681	0.988	    5.810
ENSG00000277791	0.913	0.988	    9.958
ENSG00000112977	0.987	0.987	    4.758
ENSG00000165801	0.861	0.986	    8.647
ENSG00000140455	0.564	0.981	   -6.638
ENSG00000183386	0.953	0.974	  -10.251
ENSG00000139155	0.258	0.972	   -6.640
ENSG00000186212	0.577	0.969	    5.605
ENSG00000135835	0.945	0.967	    7.250
ENSG00000011105	0.704	0.964	   -5.495
ENSG00000163702	0.963	0.963	    6.109
ENSG00000183520	0.868	0.962	  -10.016
ENSG00000119147	0.961	0.961	    6.278
ENSG00000142233	0.529	0.953	    2.047
ENSG00000008710	0.475	0.947	  -12.639
ENSG00000169925	0.727	0.946	    7.593
ENSG00000112414	0.288	0.942	  -23.250
ENSG00000280417	0.317	0.940	   14.191
ENSG00000243795	0.051	0.925	   -3.706
ENSG00000257727	0.180	0.921	   -8.435
ENSG00000281026	0.153	0.920	    6.995
ENSG00000113083	0.638	0.915	    5.851
ENSG00000215529	0.568	0.907	   -7.543
ENSG00000141429	0.674	0.902	   -4.881
ENSG00000134222	0.733	0.902	   -3.877
ENSG00000267583	0.842	0.900	   -6.615
ENSG00000070950	0.346	0.900	    4.909
ENSG00000228804	0.266	0.899	  -10.855
ENSG00000153391	0.743	0.897	   -6.626
ENSG00000233016	0.890	0.890	   -5.254
ENSG00000183741	0.109	0.885	    6.342
ENSG00000135596	0.238	0.884	   10.378
ENSG00000138639	0.428	0.884	    5.479
ENSG00000107959	0.878	0.878	    3.532
ENSG00000267100	0.242	0.876	    7.433
ENSG00000168077	0.312	0.874	    6.050
ENSG00000260273	0.392	0.874	    7.753
ENSG00000002726	0.574	0.874	  -10.690
ENSG00000105755	0.545	0.872	   -5.759
ENSG00000077348	0.051	0.868	  -11.595
ENSG00000184669	0.330	0.865	    7.364
ENSG00000176472	0.717	0.862	   -7.066
ENSG00000116883	0.840	0.856	    6.429
ENSG00000177951	0.845	0.851	    5.073
ENSG00000234028	0.633	0.843	  -11.892
ENSG00000126464	0.567	0.834	   -6.666
ENSG00000184007	0.164	0.834	  -10.569
ENSG00000162869	0.831	0.831	    4.285
ENSG00000109919	0.137	0.828	   13.070
ENSG00000231426	0.390	0.826	   -6.226
ENSG00000122912	0.811	0.822	   11.202
ENSG00000228290	0.317	0.818	   -6.198
ENSG00000108239	0.170	0.813	   -4.480
ENSG00000183150	0.424	0.813	    8.977
ENSG00000179119	0.559	0.801	   -8.105
ENSG00000243176	0.199	0.793	    9.051
ENSG00000104756	0.083	0.790	    8.895
ENSG00000164713	0.124	0.779	    3.148
ENSG00000137098	0.773	0.773	    4.056
ENSG00000248514	0.610	0.772	    5.017
ENSG00000150527	0.456	0.766	   -5.015
ENSG00000271151	0.615	0.765	   -7.258
ENSG00000168496	0.296	0.761	   -7.139
ENSG00000165424	0.655	0.754	  -13.405
ENSG00000214578	0.042	0.751	   -6.169
ENSG00000183682	0.515	0.751	   -3.077
ENSG00000234906	0.526	0.750	   -5.631
ENSG00000006468	0.175	0.742	    1.336
ENSG00000235138	0.355	0.742	    7.563
ENSG00000260257	0.592	0.716	   -5.276
ENSG00000101367	0.671	0.715	    7.315
ENSG00000130177	0.586	0.709	    8.049
ENSG00000165449	0.064	0.708	   -7.316
ENSG00000067208	0.207	0.690	   10.663
ENSG00000198860	0.352	0.689	  -12.529
ENSG00000266969	0.148	0.689	    7.056
ENSG00000237248	0.165	0.688	   -4.433
ENSG00000283602	0.433	0.686	    5.225
ENSG00000175426	0.176	0.685	    7.245
ENSG00000273619	0.678	0.685	   -5.675
ENSG00000163933	0.119	0.676	  -13.609
ENSG00000155542	0.298	0.672	   -8.066
ENSG00000237984	0.270	0.665	   -4.453
ENSG00000186834	0.379	0.662	  -12.173
ENSG00000176909	0.368	0.659	    5.672
ENSG00000231165	0.203	0.659	   -5.059
ENSG00000105501	0.655	0.655	   -2.398
ENSG00000260300	0.464	0.650	    3.550
ENSG00000184661	0.046	0.650	    9.010
ENSG00000171217	0.187	0.644	   -7.328
ENSG00000197713	0.368	0.642	   -5.452
ENSG00000244754	0.184	0.642	   -7.163
ENSG00000257740	0.160	0.640	   -8.016
ENSG00000224356	0.291	0.638	    3.922
ENSG00000281128	0.220	0.630	   -4.671
ENSG00000138777	0.127	0.628	   -6.377
ENSG00000140575	0.625	0.625	   -4.848
ENSG00000072071	0.353	0.625	   -3.193
ENSG00000173145	0.456	0.625	    1.823
ENSG00000198517	0.230	0.618	    4.951
ENSG00000010219	0.573	0.615	    2.952
ENSG00000198160	0.286	0.612	    5.881
ENSG00000235413	0.068	0.610	   25.900
ENSG00000177427	0.172	0.609	    7.140
ENSG00000163017	0.330	0.602	   -4.627
ENSG00000149926	0.059	0.601	    0.000
ENSG00000198087	0.114	0.595	    1.067
ENSG00000234465	0.457	0.592	    7.565
ENSG00000163312	0.590	0.591	   -4.783
ENSG00000240661	0.418	0.591	    3.565
ENSG00000181754	0.590	0.590	    4.669
ENSG00000124702	0.078	0.590	   -5.589
ENSG00000142694	0.581	0.589	   -6.527
ENSG00000146733	0.255	0.586	    6.188
ENSG00000108669	0.148	0.586	   -7.563
ENSG00000185163	0.584	0.584	   -2.650
