Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.012	1.000	   19.948
ENSG00000198945	1.000	1.000	  -18.581
ENSG00000163703	1.000	1.000	   12.243
ENSG00000186715	0.323	1.000	   11.913
ENSG00000163702	0.998	0.998	    4.307
ENSG00000162613	0.067	0.998	   11.532
ENSG00000277791	0.820	0.992	    9.201
ENSG00000176720	0.528	0.990	    5.730
ENSG00000183386	0.948	0.986	  -10.170
ENSG00000112977	0.983	0.983	    5.527
ENSG00000073050	0.478	0.981	   -6.402
ENSG00000172059	0.169	0.981	  -10.719
ENSG00000162004	0.117	0.980	  -10.852
ENSG00000160685	0.010	0.972	    6.725
ENSG00000230082	0.961	0.961	   13.101
ENSG00000204978	0.308	0.959	    8.904
ENSG00000155542	0.374	0.954	   -7.729
ENSG00000276293	0.086	0.952	    6.966
ENSG00000234028	0.208	0.949	  -11.667
ENSG00000169925	0.632	0.945	    7.535
ENSG00000104332	0.749	0.937	   -6.199
ENSG00000197614	0.581	0.935	   -5.569
ENSG00000234465	0.439	0.931	    7.564
ENSG00000243795	0.709	0.928	   -4.914
ENSG00000119147	0.745	0.924	    6.404
ENSG00000141429	0.844	0.923	   -6.131
ENSG00000153391	0.854	0.919	   -4.927
ENSG00000002726	0.817	0.912	  -10.499
ENSG00000183520	0.685	0.908	   -9.656
ENSG00000178209	0.323	0.907	  -12.129
ENSG00000134222	0.551	0.900	   -3.936
ENSG00000151893	0.755	0.898	   -2.349
ENSG00000132386	0.414	0.887	    4.752
ENSG00000188157	0.324	0.874	    5.206
ENSG00000011105	0.484	0.873	   -5.076
ENSG00000233016	0.870	0.870	   -5.708
ENSG00000272933	0.106	0.869	  -13.477
ENSG00000267583	0.778	0.867	   -6.626
ENSG00000107959	0.850	0.850	    3.757
ENSG00000260257	0.566	0.845	   -6.468
ENSG00000228290	0.269	0.839	   -6.184
ENSG00000198517	0.196	0.839	    5.139
ENSG00000176472	0.688	0.838	   -7.177
ENSG00000116883	0.823	0.835	    5.130
ENSG00000163946	0.029	0.833	  -11.241
ENSG00000136999	0.138	0.830	   10.419
ENSG00000100281	0.188	0.813	   -4.887
ENSG00000171206	0.008	0.796	  -12.433
ENSG00000186583	0.070	0.792	  -12.481
ENSG00000172845	0.452	0.791	   -7.378
ENSG00000183150	0.348	0.791	    8.920
ENSG00000260273	0.332	0.788	    8.401
ENSG00000196876	0.411	0.781	    4.419
ENSG00000230500	0.020	0.777	   -1.127
ENSG00000165661	0.429	0.770	  -11.019
ENSG00000168936	0.096	0.759	   -1.699
ENSG00000007341	0.128	0.750	    3.461
ENSG00000265678	0.066	0.741	   -6.079
ENSG00000183426	0.472	0.736	   -0.371
ENSG00000084093	0.396	0.734	    8.936
ENSG00000117122	0.173	0.732	  -16.521
ENSG00000271828	0.301	0.719	   -1.359
ENSG00000267280	0.418	0.716	  -15.658
ENSG00000133313	0.709	0.710	    3.803
ENSG00000278893	0.278	0.710	   -4.629
ENSG00000047932	0.163	0.709	    1.637
ENSG00000130177	0.546	0.695	    7.933
ENSG00000126464	0.562	0.691	   -6.868
ENSG00000227110	0.368	0.691	   -4.909
ENSG00000281026	0.278	0.690	    7.213
ENSG00000237984	0.250	0.680	   -4.451
ENSG00000101367	0.627	0.680	    7.548
ENSG00000136240	0.679	0.679	   -4.856
ENSG00000065243	0.110	0.673	   10.975
ENSG00000178188	0.074	0.666	    4.769
ENSG00000273619	0.640	0.660	   -5.412
ENSG00000257303	0.178	0.658	    8.524
ENSG00000281128	0.279	0.657	   -5.475
ENSG00000112414	0.178	0.656	  -19.971
ENSG00000271151	0.462	0.651	   -7.206
ENSG00000235381	0.213	0.650	    6.927
ENSG00000101104	0.360	0.649	    1.156
ENSG00000135473	0.141	0.642	   -8.254
ENSG00000229800	0.251	0.640	    7.116
ENSG00000165801	0.594	0.640	    0.000
