Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.005	1.000	   18.641
ENSG00000163703	1.000	1.000	   13.115
ENSG00000165449	0.872	0.999	    9.079
ENSG00000103253	0.243	0.999	  -13.602
ENSG00000113389	0.939	0.994	   16.939
ENSG00000183520	0.974	0.993	  -10.283
ENSG00000183431	0.163	0.993	   -9.135
ENSG00000103245	0.948	0.992	  -13.863
ENSG00000183386	0.984	0.984	   -9.742
ENSG00000248278	0.120	0.975	   13.699
ENSG00000108091	0.637	0.962	   -9.692
ENSG00000162004	0.419	0.961	  -14.015
ENSG00000126464	0.571	0.959	   -6.786
ENSG00000278978	0.227	0.955	   -3.271
ENSG00000119147	0.897	0.946	    5.553
ENSG00000221823	0.439	0.945	    4.653
ENSG00000281920	0.670	0.945	    2.260
ENSG00000169062	0.351	0.939	    0.457
ENSG00000277791	0.626	0.939	    5.758
ENSG00000168477	0.046	0.938	   12.975
ENSG00000176909	0.230	0.937	    5.078
ENSG00000176472	0.648	0.931	   -8.041
ENSG00000243795	0.821	0.929	   -4.686
ENSG00000138835	0.104	0.918	   -5.961
ENSG00000162869	0.895	0.914	    5.275
ENSG00000163072	0.477	0.913	  -11.458
ENSG00000233016	0.909	0.909	   -4.753
ENSG00000116198	0.716	0.906	    4.890
ENSG00000198860	0.526	0.893	  -16.558
ENSG00000104332	0.613	0.889	   -5.422
ENSG00000116883	0.874	0.880	    6.949
ENSG00000177951	0.822	0.862	    1.878
ENSG00000260077	0.030	0.861	    1.728
ENSG00000275437	0.687	0.857	    5.863
ENSG00000104756	0.111	0.853	    8.989
ENSG00000107959	0.814	0.845	    3.852
ENSG00000271581	0.247	0.841	   10.761
ENSG00000130177	0.577	0.841	    8.282
ENSG00000198945	0.016	0.839	  -18.307
ENSG00000166532	0.339	0.839	   -5.266
ENSG00000239268	0.729	0.839	   -6.231
ENSG00000069275	0.557	0.826	   -9.246
ENSG00000172059	0.074	0.818	   10.314
ENSG00000169598	0.357	0.802	    3.886
ENSG00000273619	0.594	0.797	   -5.719
ENSG00000178209	0.311	0.795	  -12.311
ENSG00000171150	0.434	0.782	   10.217
ENSG00000198517	0.243	0.777	    5.158
ENSG00000185163	0.503	0.772	   -5.380
ENSG00000185565	0.726	0.763	   -6.251
ENSG00000198535	0.077	0.762	    7.899
ENSG00000172171	0.222	0.762	    0.000
ENSG00000239713	0.659	0.753	   -6.152
ENSG00000279982	0.191	0.749	    6.401
ENSG00000100968	0.656	0.747	    9.577
ENSG00000244515	0.205	0.732	   -8.939
ENSG00000073050	0.509	0.729	   -4.695
ENSG00000168899	0.383	0.720	    0.000
ENSG00000242142	0.717	0.717	   13.937
ENSG00000231160	0.150	0.714	   -6.800
ENSG00000139645	0.231	0.708	   -7.952
ENSG00000186818	0.066	0.705	   -2.603
ENSG00000173145	0.243	0.701	    3.947
ENSG00000260273	0.233	0.697	   10.412
ENSG00000197291	0.017	0.695	    0.000
ENSG00000237984	0.322	0.695	   -5.496
ENSG00000245680	0.083	0.693	    7.053
ENSG00000283602	0.439	0.693	    5.854
ENSG00000176102	0.688	0.688	   -4.673
ENSG00000234906	0.637	0.679	   -5.642
ENSG00000151208	0.454	0.678	    9.053
ENSG00000129351	0.221	0.676	    0.000
ENSG00000164300	0.617	0.676	    3.200
ENSG00000160882	0.220	0.670	   -6.360
ENSG00000166913	0.312	0.670	    6.688
ENSG00000179119	0.586	0.660	   -7.552
ENSG00000260947	0.245	0.653	   -5.472
ENSG00000082175	0.102	0.646	    3.232
ENSG00000267169	0.250	0.637	    4.864
ENSG00000258744	0.230	0.633	    1.767
ENSG00000178188	0.186	0.631	    4.835
