Gene	GRCP	GLCP	TWAS_z
ENSG00000163702	1.000	1.000	    6.150
ENSG00000163703	1.000	1.000	   12.702
ENSG00000269894	1.000	1.000	   12.872
ENSG00000172613	0.026	0.999	   20.050
ENSG00000162613	0.069	0.998	   11.548
ENSG00000147853	0.998	0.998	    5.307
ENSG00000183520	0.961	0.997	  -10.156
ENSG00000226526	0.646	0.995	   -6.899
ENSG00000276293	0.990	0.994	    9.531
ENSG00000267100	0.371	0.993	    8.501
ENSG00000248677	0.456	0.991	    6.736
ENSG00000011105	0.539	0.991	   -6.475
ENSG00000132386	0.442	0.989	    3.167
ENSG00000173120	0.042	0.989	  -23.679
ENSG00000112977	0.989	0.989	    5.076
ENSG00000262454	0.303	0.985	    6.763
ENSG00000183386	0.983	0.983	  -10.263
ENSG00000184185	0.888	0.980	  -13.576
ENSG00000135835	0.979	0.979	    7.167
ENSG00000277791	0.673	0.975	    9.745
ENSG00000108179	0.108	0.968	  -13.376
ENSG00000248278	0.017	0.967	   13.595
ENSG00000119147	0.966	0.966	    5.438
ENSG00000198945	0.889	0.963	  -18.665
ENSG00000128342	0.795	0.956	   -3.405
ENSG00000131620	0.954	0.954	    7.103
ENSG00000126464	0.553	0.950	   -6.730
ENSG00000240057	0.494	0.949	    3.573
ENSG00000177951	0.874	0.948	    5.081
ENSG00000136059	0.015	0.946	    8.528
ENSG00000134504	0.594	0.946	    2.322
ENSG00000166532	0.343	0.945	   -5.297
ENSG00000100138	0.892	0.939	    8.282
ENSG00000162869	0.921	0.937	    4.630
ENSG00000179399	0.171	0.936	   -5.893
ENSG00000168899	0.680	0.928	    5.533
ENSG00000131899	0.368	0.918	   -8.120
ENSG00000221823	0.390	0.915	    8.175
ENSG00000243795	0.346	0.913	   -6.295
ENSG00000165801	0.905	0.905	    8.600
ENSG00000233016	0.905	0.905	   -5.688
ENSG00000174989	0.776	0.900	    1.414
ENSG00000149485	0.329	0.897	   -3.707
ENSG00000151893	0.792	0.897	   -3.184
ENSG00000107959	0.896	0.897	    3.159
ENSG00000105755	0.745	0.895	   -6.629
ENSG00000171217	0.296	0.891	   -7.385
ENSG00000183682	0.752	0.891	   -3.081
ENSG00000116883	0.869	0.891	    6.839
ENSG00000173145	0.617	0.886	    4.704
ENSG00000067208	0.133	0.885	    9.897
ENSG00000176472	0.743	0.884	   -7.144
ENSG00000186212	0.614	0.875	    5.357
ENSG00000142694	0.868	0.875	   -5.956
ENSG00000180834	0.829	0.872	    5.872
ENSG00000138639	0.865	0.865	    5.360
ENSG00000110367	0.046	0.864	   -4.202
ENSG00000146054	0.815	0.858	    4.563
ENSG00000070950	0.498	0.854	    5.922
ENSG00000122870	0.186	0.850	   -1.339
ENSG00000134222	0.621	0.845	   -3.033
ENSG00000139044	0.844	0.844	   12.278
ENSG00000234028	0.651	0.839	  -11.908
ENSG00000145782	0.026	0.838	    4.854
ENSG00000100281	0.269	0.825	   -4.950
ENSG00000257727	0.210	0.824	   -7.932
ENSG00000244754	0.300	0.823	   -7.116
ENSG00000228290	0.416	0.819	   -5.998
ENSG00000166913	0.284	0.817	    6.597
ENSG00000149679	0.200	0.816	    5.838
ENSG00000005471	0.804	0.816	   -3.057
ENSG00000134825	0.298	0.804	    7.042
ENSG00000198121	0.691	0.802	    0.600
ENSG00000172845	0.515	0.800	   -1.408
ENSG00000177311	0.225	0.798	  -34.221
ENSG00000142233	0.055	0.796	    1.224
ENSG00000250251	0.378	0.795	   -1.153
ENSG00000275437	0.440	0.793	    5.557
ENSG00000176593	0.791	0.791	   -0.666
ENSG00000271151	0.649	0.791	   -6.226
ENSG00000281026	0.358	0.787	    7.235
ENSG00000138758	0.287	0.782	    2.386
ENSG00000213071	0.376	0.782	   -1.121
ENSG00000104936	0.287	0.780	   -5.157
ENSG00000165424	0.425	0.771	  -14.160
ENSG00000198517	0.263	0.766	    5.128
ENSG00000253161	0.245	0.766	    5.083
ENSG00000065000	0.282	0.755	   -6.155
ENSG00000260257	0.637	0.754	   -7.114
ENSG00000273619	0.715	0.748	   -5.597
ENSG00000072682	0.337	0.742	  -14.966
ENSG00000147437	0.227	0.740	    3.634
ENSG00000172247	0.103	0.739	  -11.285
ENSG00000198535	0.101	0.733	    8.202
ENSG00000134363	0.070	0.731	   -5.345
ENSG00000255191	0.579	0.730	    6.728
ENSG00000151632	0.672	0.729	   10.147
ENSG00000242247	0.215	0.727	    6.948
ENSG00000171206	0.167	0.724	  -13.023
ENSG00000130177	0.620	0.723	    8.298
ENSG00000214189	0.112	0.721	   -8.933
ENSG00000215529	0.308	0.711	   -6.722
ENSG00000239713	0.657	0.698	   -6.191
ENSG00000243970	0.034	0.697	   -1.092
ENSG00000139428	0.528	0.697	    4.640
ENSG00000278893	0.166	0.696	   -4.225
ENSG00000072062	0.316	0.694	    4.995
ENSG00000183955	0.219	0.689	   -8.449
ENSG00000146426	0.660	0.688	   -6.615
ENSG00000066654	0.257	0.684	    3.858
ENSG00000151422	0.253	0.683	  -10.360
ENSG00000204978	0.106	0.681	   11.706
ENSG00000238181	0.436	0.679	   -8.007
ENSG00000271828	0.368	0.679	   -2.065
ENSG00000237984	0.317	0.678	   -5.491
ENSG00000185163	0.336	0.675	   -4.706
ENSG00000272103	0.010	0.664	   10.167
ENSG00000140575	0.661	0.661	   -3.616
ENSG00000083642	0.064	0.658	   -6.543
ENSG00000043591	0.601	0.657	   -6.210
