Gene	GRCP	GLCP	TWAS_z
ENSG00000151632	0.423	0.999	   10.062
ENSG00000163933	0.204	0.999	  -13.999
ENSG00000248278	0.015	0.984	   13.793
ENSG00000117122	0.172	0.981	  -16.569
ENSG00000198860	0.503	0.976	  -18.556
ENSG00000214193	0.797	0.971	   -7.048
ENSG00000272572	0.030	0.944	   -9.167
ENSG00000240057	0.772	0.938	    6.984
ENSG00000243795	0.730	0.933	   -6.649
ENSG00000119147	0.664	0.932	    6.589
ENSG00000173145	0.322	0.911	    4.544
ENSG00000233016	0.884	0.884	   -5.657
ENSG00000169696	0.084	0.876	    6.162
ENSG00000104870	0.206	0.874	    5.921
ENSG00000273619	0.691	0.860	   -5.693
ENSG00000186301	0.075	0.852	   -9.361
ENSG00000122870	0.140	0.852	   -4.255
ENSG00000101412	0.295	0.829	  -16.689
ENSG00000103245	0.350	0.824	  -14.348
ENSG00000107959	0.771	0.814	    4.159
ENSG00000242247	0.151	0.813	    6.942
ENSG00000116883	0.803	0.803	    7.090
ENSG00000239713	0.508	0.789	   -6.142
ENSG00000109919	0.118	0.785	   12.975
ENSG00000231165	0.216	0.773	   -5.754
ENSG00000050393	0.389	0.764	   -4.596
ENSG00000120669	0.092	0.736	    4.606
ENSG00000071967	0.415	0.733	   -9.387
ENSG00000244515	0.140	0.730	   -8.845
ENSG00000280061	0.269	0.729	    0.000
ENSG00000129351	0.091	0.726	    0.000
ENSG00000281128	0.213	0.724	   -5.506
ENSG00000283602	0.388	0.720	    5.915
ENSG00000165801	0.449	0.698	    6.117
ENSG00000146054	0.490	0.676	    4.734
ENSG00000235381	0.223	0.672	    7.362
ENSG00000168036	0.267	0.668	   -7.523
ENSG00000125965	0.038	0.655	    0.000
ENSG00000055483	0.255	0.646	    7.583
ENSG00000155542	0.018	0.645	   -7.184
ENSG00000149485	0.209	0.642	    0.000
ENSG00000171206	0.029	0.636	    0.000
ENSG00000257303	0.169	0.634	    8.307
ENSG00000131845	0.368	0.624	    4.812
ENSG00000077348	0.018	0.607	    0.000
ENSG00000101104	0.342	0.591	    6.705
ENSG00000260947	0.180	0.583	   -5.459
ENSG00000181754	0.567	0.567	    4.390
ENSG00000270210	0.019	0.560	    0.000
ENSG00000160882	0.041	0.553	    0.000
ENSG00000146477	0.123	0.541	    9.104
ENSG00000124541	0.095	0.533	    0.000
ENSG00000242142	0.108	0.530	   13.612
ENSG00000260273	0.167	0.499	    0.000
ENSG00000244754	0.169	0.494	   -6.124
ENSG00000152952	0.011	0.486	    4.258
ENSG00000267100	0.188	0.471	    0.000
ENSG00000143786	0.106	0.467	    0.000
ENSG00000091536	0.395	0.465	    7.882
ENSG00000260257	0.207	0.463	    0.000
ENSG00000101639	0.175	0.450	   -6.731
ENSG00000142233	0.071	0.441	    0.000
ENSG00000110921	0.178	0.429	    0.000
ENSG00000171150	0.163	0.414	    0.000
ENSG00000278023	0.262	0.408	    0.000
ENSG00000198535	0.071	0.401	    0.000
ENSG00000138107	0.020	0.401	   13.402
ENSG00000126464	0.161	0.391	   -5.792
ENSG00000111802	0.117	0.382	    4.768
ENSG00000271151	0.196	0.380	    0.000
ENSG00000151917	0.121	0.373	   -4.501
ENSG00000262185	0.060	0.368	    0.000
ENSG00000035115	0.184	0.366	   -3.561
ENSG00000223537	0.042	0.360	    0.000
ENSG00000169592	0.054	0.350	    0.000
ENSG00000111877	0.082	0.349	   -2.445
ENSG00000185163	0.269	0.344	   -5.373
ENSG00000230026	0.042	0.341	    0.000
ENSG00000259520	0.055	0.329	    1.887
ENSG00000055044	0.083	0.329	    0.000
ENSG00000279233	0.322	0.327	    4.572
ENSG00000172613	0.024	0.323	    0.000
ENSG00000198160	0.102	0.320	    0.000
ENSG00000152778	0.132	0.319	    4.028
ENSG00000250413	0.063	0.312	    0.000
ENSG00000234906	0.216	0.312	    0.000
ENSG00000186790	0.013	0.312	    0.000
ENSG00000146729	0.311	0.311	    5.576
ENSG00000135835	0.308	0.308	    0.000
ENSG00000143032	0.047	0.305	    0.000
ENSG00000187134	0.055	0.304	   -4.196
ENSG00000233232	0.147	0.292	    4.769
ENSG00000131435	0.020	0.288	    0.000
ENSG00000168936	0.155	0.284	   -9.572
ENSG00000163946	0.008	0.283	    0.000
ENSG00000120693	0.199	0.282	   -4.992
ENSG00000284196	0.033	0.280	    0.000
ENSG00000213523	0.221	0.279	   -5.775
ENSG00000158234	0.118	0.278	    0.000
ENSG00000134825	0.081	0.277	    0.000
ENSG00000258940	0.210	0.277	    0.000
ENSG00000250412	0.013	0.275	    3.238
ENSG00000260231	0.020	0.274	   -6.285
ENSG00000185745	0.107	0.270	    0.000
ENSG00000279522	0.001	0.270	   -3.944
ENSG00000262877	0.139	0.269	    2.539
ENSG00000250900	0.036	0.261	    0.000
ENSG00000272333	0.097	0.260	   -5.649
ENSG00000183682	0.043	0.258	    0.000
ENSG00000178209	0.046	0.255	  -12.131
ENSG00000204709	0.002	0.255	    8.154
ENSG00000129055	0.051	0.254	    0.000
ENSG00000223547	0.120	0.252	    0.000
ENSG00000159708	0.053	0.251	    0.000
ENSG00000155850	0.117	0.248	    0.000
ENSG00000144649	0.008	0.247	    0.000
ENSG00000275481	0.031	0.246	    0.000
ENSG00000168813	0.150	0.241	   -4.688
ENSG00000242485	0.059	0.241	   -4.636
ENSG00000146802	0.065	0.240	   -3.613
ENSG00000245573	0.105	0.239	    0.000
ENSG00000166743	0.068	0.237	    0.000
ENSG00000126460	0.117	0.237	    0.000
ENSG00000243056	0.090	0.232	    0.000
ENSG00000162585	0.035	0.232	    2.294
ENSG00000166478	0.078	0.232	    5.714
ENSG00000184517	0.191	0.231	    1.906
ENSG00000248098	0.005	0.228	    0.000
ENSG00000136999	0.032	0.227	    0.000
ENSG00000249244	0.004	0.226	    3.146
ENSG00000176390	0.034	0.224	   11.887
ENSG00000182093	0.047	0.222	    0.000
ENSG00000272969	0.036	0.221	   -5.166
ENSG00000276449	0.164	0.219	   -4.332
ENSG00000139687	0.217	0.217	    0.000
ENSG00000154479	0.045	0.212	    3.904
ENSG00000170430	0.013	0.209	   -2.191
ENSG00000176623	0.074	0.206	    3.512
ENSG00000105341	0.092	0.204	   11.679
ENSG00000120685	0.070	0.204	    0.000
ENSG00000180834	0.061	0.203	    0.000
ENSG00000176909	0.070	0.202	    0.585
ENSG00000237984	0.061	0.200	    0.000
ENSG00000152822	0.033	0.200	    0.000
ENSG00000262223	0.070	0.196	   -5.428
ENSG00000251417	0.127	0.195	    4.889
ENSG00000130177	0.065	0.195	    0.000
ENSG00000229108	0.054	0.191	    0.000
ENSG00000139155	0.018	0.190	    0.000
ENSG00000182923	0.038	0.188	    0.000
ENSG00000136824	0.109	0.186	   -3.843
ENSG00000166436	0.118	0.186	   -3.514
ENSG00000273493	0.076	0.186	    0.000
ENSG00000143771	0.037	0.183	    0.000
ENSG00000233885	0.065	0.180	   -4.883
ENSG00000178952	0.132	0.180	   -4.814
ENSG00000186230	0.099	0.180	    4.157
ENSG00000168291	0.176	0.176	   -4.584
ENSG00000171858	0.025	0.175	    0.000
ENSG00000140575	0.050	0.174	   -3.449
ENSG00000249816	0.059	0.172	    0.000
ENSG00000196502	0.009	0.172	    3.610
ENSG00000164244	0.066	0.171	    0.000
ENSG00000153037	0.011	0.170	    0.000
ENSG00000261019	0.072	0.169	    4.558
ENSG00000187091	0.002	0.166	    0.000
ENSG00000229865	0.095	0.166	   -3.376
ENSG00000170634	0.012	0.165	    0.000
ENSG00000272787	0.038	0.164	    3.234
ENSG00000136280	0.068	0.161	    0.000
ENSG00000163378	0.082	0.159	    0.000
ENSG00000124733	0.038	0.159	    0.000
ENSG00000259953	0.019	0.158	    0.000
ENSG00000088854	0.093	0.156	    0.000
ENSG00000170889	0.073	0.155	   -2.919
ENSG00000144580	0.055	0.151	    0.000
ENSG00000159592	0.017	0.151	    0.000
ENSG00000152465	0.073	0.150	    0.000
ENSG00000151893	0.111	0.150	    0.000
ENSG00000131165	0.101	0.148	    0.000
ENSG00000108639	0.064	0.147	   -3.110
ENSG00000173226	0.048	0.147	    2.177
ENSG00000214855	0.144	0.144	    0.000
ENSG00000014824	0.014	0.141	   -2.034
ENSG00000095539	0.012	0.139	    0.000
ENSG00000106868	0.030	0.139	   -3.303
ENSG00000134612	0.015	0.138	    0.000
ENSG00000120664	0.032	0.138	    0.000
ENSG00000006453	0.045	0.136	    0.000
ENSG00000163161	0.017	0.135	    0.000
ENSG00000270638	0.040	0.134	    4.700
ENSG00000107719	0.064	0.130	    3.415
ENSG00000241765	0.088	0.127	    0.000
