Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.086	0.987	   24.675
ENSG00000234465	0.414	0.980	    5.380
ENSG00000165801	0.890	0.979	    8.916
ENSG00000170175	0.280	0.966	  -14.106
ENSG00000198860	0.469	0.950	  -18.630
ENSG00000240057	0.692	0.942	    7.110
ENSG00000126464	0.262	0.932	   -6.473
ENSG00000146477	0.052	0.931	    9.343
ENSG00000178209	0.068	0.914	  -12.608
ENSG00000119147	0.716	0.914	    6.559
ENSG00000248278	0.177	0.909	   13.606
ENSG00000176909	0.411	0.906	    5.361
ENSG00000243795	0.457	0.898	   -3.777
ENSG00000169592	0.081	0.894	    9.091
ENSG00000120669	0.090	0.876	    4.489
ENSG00000171206	0.005	0.859	  -12.076
ENSG00000273619	0.284	0.854	   -5.450
ENSG00000233016	0.844	0.847	   -5.708
ENSG00000122870	0.118	0.841	   -4.212
ENSG00000264017	0.524	0.830	    6.351
ENSG00000267100	0.130	0.827	    7.529
ENSG00000116883	0.804	0.821	    7.103
ENSG00000109919	0.128	0.808	   13.039
ENSG00000253161	0.200	0.804	    5.142
ENSG00000163703	0.795	0.795	    0.000
ENSG00000231165	0.165	0.794	   -5.658
ENSG00000139428	0.443	0.791	    5.518
ENSG00000107959	0.614	0.790	    4.699
ENSG00000149485	0.247	0.789	   -7.291
ENSG00000241770	0.162	0.760	   -8.896
ENSG00000050393	0.343	0.748	   -3.857
ENSG00000117280	0.135	0.741	    8.307
ENSG00000244515	0.145	0.713	   -8.919
ENSG00000168036	0.206	0.694	   -5.937
ENSG00000069275	0.187	0.692	   -8.818
ENSG00000281128	0.243	0.690	   -5.531
ENSG00000159596	0.044	0.679	   -6.769
ENSG00000035115	0.383	0.679	   -7.465
ENSG00000242247	0.115	0.677	    7.104
ENSG00000239713	0.320	0.675	   -5.997
ENSG00000055483	0.126	0.664	    5.600
ENSG00000157653	0.088	0.657	    0.000
ENSG00000260947	0.172	0.656	   -5.335
ENSG00000198535	0.145	0.652	    0.000
ENSG00000130177	0.287	0.641	    8.340
ENSG00000101104	0.355	0.640	    6.672
ENSG00000117122	0.138	0.628	  -15.226
ENSG00000227110	0.131	0.622	   -5.127
ENSG00000071967	0.299	0.606	   -9.429
ENSG00000183955	0.025	0.598	    7.652
ENSG00000138686	0.189	0.596	    7.442
ENSG00000187134	0.033	0.593	   -3.959
ENSG00000151632	0.419	0.585	    9.934
ENSG00000135698	0.142	0.574	   -8.616
ENSG00000266256	0.249	0.561	    4.632
ENSG00000257303	0.152	0.554	    7.926
ENSG00000115380	0.041	0.551	    0.000
ENSG00000152952	0.021	0.548	    4.143
ENSG00000086991	0.042	0.545	    0.000
ENSG00000110921	0.183	0.540	    0.000
ENSG00000251417	0.110	0.531	    4.811
ENSG00000153162	0.012	0.511	    0.000
ENSG00000163933	0.219	0.504	  -13.819
ENSG00000124541	0.127	0.504	    6.509
ENSG00000159713	0.141	0.502	    0.000
ENSG00000283602	0.284	0.475	    5.857
ENSG00000151893	0.252	0.473	   -6.039
ENSG00000172071	0.239	0.467	    0.000
ENSG00000120685	0.152	0.467	   -6.050
ENSG00000158234	0.270	0.465	   -5.053
ENSG00000146054	0.101	0.459	    0.000
ENSG00000083097	0.059	0.459	    0.000
ENSG00000245573	0.137	0.442	    4.228
ENSG00000275437	0.092	0.440	    5.175
ENSG00000228451	0.059	0.434	   -0.481
ENSG00000273493	0.098	0.431	    5.128
ENSG00000092108	0.142	0.425	   -5.133
ENSG00000005471	0.091	0.412	    0.000
ENSG00000142082	0.010	0.405	   -4.348
ENSG00000101639	0.166	0.403	   -7.089
ENSG00000233232	0.175	0.388	    4.916
ENSG00000234906	0.160	0.383	    5.817
ENSG00000235298	0.047	0.376	    0.000
ENSG00000214193	0.119	0.374	    0.000
ENSG00000280061	0.156	0.371	    0.000
ENSG00000055044	0.078	0.367	    0.000
ENSG00000235423	0.135	0.361	   11.043
ENSG00000270424	0.064	0.360	    0.000
ENSG00000091536	0.353	0.356	    7.963
ENSG00000129055	0.072	0.354	   -8.522
ENSG00000105341	0.176	0.349	   11.935
ENSG00000131477	0.019	0.349	    0.000
ENSG00000235381	0.190	0.347	    4.526
ENSG00000122863	0.137	0.346	    0.000
ENSG00000181754	0.335	0.335	    4.930
ENSG00000259520	0.048	0.334	    1.683
ENSG00000224066	0.097	0.332	    0.000
ENSG00000120664	0.113	0.321	    4.943
ENSG00000184517	0.073	0.321	    1.061
ENSG00000110944	0.105	0.310	   -8.291
ENSG00000163161	0.035	0.307	    4.892
ENSG00000178966	0.052	0.304	    8.533
ENSG00000152778	0.120	0.303	    4.046
ENSG00000178952	0.106	0.301	   -4.875
