Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.044	0.999	   23.749
ENSG00000204371	0.183	0.996	   17.496
ENSG00000198860	0.309	0.992	  -18.703
ENSG00000147853	0.992	0.992	    3.078
ENSG00000101412	0.796	0.991	  -15.669
ENSG00000184185	0.179	0.983	   13.231
ENSG00000165801	0.464	0.981	    8.430
ENSG00000214193	0.804	0.981	   -7.178
ENSG00000187134	0.225	0.976	   -6.279
ENSG00000248278	0.175	0.960	   13.566
ENSG00000159363	0.084	0.952	  -16.244
ENSG00000112977	0.946	0.947	    0.000
ENSG00000176155	0.083	0.947	   -5.799
ENSG00000146477	0.191	0.944	    9.516
ENSG00000163354	0.907	0.943	   -5.609
ENSG00000240057	0.779	0.936	    7.190
ENSG00000119147	0.508	0.930	    6.291
ENSG00000183386	0.259	0.930	  -10.250
ENSG00000243795	0.712	0.929	   -7.050
ENSG00000234465	0.450	0.924	    5.683
ENSG00000163703	0.918	0.918	    0.000
ENSG00000163946	0.110	0.910	  -10.988
ENSG00000233016	0.891	0.893	   -5.581
ENSG00000081377	0.186	0.889	   15.214
ENSG00000126464	0.286	0.886	   -6.496
ENSG00000139428	0.634	0.872	    5.658
ENSG00000151893	0.692	0.867	   -5.288
ENSG00000260257	0.558	0.866	   -7.350
ENSG00000116883	0.817	0.863	    7.085
ENSG00000173145	0.203	0.856	    4.363
ENSG00000267280	0.016	0.849	  -13.470
ENSG00000125965	0.079	0.848	  -33.029
ENSG00000142233	0.211	0.840	    1.586
ENSG00000035115	0.375	0.837	   -5.116
ENSG00000231165	0.199	0.835	   -5.382
ENSG00000107959	0.821	0.826	    4.854
ENSG00000169641	0.059	0.826	   -5.815
ENSG00000198535	0.173	0.821	    8.211
ENSG00000273209	0.173	0.818	   -3.591
ENSG00000261210	0.171	0.813	   -2.492
ENSG00000130177	0.422	0.799	    8.415
ENSG00000198793	0.255	0.790	   -7.847
ENSG00000149485	0.540	0.788	   -6.960
ENSG00000239713	0.484	0.786	   -6.109
ENSG00000166913	0.346	0.773	    0.000
ENSG00000244515	0.172	0.773	   -8.931
ENSG00000109667	0.187	0.766	    5.426
ENSG00000172171	0.190	0.749	    9.963
ENSG00000242247	0.169	0.749	    7.077
ENSG00000151632	0.325	0.731	    9.080
ENSG00000176472	0.307	0.724	    0.000
ENSG00000162869	0.712	0.719	    3.985
ENSG00000281128	0.262	0.708	   -5.151
ENSG00000050393	0.376	0.706	   -3.895
ENSG00000124466	0.018	0.702	   -4.904
ENSG00000121068	0.476	0.694	  -18.618
ENSG00000185163	0.464	0.686	   -5.052
ENSG00000134222	0.448	0.679	   -4.741
ENSG00000250616	0.097	0.677	    0.000
ENSG00000131845	0.487	0.677	    4.250
ENSG00000257279	0.319	0.670	   -7.541
ENSG00000260947	0.193	0.659	   -5.297
ENSG00000099139	0.024	0.659	    0.000
ENSG00000101104	0.407	0.659	    6.694
ENSG00000178209	0.035	0.645	  -11.988
ENSG00000273619	0.495	0.644	   -5.647
ENSG00000234906	0.479	0.633	    5.047
ENSG00000283602	0.346	0.632	    5.915
ENSG00000182093	0.314	0.618	   -5.598
ENSG00000244754	0.184	0.604	   -6.745
ENSG00000197937	0.061	0.593	   -1.297
ENSG00000255248	0.297	0.577	   -5.437
ENSG00000243056	0.227	0.574	    6.062
