Gene	GRCP	GLCP	TWAS_z
ENSG00000184185	0.357	1.000	    8.739
ENSG00000165449	0.789	0.999	   -4.255
ENSG00000153822	0.583	0.998	  -10.651
ENSG00000174945	0.056	0.996	  -11.885
ENSG00000170175	0.222	0.988	  -13.104
ENSG00000186301	0.269	0.984	  -11.400
ENSG00000072682	0.345	0.973	  -16.846
ENSG00000198860	0.403	0.970	  -18.541
ENSG00000248278	0.141	0.964	   13.817
ENSG00000172171	0.153	0.964	    9.948
ENSG00000172613	0.024	0.963	   11.979
ENSG00000166913	0.343	0.962	    6.789
ENSG00000198945	0.241	0.939	  -19.096
ENSG00000243795	0.538	0.927	   -5.103
ENSG00000251455	0.152	0.918	   -6.948
ENSG00000139428	0.589	0.915	    5.663
ENSG00000162869	0.892	0.892	    5.077
ENSG00000232871	0.188	0.890	    5.005
ENSG00000259224	0.076	0.888	   14.599
ENSG00000173145	0.559	0.880	    4.853
ENSG00000240057	0.609	0.878	    7.172
ENSG00000177191	0.046	0.873	  -11.697
ENSG00000109686	0.150	0.872	   -5.339
ENSG00000151893	0.684	0.857	   -6.241
ENSG00000233016	0.855	0.855	   -5.813
ENSG00000174611	0.087	0.848	    7.545
ENSG00000116883	0.797	0.840	    4.966
ENSG00000278978	0.152	0.822	   -7.205
ENSG00000281026	0.156	0.821	    7.171
ENSG00000182109	0.040	0.817	   -1.028
ENSG00000221823	0.427	0.817	    4.959
ENSG00000187134	0.111	0.804	   -5.867
ENSG00000101639	0.137	0.799	   -6.042
ENSG00000120685	0.274	0.797	   -6.120
ENSG00000146054	0.552	0.793	    5.625
ENSG00000221968	0.621	0.791	   -7.381
ENSG00000224431	0.147	0.786	  -16.624
ENSG00000154548	0.541	0.777	   -6.412
ENSG00000176155	0.068	0.769	   -6.059
ENSG00000149485	0.385	0.767	   -7.309
ENSG00000138686	0.366	0.767	    7.958
ENSG00000280061	0.299	0.754	    6.335
ENSG00000250900	0.412	0.751	    5.420
ENSG00000196155	0.384	0.747	    9.270
