Gene	GRCP	GLCP	TWAS_z
ENSG00000165449	0.916	1.000	   -1.916
ENSG00000153822	0.711	1.000	  -10.646
ENSG00000172613	0.029	0.999	    9.699
ENSG00000187134	0.299	0.999	   -7.761
ENSG00000162613	0.086	0.999	   11.600
ENSG00000184185	0.037	0.998	    7.338
ENSG00000072682	0.402	0.998	  -16.773
ENSG00000198860	0.194	0.996	  -15.001
ENSG00000170175	0.349	0.995	  -14.176
ENSG00000198945	0.610	0.991	  -18.856
ENSG00000169062	0.420	0.976	   -8.387
ENSG00000257727	0.178	0.961	   -8.093
ENSG00000119147	0.957	0.957	    6.688
ENSG00000251247	0.105	0.946	    6.665
ENSG00000242247	0.194	0.940	    5.644
ENSG00000142233	0.187	0.935	    2.780
ENSG00000233016	0.886	0.935	   -5.682
ENSG00000163703	0.934	0.934	   12.690
ENSG00000176909	0.651	0.932	   -6.198
ENSG00000163946	0.061	0.920	  -10.263
ENSG00000169696	0.896	0.917	    6.206
ENSG00000248278	0.029	0.916	   13.550
ENSG00000162869	0.912	0.912	    5.484
ENSG00000221890	0.456	0.911	    7.546
ENSG00000139428	0.658	0.910	    5.697
ENSG00000173145	0.613	0.909	    4.813
ENSG00000117280	0.658	0.909	    7.559
ENSG00000159199	0.113	0.906	    9.981
ENSG00000073050	0.560	0.905	   -7.478
ENSG00000142694	0.813	0.902	   -6.508
ENSG00000185347	0.888	0.888	    7.317
ENSG00000151893	0.771	0.886	   -5.069
ENSG00000101412	0.408	0.872	  -15.087
ENSG00000146054	0.696	0.870	    5.754
ENSG00000273619	0.730	0.865	   -4.273
ENSG00000116883	0.844	0.852	    4.687
ENSG00000281026	0.484	0.851	    7.310
ENSG00000165661	0.040	0.845	   -0.669
ENSG00000251455	0.196	0.839	   -5.742
ENSG00000101367	0.594	0.835	    7.668
ENSG00000251453	0.264	0.832	    5.948
ENSG00000278978	0.196	0.822	   -7.237
ENSG00000221968	0.679	0.818	   -7.175
ENSG00000204120	0.045	0.810	    8.742
ENSG00000107679	0.022	0.808	    6.916
ENSG00000107959	0.748	0.806	    2.152
ENSG00000243176	0.171	0.791	    8.898
ENSG00000239713	0.640	0.790	   -6.196
ENSG00000227110	0.178	0.787	   -4.536
ENSG00000143740	0.002	0.786	  -13.702
ENSG00000109686	0.196	0.784	   -5.374
ENSG00000128274	0.054	0.778	   -6.999
ENSG00000130177	0.426	0.772	    8.211
ENSG00000163354	0.724	0.768	   -3.068
ENSG00000235106	0.374	0.766	   -7.705
ENSG00000271151	0.664	0.766	   -7.180
ENSG00000279722	0.209	0.764	    6.107
ENSG00000169925	0.006	0.758	    7.360
ENSG00000145780	0.327	0.755	    4.267
ENSG00000149485	0.423	0.752	   -7.333
ENSG00000149927	0.300	0.744	    0.000
ENSG00000126464	0.657	0.737	   -6.674
ENSG00000003056	0.238	0.734	    4.566
ENSG00000185250	0.063	0.733	   -0.621
ENSG00000241770	0.113	0.719	   -9.093
ENSG00000068878	0.154	0.716	   -6.083
ENSG00000243795	0.424	0.713	   -7.619
ENSG00000281128	0.305	0.703	   -4.866
ENSG00000214193	0.439	0.702	   -7.038
ENSG00000100281	0.131	0.696	   -4.828
ENSG00000176472	0.361	0.694	   -7.612
ENSG00000071967	0.272	0.687	   -8.734
ENSG00000278893	0.294	0.685	   -4.674
ENSG00000143771	0.135	0.683	   -9.086
ENSG00000283602	0.284	0.681	    5.965
ENSG00000250900	0.427	0.676	    4.661
ENSG00000157796	0.042	0.675	   -6.343
ENSG00000132953	0.444	0.672	   -0.373
ENSG00000231165	0.204	0.669	   -5.206
ENSG00000172081	0.120	0.664	    0.000
ENSG00000260947	0.208	0.656	   -5.027
ENSG00000151632	0.360	0.648	   10.252
ENSG00000157653	0.071	0.647	    0.000
