Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.043	1.000	   24.076
ENSG00000186834	0.611	0.998	  -11.677
ENSG00000198860	0.457	0.996	  -17.908
ENSG00000103245	0.911	0.981	  -13.802
ENSG00000116883	0.844	0.980	    7.130
ENSG00000125965	0.073	0.979	  -32.885
ENSG00000244731	0.003	0.976	    9.415
ENSG00000135835	0.929	0.955	    7.514
ENSG00000185869	0.039	0.954	   -6.927
ENSG00000240057	0.739	0.941	    6.892
ENSG00000115380	0.040	0.938	   20.163
ENSG00000243795	0.581	0.937	   -3.975
ENSG00000132386	0.484	0.937	    7.253
ENSG00000276293	0.891	0.929	    9.946
ENSG00000214193	0.815	0.910	   -7.349
ENSG00000149485	0.588	0.906	   -7.353
ENSG00000281207	0.008	0.901	  -15.627
ENSG00000117280	0.597	0.894	    4.186
ENSG00000142233	0.683	0.889	    4.113
ENSG00000047932	0.256	0.889	   -7.275
ENSG00000233016	0.888	0.888	   -5.684
ENSG00000122870	0.151	0.888	   -4.277
ENSG00000151632	0.626	0.885	    9.469
ENSG00000139219	0.380	0.885	    7.622
ENSG00000077348	0.040	0.878	  -11.447
ENSG00000109919	0.163	0.875	   12.984
ENSG00000260257	0.572	0.865	   -7.830
ENSG00000134222	0.608	0.864	   -3.994
ENSG00000168036	0.162	0.863	   -7.655
ENSG00000173145	0.470	0.861	    4.638
ENSG00000204120	0.085	0.854	    8.835
ENSG00000107959	0.851	0.853	    4.430
ENSG00000126464	0.526	0.852	   -6.786
ENSG00000245680	0.170	0.847	    5.047
ENSG00000073050	0.419	0.834	   -6.233
ENSG00000183386	0.022	0.834	   -8.164
ENSG00000253161	0.200	0.827	    0.000
ENSG00000119147	0.333	0.822	    5.679
ENSG00000176155	0.085	0.819	   -5.714
ENSG00000178209	0.078	0.816	  -12.613
ENSG00000231165	0.194	0.815	   -5.502
ENSG00000281128	0.270	0.809	   -4.126
ENSG00000182109	0.155	0.802	   -1.260
ENSG00000242247	0.187	0.799	    7.031
ENSG00000101639	0.178	0.798	   -6.786
ENSG00000142694	0.474	0.788	   -6.871
ENSG00000176920	0.127	0.773	    0.519
ENSG00000104870	0.070	0.766	    0.000
ENSG00000028277	0.198	0.764	   -6.470
ENSG00000134825	0.299	0.743	    7.186
ENSG00000109667	0.207	0.731	    5.340
ENSG00000280061	0.501	0.715	    6.154
ENSG00000092020	0.713	0.713	   -2.125
ENSG00000241770	0.159	0.711	   -8.848
ENSG00000172071	0.419	0.704	  -11.037
ENSG00000230337	0.021	0.687	    4.247
ENSG00000071967	0.427	0.682	   -9.636
ENSG00000273619	0.646	0.677	   -5.746
ENSG00000273125	0.371	0.676	    5.086
ENSG00000239713	0.197	0.666	   -5.978
ENSG00000162006	0.215	0.666	   -4.129
ENSG00000234465	0.446	0.664	    6.603
ENSG00000151208	0.149	0.651	    9.013
ENSG00000267100	0.466	0.649	    9.302
ENSG00000176909	0.386	0.646	    4.567
ENSG00000120669	0.099	0.628	    3.979
ENSG00000117122	0.134	0.625	    0.000
ENSG00000101104	0.396	0.625	    6.702
ENSG00000257303	0.256	0.625	    8.204
ENSG00000244515	0.169	0.616	   -9.297
ENSG00000112977	0.602	0.602	    3.987
ENSG00000273297	0.208	0.602	    3.673
ENSG00000135473	0.139	0.600	   -8.381
ENSG00000173404	0.594	0.594	   -4.230
ENSG00000130177	0.223	0.587	    0.000
ENSG00000005471	0.159	0.581	    2.074
ENSG00000260947	0.188	0.580	   -5.192
ENSG00000184517	0.577	0.577	    0.958
ENSG00000159199	0.025	0.573	    8.617
ENSG00000196666	0.154	0.571	   13.044
ENSG00000251417	0.137	0.562	    4.980
ENSG00000182093	0.233	0.560	    5.591
ENSG00000283602	0.416	0.557	    5.877
ENSG00000165661	0.116	0.557	   -9.091
ENSG00000138686	0.081	0.557	    6.815
ENSG00000247775	0.217	0.553	   -3.184
ENSG00000146477	0.133	0.544	    8.199
ENSG00000101367	0.171	0.537	    0.000
ENSG00000131845	0.204	0.531	    4.173
ENSG00000184110	0.089	0.527	    0.000
ENSG00000187555	0.448	0.517	   -6.948
ENSG00000255542	0.368	0.502	    0.000
