Gene	GRCP	GLCP	TWAS_z
ENSG00000101412	0.223	0.993	  -16.248
ENSG00000163703	0.983	0.983	   13.055
ENSG00000172613	0.087	0.980	   24.761
ENSG00000117122	0.355	0.976	  -16.376
ENSG00000103245	0.019	0.973	  -13.298
ENSG00000198860	0.504	0.970	  -18.559
ENSG00000214193	0.775	0.966	   -7.026
ENSG00000273064	0.349	0.966	   -8.079
ENSG00000248278	0.165	0.963	   13.782
ENSG00000135698	0.442	0.947	   -9.180
ENSG00000240057	0.663	0.944	    7.023
ENSG00000163933	0.098	0.926	  -13.677
ENSG00000149485	0.625	0.907	   -7.398
ENSG00000142233	0.412	0.901	    5.728
ENSG00000176155	0.063	0.901	   -6.058
ENSG00000165801	0.402	0.898	    0.000
ENSG00000123810	0.023	0.890	  -11.783
ENSG00000163946	0.042	0.883	  -11.239
ENSG00000109919	0.122	0.873	   13.021
ENSG00000233016	0.870	0.871	   -5.755
ENSG00000125965	0.055	0.864	  -27.288
ENSG00000119147	0.697	0.860	    5.668
ENSG00000120664	0.115	0.851	    5.039
ENSG00000126464	0.426	0.849	    0.000
ENSG00000187134	0.191	0.843	   -5.320
ENSG00000170430	0.581	0.840	   -3.830
ENSG00000116883	0.805	0.815	    7.094
ENSG00000281128	0.239	0.812	   -5.132
ENSG00000183431	0.322	0.810	    0.000
ENSG00000107959	0.795	0.800	    4.735
ENSG00000239713	0.571	0.773	   -6.057
ENSG00000120669	0.096	0.762	    4.565
ENSG00000109472	0.070	0.759	   -3.936
ENSG00000055044	0.197	0.735	    6.670
ENSG00000126001	0.036	0.734	    0.000
ENSG00000204120	0.044	0.731	    0.000
ENSG00000130177	0.192	0.724	    8.304
ENSG00000242247	0.144	0.718	    6.982
ENSG00000124541	0.166	0.715	    5.861
ENSG00000142694	0.675	0.694	   -6.877
ENSG00000227117	0.350	0.690	    0.000
ENSG00000086991	0.021	0.686	    4.256
ENSG00000255248	0.227	0.674	    0.000
ENSG00000165661	0.058	0.673	  -10.599
ENSG00000234465	0.405	0.672	    6.473
ENSG00000151632	0.296	0.671	   10.013
ENSG00000260947	0.165	0.658	   -5.478
ENSG00000244515	0.144	0.657	   -7.861
ENSG00000270424	0.121	0.657	   -4.832
ENSG00000273619	0.552	0.653	   -5.717
ENSG00000101104	0.353	0.644	    6.245
ENSG00000110921	0.384	0.640	   -5.758
ENSG00000231167	0.635	0.635	    0.000
ENSG00000281026	0.229	0.624	    0.000
ENSG00000166743	0.176	0.623	    5.930
ENSG00000071967	0.396	0.623	   -7.824
ENSG00000250222	0.423	0.617	   -5.443
ENSG00000131845	0.429	0.613	    4.779
ENSG00000109667	0.144	0.585	    0.000
ENSG00000073050	0.265	0.574	   -4.426
ENSG00000169683	0.160	0.565	   -5.470
ENSG00000072062	0.190	0.563	    0.000
ENSG00000198535	0.164	0.561	    0.000
ENSG00000260273	0.051	0.559	    9.585
ENSG00000245573	0.119	0.558	    4.217
ENSG00000163161	0.182	0.547	    5.108
ENSG00000139219	0.141	0.529	    0.000
ENSG00000243069	0.081	0.526	    2.856
ENSG00000251417	0.119	0.517	    4.772
