Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.119	1.000	   24.729
ENSG00000184185	0.531	0.999	   13.553
ENSG00000204371	0.147	0.997	   17.262
ENSG00000198860	0.491	0.992	  -18.142
ENSG00000103245	0.280	0.988	  -13.617
ENSG00000248890	0.726	0.985	  -16.690
ENSG00000035115	0.352	0.980	   -7.025
ENSG00000214193	0.775	0.974	   -7.176
ENSG00000088970	0.033	0.963	   -6.545
ENSG00000245680	0.166	0.959	    7.688
ENSG00000119147	0.957	0.957	    6.444
ENSG00000248278	0.632	0.949	   13.983
ENSG00000176909	0.193	0.939	    5.190
ENSG00000240057	0.705	0.938	    6.226
ENSG00000243795	0.758	0.932	   -7.143
ENSG00000178209	0.140	0.926	  -12.250
ENSG00000234465	0.443	0.923	    5.629
ENSG00000174945	0.044	0.923	  -22.802
ENSG00000197937	0.071	0.922	   -2.872
ENSG00000242247	0.176	0.922	    6.807
ENSG00000117280	0.673	0.918	    8.930
ENSG00000198945	0.017	0.911	  -16.911
ENSG00000162869	0.883	0.906	    5.217
ENSG00000116883	0.815	0.901	    7.256
ENSG00000166278	0.025	0.892	   11.962
ENSG00000081377	0.134	0.885	   15.044
ENSG00000168077	0.461	0.881	    6.350
ENSG00000233016	0.879	0.879	   -5.549
ENSG00000139428	0.578	0.874	    5.179
ENSG00000151893	0.707	0.869	   -6.259
ENSG00000259466	0.321	0.852	    8.414
ENSG00000107959	0.849	0.850	    3.516
ENSG00000279722	0.313	0.850	    7.438
ENSG00000231165	0.176	0.842	   -5.587
ENSG00000272426	0.040	0.838	   15.416
ENSG00000282876	0.040	0.818	   -3.741
ENSG00000126464	0.343	0.799	   -6.756
ENSG00000239713	0.492	0.783	   -6.123
ENSG00000143740	0.016	0.782	  -13.225
ENSG00000176155	0.081	0.770	   -6.043
ENSG00000117118	0.001	0.758	    0.000
ENSG00000198535	0.249	0.757	    8.391
ENSG00000050393	0.341	0.756	   -3.685
ENSG00000134222	0.535	0.756	    0.000
ENSG00000124702	0.060	0.748	   -4.773
ENSG00000241770	0.170	0.744	   -8.930
ENSG00000130177	0.333	0.743	    6.967
ENSG00000120669	0.149	0.732	    4.585
ENSG00000204351	0.003	0.724	    2.195
ENSG00000204120	0.037	0.719	    0.000
ENSG00000135535	0.255	0.691	  -10.565
ENSG00000088854	0.210	0.686	   -6.042
ENSG00000267122	0.006	0.677	   11.636
ENSG00000151208	0.116	0.677	    8.989
ENSG00000183386	0.092	0.674	    0.000
ENSG00000188157	0.080	0.673	    4.796
ENSG00000109667	0.166	0.668	    5.548
ENSG00000101104	0.429	0.655	    4.107
ENSG00000260947	0.180	0.654	   -5.249
ENSG00000170458	0.093	0.653	    5.524
ENSG00000260257	0.401	0.641	   -4.185
ENSG00000244515	0.155	0.640	   -9.621
ENSG00000129351	0.128	0.638	    0.000
ENSG00000237984	0.317	0.636	   -5.499
ENSG00000103528	0.196	0.635	    0.000
ENSG00000169592	0.085	0.629	    9.081
ENSG00000101412	0.009	0.628	  -15.336
ENSG00000127663	0.205	0.627	   -6.295
ENSG00000177951	0.621	0.623	   -5.990
ENSG00000273619	0.621	0.622	   -5.640
ENSG00000270424	0.125	0.615	   -4.814
ENSG00000273455	0.175	0.611	  -11.398
ENSG00000182093	0.314	0.582	   -5.626
ENSG00000165801	0.165	0.574	    8.348
ENSG00000109919	0.247	0.573	   13.012
ENSG00000198160	0.224	0.573	    6.620
ENSG00000173145	0.119	0.573	    4.322
ENSG00000151917	0.240	0.572	   -4.674
ENSG00000243069	0.058	0.567	    4.235
ENSG00000169696	0.044	0.560	    5.578
ENSG00000283602	0.377	0.558	    5.824
ENSG00000146733	0.216	0.556	    5.465
ENSG00000270977	0.224	0.555	    4.199
ENSG00000257303	0.167	0.553	    7.908
ENSG00000267114	0.069	0.540	   -4.753
ENSG00000272572	0.193	0.537	   -9.844
ENSG00000168036	0.287	0.537	   -7.508
ENSG00000230157	0.195	0.535	   -6.946
ENSG00000271151	0.532	0.535	   -7.062
ENSG00000159592	0.039	0.534	    0.000
ENSG00000108669	0.296	0.531	    0.000
ENSG00000105737	0.175	0.530	    6.724
ENSG00000135473	0.119	0.511	   -8.209
ENSG00000250616	0.057	0.504	    0.000
ENSG00000204713	0.009	0.496	   10.125
ENSG00000185250	0.209	0.494	    6.774
ENSG00000158234	0.287	0.489	   -5.060
ENSG00000131435	0.022	0.484	    0.000
ENSG00000234906	0.464	0.482	    4.946
ENSG00000196666	0.087	0.481	   13.194
ENSG00000055483	0.396	0.468	    7.524
ENSG00000187772	0.178	0.468	    0.000
ENSG00000181754	0.454	0.454	    4.662
ENSG00000281128	0.274	0.447	   -4.956
ENSG00000270000	0.204	0.442	    1.860
ENSG00000278023	0.241	0.440	    4.085
ENSG00000151632	0.273	0.437	    9.159
ENSG00000163703	0.437	0.437	    0.000
ENSG00000135698	0.158	0.434	   -8.009
ENSG00000122870	0.070	0.432	    0.000
ENSG00000261766	0.121	0.430	    4.805
ENSG00000073050	0.288	0.429	   -5.422
ENSG00000119537	0.019	0.429	    4.195
ENSG00000213619	0.051	0.429	    0.000
ENSG00000260273	0.161	0.422	    0.000
ENSG00000131477	0.010	0.422	    0.000
ENSG00000185745	0.258	0.413	    4.236
ENSG00000137261	0.142	0.412	    4.726
ENSG00000101220	0.409	0.409	    5.700
ENSG00000101639	0.161	0.407	   -6.969
ENSG00000280061	0.153	0.406	    0.000
ENSG00000152952	0.025	0.405	    4.448
ENSG00000092758	0.357	0.403	    0.000
ENSG00000258744	0.251	0.402	    1.442
ENSG00000124541	0.099	0.401	    0.000
ENSG00000084652	0.117	0.399	    7.194
ENSG00000230026	0.137	0.397	   -6.641
ENSG00000110367	0.028	0.386	    0.000
ENSG00000142694	0.266	0.384	    0.000
ENSG00000166913	0.130	0.381	    0.000
ENSG00000271828	0.125	0.380	   -1.235
ENSG00000279233	0.282	0.379	    4.512
ENSG00000138175	0.007	0.379	    0.000
ENSG00000025800	0.123	0.378	   -7.170
