Gene	GRCP	GLCP	TWAS_z
ENSG00000186532	0.150	0.997	    8.626
ENSG00000101412	0.255	0.994	  -16.295
ENSG00000183431	0.124	0.973	   -9.833
ENSG00000178209	0.074	0.968	  -12.284
ENSG00000117122	0.341	0.966	  -16.350
ENSG00000172613	0.051	0.958	   23.229
ENSG00000248278	0.391	0.955	   13.896
ENSG00000240057	0.692	0.944	    7.102
ENSG00000243795	0.721	0.941	   -7.027
ENSG00000142233	0.301	0.928	    5.082
ENSG00000073050	0.414	0.921	   -7.347
ENSG00000126464	0.250	0.910	   -6.031
ENSG00000179774	0.326	0.900	  -11.148
ENSG00000233016	0.870	0.872	   -5.753
ENSG00000151632	0.369	0.871	   10.294
ENSG00000113083	0.428	0.867	   -5.833
ENSG00000235241	0.022	0.867	   15.511
ENSG00000273619	0.630	0.853	   -5.791
ENSG00000204351	0.003	0.847	    3.644
ENSG00000244754	0.361	0.836	   -7.272
ENSG00000187134	0.114	0.824	  -10.279
ENSG00000169592	0.086	0.821	    9.103
ENSG00000101019	0.001	0.816	    0.000
ENSG00000242247	0.122	0.799	    6.838
ENSG00000101639	0.203	0.798	   -7.088
ENSG00000271828	0.245	0.790	   -1.093
ENSG00000101104	0.328	0.780	    6.692
ENSG00000107959	0.547	0.773	    4.359
ENSG00000149485	0.258	0.769	   -7.378
ENSG00000130177	0.337	0.760	    8.224
ENSG00000117280	0.246	0.750	    8.573
ENSG00000281128	0.258	0.748	   -5.757
ENSG00000119147	0.692	0.730	    6.701
ENSG00000188157	0.222	0.722	    5.276
ENSG00000231165	0.150	0.721	   -5.493
ENSG00000155542	0.306	0.712	   -7.323
ENSG00000223547	0.278	0.694	    9.904
ENSG00000170949	0.078	0.692	   -4.124
ENSG00000185163	0.200	0.666	   -5.166
ENSG00000077616	0.053	0.665	    2.093
ENSG00000260947	0.172	0.661	   -5.451
ENSG00000135698	0.241	0.638	   -6.555
ENSG00000131845	0.467	0.633	    4.755
ENSG00000260273	0.077	0.632	    9.928
ENSG00000168036	0.162	0.624	   -7.360
ENSG00000237984	0.206	0.617	   -5.545
ENSG00000146054	0.156	0.608	    5.292
ENSG00000257303	0.150	0.596	    7.899
ENSG00000050393	0.378	0.576	   -4.048
ENSG00000182093	0.241	0.574	   -5.581
ENSG00000101417	0.250	0.555	    0.000
ENSG00000251417	0.116	0.544	    4.782
ENSG00000273456	0.102	0.539	    6.514
ENSG00000181754	0.536	0.536	    4.658
ENSG00000178952	0.132	0.525	   -4.830
ENSG00000244515	0.114	0.520	   -8.845
ENSG00000182923	0.073	0.513	   -8.502
ENSG00000184517	0.402	0.508	   -0.495
ENSG00000242142	0.285	0.508	   13.776
ENSG00000275437	0.061	0.502	    4.981
ENSG00000234906	0.070	0.502	    0.000
ENSG00000230026	0.081	0.500	   -6.724
ENSG00000114107	0.089	0.498	    3.191
ENSG00000234618	0.137	0.495	   -4.085
ENSG00000108799	0.030	0.485	    0.000
ENSG00000245573	0.135	0.474	    4.190
ENSG00000129055	0.070	0.469	   -8.524
ENSG00000247775	0.247	0.461	   -4.306
ENSG00000270761	0.215	0.438	    7.336
ENSG00000183682	0.065	0.426	    0.752
ENSG00000106366	0.197	0.425	    0.000
ENSG00000272933	0.017	0.420	    0.000
ENSG00000139132	0.103	0.412	    0.000
ENSG00000130208	0.027	0.385	    5.135
ENSG00000234329	0.067	0.378	   -6.948
ENSG00000187013	0.030	0.373	    0.000
ENSG00000134825	0.109	0.363	    0.000
ENSG00000152778	0.103	0.363	    3.757
ENSG00000105668	0.174	0.362	   -4.845
ENSG00000117868	0.038	0.357	   -3.883
ENSG00000100281	0.120	0.352	    0.000
ENSG00000147437	0.074	0.351	    0.000
ENSG00000272512	0.050	0.342	    4.506
ENSG00000145808	0.060	0.339	    0.000
ENSG00000217801	0.006	0.339	    0.000
ENSG00000267169	0.057	0.332	    0.000
ENSG00000081760	0.096	0.330	    0.000
ENSG00000180834	0.096	0.325	    5.335
ENSG00000260300	0.077	0.322	    0.000
ENSG00000178568	0.088	0.321	    0.000
ENSG00000176720	0.147	0.320	    0.000
ENSG00000276449	0.079	0.319	    0.000
ENSG00000065243	0.059	0.319	    0.000
ENSG00000100284	0.053	0.315	    0.000
ENSG00000272950	0.073	0.314	    1.555
ENSG00000164142	0.062	0.314	    0.000
ENSG00000213523	0.148	0.312	   -5.789
ENSG00000112941	0.078	0.307	    2.474
ENSG00000170175	0.076	0.303	    0.000
ENSG00000086991	0.013	0.297	    4.614
ENSG00000084093	0.192	0.293	    0.000
ENSG00000121594	0.060	0.290	    0.000
ENSG00000107443	0.090	0.287	    0.000
ENSG00000227914	0.244	0.285	    3.976
ENSG00000119314	0.090	0.285	    0.000
ENSG00000143771	0.062	0.284	    0.000
ENSG00000239713	0.007	0.279	    0.000
ENSG00000259520	0.039	0.276	    1.972
ENSG00000280169	0.080	0.274	    0.000
ENSG00000280061	0.086	0.273	    0.000
ENSG00000185745	0.156	0.272	    0.000
ENSG00000082175	0.026	0.270	    0.000
ENSG00000198160	0.096	0.265	    0.000
ENSG00000278893	0.075	0.264	    0.000
ENSG00000173145	0.010	0.260	    1.253
ENSG00000233232	0.053	0.260	    0.000
ENSG00000235381	0.178	0.257	    7.393
ENSG00000152465	0.257	0.257	    4.257
ENSG00000272969	0.024	0.257	   -4.550
ENSG00000174611	0.036	0.254	    6.446
ENSG00000174106	0.054	0.251	    0.000
ENSG00000137501	0.057	0.250	    0.000
ENSG00000262223	0.073	0.249	   -7.463
ENSG00000175336	0.064	0.248	    0.000
ENSG00000177025	0.246	0.246	   -3.165
ENSG00000163378	0.094	0.244	    3.476
ENSG00000263154	0.025	0.244	   -7.268
ENSG00000120693	0.164	0.243	   -0.325
ENSG00000112304	0.072	0.241	    0.000
ENSG00000005471	0.061	0.240	    0.000
ENSG00000075413	0.072	0.239	   -8.547
ENSG00000115419	0.084	0.236	    0.000
ENSG00000204682	0.063	0.236	    0.000
ENSG00000176623	0.072	0.232	    3.549
ENSG00000283602	0.100	0.232	    0.000
ENSG00000279233	0.218	0.223	    3.849
ENSG00000110944	0.045	0.223	    0.000
ENSG00000260257	0.091	0.221	    0.000
ENSG00000243056	0.131	0.219	    5.589
ENSG00000169683	0.148	0.215	   -7.550
ENSG00000163703	0.207	0.207	    0.000
ENSG00000186230	0.089	0.200	    4.166
ENSG00000187210	0.041	0.199	    0.000
ENSG00000153037	0.049	0.196	    0.000
ENSG00000113318	0.177	0.192	   -2.074
ENSG00000151135	0.003	0.191	    0.000
ENSG00000163161	0.067	0.189	    4.985
ENSG00000250412	0.006	0.186	    2.918
ENSG00000115290	0.020	0.186	    0.000
ENSG00000214293	0.185	0.185	   -2.970
ENSG00000233885	0.080	0.185	   -4.962
ENSG00000163605	0.029	0.183	    3.463
ENSG00000169756	0.021	0.183	   -1.101
ENSG00000235423	0.036	0.182	   12.255
ENSG00000184185	0.095	0.181	    0.000
ENSG00000085719	0.061	0.178	   -3.700
ENSG00000073067	0.021	0.178	    0.000
ENSG00000132386	0.057	0.177	    0.000
ENSG00000144580	0.044	0.176	    0.000
ENSG00000165661	0.017	0.172	  -10.597
ENSG00000177984	0.017	0.171	    0.000
ENSG00000159708	0.020	0.171	    0.000
ENSG00000183615	0.026	0.169	    0.000
ENSG00000138835	0.020	0.165	    0.000
ENSG00000104756	0.013	0.165	    0.000
ENSG00000261019	0.070	0.165	    4.585
ENSG00000162408	0.020	0.164	    0.000
ENSG00000267279	0.096	0.164	    0.000
ENSG00000164855	0.029	0.162	    0.000
ENSG00000248514	0.074	0.162	    0.000
ENSG00000135968	0.056	0.161	   -3.784
ENSG00000131374	0.018	0.158	    0.000
ENSG00000109787	0.016	0.158	    0.000
ENSG00000132010	0.002	0.157	    0.000
ENSG00000116833	0.068	0.156	    0.000
ENSG00000257727	0.024	0.156	    0.000
ENSG00000136197	0.013	0.155	   -3.571
ENSG00000198860	0.072	0.155	    0.000
ENSG00000269906	0.086	0.155	   -4.278
ENSG00000166478	0.044	0.154	    5.792
ENSG00000169925	0.068	0.154	    0.000
ENSG00000115446	0.050	0.153	    4.766
ENSG00000163191	0.071	0.153	    0.000
ENSG00000091536	0.075	0.153	    0.000
ENSG00000149679	0.153	0.153	    4.380
ENSG00000084623	0.024	0.152	    0.000
ENSG00000171217	0.009	0.151	    0.000
ENSG00000224057	0.143	0.151	    3.754
ENSG00000052802	0.030	0.151	    0.000
ENSG00000158234	0.073	0.147	    0.000
ENSG00000170889	0.063	0.146	   -3.911
ENSG00000102595	0.027	0.140	    4.322
ENSG00000111850	0.036	0.140	    3.191
ENSG00000173226	0.042	0.139	    2.583
ENSG00000162738	0.046	0.137	    0.000
ENSG00000235652	0.027	0.136	    4.672
ENSG00000166278	0.003	0.135	    0.000
ENSG00000240291	0.127	0.135	    3.728
ENSG00000108239	0.008	0.134	    2.081
ENSG00000138111	0.008	0.132	   13.002
ENSG00000243069	0.052	0.132	    4.058
ENSG00000260231	0.012	0.130	   -7.088
ENSG00000270903	0.044	0.128	    1.573
ENSG00000163684	0.023	0.128	    0.000
ENSG00000277954	0.001	0.128	    0.000
ENSG00000255422	0.019	0.125	    5.996
ENSG00000214855	0.124	0.124	    4.988
ENSG00000267114	0.008	0.124	    0.000
ENSG00000163527	0.046	0.120	    0.000
ENSG00000151893	0.091	0.119	    0.000
ENSG00000260372	0.032	0.118	    1.749
ENSG00000166913	0.039	0.115	    0.000
ENSG00000182873	0.021	0.114	    0.000
ENSG00000142657	0.065	0.113	   -7.903
ENSG00000177963	0.047	0.113	   -3.687
ENSG00000163946	0.034	0.113	  -11.213
ENSG00000124466	0.009	0.111	   -1.526
ENSG00000170458	0.010	0.110	    0.000
ENSG00000088836	0.012	0.109	    0.000
