Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.005	0.990	   22.968
ENSG00000103245	0.317	0.981	  -14.111
ENSG00000178209	0.039	0.962	  -12.448
ENSG00000248278	0.045	0.957	   13.654
ENSG00000240057	0.738	0.937	    7.161
ENSG00000243795	0.729	0.932	   -5.660
ENSG00000119147	0.870	0.925	    6.675
ENSG00000130177	0.337	0.917	    8.153
ENSG00000204709	0.040	0.900	   10.164
ENSG00000151893	0.701	0.899	   -6.363
ENSG00000185163	0.415	0.898	   -5.430
ENSG00000233016	0.886	0.886	   -5.002
ENSG00000101104	0.393	0.854	    6.700
ENSG00000273619	0.392	0.834	   -4.349
ENSG00000107959	0.751	0.816	    4.720
ENSG00000101019	0.002	0.814	    0.000
ENSG00000116883	0.758	0.812	    7.086
ENSG00000197291	0.116	0.810	    0.000
ENSG00000188157	0.275	0.793	    4.582
ENSG00000239713	0.638	0.792	   -4.717
ENSG00000205643	0.008	0.773	    0.000
ENSG00000187134	0.157	0.761	   -6.574
ENSG00000050393	0.378	0.735	   -4.465
ENSG00000163933	0.158	0.725	    0.000
ENSG00000260273	0.316	0.719	   10.531
ENSG00000228451	0.697	0.697	   -0.355
ENSG00000242247	0.122	0.693	    6.453
ENSG00000117280	0.445	0.689	    7.757
ENSG00000115380	0.065	0.684	    0.000
ENSG00000244515	0.167	0.678	   -8.915
ENSG00000281128	0.284	0.678	   -5.530
ENSG00000126464	0.306	0.677	    0.000
ENSG00000245680	0.069	0.676	    0.000
ENSG00000260947	0.199	0.670	   -5.448
ENSG00000213523	0.280	0.657	   -6.027
ENSG00000101412	0.063	0.652	  -11.453
ENSG00000147853	0.625	0.625	    0.000
ENSG00000231165	0.148	0.619	    0.000
ENSG00000163703	0.610	0.610	   13.130
ENSG00000283602	0.378	0.607	    5.903
ENSG00000149485	0.116	0.599	    0.000
ENSG00000155542	0.180	0.598	   -7.052
ENSG00000120685	0.250	0.581	    0.000
ENSG00000182093	0.311	0.574	   -5.548
ENSG00000122870	0.090	0.555	   -4.122
ENSG00000251417	0.125	0.552	    4.796
ENSG00000101417	0.318	0.550	    0.000
ENSG00000136999	0.054	0.549	    0.000
ENSG00000243069	0.087	0.536	    4.127
ENSG00000109667	0.104	0.533	    0.000
ENSG00000242142	0.163	0.532	   13.747
ENSG00000173145	0.090	0.524	    0.000
ENSG00000180834	0.163	0.522	    5.308
ENSG00000272572	0.017	0.517	   -9.155
ENSG00000163605	0.095	0.508	    4.180
ENSG00000100284	0.125	0.498	    4.760
ENSG00000131845	0.170	0.495	    4.173
ENSG00000050748	0.345	0.491	    0.000
ENSG00000275437	0.123	0.489	    5.675
ENSG00000178685	0.032	0.485	  -12.566
ENSG00000055483	0.131	0.482	    0.000
ENSG00000262528	0.021	0.481	    0.000
ENSG00000167964	0.001	0.472	    0.000
ENSG00000151208	0.096	0.468	    8.901
ENSG00000189212	0.008	0.468	    4.535
ENSG00000151632	0.228	0.464	    0.000
ENSG00000077616	0.034	0.457	    0.000
ENSG00000182923	0.085	0.456	   -8.674
ENSG00000235381	0.214	0.453	    7.007
ENSG00000152778	0.173	0.452	    4.322
ENSG00000272950	0.082	0.446	    2.736
ENSG00000151917	0.103	0.438	   -4.548
ENSG00000171206	0.083	0.432	    0.000
ENSG00000249035	0.219	0.430	    0.000
ENSG00000257303	0.195	0.426	    8.580
ENSG00000146054	0.257	0.415	    0.000
ENSG00000230316	0.069	0.399	    0.000
ENSG00000176909	0.042	0.399	    0.000
ENSG00000134222	0.263	0.391	   -3.773
ENSG00000184661	0.026	0.391	    0.000
ENSG00000108932	0.187	0.389	    0.000
ENSG00000169710	0.026	0.386	    0.000
ENSG00000071127	0.034	0.361	   -4.893
ENSG00000142546	0.174	0.360	    0.000
ENSG00000166743	0.109	0.355	    5.701
ENSG00000073050	0.169	0.355	   -4.068
ENSG00000139428	0.233	0.353	    0.000
ENSG00000168036	0.118	0.347	    0.000
ENSG00000129055	0.089	0.341	   -8.468
ENSG00000259520	0.055	0.340	    1.743
ENSG00000111802	0.055	0.338	    0.000
ENSG00000122863	0.076	0.338	   -2.991
ENSG00000185347	0.132	0.335	    0.000
ENSG00000254415	0.335	0.335	    0.262
ENSG00000223547	0.144	0.332	    0.000
ENSG00000169683	0.101	0.332	    0.000
ENSG00000183682	0.055	0.325	    0.000
ENSG00000134504	0.068	0.319	    0.000
ENSG00000163161	0.099	0.317	    4.974
ENSG00000101639	0.109	0.314	   -7.012
ENSG00000181754	0.306	0.306	    3.731
ENSG00000196584	0.228	0.306	    2.365
ENSG00000137857	0.053	0.298	    3.212
ENSG00000279233	0.220	0.298	    4.312
ENSG00000121594	0.069	0.285	    0.000
ENSG00000101057	0.105	0.284	    0.000
ENSG00000120693	0.218	0.282	   -4.969
ENSG00000058673	0.047	0.280	    0.000
ENSG00000178966	0.059	0.279	    0.000
ENSG00000149679	0.278	0.278	    5.315
ENSG00000174106	0.010	0.278	    0.000
ENSG00000163686	0.059	0.275	    0.000
ENSG00000172845	0.095	0.274	    0.000
ENSG00000231956	0.063	0.271	    0.000
ENSG00000182873	0.059	0.268	    0.000
ENSG00000184156	0.234	0.263	    0.000
ENSG00000115556	0.080	0.259	  -12.152
ENSG00000278023	0.170	0.255	    0.000
ENSG00000272969	0.050	0.254	   -5.287
ENSG00000166436	0.090	0.252	   -2.488
ENSG00000186790	0.002	0.246	    0.000
ENSG00000233885	0.098	0.243	   -5.072
ENSG00000124541	0.069	0.237	    0.000
ENSG00000183386	0.043	0.235	    0.000
ENSG00000136280	0.077	0.234	   -3.839
ENSG00000186230	0.130	0.231	    4.218
ENSG00000115446	0.062	0.228	    4.814
ENSG00000280061	0.106	0.225	    0.000
ENSG00000173575	0.028	0.223	    0.000
ENSG00000253476	0.071	0.222	    0.000
ENSG00000231824	0.102	0.220	    0.000
ENSG00000117868	0.041	0.220	    0.000
ENSG00000102921	0.034	0.220	    0.000
ENSG00000153822	0.005	0.219	   -7.521
