Gene	GRCP	GLCP	TWAS_z
ENSG00000163703	1.000	1.000	   13.013
ENSG00000198945	0.999	0.999	  -18.561
ENSG00000170175	0.544	0.998	  -14.839
ENSG00000162613	0.061	0.998	   11.530
ENSG00000277791	0.937	0.996	    7.858
ENSG00000234028	0.663	0.994	  -11.990
ENSG00000011105	0.439	0.990	   -6.159
ENSG00000112977	0.988	0.988	    4.560
ENSG00000269894	0.985	0.985	   13.084
ENSG00000276293	0.938	0.985	    8.625
ENSG00000132386	0.674	0.982	    7.023
ENSG00000187013	0.297	0.980	   18.659
ENSG00000245680	0.191	0.977	    7.721
ENSG00000176720	0.469	0.975	    9.866
ENSG00000171206	0.200	0.973	  -12.719
ENSG00000248278	0.018	0.971	   12.943
ENSG00000127663	0.448	0.970	   13.122
ENSG00000177311	0.240	0.963	  -34.361
ENSG00000204978	0.222	0.962	   11.979
ENSG00000183386	0.958	0.958	  -10.221
ENSG00000166532	0.844	0.951	   -5.734
ENSG00000169925	0.679	0.949	    7.703
ENSG00000119147	0.856	0.942	    6.381
ENSG00000153391	0.907	0.937	   -6.759
ENSG00000135698	0.381	0.930	   -8.463
ENSG00000151704	0.254	0.928	   -7.757
ENSG00000230532	0.019	0.923	  -13.788
ENSG00000067208	0.305	0.921	    9.979
ENSG00000141429	0.888	0.920	   -6.626
ENSG00000162869	0.917	0.918	    4.897
ENSG00000134222	0.694	0.916	   -4.284
ENSG00000117122	0.030	0.900	  -15.464
ENSG00000233016	0.900	0.900	   -5.675
ENSG00000183741	0.026	0.894	    6.299
ENSG00000107959	0.890	0.890	    3.004
ENSG00000183520	0.776	0.889	  -10.098
ENSG00000273619	0.661	0.879	   -5.791
ENSG00000116883	0.852	0.875	    7.116
ENSG00000176472	0.751	0.869	   -6.619
ENSG00000178209	0.834	0.866	  -11.661
ENSG00000123810	0.059	0.860	  -11.785
ENSG00000149926	0.748	0.850	   -9.311
ENSG00000142694	0.804	0.850	   -7.085
ENSG00000128039	0.042	0.849	   -2.487
ENSG00000101639	0.319	0.848	   -7.049
ENSG00000179119	0.574	0.840	   -7.876
ENSG00000173145	0.502	0.833	    4.760
ENSG00000165801	0.785	0.816	    0.000
ENSG00000135835	0.794	0.810	    0.000
ENSG00000013810	0.139	0.808	   -5.514
ENSG00000105755	0.347	0.790	   -5.635
ENSG00000138639	0.396	0.788	    0.000
ENSG00000248514	0.545	0.786	    5.126
ENSG00000151893	0.486	0.783	   -0.902
ENSG00000149925	0.241	0.782	    0.000
ENSG00000196967	0.332	0.779	    6.770
ENSG00000184661	0.056	0.778	    9.010
ENSG00000155542	0.478	0.776	   -7.591
ENSG00000188157	0.308	0.775	    5.309
ENSG00000275512	0.630	0.769	   -6.488
ENSG00000238181	0.373	0.767	   -8.040
ENSG00000155850	0.454	0.757	   -5.506
ENSG00000106823	0.244	0.757	    8.141
ENSG00000133313	0.756	0.756	    4.116
ENSG00000275437	0.466	0.747	    6.242
ENSG00000130177	0.565	0.745	    8.195
ENSG00000136240	0.744	0.744	   -4.892
ENSG00000084093	0.550	0.741	   11.038
ENSG00000126464	0.618	0.737	   -6.597
ENSG00000234906	0.429	0.717	   -5.758
ENSG00000054523	0.083	0.707	    0.904
ENSG00000281128	0.287	0.702	   -5.367
ENSG00000283602	0.390	0.701	    5.938
ENSG00000185163	0.447	0.691	   -1.104
ENSG00000105341	0.087	0.691	   11.727
ENSG00000237984	0.258	0.688	   -4.848
ENSG00000234465	0.487	0.687	    7.517
ENSG00000166913	0.415	0.682	    6.598
ENSG00000244754	0.305	0.680	   -7.276
ENSG00000101367	0.664	0.674	    7.490
ENSG00000151208	0.465	0.671	    9.357
ENSG00000272572	0.367	0.667	   -9.719
ENSG00000165424	0.074	0.663	  -13.954
ENSG00000163354	0.636	0.659	   -7.008
ENSG00000137098	0.654	0.654	    7.293
ENSG00000140575	0.642	0.643	   -4.825
ENSG00000223305	0.328	0.638	   -5.192
ENSG00000198160	0.304	0.633	    5.918
ENSG00000149257	0.011	0.625	  -13.190
ENSG00000267100	0.075	0.623	    7.429
ENSG00000106780	0.334	0.622	   -7.931
ENSG00000181754	0.618	0.618	    4.664
ENSG00000171217	0.165	0.613	   -6.998
ENSG00000275106	0.384	0.608	   -4.904
ENSG00000165661	0.082	0.599	  -10.731
ENSG00000112304	0.224	0.598	   -2.486
ENSG00000278893	0.331	0.597	   -3.345
ENSG00000260947	0.212	0.583	   -5.048
ENSG00000135596	0.208	0.581	    9.557
ENSG00000186834	0.011	0.579	   -9.688
ENSG00000271151	0.569	0.575	   -7.065
ENSG00000257303	0.200	0.575	    7.911
ENSG00000108669	0.141	0.574	   -7.376
ENSG00000104332	0.414	0.573	   -5.665
ENSG00000172247	0.218	0.568	  -11.952
ENSG00000069275	0.440	0.567	   -9.637
ENSG00000229951	0.064	0.566	    0.000
ENSG00000205795	0.074	0.565	   -9.640
ENSG00000164713	0.109	0.562	    4.075
ENSG00000245651	0.085	0.562	   -7.634
ENSG00000242142	0.426	0.561	   13.886
