Gene	GRCP	GLCP	TWAS_z
ENSG00000230082	1.000	1.000	   13.055
ENSG00000172613	0.038	1.000	   14.358
ENSG00000103253	0.739	1.000	  -11.719
ENSG00000269894	1.000	1.000	   12.732
ENSG00000151468	0.151	1.000	   -7.615
ENSG00000163703	0.999	0.999	   12.204
ENSG00000163702	0.999	0.999	    5.107
ENSG00000147853	0.999	0.999	    4.941
ENSG00000168899	0.931	0.998	    5.554
ENSG00000172171	0.227	0.998	   13.537
ENSG00000183386	0.967	0.997	  -10.684
ENSG00000198911	0.954	0.997	    8.415
ENSG00000072682	0.456	0.997	  -16.338
ENSG00000184897	0.915	0.997	  -15.436
ENSG00000165801	0.912	0.997	    8.703
ENSG00000172059	0.386	0.997	  -10.412
ENSG00000221823	0.433	0.994	    4.820
ENSG00000198860	0.569	0.993	    0.863
ENSG00000113739	0.993	0.993	    8.337
ENSG00000149257	0.720	0.993	  -10.216
ENSG00000276293	0.980	0.992	    9.848
ENSG00000104332	0.699	0.991	   -2.076
ENSG00000103245	0.927	0.990	  -13.815
ENSG00000112977	0.989	0.989	    5.546
ENSG00000100968	0.989	0.989	   11.763
ENSG00000141905	0.984	0.984	   11.375
ENSG00000165424	0.361	0.983	  -14.966
ENSG00000149090	0.920	0.982	   -3.269
ENSG00000277791	0.647	0.977	    9.807
ENSG00000135835	0.976	0.976	    7.482
ENSG00000159363	0.147	0.975	  -15.998
ENSG00000248278	0.179	0.974	   13.980
ENSG00000137501	0.971	0.971	   -5.480
ENSG00000159199	0.030	0.968	   13.402
ENSG00000075292	0.271	0.965	   14.246
ENSG00000183520	0.386	0.964	   -9.946
ENSG00000129465	0.960	0.960	    4.642
ENSG00000240057	0.262	0.952	    2.826
ENSG00000162613	0.062	0.952	   11.413
ENSG00000122912	0.941	0.951	    8.424
ENSG00000067208	0.334	0.951	   10.325
ENSG00000168883	0.323	0.951	    1.996
ENSG00000159202	0.032	0.943	  -13.550
ENSG00000132386	0.539	0.939	    7.692
ENSG00000075426	0.033	0.935	    3.745
ENSG00000129467	0.435	0.933	    4.713
ENSG00000035115	0.806	0.931	   -7.645
ENSG00000183741	0.048	0.926	    7.010
ENSG00000169925	0.610	0.923	    6.221
ENSG00000273559	0.189	0.915	    3.227
ENSG00000243795	0.707	0.912	   -6.979
ENSG00000113389	0.527	0.911	   -0.515
ENSG00000233016	0.906	0.906	   -4.798
ENSG00000166913	0.408	0.905	    6.685
ENSG00000163935	0.192	0.902	   14.487
ENSG00000157551	0.512	0.900	  -11.548
ENSG00000077942	0.280	0.900	    8.155
ENSG00000235413	0.126	0.887	   26.285
ENSG00000187134	0.380	0.876	   -8.407
ENSG00000176472	0.768	0.875	   -7.342
ENSG00000105755	0.770	0.874	   -6.911
ENSG00000084093	0.619	0.873	    9.893
ENSG00000134222	0.733	0.872	   -4.972
ENSG00000177951	0.868	0.870	   -3.488
ENSG00000116883	0.868	0.868	    5.567
ENSG00000104885	0.347	0.865	  -10.057
ENSG00000162869	0.849	0.858	    5.034
ENSG00000138639	0.474	0.839	    5.867
ENSG00000107959	0.602	0.838	    4.088
ENSG00000204338	0.143	0.838	   18.327
ENSG00000233858	0.356	0.835	    9.204
ENSG00000234028	0.647	0.834	  -11.879
ENSG00000253608	0.761	0.832	    9.388
ENSG00000126460	0.493	0.831	   -6.971
ENSG00000279312	0.464	0.830	   -6.493
ENSG00000105173	0.339	0.827	   -5.705
ENSG00000178209	0.642	0.824	  -12.187
ENSG00000172071	0.625	0.815	  -11.936
ENSG00000126464	0.646	0.813	   -6.707
ENSG00000146733	0.345	0.808	    6.542
ENSG00000257727	0.204	0.798	   -7.910
ENSG00000091542	0.686	0.797	    3.835
ENSG00000132485	0.187	0.794	    6.277
ENSG00000155542	0.494	0.784	   -7.313
ENSG00000130177	0.621	0.775	    8.236
ENSG00000133313	0.773	0.773	    3.717
ENSG00000122877	0.387	0.769	    7.386
ENSG00000253161	0.256	0.760	   -5.075
ENSG00000149927	0.122	0.757	    9.071
ENSG00000242247	0.215	0.745	    6.895
ENSG00000101367	0.678	0.744	    7.428
ENSG00000151632	0.667	0.739	    9.728
ENSG00000163933	0.125	0.734	  -13.997
ENSG00000273619	0.712	0.730	   -5.586
ENSG00000231123	0.011	0.726	   -8.968
ENSG00000244754	0.235	0.712	   -7.198
ENSG00000126522	0.285	0.712	    3.299
ENSG00000171217	0.286	0.709	   -7.092
ENSG00000204525	0.013	0.705	  -15.897
ENSG00000283602	0.405	0.697	    5.638
ENSG00000065243	0.090	0.696	    9.042
ENSG00000231160	0.018	0.693	   -5.382
ENSG00000136630	0.365	0.691	    8.476
ENSG00000127080	0.049	0.689	   -7.370
ENSG00000152433	0.622	0.683	    3.019
ENSG00000256060	0.603	0.683	    4.881
ENSG00000243970	0.205	0.683	   -1.362
ENSG00000174989	0.667	0.682	   -3.235
ENSG00000109472	0.081	0.682	   -2.980
ENSG00000088836	0.602	0.675	    3.697
ENSG00000274554	0.171	0.667	   -7.639
ENSG00000101104	0.593	0.667	   -2.006
ENSG00000140575	0.664	0.664	   -4.291
ENSG00000171206	0.103	0.664	  -13.062
ENSG00000136542	0.606	0.662	    4.478
ENSG00000179119	0.601	0.661	   -7.483
ENSG00000240032	0.578	0.661	   -5.578
ENSG00000108239	0.009	0.659	   -1.961
ENSG00000198900	0.501	0.658	    0.000
ENSG00000105538	0.563	0.653	    5.546
ENSG00000151422	0.170	0.651	  -10.910
