Gene	GRCP	GLCP	TWAS_z
ENSG00000204351	0.011	0.999	    5.344
ENSG00000101019	0.001	0.986	   32.095
ENSG00000183431	0.493	0.974	  -10.026
ENSG00000104885	0.076	0.972	  -15.275
ENSG00000165801	0.901	0.972	    8.853
ENSG00000248278	0.153	0.969	   13.736
ENSG00000198945	0.115	0.951	  -16.078
ENSG00000103245	0.759	0.949	  -13.841
ENSG00000178209	0.304	0.947	  -12.088
ENSG00000186715	0.055	0.936	   15.466
ENSG00000240057	0.756	0.933	    7.166
ENSG00000183426	0.486	0.912	   -1.054
ENSG00000116883	0.833	0.891	    6.683
ENSG00000248514	0.529	0.875	    6.291
ENSG00000233016	0.868	0.868	   -5.942
ENSG00000176472	0.550	0.854	   -7.271
ENSG00000105341	0.217	0.807	   12.005
ENSG00000277840	0.222	0.806	    7.563
ENSG00000273450	0.224	0.803	    4.368
ENSG00000107959	0.751	0.801	    4.914
ENSG00000158122	0.091	0.797	    0.000
ENSG00000117280	0.541	0.793	    9.194
ENSG00000271151	0.656	0.755	   -7.154
ENSG00000119906	0.190	0.753	    0.000
ENSG00000130177	0.504	0.735	    8.298
ENSG00000109667	0.171	0.721	    5.327
ENSG00000204709	0.009	0.680	    7.865
ENSG00000174945	0.031	0.678	   23.210
ENSG00000104886	0.014	0.668	    0.000
ENSG00000257303	0.214	0.663	    8.436
ENSG00000169598	0.166	0.660	    4.576
ENSG00000250413	0.031	0.652	    4.869
ENSG00000185163	0.305	0.652	   -5.007
ENSG00000166913	0.285	0.645	    6.733
ENSG00000168036	0.213	0.641	    0.000
ENSG00000198160	0.213	0.635	    6.547
ENSG00000182093	0.073	0.620	    0.000
ENSG00000145386	0.319	0.616	   -8.687
ENSG00000108604	0.008	0.614	  -20.039
ENSG00000171217	0.232	0.612	   -7.435
ENSG00000106153	0.158	0.599	   -3.272
ENSG00000183386	0.180	0.594	    0.000
ENSG00000234906	0.448	0.593	   -5.564
ENSG00000157578	0.306	0.588	   -6.082
ENSG00000111877	0.134	0.584	    3.629
ENSG00000105737	0.222	0.579	   -6.619
ENSG00000273619	0.561	0.561	   -5.658
ENSG00000133313	0.557	0.557	    2.946
ENSG00000245680	0.182	0.551	    7.316
ENSG00000073050	0.468	0.551	   -7.311
ENSG00000196391	0.076	0.547	   -6.238
ENSG00000164776	0.161	0.544	    5.896
ENSG00000183150	0.239	0.540	    8.687
ENSG00000244515	0.146	0.539	   -8.931
ENSG00000259982	0.054	0.534	   -4.570
ENSG00000134824	0.125	0.534	    5.745
ENSG00000213523	0.239	0.495	    0.000
ENSG00000005471	0.186	0.493	    0.000
ENSG00000055483	0.141	0.480	    7.586
ENSG00000255423	0.156	0.479	   -4.275
ENSG00000254887	0.157	0.477	    0.000
ENSG00000107882	0.068	0.467	    0.000
ENSG00000145335	0.230	0.467	   -4.265
ENSG00000122863	0.231	0.466	   -4.827
ENSG00000181754	0.448	0.448	    4.616
ENSG00000244691	0.166	0.445	   -9.783
ENSG00000135535	0.165	0.440	    0.000
ENSG00000279233	0.433	0.433	    4.676
ENSG00000261766	0.104	0.421	    0.000
ENSG00000101057	0.224	0.418	   -5.367
ENSG00000260052	0.076	0.408	   -3.773
ENSG00000140575	0.404	0.404	   -6.656
ENSG00000109756	0.199	0.403	    0.000
ENSG00000111328	0.109	0.399	   12.820
ENSG00000106780	0.176	0.398	    0.000
ENSG00000163191	0.307	0.395	    4.469
ENSG00000184517	0.391	0.391	   -2.829
ENSG00000179119	0.236	0.379	    0.000
ENSG00000138722	0.075	0.377	   -3.670
ENSG00000101104	0.120	0.369	   -5.086
ENSG00000238086	0.054	0.368	   -4.561
ENSG00000121594	0.119	0.355	   -4.650
ENSG00000167595	0.284	0.351	    0.000
ENSG00000183682	0.257	0.348	    0.000
ENSG00000138686	0.237	0.339	    0.000
ENSG00000025800	0.122	0.335	   -7.164
ENSG00000184986	0.128	0.326	    6.645
ENSG00000108799	0.062	0.325	    0.000
ENSG00000138336	0.112	0.312	    0.000
ENSG00000270424	0.076	0.312	   -4.815
ENSG00000271013	0.157	0.305	    3.923
ENSG00000163161	0.044	0.304	    0.000
ENSG00000237984	0.094	0.303	    0.000
ENSG00000006453	0.100	0.303	    4.166
ENSG00000183520	0.033	0.292	    0.000
ENSG00000165661	0.153	0.291	  -11.139
ENSG00000258260	0.082	0.289	    0.000
ENSG00000140961	0.122	0.284	   -4.839
ENSG00000259520	0.054	0.282	    2.336
ENSG00000182923	0.076	0.280	   -8.471
ENSG00000141380	0.147	0.270	   -4.705
ENSG00000159588	0.050	0.253	    0.000
ENSG00000150907	0.031	0.249	    0.000
ENSG00000260808	0.046	0.248	    0.000
ENSG00000136156	0.182	0.246	   -6.038
ENSG00000224505	0.036	0.244	    0.000
ENSG00000260404	0.024	0.243	    1.670
ENSG00000142694	0.225	0.241	    0.000
ENSG00000257315	0.042	0.240	    0.000
ENSG00000141384	0.047	0.235	   -3.853
ENSG00000254122	0.062	0.232	    0.000
ENSG00000119537	0.040	0.231	    4.621
ENSG00000122912	0.203	0.225	    0.000
ENSG00000159199	0.028	0.223	    0.000
ENSG00000270977	0.169	0.223	    4.049
ENSG00000103811	0.154	0.223	    3.817
ENSG00000228526	0.003	0.220	    0.000
ENSG00000152778	0.128	0.220	    3.901
ENSG00000186230	0.127	0.218	    4.239
ENSG00000162869	0.207	0.217	    0.000
ENSG00000072682	0.079	0.216	    0.000
ENSG00000136999	0.017	0.216	    0.000
ENSG00000264853	0.063	0.212	    0.000
ENSG00000178952	0.146	0.210	   -4.785
ENSG00000164855	0.186	0.209	    4.963
ENSG00000163703	0.204	0.204	    0.000
ENSG00000049192	0.007	0.203	   -6.581
ENSG00000184661	0.015	0.202	    0.000
ENSG00000136141	0.007	0.201	   -5.622
ENSG00000168488	0.073	0.198	    0.000
ENSG00000235413	0.016	0.197	    0.000
ENSG00000169592	0.041	0.187	    0.000
ENSG00000104936	0.076	0.187	    0.000
ENSG00000185745	0.097	0.185	    0.000
ENSG00000168005	0.072	0.185	    3.017
ENSG00000083097	0.037	0.185	    0.000
ENSG00000233885	0.076	0.185	   -4.829
ENSG00000260916	0.044	0.180	   -4.159
ENSG00000168676	0.010	0.180	    0.000
ENSG00000187109	0.142	0.178	    0.000
ENSG00000136197	0.052	0.177	   -4.520
ENSG00000279640	0.022	0.177	   -1.268
ENSG00000213123	0.123	0.177	    0.000
ENSG00000276449	0.137	0.174	   -3.915
ENSG00000260257	0.074	0.172	    0.000
ENSG00000130956	0.061	0.172	  -14.785
ENSG00000176155	0.066	0.171	   -6.064
ENSG00000256060	0.140	0.170	    0.000
ENSG00000134152	0.092	0.169	    3.435
