Gene	GRCP	GLCP	TWAS_z
ENSG00000279722	0.499	1.000	    8.431
ENSG00000163703	0.999	0.999	   13.084
ENSG00000172613	0.071	0.996	   23.087
ENSG00000198945	0.995	0.995	  -18.725
ENSG00000162613	0.067	0.993	   11.509
ENSG00000165801	0.710	0.993	    8.493
ENSG00000072682	0.149	0.992	  -16.558
ENSG00000011105	0.533	0.992	   -7.494
ENSG00000107679	0.908	0.988	    9.657
ENSG00000112977	0.986	0.986	    5.224
ENSG00000119906	0.425	0.986	   -9.763
ENSG00000174106	0.150	0.979	    8.823
ENSG00000125965	0.059	0.978	  -32.971
ENSG00000119147	0.965	0.965	    5.325
ENSG00000267100	0.217	0.961	    8.403
ENSG00000155085	0.361	0.955	  -10.599
ENSG00000168077	0.384	0.950	    6.301
ENSG00000142233	0.205	0.944	    1.524
ENSG00000248278	0.049	0.942	   13.618
ENSG00000117280	0.489	0.937	    6.056
ENSG00000234028	0.597	0.912	  -12.022
ENSG00000134222	0.710	0.907	   -3.465
ENSG00000233016	0.900	0.900	   -5.303
ENSG00000134317	0.466	0.899	  -10.805
ENSG00000135698	0.295	0.898	   -8.012
ENSG00000178209	0.198	0.890	  -12.328
ENSG00000176909	0.401	0.884	    5.542
ENSG00000155542	0.512	0.882	   -7.516
ENSG00000122870	0.181	0.881	   -1.109
ENSG00000162923	0.291	0.874	   -8.929
ENSG00000214193	0.734	0.874	   -7.185
ENSG00000142694	0.856	0.867	   -5.995
ENSG00000176472	0.744	0.867	   -6.855
ENSG00000177963	0.732	0.861	   -0.342
ENSG00000107959	0.812	0.859	    4.002
ENSG00000177951	0.858	0.859	    3.510
ENSG00000159708	0.353	0.857	    9.136
ENSG00000198860	0.485	0.856	  -18.531
ENSG00000260273	0.352	0.852	   10.163
ENSG00000116883	0.842	0.851	    7.092
ENSG00000146535	0.071	0.845	   13.472
ENSG00000134851	0.295	0.844	    5.178
ENSG00000126464	0.671	0.833	   -6.678
ENSG00000182109	0.105	0.828	   -1.359
ENSG00000010803	0.026	0.824	    0.000
ENSG00000151632	0.817	0.817	   10.185
ENSG00000185163	0.336	0.816	   -0.898
ENSG00000101367	0.675	0.812	    7.500
ENSG00000180834	0.285	0.803	    4.304
ENSG00000166436	0.761	0.801	   -3.755
ENSG00000128342	0.544	0.798	    0.000
ENSG00000134825	0.280	0.784	    7.032
ENSG00000235138	0.526	0.782	    7.819
ENSG00000164855	0.243	0.779	    5.151
ENSG00000248514	0.433	0.778	    5.486
ENSG00000187134	0.143	0.777	  -10.074
ENSG00000250067	0.080	0.775	    3.238
ENSG00000139187	0.174	0.770	   -4.350
ENSG00000227959	0.212	0.769	    0.000
ENSG00000183682	0.640	0.759	   -5.322
ENSG00000271151	0.647	0.759	   -7.260
ENSG00000184007	0.576	0.752	  -11.666
ENSG00000173145	0.513	0.745	    4.180
ENSG00000171217	0.230	0.732	   -7.376
ENSG00000117682	0.555	0.732	    9.470
ENSG00000257279	0.295	0.728	    7.640
ENSG00000070950	0.472	0.727	    5.853
ENSG00000271828	0.323	0.724	   -3.725
ENSG00000162869	0.721	0.723	    5.590
ENSG00000146054	0.721	0.721	    4.146
ENSG00000269894	0.719	0.719	    0.000
ENSG00000198160	0.268	0.713	    6.684
ENSG00000234465	0.485	0.710	    7.530
ENSG00000186834	0.189	0.707	  -11.066
ENSG00000130177	0.618	0.699	    8.315
ENSG00000273619	0.687	0.687	   -5.581
ENSG00000281128	0.313	0.687	   -5.522
