Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.082	1.000	   20.797
ENSG00000163703	1.000	1.000	   11.938
ENSG00000105755	0.612	0.999	   -6.787
ENSG00000198945	0.999	0.999	  -18.693
ENSG00000117122	0.271	0.998	  -16.575
ENSG00000162613	0.064	0.996	   11.522
ENSG00000270210	0.179	0.992	    5.793
ENSG00000176720	0.514	0.992	    2.472
ENSG00000269894	0.991	0.991	   13.058
ENSG00000165801	0.870	0.988	    8.819
ENSG00000112977	0.988	0.988	    4.979
ENSG00000075292	0.291	0.988	  -14.296
ENSG00000248278	0.123	0.988	   13.717
ENSG00000204978	0.272	0.986	    9.534
ENSG00000183386	0.982	0.982	  -10.177
ENSG00000163702	0.982	0.982	    5.485
ENSG00000214193	0.854	0.977	   -7.178
ENSG00000125965	0.010	0.973	  -32.954
ENSG00000072682	0.486	0.972	  -16.741
ENSG00000198860	0.532	0.966	  -18.345
ENSG00000177311	0.290	0.966	  -34.356
ENSG00000108179	0.173	0.960	  -13.502
ENSG00000131899	0.778	0.952	   -7.426
ENSG00000243795	0.496	0.950	   -6.880
ENSG00000119147	0.801	0.945	    6.084
ENSG00000173145	0.660	0.936	    4.837
ENSG00000132386	0.493	0.931	    5.860
ENSG00000279722	0.177	0.930	    8.053
ENSG00000204351	0.003	0.929	    1.299
ENSG00000250900	0.503	0.918	    5.797
ENSG00000067208	0.311	0.917	   10.206
ENSG00000126464	0.693	0.916	   -6.718
ENSG00000140464	0.030	0.913	   11.665
ENSG00000271828	0.434	0.911	   -2.139
ENSG00000233016	0.907	0.907	   -5.689
ENSG00000187134	0.214	0.906	   -7.537
ENSG00000178209	0.113	0.900	  -11.874
ENSG00000011105	0.443	0.900	   -6.537
ENSG00000183520	0.023	0.897	   -8.347
ENSG00000122870	0.185	0.897	   -1.259
ENSG00000134222	0.673	0.888	   -4.306
ENSG00000105538	0.578	0.888	    5.615
ENSG00000117280	0.620	0.888	    5.364
ENSG00000267100	0.173	0.887	    8.034
ENSG00000183682	0.769	0.884	   -5.309
ENSG00000139187	0.213	0.880	   -4.460
ENSG00000146535	0.158	0.878	   21.464
ENSG00000176472	0.758	0.878	   -7.316
ENSG00000116883	0.869	0.877	    5.129
ENSG00000177951	0.800	0.867	    3.565
ENSG00000107959	0.687	0.861	    3.771
ENSG00000155542	0.546	0.858	   -7.182
ENSG00000228290	0.350	0.857	   -6.205
ENSG00000159708	0.140	0.846	    8.325
ENSG00000260273	0.383	0.845	    6.112
ENSG00000204713	0.013	0.844	   10.508
ENSG00000149679	0.257	0.836	    5.981
ENSG00000084093	0.402	0.824	   10.840
ENSG00000142694	0.788	0.821	   -7.091
ENSG00000188157	0.386	0.806	    5.240
ENSG00000261716	0.238	0.799	   -8.626
ENSG00000176593	0.796	0.797	   -0.621
ENSG00000166436	0.796	0.797	   -3.821
