Gene	GRCP	GLCP	TWAS_z
ENSG00000172613	0.063	1.000	    9.308
ENSG00000163703	1.000	1.000	   11.711
ENSG00000198945	0.999	0.999	  -18.785
ENSG00000198860	0.535	0.998	    0.093
ENSG00000277791	0.689	0.996	   -0.813
ENSG00000162613	0.071	0.994	   11.688
ENSG00000103245	0.933	0.993	  -12.727
ENSG00000165801	0.896	0.992	    8.624
ENSG00000163354	0.965	0.992	   -8.169
ENSG00000166532	0.146	0.992	   -5.098
ENSG00000132386	0.471	0.988	    8.478
ENSG00000065000	0.419	0.985	   -7.226
ENSG00000170175	0.033	0.982	  -14.363
ENSG00000231672	0.230	0.981	    8.200
ENSG00000112977	0.691	0.979	    4.203
ENSG00000183386	0.978	0.978	  -10.192
ENSG00000177311	0.194	0.977	   33.990
ENSG00000270265	0.193	0.971	   -7.267
ENSG00000184897	0.879	0.971	  -15.319
ENSG00000221823	0.511	0.954	    7.018
ENSG00000119147	0.953	0.953	    6.302
ENSG00000159202	0.031	0.946	   13.596
ENSG00000235413	0.156	0.941	   25.599
ENSG00000177951	0.856	0.939	    5.784
ENSG00000243795	0.676	0.938	   -6.277
ENSG00000142546	0.600	0.935	   -6.726
ENSG00000269894	0.930	0.930	   12.990
ENSG00000272572	0.170	0.928	   -8.370
ENSG00000162869	0.925	0.925	    5.133
ENSG00000107679	0.783	0.924	    9.636
ENSG00000147853	0.924	0.924	    4.839
ENSG00000176472	0.643	0.919	   -7.434
ENSG00000173145	0.380	0.906	    4.579
ENSG00000129596	0.314	0.901	    7.131
ENSG00000101104	0.785	0.897	   -4.208
ENSG00000168899	0.896	0.896	    5.552
ENSG00000233016	0.892	0.892	   -4.008
ENSG00000168890	0.671	0.891	    7.910
ENSG00000273619	0.706	0.891	   -6.087
ENSG00000151893	0.814	0.891	   -3.521
ENSG00000198900	0.709	0.888	   -6.555
ENSG00000117280	0.248	0.873	    5.967
ENSG00000257727	0.186	0.854	   -7.963
ENSG00000116883	0.850	0.850	    5.494
ENSG00000142694	0.820	0.848	   -6.890
ENSG00000110921	0.620	0.840	   -4.376
ENSG00000130956	0.099	0.839	  -15.602
ENSG00000126464	0.485	0.838	   -5.360
ENSG00000186212	0.519	0.835	    3.619
ENSG00000183431	0.807	0.832	   -9.527
ENSG00000139428	0.228	0.830	    3.786
ENSG00000215529	0.600	0.824	   -7.459
ENSG00000155542	0.499	0.823	   -7.800
ENSG00000174106	0.040	0.823	    8.559
ENSG00000149485	0.713	0.818	   -7.414
ENSG00000107959	0.580	0.817	    3.514
ENSG00000122912	0.800	0.816	    4.178
ENSG00000105173	0.555	0.813	   -3.490
ENSG00000134222	0.786	0.811	   -5.401
ENSG00000104756	0.162	0.802	    9.147
ENSG00000069275	0.189	0.792	   -6.907
ENSG00000069011	0.121	0.790	   11.140
ENSG00000267100	0.256	0.784	    8.189
ENSG00000250251	0.766	0.771	    2.205
ENSG00000279982	0.399	0.766	    6.250
ENSG00000244754	0.271	0.765	   -7.166
ENSG00000135587	0.436	0.764	    8.744
ENSG00000066654	0.215	0.742	    5.063
ENSG00000279233	0.687	0.740	    1.853
ENSG00000131242	0.529	0.735	   -0.005
ENSG00000271151	0.650	0.728	   -5.477
ENSG00000106780	0.287	0.728	    7.914
ENSG00000146054	0.464	0.722	   -3.224
ENSG00000269982	0.719	0.719	    0.000
ENSG00000240032	0.519	0.714	   -5.839
ENSG00000177303	0.242	0.713	    8.050
ENSG00000130177	0.616	0.706	    8.308
ENSG00000139645	0.174	0.703	    0.000
ENSG00000135535	0.349	0.702	  -10.497
ENSG00000171217	0.226	0.698	   -7.132
ENSG00000275437	0.358	0.695	    6.135
ENSG00000003400	0.219	0.694	   -3.669
ENSG00000149927	0.427	0.679	    9.542
ENSG00000072682	0.350	0.674	  -16.899
ENSG00000237984	0.265	0.671	   -5.485
ENSG00000184661	0.051	0.664	    8.979
ENSG00000260257	0.564	0.656	   -4.392
ENSG00000135698	0.260	0.656	   -8.965
ENSG00000255423	0.163	0.656	   -4.359
ENSG00000105538	0.569	0.647	    4.475
ENSG00000179119	0.564	0.645	   -8.261
ENSG00000273199	0.644	0.644	   -7.452
ENSG00000260947	0.199	0.632	   -5.446
ENSG00000140575	0.630	0.630	   -4.625
ENSG00000134825	0.451	0.629	    2.710
ENSG00000088305	0.034	0.624	    6.289
ENSG00000283602	0.398	0.619	    5.838
ENSG00000214193	0.322	0.618	   -6.681
ENSG00000188811	0.253	0.616	   -6.530
ENSG00000214578	0.034	0.614	    0.000
ENSG00000070831	0.050	0.614	   -8.295
ENSG00000152763	0.271	0.609	   -6.724
ENSG00000165424	0.107	0.608	    0.000
ENSG00000129103	0.292	0.602	   -3.760
ENSG00000233885	0.353	0.600	   -4.412
ENSG00000073050	0.479	0.597	   -5.777
ENSG00000181754	0.595	0.595	    4.663
ENSG00000248514	0.536	0.591	    5.444
ENSG00000146731	0.574	0.590	    6.163
ENSG00000266256	0.411	0.590	   -3.009
ENSG00000204882	0.147	0.589	   -5.723
ENSG00000151208	0.466	0.584	    9.046
ENSG00000159596	0.052	0.580	   -6.657
ENSG00000183150	0.282	0.575	    8.259
ENSG00000161958	0.087	0.566	  -14.500
ENSG00000146122	0.316	0.563	   -3.568
ENSG00000153094	0.394	0.561	    5.590
ENSG00000185347	0.239	0.557	    6.963
ENSG00000186834	0.233	0.556	  -10.315
ENSG00000135469	0.234	0.553	    8.011
ENSG00000272966	0.147	0.553	    7.057
ENSG00000134243	0.551	0.551	   -4.506
ENSG00000143126	0.551	0.551	   -3.552
ENSG00000257303	0.181	0.550	    7.926
ENSG00000170458	0.062	0.545	    5.407
ENSG00000133313	0.540	0.541	    1.768
ENSG00000164244	0.134	0.536	    4.246
ENSG00000185269	0.006	0.533	   -5.932
ENSG00000138686	0.313	0.529	    8.448
ENSG00000161692	0.007	0.527	    0.969
ENSG00000050393	0.393	0.526	   -1.708
ENSG00000234465	0.439	0.521	    7.379
ENSG00000178188	0.167	0.518	    4.827
ENSG00000176593	0.512	0.512	   -2.126
ENSG00000151917	0.268	0.512	   -4.682
ENSG00000183955	0.201	0.506	  -12.331
ENSG00000089693	0.506	0.506	   -3.080
ENSG00000157578	0.330	0.504	   -3.803
ENSG00000230266	0.123	0.500	    3.898
ENSG00000055044	0.180	0.499	    6.641
ENSG00000105011	0.171	0.491	    0.000
ENSG00000127603	0.020	0.490	    0.000
ENSG00000239713	0.447	0.482	   -6.306
ENSG00000260581	0.397	0.480	    4.963
ENSG00000146535	0.027	0.475	   19.849
ENSG00000126460	0.272	0.475	   -2.342
ENSG00000177191	0.070	0.472	    0.000
ENSG00000185163	0.470	0.470	   -5.320
ENSG00000101412	0.321	0.463	    0.000
ENSG00000158220	0.100	0.461	    1.049
ENSG00000127863	0.265	0.457	    4.028
ENSG00000139187	0.157	0.456	   -3.798
ENSG00000182093	0.345	0.456	   -5.592
ENSG00000105329	0.013	0.450	   11.573
ENSG00000126246	0.359	0.450	    4.199
ENSG00000164142	0.208	0.448	    7.265
ENSG00000169925	0.301	0.446	    6.702
ENSG00000136828	0.241	0.444	    6.410
ENSG00000261051	0.189	0.440	   -4.121
ENSG00000108669	0.147	0.438	   -7.560
ENSG00000184517	0.436	0.436	   -1.318
ENSG00000182827	0.415	0.435	   -4.306
ENSG00000244515	0.168	0.433	   -8.882
ENSG00000234478	0.395	0.431	   -4.419
ENSG00000163660	0.154	0.430	   -8.938
ENSG00000072062	0.310	0.427	   -4.771
ENSG00000272969	0.111	0.421	   -5.368
ENSG00000141858	0.325	0.417	   -4.787
ENSG00000146733	0.190	0.413	    6.556
ENSG00000196876	0.380	0.411	   -2.118
ENSG00000188603	0.171	0.410	   -4.958
ENSG00000122870	0.078	0.409	   -0.259
ENSG00000164855	0.264	0.407	   -5.203
ENSG00000110367	0.052	0.407	   -7.212
ENSG00000090020	0.266	0.407	    3.820
ENSG00000103253	0.176	0.405	  -11.424
ENSG00000162923	0.107	0.404	    0.000
ENSG00000185684	0.366	0.401	    3.654
ENSG00000160584	0.192	0.399	    4.789
ENSG00000257740	0.083	0.398	    0.000
ENSG00000254415	0.395	0.395	    2.057
ENSG00000147854	0.187	0.394	    4.180
ENSG00000150907	0.020	0.391	    0.000
ENSG00000086991	0.028	0.389	    0.000
ENSG00000111752	0.191	0.385	    4.130
ENSG00000116032	0.314	0.385	    5.128
ENSG00000116731	0.281	0.380	    4.565
ENSG00000112304	0.227	0.379	   -3.870
ENSG00000111802	0.229	0.378	   -3.464
ENSG00000075413	0.105	0.377	  -10.929
ENSG00000145386	0.220	0.377	    0.000
ENSG00000136731	0.343	0.377	    5.753
ENSG00000103811	0.318	0.375	    2.958
ENSG00000107443	0.133	0.373	    0.000
ENSG00000270951	0.172	0.373	   -6.793
ENSG00000068137	0.015	0.370	    0.000
ENSG00000136999	0.057	0.369	    8.419
ENSG00000129355	0.042	0.369	    0.000
ENSG00000278023	0.056	0.368	    3.302
ENSG00000166913	0.236	0.368	    6.587
ENSG00000106153	0.114	0.362	   -3.236
ENSG00000131845	0.205	0.359	    3.985
ENSG00000234329	0.083	0.358	   -6.896
ENSG00000025800	0.117	0.357	   -7.145
ENSG00000171566	0.255	0.353	   -3.312
ENSG00000176293	0.197	0.352	   -2.434
ENSG00000006747	0.035	0.352	    5.584
ENSG00000213593	0.273	0.351	    5.899
ENSG00000158234	0.286	0.350	   -4.854
ENSG00000126267	0.155	0.348	    3.212
ENSG00000092140	0.148	0.347	    4.262
ENSG00000214293	0.291	0.347	   -2.781
ENSG00000142233	0.062	0.343	    0.849
ENSG00000117676	0.057	0.342	   -9.498
ENSG00000101639	0.341	0.341	   -6.940
ENSG00000165449	0.201	0.338	    5.793
ENSG00000235381	0.213	0.336	    6.862
ENSG00000111328	0.233	0.336	   12.480
ENSG00000176476	0.231	0.334	    0.704
ENSG00000088035	0.315	0.328	   -0.766
ENSG00000092108	0.177	0.318	    4.946
ENSG00000129467	0.096	0.317	   -8.208
ENSG00000151704	0.072	0.316	   -0.176
ENSG00000084092	0.092	0.313	    0.000
ENSG00000106976	0.312	0.312	    2.429
ENSG00000162408	0.037	0.309	    4.273
ENSG00000170445	0.053	0.308	   -5.240
ENSG00000230082	0.308	0.308	    0.000
ENSG00000196932	0.146	0.307	   -3.771
ENSG00000114107	0.112	0.306	   -1.535
ENSG00000185745	0.203	0.303	    3.895
ENSG00000197124	0.281	0.299	   -2.179
ENSG00000256229	0.255	0.299	   -2.152
ENSG00000112308	0.205	0.298	   -3.621
ENSG00000218233	0.095	0.296	    3.029
ENSG00000152465	0.153	0.296	    0.865
ENSG00000131508	0.296	0.296	    9.590
ENSG00000243444	0.125	0.296	   -4.251
ENSG00000022567	0.223	0.296	   -1.265
ENSG00000100284	0.070	0.296	    4.632
ENSG00000084623	0.124	0.289	    6.812
ENSG00000139132	0.108	0.286	    1.843
ENSG00000262877	0.222	0.286	    3.121
ENSG00000140577	0.113	0.284	    6.295
ENSG00000010017	0.217	0.283	   -4.117
ENSG00000196296	0.133	0.282	   -4.772
ENSG00000213523	0.210	0.281	   -5.623
ENSG00000254944	0.072	0.281	    0.000
ENSG00000160055	0.231	0.280	   -7.446
ENSG00000167964	0.002	0.280	    0.000
ENSG00000213988	0.258	0.278	   -2.398
ENSG00000145911	0.077	0.277	   -3.420
ENSG00000177045	0.156	0.274	    6.355
ENSG00000114956	0.156	0.273	    1.675
ENSG00000161618	0.015	0.272	    1.296
ENSG00000169683	0.194	0.269	   -7.508
ENSG00000138942	0.149	0.268	    3.809
ENSG00000152778	0.234	0.268	    3.422
ENSG00000119471	0.150	0.267	    3.277
ENSG00000104936	0.265	0.265	   -6.494
ENSG00000270210	0.047	0.264	    5.224
ENSG00000136240	0.162	0.263	   -3.998
ENSG00000229417	0.118	0.262	    2.285
ENSG00000131435	0.085	0.262	    0.000
ENSG00000106868	0.090	0.256	   -4.646
ENSG00000166166	0.030	0.254	    0.110
ENSG00000163357	0.244	0.254	    0.000
ENSG00000243056	0.170	0.253	    5.664
ENSG00000130227	0.122	0.253	    6.251
ENSG00000082781	0.221	0.252	   -4.149
ENSG00000112651	0.022	0.251	    0.000
ENSG00000139155	0.016	0.251	   -8.678
ENSG00000259705	0.010	0.250	    0.000
ENSG00000171786	0.129	0.250	    3.676
ENSG00000229108	0.098	0.250	   -4.836
ENSG00000141664	0.111	0.246	    3.965
ENSG00000132485	0.116	0.240	    0.000
ENSG00000148943	0.239	0.240	   -4.185
ENSG00000237923	0.006	0.239	  -11.234
ENSG00000276449	0.196	0.238	   -4.199
ENSG00000272914	0.005	0.237	    2.614
ENSG00000137171	0.177	0.235	    0.000
ENSG00000117122	0.040	0.233	  -14.404
ENSG00000005339	0.087	0.233	   -0.150
ENSG00000162494	0.207	0.231	    4.190
ENSG00000180834	0.111	0.230	   -4.985
ENSG00000245573	0.191	0.229	    4.131
ENSG00000251417	0.107	0.228	    4.693
ENSG00000270332	0.112	0.225	    3.826
ENSG00000138032	0.041	0.223	    6.963
ENSG00000157653	0.159	0.222	   -6.199
ENSG00000274765	0.047	0.221	    4.196
ENSG00000197930	0.032	0.220	    3.606
ENSG00000066427	0.003	0.217	    7.757
ENSG00000156136	0.116	0.217	    3.879
ENSG00000267114	0.018	0.216	    0.000
ENSG00000105855	0.021	0.215	    0.000
ENSG00000143771	0.129	0.215	   -7.921
ENSG00000267279	0.186	0.215	   -2.363
ENSG00000121988	0.163	0.212	   -5.940
ENSG00000144747	0.153	0.212	   -3.711
ENSG00000162616	0.010	0.209	    2.347
ENSG00000185250	0.075	0.208	    0.000
ENSG00000175215	0.195	0.208	   -6.936
