Gene	GRCP	GLCP	TWAS_z
ENSG00000163703	1.000	1.000	   13.073
ENSG00000172613	0.067	0.999	   19.214
ENSG00000010803	0.008	0.997	   16.435
ENSG00000162613	0.062	0.996	   11.533
ENSG00000103245	0.012	0.994	   -9.393
ENSG00000165801	0.756	0.992	    8.737
ENSG00000112977	0.988	0.988	    5.153
ENSG00000214193	0.842	0.982	   -7.185
ENSG00000183386	0.980	0.980	  -10.368
ENSG00000165424	0.207	0.978	   -6.183
ENSG00000198945	0.114	0.971	  -17.794
ENSG00000176531	0.479	0.966	   -7.680
ENSG00000178209	0.291	0.962	  -12.202
ENSG00000204351	0.015	0.962	    1.927
ENSG00000135835	0.957	0.957	    7.357
ENSG00000120833	0.080	0.956	   19.940
ENSG00000119147	0.954	0.954	    4.573
ENSG00000204978	0.341	0.954	    9.964
ENSG00000138032	0.545	0.947	   10.763
ENSG00000129351	0.473	0.944	  -10.323
ENSG00000243795	0.661	0.939	   -4.452
ENSG00000183520	0.756	0.930	  -10.165
ENSG00000267100	0.409	0.928	    7.440
ENSG00000162869	0.922	0.922	    5.529
ENSG00000173145	0.684	0.922	    4.861
ENSG00000267280	0.158	0.921	   -8.326
ENSG00000177311	0.083	0.921	  -32.407
ENSG00000149679	0.481	0.920	    5.711
ENSG00000166913	0.320	0.904	    6.626
ENSG00000243176	0.187	0.904	    9.031
ENSG00000089101	0.402	0.901	    5.595
ENSG00000233016	0.896	0.896	   -5.484
ENSG00000277744	0.078	0.889	   11.727
ENSG00000107959	0.888	0.888	    4.464
ENSG00000124541	0.237	0.887	    6.533
ENSG00000177885	0.345	0.884	   -8.087
ENSG00000105173	0.307	0.875	    5.718
ENSG00000070831	0.006	0.871	   -7.999
ENSG00000175470	0.151	0.868	   -1.247
ENSG00000157578	0.350	0.867	   -3.118
ENSG00000176472	0.745	0.867	   -7.007
ENSG00000116883	0.856	0.864	    7.088
ENSG00000142949	0.017	0.859	    4.329
ENSG00000187134	0.683	0.855	   -9.501
ENSG00000278978	0.193	0.853	   -7.425
ENSG00000281920	0.413	0.847	    5.897
ENSG00000104885	0.210	0.846	    0.990
ENSG00000162004	0.053	0.838	  -12.782
ENSG00000135842	0.657	0.836	   -6.094
ENSG00000179119	0.582	0.830	   -7.567
ENSG00000176909	0.432	0.828	    5.258
ENSG00000142694	0.817	0.828	   -7.096
ENSG00000130177	0.518	0.819	    8.308
ENSG00000172845	0.492	0.809	   -7.420
ENSG00000279722	0.198	0.805	    7.606
ENSG00000239713	0.508	0.803	   -6.111
ENSG00000126464	0.558	0.796	   -6.678
ENSG00000257727	0.192	0.796	   -7.925
ENSG00000114423	0.378	0.790	   -4.684
ENSG00000250251	0.656	0.785	   -0.253
ENSG00000250900	0.623	0.783	    5.482
ENSG00000260273	0.217	0.782	    9.445
ENSG00000134851	0.063	0.777	    4.573
ENSG00000135698	0.206	0.772	   -8.243
ENSG00000248514	0.626	0.770	    5.915
ENSG00000165244	0.075	0.766	  -16.075
ENSG00000137171	0.052	0.765	   -4.253
ENSG00000171858	0.617	0.760	   -5.643
ENSG00000105538	0.063	0.753	    4.728
ENSG00000197050	0.307	0.749	   -7.255
ENSG00000183955	0.316	0.749	  -12.627
ENSG00000071967	0.417	0.749	   -8.256
ENSG00000176720	0.562	0.740	    3.167
ENSG00000112655	0.187	0.739	    6.972
ENSG00000055483	0.202	0.737	    7.993
ENSG00000204929	0.223	0.730	    0.000
ENSG00000146386	0.499	0.730	    0.575
ENSG00000186301	0.064	0.727	  -11.674
ENSG00000281128	0.298	0.727	   -5.566
ENSG00000196268	0.700	0.725	   -4.419
ENSG00000184661	0.066	0.721	   -9.097
ENSG00000183682	0.653	0.715	   -2.551
ENSG00000271151	0.650	0.706	   -7.392
ENSG00000185163	0.498	0.702	   -4.841
ENSG00000235381	0.694	0.694	    7.919
ENSG00000256060	0.549	0.679	    0.021
ENSG00000124466	0.065	0.672	   -6.289
ENSG00000141551	0.066	0.662	    6.109
ENSG00000136542	0.593	0.657	    4.459
ENSG00000171217	0.238	0.656	   -7.400
ENSG00000135473	0.181	0.654	   -8.479
ENSG00000269894	0.653	0.653	    0.000
ENSG00000151422	0.141	0.647	  -10.828
ENSG00000273619	0.563	0.642	   -5.739
ENSG00000108179	0.026	0.630	  -13.375
ENSG00000244515	0.184	0.620	   -8.917
ENSG00000047932	0.192	0.618	   -5.996
ENSG00000145335	0.264	0.617	    4.277
ENSG00000131845	0.545	0.616	    4.187
ENSG00000181754	0.614	0.614	    4.653
ENSG00000122870	0.112	0.612	   -1.897
ENSG00000146731	0.589	0.604	    5.560
ENSG00000204713	0.012	0.599	    9.511
ENSG00000260947	0.228	0.592	   -5.434
ENSG00000134824	0.186	0.588	    4.862
ENSG00000283602	0.399	0.586	    5.846
ENSG00000234465	0.476	0.586	    6.540
ENSG00000237984	0.309	0.585	   -5.543
ENSG00000257303	0.203	0.584	    7.923
ENSG00000151208	0.375	0.581	    9.077
ENSG00000227110	0.175	0.578	   -4.558
ENSG00000105501	0.573	0.573	   -0.712
ENSG00000108669	0.366	0.573	   -7.808
ENSG00000151632	0.572	0.572	   10.281
ENSG00000162923	0.183	0.569	   -8.810
ENSG00000152763	0.302	0.568	   -3.628
ENSG00000139187	0.258	0.564	   -4.458
ENSG00000035928	0.238	0.559	    0.000
ENSG00000255423	0.205	0.557	   -2.953
ENSG00000249816	0.379	0.557	    2.160
ENSG00000117280	0.177	0.554	    4.403
ENSG00000240057	0.290	0.552	    1.068
ENSG00000103811	0.376	0.548	    4.079
ENSG00000242142	0.152	0.546	   13.737
ENSG00000163933	0.123	0.537	  -13.693
ENSG00000228035	0.526	0.537	   -3.821
ENSG00000138347	0.093	0.536	   -6.028
ENSG00000149485	0.054	0.535	   -6.697
ENSG00000185963	0.389	0.532	    9.447
ENSG00000198160	0.304	0.524	    6.652
ENSG00000175426	0.377	0.518	    7.356
ENSG00000172247	0.126	0.517	  -12.882
