Gene	GRCP	GLCP	TWAS_z
ENSG00000162613	0.062	1.000	   11.598
ENSG00000164743	0.999	0.999	    8.490
ENSG00000163703	0.999	0.999	   13.085
ENSG00000214193	0.817	0.998	   -2.624
ENSG00000172613	0.160	0.996	   23.984
ENSG00000281920	0.306	0.995	    6.820
ENSG00000183386	0.965	0.991	  -10.264
ENSG00000279722	0.356	0.990	    7.801
ENSG00000198945	0.154	0.989	  -17.722
ENSG00000112977	0.988	0.988	    5.386
ENSG00000267100	0.217	0.986	    8.588
ENSG00000136059	0.054	0.984	    8.258
ENSG00000230082	0.983	0.983	   12.871
ENSG00000176531	0.420	0.975	   -4.453
ENSG00000204713	0.089	0.972	   13.005
ENSG00000170954	0.883	0.971	    3.948
ENSG00000103260	0.096	0.964	  -12.677
ENSG00000132386	0.543	0.956	    6.695
ENSG00000260273	0.305	0.953	    6.583
ENSG00000104332	0.564	0.941	   -5.406
ENSG00000234465	0.556	0.940	    7.691
ENSG00000119147	0.659	0.940	    5.031
ENSG00000240057	0.683	0.939	    4.688
ENSG00000126464	0.592	0.933	   -6.708
ENSG00000129003	0.175	0.932	   -8.258
ENSG00000183682	0.393	0.925	   -5.394
ENSG00000162869	0.922	0.922	    5.464
ENSG00000197050	0.185	0.917	   -7.201
ENSG00000116883	0.858	0.904	    6.812
ENSG00000151893	0.776	0.897	   -1.222
ENSG00000233016	0.896	0.896	   -5.249
ENSG00000178209	0.134	0.890	   -9.803
ENSG00000243795	0.117	0.890	   -4.659
ENSG00000107959	0.878	0.878	    4.280
ENSG00000171206	0.138	0.873	  -12.346
ENSG00000277840	0.265	0.870	   -7.543
ENSG00000134222	0.651	0.861	   -4.823
ENSG00000173145	0.697	0.849	    4.420
ENSG00000070950	0.274	0.844	    6.429
ENSG00000248367	0.022	0.840	    3.643
ENSG00000157653	0.140	0.830	   -6.223
ENSG00000134851	0.300	0.827	    4.372
ENSG00000084093	0.683	0.818	   10.979
ENSG00000239713	0.477	0.806	   -6.163
ENSG00000176155	0.098	0.800	   -6.172
ENSG00000185163	0.519	0.792	   -5.178
ENSG00000122870	0.141	0.778	   -4.101
ENSG00000131435	0.520	0.768	   16.331
ENSG00000242142	0.680	0.729	   13.545
ENSG00000149485	0.386	0.728	   -6.460
ENSG00000260947	0.299	0.723	   -5.524
