Gene	GRCP	GLCP	TWAS_z
ENSG00000204338	0.000	0.997	   11.131
ENSG00000198945	0.950	0.985	  -18.720
ENSG00000170175	0.645	0.980	  -14.681
ENSG00000151632	0.336	0.978	   10.206
ENSG00000214193	0.822	0.976	   -7.092
ENSG00000248278	0.083	0.955	   13.742
ENSG00000243795	0.641	0.941	   -7.144
ENSG00000116883	0.844	0.914	    7.092
ENSG00000173145	0.538	0.913	    4.790
ENSG00000240057	0.657	0.894	    6.333
ENSG00000132386	0.325	0.886	    0.000
ENSG00000103253	0.200	0.879	  -13.901
ENSG00000165801	0.341	0.877	    8.469
ENSG00000149927	0.531	0.865	    0.000
ENSG00000163933	0.295	0.861	  -13.575
ENSG00000233016	0.858	0.858	   -5.757
ENSG00000151893	0.578	0.849	   -6.163
ENSG00000260947	0.202	0.831	   -5.537
ENSG00000183431	0.045	0.806	   -9.418
ENSG00000146054	0.210	0.785	    5.041
ENSG00000239713	0.558	0.731	   -5.971
ENSG00000155542	0.500	0.726	   -8.078
ENSG00000244515	0.181	0.712	   -8.920
ENSG00000176531	0.101	0.711	   -6.905
ENSG00000149485	0.687	0.687	   -7.635
ENSG00000215493	0.019	0.673	    5.516
ENSG00000260273	0.300	0.642	    0.000
ENSG00000165661	0.130	0.636	    0.000
ENSG00000235381	0.249	0.610	    6.023
ENSG00000273619	0.360	0.607	   -5.677
ENSG00000181754	0.606	0.606	    4.577
ENSG00000276449	0.270	0.596	    0.000
ENSG00000183386	0.505	0.593	    0.000
ENSG00000163161	0.084	0.591	    4.924
ENSG00000134612	0.073	0.582	    4.694
ENSG00000234906	0.396	0.575	   -5.450
ENSG00000084734	0.155	0.569	    0.000
ENSG00000248514	0.208	0.568	    0.000
ENSG00000130177	0.215	0.551	    0.000
ENSG00000177354	0.359	0.548	    0.000
ENSG00000258744	0.247	0.542	    0.000
ENSG00000187134	0.157	0.533	    0.000
ENSG00000172247	0.116	0.488	  -12.789
ENSG00000184517	0.455	0.483	   -6.913
ENSG00000251417	0.085	0.475	    0.000
ENSG00000240032	0.028	0.471	   -4.661
ENSG00000151917	0.223	0.469	   -4.705
ENSG00000237624	0.028	0.467	   -4.296
ENSG00000106153	0.122	0.460	    0.000
ENSG00000113318	0.366	0.457	    0.000
ENSG00000272572	0.153	0.451	   -9.761
ENSG00000275437	0.069	0.439	    0.000
ENSG00000198756	0.063	0.431	    0.000
ENSG00000261051	0.128	0.430	   -4.815
ENSG00000058453	0.020	0.427	    0.000
ENSG00000107959	0.390	0.421	    0.000
ENSG00000073050	0.283	0.404	    0.000
ENSG00000243176	0.086	0.394	    0.000
ENSG00000276651	0.249	0.391	    0.000
ENSG00000105369	0.025	0.378	    0.000
ENSG00000174106	0.034	0.378	    0.000
ENSG00000254944	0.101	0.368	    0.000
ENSG00000163354	0.347	0.361	    0.000
ENSG00000166436	0.130	0.357	   -3.016
ENSG00000273176	0.054	0.356	    0.000
ENSG00000272402	0.118	0.349	    0.000
ENSG00000075413	0.069	0.347	   -7.003
ENSG00000139132	0.122	0.340	    0.000
ENSG00000102858	0.007	0.339	    7.212
ENSG00000241186	0.071	0.338	   -1.739
ENSG00000233351	0.015	0.331	    0.000
ENSG00000152778	0.140	0.318	    3.812
ENSG00000135698	0.060	0.318	    0.000
ENSG00000110944	0.124	0.318	    0.000
ENSG00000259520	0.054	0.317	    1.811
ENSG00000225111	0.121	0.313	    0.000
ENSG00000242142	0.022	0.307	    9.755
