Gene	GRCP	GLCP	TWAS_z
ENSG00000198945	1.000	1.000	  -18.782
ENSG00000277791	0.926	0.994	    4.493
ENSG00000172613	0.148	0.990	   24.765
ENSG00000176390	0.271	0.987	   21.143
ENSG00000108639	0.302	0.983	    5.274
ENSG00000146477	0.481	0.971	   -9.537
ENSG00000140455	0.653	0.969	   -6.669
ENSG00000159202	0.050	0.965	  -13.585
ENSG00000126464	0.452	0.960	   -5.354
ENSG00000233016	0.845	0.959	   -6.755
ENSG00000135698	0.347	0.945	   -9.156
ENSG00000104332	0.781	0.932	   -6.001
ENSG00000116883	0.851	0.920	    7.135
ENSG00000116198	0.667	0.902	    4.062
ENSG00000134243	0.882	0.882	   -4.979
ENSG00000134222	0.876	0.876	   -4.989
ENSG00000171206	0.091	0.873	  -13.356
ENSG00000162869	0.861	0.869	    5.389
ENSG00000273619	0.451	0.863	   -5.714
ENSG00000273521	0.447	0.862	    0.000
ENSG00000183431	0.154	0.856	   -9.112
ENSG00000159199	0.147	0.854	  -14.185
ENSG00000143126	0.754	0.842	   -4.826
ENSG00000110921	0.103	0.841	    3.948
ENSG00000179119	0.584	0.839	   -7.570
ENSG00000176472	0.248	0.837	   -7.315
ENSG00000151893	0.719	0.833	   -4.073
ENSG00000107959	0.783	0.827	    5.017
ENSG00000147437	0.168	0.807	    0.000
ENSG00000221968	0.580	0.799	   -7.431
ENSG00000166532	0.553	0.797	   -5.684
ENSG00000143028	0.531	0.795	   -0.437
ENSG00000139428	0.481	0.790	    5.329
ENSG00000149927	0.133	0.788	    0.000
ENSG00000214193	0.629	0.786	    0.000
ENSG00000225111	0.606	0.772	   -4.947
ENSG00000126460	0.572	0.751	   -6.710
ENSG00000162650	0.536	0.729	   -0.743
ENSG00000267169	0.341	0.725	    4.980
ENSG00000140961	0.408	0.724	   -5.838
ENSG00000173145	0.215	0.723	    4.264
ENSG00000241770	0.198	0.695	   -9.047
ENSG00000185163	0.353	0.694	   -5.182
ENSG00000235381	0.271	0.681	    3.068
ENSG00000275437	0.623	0.673	    2.571
ENSG00000121068	0.057	0.669	    0.000
ENSG00000149485	0.234	0.668	   -7.203
ENSG00000130177	0.148	0.658	    7.794
ENSG00000242247	0.144	0.658	    6.938
ENSG00000277840	0.263	0.647	    7.491
ENSG00000260300	0.422	0.643	   -4.752
ENSG00000151632	0.309	0.632	   10.160
ENSG00000238181	0.319	0.619	   -8.034
ENSG00000151208	0.456	0.616	    9.280
ENSG00000181754	0.615	0.615	    4.641
