Gene	GRCP	GLCP	TWAS_z
ENSG00000163703	1.000	1.000	   11.660
ENSG00000163702	1.000	1.000	    2.117
ENSG00000113389	0.673	1.000	   15.444
ENSG00000198945	1.000	1.000	  -18.655
ENSG00000135835	0.975	0.999	    7.283
ENSG00000172613	0.083	0.997	   16.262
ENSG00000108932	0.603	0.995	   -7.468
ENSG00000162613	0.065	0.995	   11.536
ENSG00000165801	0.912	0.994	    8.692
ENSG00000277791	0.983	0.992	    6.214
ENSG00000011105	0.526	0.991	   -6.360
ENSG00000183520	0.652	0.990	   -9.158
ENSG00000132386	0.768	0.989	    2.147
ENSG00000168899	0.081	0.989	    5.192
ENSG00000112977	0.988	0.988	    5.159
ENSG00000183741	0.403	0.984	    7.362
ENSG00000183386	0.980	0.980	  -10.066
ENSG00000166532	0.883	0.972	   -5.856
ENSG00000075975	0.325	0.970	    4.058
ENSG00000119147	0.964	0.965	    5.552
ENSG00000234028	0.659	0.958	  -12.042
ENSG00000146477	0.031	0.953	    6.983
ENSG00000163354	0.912	0.946	   -0.986
ENSG00000159202	0.013	0.945	  -13.500
ENSG00000257727	0.205	0.940	   -8.490
ENSG00000243795	0.795	0.938	   -5.109
ENSG00000010219	0.937	0.937	    4.843
ENSG00000069275	0.884	0.936	   -8.971
ENSG00000173145	0.602	0.927	    4.536
ENSG00000116883	0.849	0.918	    6.529
ENSG00000100968	0.915	0.915	   10.377
ENSG00000171206	0.082	0.912	  -12.980
ENSG00000214193	0.836	0.910	   -7.119
ENSG00000245680	0.159	0.907	    5.488
ENSG00000233016	0.898	0.898	   -5.623
ENSG00000248278	0.033	0.897	   13.687
ENSG00000273619	0.700	0.888	   -5.690
ENSG00000149927	0.101	0.880	    8.940
ENSG00000107959	0.878	0.878	    4.327
ENSG00000159708	0.451	0.872	    9.355
ENSG00000183682	0.653	0.867	   -1.440
ENSG00000142694	0.844	0.866	   -7.020
ENSG00000070950	0.260	0.866	    5.055
ENSG00000176472	0.715	0.864	   -7.351
ENSG00000151893	0.732	0.863	   -3.668
ENSG00000177885	0.346	0.863	   -8.141
ENSG00000124466	0.120	0.852	   -5.703
ENSG00000283361	0.189	0.851	   -7.261
ENSG00000169925	0.569	0.849	    7.760
ENSG00000117280	0.099	0.848	    6.208
ENSG00000130382	0.402	0.844	    5.393
ENSG00000243176	0.227	0.844	    8.968
ENSG00000128274	0.097	0.837	   -1.242
ENSG00000149485	0.267	0.834	   -7.756
ENSG00000101057	0.220	0.830	   -5.388
ENSG00000183150	0.427	0.809	    8.989
ENSG00000239713	0.597	0.805	   -6.363
ENSG00000168077	0.319	0.802	   -0.862
ENSG00000240057	0.373	0.802	    4.258
ENSG00000151632	0.801	0.801	   10.228
ENSG00000183426	0.556	0.793	   -0.686
ENSG00000136240	0.788	0.788	   -4.777
ENSG00000162869	0.775	0.782	    5.416
ENSG00000132842	0.142	0.781	    9.561
ENSG00000188385	0.163	0.780	    0.630
ENSG00000188032	0.351	0.779	   -5.093
ENSG00000248544	0.223	0.778	    1.550
ENSG00000275437	0.727	0.777	    5.750
ENSG00000100281	0.233	0.777	   -4.901
ENSG00000250900	0.484	0.769	    5.443
ENSG00000176593	0.769	0.769	   -2.166
ENSG00000204929	0.146	0.768	    6.460
ENSG00000126464	0.617	0.762	   -6.661
ENSG00000229951	0.046	0.758	    5.906
ENSG00000260257	0.606	0.749	   -5.532
ENSG00000130177	0.609	0.739	    8.061
ENSG00000159363	0.076	0.736	  -16.648
