Gene	GRCP	GLCP	TWAS_z
ENSG00000198945	1.000	1.000	  -18.555
ENSG00000172613	0.057	0.991	   24.833
ENSG00000176720	0.500	0.989	    9.501
ENSG00000162613	0.056	0.986	   11.528
ENSG00000278978	0.246	0.985	   -7.399
ENSG00000163703	0.972	0.972	   13.093
ENSG00000119147	0.938	0.949	    6.614
ENSG00000162869	0.941	0.941	    4.694
ENSG00000176472	0.658	0.935	   -7.429
ENSG00000204978	0.326	0.919	   11.797
ENSG00000126464	0.370	0.875	   -5.778
ENSG00000143126	0.807	0.870	   -4.912
ENSG00000116883	0.860	0.869	    7.106
ENSG00000173145	0.464	0.854	    4.717
ENSG00000248278	0.022	0.845	   13.500
ENSG00000271581	0.012	0.844	   13.718
ENSG00000233016	0.789	0.837	   -5.682
ENSG00000239713	0.624	0.837	   -6.334
ENSG00000112365	0.166	0.824	  -10.482
ENSG00000130177	0.601	0.787	    8.268
ENSG00000133313	0.780	0.781	    3.907
ENSG00000169062	0.466	0.780	    6.456
ENSG00000101367	0.330	0.763	    7.363
ENSG00000180834	0.129	0.762	   -5.017
ENSG00000137098	0.747	0.747	    7.253
ENSG00000117280	0.033	0.745	    6.692
ENSG00000107959	0.683	0.739	    3.261
ENSG00000153071	0.100	0.735	    0.000
ENSG00000179119	0.624	0.735	   -7.567
ENSG00000227110	0.240	0.732	   -4.621
ENSG00000198517	0.193	0.723	    0.000
ENSG00000105538	0.441	0.723	    5.631
ENSG00000282022	0.297	0.722	    0.000
ENSG00000260273	0.443	0.705	   10.580
ENSG00000260947	0.264	0.699	   -5.463
ENSG00000073050	0.513	0.698	   -7.155
ENSG00000213523	0.350	0.696	   -5.963
ENSG00000151208	0.469	0.694	    9.071
ENSG00000213626	0.072	0.686	    3.727
ENSG00000181754	0.682	0.682	    4.224
ENSG00000167491	0.119	0.675	    0.000
ENSG00000131845	0.507	0.670	    4.075
ENSG00000273619	0.646	0.662	   -5.610
ENSG00000283602	0.433	0.661	    5.848
ENSG00000135698	0.109	0.651	   -8.535
ENSG00000178209	0.008	0.648	  -11.826
ENSG00000235381	0.300	0.648	    7.346
ENSG00000182093	0.398	0.633	   -5.580
ENSG00000155542	0.300	0.628	   -7.130
ENSG00000115216	0.006	0.625	    0.000
ENSG00000131435	0.127	0.623	   14.918
ENSG00000244515	0.225	0.616	   -8.907
ENSG00000242142	0.215	0.602	   11.090
ENSG00000184517	0.531	0.602	   -3.904
ENSG00000246339	0.387	0.583	   -1.770
ENSG00000178685	0.019	0.576	    0.000
ENSG00000254235	0.046	0.576	   -5.200
ENSG00000116198	0.089	0.572	    3.813
ENSG00000155850	0.330	0.567	    0.000
ENSG00000088826	0.562	0.566	    0.000
ENSG00000178188	0.195	0.556	    4.809
ENSG00000135469	0.251	0.548	    8.375
ENSG00000234814	0.368	0.543	    0.000
ENSG00000134243	0.419	0.541	    0.000
ENSG00000069011	0.267	0.527	    0.000
ENSG00000233858	0.049	0.527	    0.000
ENSG00000134222	0.358	0.521	   -4.744
ENSG00000272950	0.153	0.519	    1.761
ENSG00000259982	0.196	0.515	   -4.803
ENSG00000006459	0.263	0.502	    5.835
ENSG00000224969	0.290	0.501	    4.899
ENSG00000260329	0.013	0.499	   -7.793
ENSG00000170608	0.400	0.489	   -4.481
ENSG00000229456	0.007	0.483	    0.000
ENSG00000233885	0.142	0.467	   -4.972
ENSG00000055483	0.064	0.455	    7.340
ENSG00000142694	0.447	0.449	    0.000
ENSG00000166913	0.218	0.447	    0.000
ENSG00000072682	0.054	0.444	    0.000
ENSG00000164855	0.215	0.443	   -5.099
ENSG00000170175	0.155	0.441	    0.000
ENSG00000115486	0.006	0.440	    0.000
ENSG00000108669	0.151	0.437	   -6.937
ENSG00000156076	0.032	0.432	    0.000
ENSG00000160570	0.171	0.432	    0.000
ENSG00000111328	0.357	0.432	   12.691
ENSG00000100281	0.112	0.421	    0.000
ENSG00000224356	0.270	0.415	    0.000
ENSG00000163354	0.395	0.411	    0.000
ENSG00000164142	0.224	0.409	   -7.266
ENSG00000101104	0.373	0.409	    6.603
ENSG00000250900	0.116	0.407	    0.000
ENSG00000166436	0.174	0.407	   -3.159
ENSG00000267280	0.018	0.401	  -13.832
ENSG00000235138	0.068	0.398	    0.000
ENSG00000160055	0.210	0.397	   -6.183
ENSG00000272572	0.154	0.394	    0.000
ENSG00000251417	0.171	0.388	    4.787
ENSG00000142233	0.385	0.387	    4.181
ENSG00000278893	0.175	0.384	    0.000
ENSG00000134612	0.053	0.371	    0.000
ENSG00000134852	0.076	0.371	    0.000
ENSG00000139190	0.157	0.365	   -3.754
ENSG00000261490	0.017	0.364	    0.803
ENSG00000262877	0.249	0.357	    3.800
ENSG00000122870	0.077	0.356	    0.000
ENSG00000197360	0.104	0.352	    4.183
ENSG00000132386	0.138	0.348	    0.000
ENSG00000243176	0.094	0.347	    0.000
ENSG00000141519	0.343	0.346	   -3.676
ENSG00000244161	0.343	0.343	   -4.913
ENSG00000092108	0.219	0.338	    4.989
ENSG00000231160	0.008	0.336	   -5.184
ENSG00000106153	0.182	0.335	   -5.831
ENSG00000186212	0.206	0.333	    0.000
ENSG00000182923	0.122	0.327	   -8.483
ENSG00000196678	0.202	0.325	    5.865
ENSG00000254602	0.054	0.323	    0.000
ENSG00000279233	0.201	0.319	    4.266
ENSG00000271151	0.249	0.312	    0.000
ENSG00000168936	0.068	0.308	   -7.091
ENSG00000154743	0.014	0.308	   -6.734
ENSG00000110921	0.192	0.306	    0.000
ENSG00000164850	0.281	0.304	    4.493
ENSG00000003056	0.085	0.303	   -3.080
ENSG00000103811	0.301	0.301	    4.249
ENSG00000254944	0.095	0.301	    0.000
ENSG00000229800	0.146	0.296	    0.000
ENSG00000186230	0.235	0.296	    4.297
ENSG00000276449	0.233	0.296	   -4.290
ENSG00000139197	0.295	0.295	    4.377
ENSG00000129596	0.052	0.292	    9.051
ENSG00000257303	0.129	0.288	    0.000
ENSG00000104936	0.147	0.287	   -6.238
ENSG00000255422	0.049	0.280	    6.058
ENSG00000183150	0.113	0.279	    0.000
ENSG00000261766	0.111	0.278	    0.000
ENSG00000243415	0.064	0.277	    0.000
ENSG00000142546	0.165	0.275	    0.000
ENSG00000157653	0.272	0.272	   -6.378
ENSG00000168297	0.229	0.271	    2.565
ENSG00000005471	0.057	0.271	    0.000
ENSG00000173992	0.010	0.268	    0.000
ENSG00000183386	0.106	0.266	    0.000
ENSG00000117122	0.043	0.265	    0.000
ENSG00000116032	0.263	0.263	    5.255
ENSG00000168005	0.028	0.259	    2.739
ENSG00000275437	0.148	0.252	    5.053
ENSG00000280399	0.088	0.251	    0.000
