Gene	GRCP	GLCP	TWAS_z
ENSG00000162613	0.070	0.999	   11.543
ENSG00000172613	0.066	0.997	   20.383
ENSG00000117122	0.324	0.994	  -16.233
ENSG00000163703	0.090	0.989	    9.669
ENSG00000272933	0.176	0.988	  -13.229
ENSG00000277182	0.663	0.987	   -9.904
ENSG00000132386	0.599	0.987	    2.133
ENSG00000163704	0.987	0.987	   13.092
ENSG00000258692	0.615	0.985	   14.960
ENSG00000112977	0.984	0.984	    4.831
ENSG00000180376	0.062	0.977	    1.844
ENSG00000198945	0.594	0.971	  -18.064
ENSG00000078699	0.107	0.969	  -13.976
ENSG00000105173	0.414	0.963	    5.849
ENSG00000204978	0.213	0.962	   11.444
ENSG00000119147	0.957	0.957	    5.805
ENSG00000184302	0.611	0.955	   13.421
ENSG00000128342	0.702	0.950	   -7.710
ENSG00000142233	0.056	0.945	    1.995
ENSG00000172059	0.036	0.944	  -10.409
ENSG00000243795	0.487	0.943	   -5.462
ENSG00000240057	0.746	0.938	    6.198
ENSG00000103245	0.420	0.937	  -14.005
ENSG00000196715	0.775	0.937	   -7.692
ENSG00000229951	0.099	0.936	    5.672
ENSG00000089101	0.872	0.928	   -5.640
ENSG00000170954	0.137	0.924	   -0.001
ENSG00000248278	0.028	0.911	   13.500
ENSG00000162869	0.907	0.910	    5.491
ENSG00000117906	0.191	0.908	    8.264
ENSG00000183741	0.094	0.906	    6.726
ENSG00000260273	0.348	0.903	    6.941
ENSG00000230082	0.900	0.900	   13.090
ENSG00000171206	0.073	0.896	  -13.089
ENSG00000066248	0.080	0.894	    8.731
ENSG00000221823	0.420	0.894	    7.035
ENSG00000169750	0.072	0.886	   -7.108
ENSG00000069275	0.580	0.879	   -9.200
ENSG00000233016	0.879	0.879	   -5.762
ENSG00000122870	0.119	0.874	   -0.733
ENSG00000107959	0.869	0.869	    4.765
ENSG00000177951	0.841	0.865	    3.721
ENSG00000281920	0.305	0.860	    7.051
ENSG00000176472	0.703	0.854	   -7.189
ENSG00000273619	0.693	0.852	   -5.794
ENSG00000279722	0.384	0.831	    6.668
ENSG00000134824	0.823	0.823	    7.350
ENSG00000134222	0.702	0.818	   -4.535
ENSG00000143126	0.696	0.815	   -4.209
ENSG00000180834	0.075	0.811	    4.939
ENSG00000166913	0.260	0.807	    6.661
ENSG00000116883	0.763	0.805	    4.784
ENSG00000275437	0.636	0.804	    6.238
ENSG00000245680	0.209	0.800	    7.775
ENSG00000135698	0.526	0.797	   -8.999
ENSG00000130177	0.642	0.788	    5.895
ENSG00000168813	0.294	0.780	   -4.765
ENSG00000152253	0.388	0.775	    4.519
ENSG00000118420	0.643	0.768	   -7.479
ENSG00000146054	0.589	0.763	    5.444
ENSG00000149485	0.626	0.746	   -7.265
ENSG00000005471	0.744	0.744	   -4.543
ENSG00000223505	0.221	0.734	    5.302
ENSG00000239713	0.335	0.732	   -6.407
ENSG00000267100	0.233	0.727	    8.537
ENSG00000283602	0.287	0.722	    5.970
ENSG00000271151	0.532	0.713	   -6.986
ENSG00000068878	0.174	0.706	    5.942
ENSG00000260257	0.598	0.703	   -6.833
ENSG00000124228	0.158	0.700	  -13.699
ENSG00000126464	0.342	0.696	   -6.905
ENSG00000169738	0.083	0.668	   -4.862
ENSG00000084093	0.374	0.667	    9.306
ENSG00000135469	0.221	0.665	    5.258
ENSG00000234028	0.173	0.665	  -11.866
ENSG00000103194	0.071	0.664	   -7.042
ENSG00000134504	0.435	0.658	    4.930
ENSG00000115419	0.486	0.657	   -4.796
ENSG00000115947	0.385	0.646	    4.515
ENSG00000118263	0.395	0.644	   -4.607
ENSG00000188811	0.058	0.642	    0.000
ENSG00000132953	0.402	0.641	    7.261
ENSG00000081760	0.515	0.640	    3.814
ENSG00000237984	0.248	0.638	   -5.473
ENSG00000123080	0.135	0.623	   12.060
ENSG00000127418	0.396	0.618	   -6.893
ENSG00000257727	0.112	0.605	   -7.991
ENSG00000138686	0.423	0.599	    8.026
ENSG00000127947	0.292	0.591	    3.826
ENSG00000112414	0.044	0.591	  -23.734
ENSG00000248514	0.390	0.589	    5.347
ENSG00000152952	0.418	0.579	    4.242
ENSG00000277619	0.304	0.573	  -13.219
ENSG00000272950	0.137	0.572	    2.135
ENSG00000135049	0.567	0.568	   -4.450
ENSG00000181754	0.568	0.568	    4.652
ENSG00000130227	0.225	0.567	    5.920
ENSG00000260077	0.036	0.562	   -2.673
ENSG00000146731	0.544	0.561	    6.033
ENSG00000259118	0.038	0.560	   -8.105
ENSG00000103253	0.036	0.557	  -13.122
