Gene	GRCP	GLCP	TWAS_z
ENSG00000162613	0.074	1.000	   11.548
ENSG00000163703	1.000	1.000	   11.801
ENSG00000269894	1.000	1.000	   13.223
ENSG00000198860	0.208	0.999	   -8.371
ENSG00000010803	0.999	0.999	   15.422
ENSG00000198945	0.998	0.998	  -18.780
ENSG00000165449	0.492	0.997	   -8.382
ENSG00000168899	0.119	0.997	    5.580
ENSG00000165801	0.877	0.995	    6.781
ENSG00000277791	0.577	0.993	    6.003
ENSG00000234028	0.611	0.992	  -12.003
ENSG00000112977	0.984	0.984	    5.075
ENSG00000113389	0.930	0.983	   14.597
ENSG00000183520	0.166	0.976	   -9.170
ENSG00000183386	0.975	0.975	  -10.183
ENSG00000172340	0.823	0.970	   -5.665
ENSG00000184185	0.693	0.966	  -13.488
ENSG00000117122	0.126	0.965	  -16.298
ENSG00000214193	0.800	0.963	   -7.448
ENSG00000248278	0.251	0.960	   13.875
ENSG00000119147	0.956	0.956	    6.075
ENSG00000163702	0.948	0.948	    3.490
ENSG00000243795	0.621	0.942	   -5.910
ENSG00000169925	0.136	0.939	    7.931
ENSG00000166532	0.915	0.937	   -5.968
ENSG00000172171	0.171	0.937	   21.043
ENSG00000240057	0.717	0.935	    2.936
ENSG00000165424	0.140	0.933	  -13.468
ENSG00000183682	0.729	0.930	   -2.575
ENSG00000132386	0.434	0.926	    7.825
ENSG00000105755	0.536	0.921	   -6.650
ENSG00000231672	0.399	0.918	    6.760
ENSG00000235413	0.135	0.916	   25.893
ENSG00000084093	0.558	0.916	   11.145
ENSG00000142173	0.545	0.913	    5.797
ENSG00000067208	0.266	0.913	    9.689
ENSG00000115221	0.253	0.910	   -3.173
ENSG00000173145	0.580	0.905	    4.224
ENSG00000163946	0.030	0.896	   -9.788
ENSG00000183741	0.816	0.886	    5.022
ENSG00000134222	0.679	0.884	   -3.787
ENSG00000070950	0.418	0.879	    5.215
ENSG00000158122	0.179	0.878	  -15.300
ENSG00000233016	0.876	0.876	   -5.565
ENSG00000204978	0.194	0.870	   11.705
ENSG00000151893	0.708	0.864	   -3.278
ENSG00000100968	0.857	0.863	   10.141
ENSG00000116883	0.830	0.861	    5.394
ENSG00000166913	0.584	0.859	    6.612
ENSG00000107959	0.854	0.854	    3.391
ENSG00000248677	0.142	0.854	    6.163
ENSG00000181222	0.024	0.850	   12.543
ENSG00000109919	0.088	0.844	   13.060
ENSG00000176472	0.699	0.842	   -6.997
ENSG00000120647	0.017	0.820	   -1.611
ENSG00000214189	0.544	0.816	   -9.052
ENSG00000163312	0.794	0.794	   -3.803
ENSG00000172845	0.491	0.793	   -3.446
ENSG00000260273	0.389	0.789	   10.285
ENSG00000142233	0.392	0.787	    0.889
ENSG00000151632	0.474	0.786	    9.737
ENSG00000149485	0.666	0.782	   -7.270
ENSG00000185532	0.445	0.779	   -8.324
ENSG00000145431	0.130	0.778	    4.681
ENSG00000238181	0.269	0.776	   -7.194
ENSG00000176102	0.775	0.775	   -3.508
ENSG00000281026	0.127	0.772	    6.929
ENSG00000134825	0.250	0.772	    7.011
ENSG00000179119	0.511	0.771	   -7.591
ENSG00000165661	0.403	0.770	  -11.605
ENSG00000136240	0.768	0.769	   -4.249
ENSG00000135698	0.316	0.759	   -8.426
ENSG00000151704	0.127	0.754	   -7.049
ENSG00000144649	0.072	0.742	   -6.523
ENSG00000272223	0.291	0.739	   -6.552
ENSG00000271151	0.713	0.738	   -7.227
ENSG00000135842	0.118	0.736	   -4.614
ENSG00000143786	0.184	0.735	    8.501
ENSG00000198535	0.258	0.725	    8.448
ENSG00000153574	0.025	0.719	  -11.977
ENSG00000176593	0.715	0.715	   -0.982
ENSG00000126464	0.645	0.711	   -6.723
ENSG00000135835	0.711	0.711	    0.697
ENSG00000160710	0.075	0.709	   -3.559
ENSG00000117280	0.331	0.705	    4.867
ENSG00000162104	0.684	0.702	   -5.640
ENSG00000250251	0.624	0.702	   -0.918
ENSG00000257727	0.173	0.698	   -7.937
ENSG00000077348	0.024	0.698	  -11.366
ENSG00000280061	0.461	0.691	    4.801
ENSG00000101367	0.640	0.691	    7.641
ENSG00000075292	0.249	0.685	   -6.045
ENSG00000129351	0.066	0.685	    0.000
ENSG00000215529	0.403	0.673	   -4.165
ENSG00000260257	0.425	0.671	   -1.475
ENSG00000106723	0.036	0.665	   11.511
ENSG00000130177	0.567	0.664	    7.982
ENSG00000273619	0.659	0.664	   -5.844
ENSG00000178209	0.125	0.656	  -12.287
ENSG00000275437	0.088	0.649	    5.162
ENSG00000176909	0.292	0.648	    5.856
ENSG00000185684	0.465	0.648	    3.237
ENSG00000184669	0.246	0.647	    5.379
ENSG00000088854	0.309	0.643	   -4.508
ENSG00000164244	0.623	0.641	    1.914
ENSG00000244515	0.155	0.634	   -8.130
ENSG00000072682	0.624	0.634	  -15.250
ENSG00000137098	0.192	0.628	    6.518
ENSG00000196967	0.239	0.628	    2.669
ENSG00000237984	0.201	0.627	   -5.461
ENSG00000101417	0.234	0.625	  -14.081
ENSG00000184661	0.047	0.622	    8.935
ENSG00000237273	0.082	0.614	   -9.090
ENSG00000172456	0.377	0.609	   -0.422
