Gene	GRCP	GLCP	TWAS_z
ENSG00000269894	1.000	1.000	   13.062
ENSG00000172613	0.020	1.000	   24.558
ENSG00000163703	1.000	1.000	   13.090
ENSG00000163702	0.983	0.983	   12.329
ENSG00000072682	0.133	0.979	  -14.130
ENSG00000156218	0.237	0.961	   21.718
ENSG00000183386	0.845	0.960	  -10.191
ENSG00000139044	0.852	0.955	   11.926
ENSG00000119147	0.950	0.950	    5.853
ENSG00000243795	0.582	0.947	   -4.184
ENSG00000105538	0.708	0.945	    5.734
ENSG00000267100	0.397	0.944	    7.861
ENSG00000277791	0.650	0.943	    9.744
ENSG00000234465	0.493	0.932	    7.466
ENSG00000177951	0.850	0.922	    6.068
ENSG00000116883	0.853	0.919	    7.097
ENSG00000197935	0.096	0.914	   12.992
ENSG00000135698	0.158	0.905	   -8.844
ENSG00000233016	0.898	0.898	   -5.638
ENSG00000176472	0.719	0.888	   -7.426
ENSG00000142233	0.719	0.888	    3.054
ENSG00000278376	0.074	0.865	    5.437
ENSG00000134824	0.541	0.863	    7.123
ENSG00000281026	0.396	0.862	    7.152
ENSG00000230082	0.853	0.853	    0.000
ENSG00000273619	0.702	0.852	   -5.704
ENSG00000229891	0.128	0.842	    3.467
ENSG00000139187	0.188	0.840	   -4.342
ENSG00000162613	0.053	0.839	   11.598
ENSG00000271151	0.572	0.826	   -7.298
ENSG00000224431	0.036	0.822	  -16.276
ENSG00000130177	0.477	0.809	    8.314
ENSG00000185924	0.449	0.802	    0.000
ENSG00000156381	0.347	0.795	    7.392
ENSG00000165801	0.773	0.795	    0.000
ENSG00000274723	0.145	0.791	    0.000
ENSG00000171217	0.206	0.787	   -7.683
ENSG00000198945	0.138	0.778	  -17.743
ENSG00000134825	0.254	0.777	    6.984
ENSG00000269982	0.776	0.776	    0.000
ENSG00000127580	0.033	0.767	  -13.655
ENSG00000239713	0.609	0.764	   -6.193
ENSG00000126464	0.489	0.761	   -6.609
ENSG00000140577	0.166	0.750	    6.312
ENSG00000120664	0.111	0.740	   -4.920
ENSG00000108799	0.041	0.729	   -6.183
ENSG00000107959	0.597	0.724	    2.987
ENSG00000106780	0.415	0.698	    7.804
ENSG00000108639	0.340	0.695	   -5.375
ENSG00000227110	0.318	0.687	   -4.647
ENSG00000275437	0.094	0.684	    0.000
ENSG00000260947	0.223	0.674	   -5.423
ENSG00000168883	0.008	0.666	    4.704
ENSG00000244515	0.183	0.661	   -8.583
ENSG00000088970	0.044	0.658	   -6.399
ENSG00000196139	0.399	0.657	    9.450
ENSG00000149927	0.312	0.656	    8.998
ENSG00000149923	0.028	0.653	    0.000
ENSG00000237984	0.304	0.652	   -5.526
ENSG00000105173	0.239	0.649	    5.387
ENSG00000169925	0.468	0.646	    7.826
ENSG00000283602	0.252	0.627	    5.691
ENSG00000249915	0.282	0.611	    3.553
ENSG00000176155	0.068	0.596	   -5.190
ENSG00000260273	0.124	0.596	   10.008
ENSG00000183682	0.450	0.583	   -5.558
ENSG00000134851	0.132	0.572	    0.000
ENSG00000184669	0.189	0.564	    0.000
ENSG00000140961	0.330	0.551	   -4.777
ENSG00000073067	0.460	0.549	    1.354
ENSG00000242142	0.070	0.547	   13.684
ENSG00000109667	0.134	0.546	    0.000
ENSG00000198160	0.270	0.545	    6.342
ENSG00000245680	0.183	0.537	    7.697
ENSG00000163935	0.088	0.537	   13.733
ENSG00000240032	0.080	0.532	   -4.381
ENSG00000235381	0.248	0.529	    7.346
ENSG00000231160	0.033	0.520	   -6.250
ENSG00000178188	0.152	0.507	    5.137
ENSG00000155363	0.340	0.490	    7.629
ENSG00000101639	0.161	0.488	   -6.780
ENSG00000275481	0.047	0.482	    0.000
ENSG00000151208	0.250	0.466	    9.068
ENSG00000257303	0.182	0.459	    8.526
ENSG00000248278	0.012	0.454	    0.000
ENSG00000109625	0.409	0.445	   -9.550
ENSG00000100968	0.438	0.438	    0.000
ENSG00000181222	0.012	0.435	   13.867
ENSG00000196876	0.433	0.433	    4.421
ENSG00000183150	0.210	0.421	    0.000
ENSG00000134852	0.043	0.420	   -4.621
ENSG00000273507	0.149	0.418	    0.000
ENSG00000280304	0.203	0.405	    0.000
ENSG00000276728	0.032	0.403	    0.000
ENSG00000155269	0.270	0.402	   -9.454
ENSG00000178966	0.116	0.401	    8.614
ENSG00000104332	0.143	0.400	    0.000
ENSG00000105341	0.060	0.396	    0.000
ENSG00000269893	0.177	0.392	   -4.977
ENSG00000177025	0.389	0.389	   -3.446
ENSG00000050748	0.161	0.388	    0.000
ENSG00000273483	0.179	0.388	    0.000
ENSG00000122912	0.368	0.374	    9.798
ENSG00000169696	0.018	0.370	    0.000
ENSG00000075292	0.108	0.363	    0.000
ENSG00000182923	0.093	0.353	   -8.505
ENSG00000110944	0.089	0.348	    0.000
ENSG00000188157	0.114	0.347	    0.000
ENSG00000128915	0.095	0.347	    0.000
ENSG00000152778	0.161	0.345	    3.855
ENSG00000259520	0.061	0.344	    1.455
ENSG00000182093	0.260	0.342	   -5.499
ENSG00000144649	0.235	0.342	    0.000
ENSG00000257496	0.137	0.341	    2.833
ENSG00000101104	0.163	0.340	    0.000
ENSG00000134222	0.216	0.338	   -2.057
ENSG00000255504	0.167	0.337	    0.000
ENSG00000279233	0.276	0.328	    4.519
ENSG00000105755	0.142	0.327	   -4.299
ENSG00000213123	0.257	0.325	    3.968
ENSG00000103811	0.254	0.323	    4.874
ENSG00000214855	0.321	0.321	    4.020
ENSG00000160613	0.205	0.321	    0.000
ENSG00000143771	0.094	0.313	   -8.686
ENSG00000100281	0.089	0.311	    0.000
ENSG00000196932	0.132	0.310	    0.000
ENSG00000198517	0.067	0.301	    0.000
ENSG00000250412	0.070	0.301	    4.796
ENSG00000189212	0.010	0.300	    0.000
ENSG00000244731	0.002	0.294	   12.218
ENSG00000279345	0.270	0.293	    0.000
ENSG00000244691	0.211	0.288	  -10.045
ENSG00000160396	0.126	0.287	    0.000
ENSG00000174989	0.242	0.286	    7.715
ENSG00000225057	0.115	0.285	    0.000
ENSG00000141519	0.282	0.284	   -3.541
ENSG00000158234	0.146	0.282	    0.000
ENSG00000169683	0.205	0.280	   -7.489
ENSG00000270424	0.112	0.279	   -4.971
ENSG00000005471	0.065	0.278	    4.232
ENSG00000236711	0.175	0.276	   -5.145
ENSG00000262877	0.250	0.274	    2.822
ENSG00000149485	0.114	0.267	    0.000
ENSG00000146054	0.097	0.266	    4.775
ENSG00000185800	0.158	0.264	   -6.266
ENSG00000106153	0.117	0.257	   -3.047
ENSG00000153094	0.095	0.257	   -2.391
ENSG00000198860	0.103	0.256	  -10.620
ENSG00000157578	0.110	0.255	   -3.172
ENSG00000261766	0.110	0.253	    0.000
ENSG00000270781	0.016	0.250	    0.000
ENSG00000186230	0.181	0.250	    4.238
ENSG00000111752	0.117	0.250	    0.000
ENSG00000240634	0.076	0.247	    0.000
ENSG00000197128	0.119	0.238	    2.244
ENSG00000051825	0.176	0.236	    0.000
ENSG00000156603	0.235	0.236	    5.362
ENSG00000060718	0.002	0.235	    0.000
ENSG00000128342	0.153	0.232	    0.000
ENSG00000178904	0.100	0.231	    0.000
ENSG00000120693	0.230	0.230	   -5.236
ENSG00000233547	0.094	0.227	   -3.617
ENSG00000136059	0.004	0.226	    0.000
ENSG00000129055	0.099	0.222	   -8.464
ENSG00000214293	0.038	0.222	    4.208
ENSG00000242259	0.045	0.222	    0.000
ENSG00000101367	0.188	0.219	    6.684
ENSG00000152904	0.078	0.216	    0.000
ENSG00000136731	0.158	0.214	    5.650
ENSG00000181061	0.179	0.214	    0.000
ENSG00000279428	0.213	0.213	    0.000
ENSG00000198535	0.049	0.213	    0.000
ENSG00000255423	0.070	0.211	    0.000
ENSG00000143476	0.007	0.210	    0.000
ENSG00000214184	0.032	0.209	    3.259
ENSG00000092108	0.101	0.209	    0.000
ENSG00000111328	0.038	0.209	    0.000
ENSG00000116957	0.097	0.205	    0.000
ENSG00000251417	0.105	0.205	    5.049
ENSG00000250900	0.038	0.201	    0.000
ENSG00000276449	0.151	0.199	   -2.555
ENSG00000116032	0.158	0.199	    4.671
ENSG00000137098	0.194	0.194	    0.000
ENSG00000111850	0.051	0.193	    3.995
ENSG00000178952	0.172	0.193	   -4.842
ENSG00000123843	0.131	0.192	   -3.565
ENSG00000131845	0.049	0.192	    3.067
ENSG00000106868	0.074	0.192	   -4.073
ENSG00000075539	0.113	0.188	   -7.466
ENSG00000248514	0.084	0.187	    0.000
ENSG00000163933	0.122	0.187	  -13.621
ENSG00000152359	0.083	0.185	    4.171
ENSG00000136824	0.085	0.183	   -3.312
ENSG00000168899	0.072	0.181	    0.000
ENSG00000149679	0.068	0.181	    5.354
ENSG00000078237	0.180	0.180	   -3.795
ENSG00000176046	0.057	0.180	    3.983
ENSG00000084652	0.078	0.179	    0.000
ENSG00000083097	0.145	0.178	    6.855
ENSG00000270332	0.074	0.174	    0.000
ENSG00000116198	0.079	0.173	    4.203
ENSG00000105737	0.045	0.172	    0.000
ENSG00000165661	0.091	0.170	  -10.675
ENSG00000234329	0.043	0.170	    0.000
ENSG00000120370	0.093	0.168	    3.496
ENSG00000253476	0.091	0.168	    0.000
ENSG00000257718	0.108	0.168	    0.000
ENSG00000163161	0.040	0.167	    4.933
ENSG00000185808	0.145	0.166	   -4.711
ENSG00000279344	0.076	0.166	   -7.962
ENSG00000236204	0.009	0.165	    0.000
ENSG00000228035	0.098	0.165	   -3.374
ENSG00000243056	0.096	0.165	    0.000
ENSG00000222046	0.050	0.164	    0.000
ENSG00000214369	0.060	0.164	    0.000
ENSG00000131435	0.043	0.162	    0.000
ENSG00000260916	0.034	0.162	    4.215
ENSG00000170889	0.083	0.162	   -1.854
ENSG00000244063	0.038	0.162	    4.979
ENSG00000010017	0.052	0.160	    3.826
ENSG00000152465	0.133	0.160	    4.998
ENSG00000181852	0.039	0.160	    0.000
ENSG00000166436	0.145	0.159	   -4.170
ENSG00000244556	0.040	0.158	    0.000
ENSG00000125952	0.000	0.158	    0.000
ENSG00000257261	0.006	0.158	   -3.870
ENSG00000174106	0.007	0.156	    0.000
ENSG00000261051	0.016	0.153	   -3.988
ENSG00000196262	0.058	0.153	    0.000
ENSG00000127947	0.064	0.152	    0.000
ENSG00000136999	0.026	0.152	    0.000
ENSG00000276651	0.087	0.151	    0.000
ENSG00000126460	0.080	0.151	    0.000
ENSG00000213523	0.117	0.151	    0.000
ENSG00000233266	0.046	0.150	    4.744
ENSG00000123737	0.148	0.148	    3.490
ENSG00000129292	0.071	0.148	    3.160
ENSG00000124203	0.014	0.146	    0.000
ENSG00000114790	0.065	0.146	   -4.233
ENSG00000168255	0.066	0.145	   -4.429
ENSG00000104936	0.054	0.145	    0.000
ENSG00000240972	0.055	0.143	   -3.163
ENSG00000109180	0.025	0.143	    6.974
ENSG00000177839	0.035	0.142	    5.655
ENSG00000115446	0.040	0.142	    0.000
ENSG00000259081	0.058	0.142	   -3.269
ENSG00000133460	0.048	0.139	   -0.605
ENSG00000213160	0.041	0.139	    0.000
ENSG00000261652	0.037	0.139	    0.000
ENSG00000228290	0.041	0.137	    0.000
ENSG00000163357	0.036	0.137	    0.000
ENSG00000173226	0.057	0.136	    2.620
ENSG00000228634	0.022	0.136	    0.000
ENSG00000142156	0.003	0.135	    0.000
ENSG00000168894	0.012	0.134	    0.000
ENSG00000261019	0.043	0.134	    4.238
ENSG00000226312	0.065	0.134	    0.000
ENSG00000107779	0.071	0.133	   -4.554
ENSG00000168925	0.019	0.133	    0.000
ENSG00000270951	0.005	0.132	    0.000
ENSG00000258234	0.002	0.131	   -5.609
ENSG00000197050	0.014	0.131	    0.000
ENSG00000222515	0.114	0.131	    4.782
ENSG00000137103	0.014	0.131	    5.898
ENSG00000215016	0.044	0.130	    0.000
ENSG00000169062	0.082	0.130	    0.000
ENSG00000007312	0.003	0.129	    0.000
ENSG00000177191	0.020	0.128	    0.000
ENSG00000184661	0.007	0.126	    0.000
ENSG00000085719	0.126	0.126	   -3.705
ENSG00000105668	0.125	0.125	   -3.911
ENSG00000157021	0.010	0.125	    0.000
ENSG00000164329	0.006	0.125	    4.983
ENSG00000138942	0.035	0.123	    0.000
ENSG00000170802	0.121	0.121	    4.317
