Gene	GRCP	GLCP	TWAS_z
ENSG00000198945	0.999	0.999	  -18.565
ENSG00000267280	0.074	0.988	  -14.371
ENSG00000183386	0.962	0.985	  -10.188
ENSG00000214193	0.839	0.983	   -7.220
ENSG00000105341	0.118	0.966	   11.788
ENSG00000119147	0.965	0.965	    6.623
ENSG00000108639	0.933	0.957	    3.876
ENSG00000203809	0.652	0.942	  -20.385
ENSG00000248278	0.031	0.941	   13.535
ENSG00000117280	0.765	0.934	    8.900
ENSG00000126460	0.560	0.934	   -7.111
ENSG00000162869	0.932	0.932	    5.508
ENSG00000234906	0.572	0.924	   -5.631
ENSG00000187772	0.646	0.924	  -20.389
ENSG00000134222	0.688	0.912	   -4.212
ENSG00000089101	0.760	0.910	   -5.895
ENSG00000176720	0.665	0.896	    8.110
ENSG00000277840	0.245	0.886	    7.649
ENSG00000273619	0.603	0.885	   -6.334
ENSG00000116883	0.857	0.883	    7.098
ENSG00000126464	0.594	0.880	   -5.231
ENSG00000169925	0.643	0.877	    8.100
ENSG00000069275	0.719	0.874	   -9.281
ENSG00000130177	0.569	0.874	    8.325
ENSG00000233016	0.871	0.871	   -5.756
ENSG00000176472	0.750	0.869	   -7.607
ENSG00000165661	0.314	0.869	  -11.891
ENSG00000177951	0.864	0.864	   -5.410
ENSG00000142233	0.462	0.858	    5.428
ENSG00000283602	0.396	0.847	    5.970
ENSG00000132155	0.123	0.842	   -7.986
ENSG00000083097	0.175	0.842	    6.940
ENSG00000248098	0.019	0.841	   -4.852
ENSG00000243176	0.214	0.838	    9.018
ENSG00000107959	0.710	0.830	    3.024
ENSG00000176155	0.097	0.830	   -6.244
ENSG00000281026	0.253	0.814	    7.188
ENSG00000230359	0.169	0.812	    4.491
ENSG00000171824	0.046	0.810	   -6.472
ENSG00000184661	0.148	0.802	    9.193
ENSG00000278978	0.017	0.800	   -6.674
ENSG00000248514	0.196	0.793	    4.996
ENSG00000250900	0.520	0.791	    5.771
ENSG00000124203	0.120	0.782	    7.069
ENSG00000151632	0.520	0.777	   10.357
ENSG00000271151	0.664	0.774	   -7.167
ENSG00000112941	0.257	0.772	   -5.064
ENSG00000184110	0.150	0.769	   -4.878
ENSG00000156381	0.494	0.765	    8.265
ENSG00000213523	0.343	0.760	   -5.994
ENSG00000188157	0.395	0.754	    5.519
ENSG00000186583	0.036	0.751	    0.000
ENSG00000173404	0.725	0.750	    0.000
ENSG00000106780	0.394	0.733	    8.115
ENSG00000166532	0.687	0.731	   -5.998
ENSG00000239713	0.474	0.729	   -6.183
ENSG00000136542	0.587	0.727	    3.836
ENSG00000213514	0.382	0.726	    8.504
ENSG00000029534	0.601	0.721	    2.193
ENSG00000165801	0.653	0.717	    0.000
ENSG00000278893	0.310	0.708	   -4.600
ENSG00000166913	0.431	0.700	    6.670
ENSG00000259384	0.070	0.699	  -21.589
ENSG00000101367	0.243	0.692	    6.706
ENSG00000077348	0.014	0.686	  -10.297
ENSG00000231165	0.226	0.679	   -5.499
ENSG00000260947	0.216	0.674	   -5.440
ENSG00000275437	0.403	0.669	    5.998
ENSG00000173145	0.538	0.668	    4.720
ENSG00000173482	0.274	0.668	    5.303
ENSG00000149926	0.103	0.655	    0.000
ENSG00000142546	0.118	0.647	   -5.452
ENSG00000101104	0.402	0.644	    0.123
ENSG00000275088	0.267	0.641	    4.264
ENSG00000257727	0.132	0.638	    0.000
ENSG00000055483	0.177	0.632	    8.436
ENSG00000146054	0.161	0.618	    4.798
ENSG00000280061	0.454	0.616	    6.267
ENSG00000244515	0.199	0.615	   -8.924
ENSG00000177548	0.105	0.615	   -5.130
ENSG00000163161	0.096	0.604	    4.417
ENSG00000100284	0.158	0.601	    4.764
ENSG00000163703	0.599	0.599	    0.000
ENSG00000270210	0.014	0.599	    0.000
ENSG00000181754	0.591	0.592	    4.649
ENSG00000257303	0.202	0.588	    7.858
ENSG00000132915	0.437	0.586	    4.771
ENSG00000151208	0.382	0.585	    9.142
ENSG00000178188	0.181	0.584	    4.806
ENSG00000255423	0.137	0.580	   -4.319
ENSG00000183150	0.237	0.575	    0.000
ENSG00000237505	0.223	0.575	    0.000
ENSG00000163933	0.128	0.568	  -13.630
ENSG00000112977	0.564	0.564	    3.408
ENSG00000146386	0.564	0.564	    0.387
ENSG00000115944	0.328	0.564	    5.202
ENSG00000120669	0.110	0.557	    4.747
ENSG00000272966	0.167	0.554	    6.604
ENSG00000170242	0.552	0.552	   -6.102
ENSG00000281128	0.323	0.543	   -5.128
ENSG00000269893	0.283	0.525	   -3.245
ENSG00000205978	0.453	0.523	   -8.802
ENSG00000171217	0.178	0.523	   -4.464
ENSG00000266654	0.099	0.520	   -6.031
ENSG00000137098	0.519	0.519	    7.049
ENSG00000159596	0.055	0.519	   -6.774
ENSG00000258940	0.196	0.518	    4.379
ENSG00000103528	0.417	0.516	    5.605
ENSG00000135473	0.167	0.514	   -7.960
ENSG00000101057	0.104	0.513	    0.000
ENSG00000261123	0.025	0.512	    4.200
ENSG00000198517	0.170	0.511	    2.909
ENSG00000152763	0.290	0.507	   -6.667
ENSG00000242247	0.180	0.499	    7.039
ENSG00000107679	0.032	0.497	    0.000
ENSG00000139687	0.264	0.493	    5.813
ENSG00000184517	0.480	0.491	   -1.240
ENSG00000171819	0.201	0.489	    0.000
ENSG00000185808	0.455	0.485	   -4.534
ENSG00000173662	0.125	0.484	    4.748
ENSG00000174106	0.164	0.472	    8.706
ENSG00000149927	0.018	0.469	    8.600
ENSG00000231234	0.084	0.461	    0.987
ENSG00000260273	0.162	0.459	    0.000
ENSG00000170175	0.278	0.453	  -14.366
ENSG00000123080	0.099	0.452	    0.000
ENSG00000140961	0.267	0.452	   -5.066
ENSG00000115221	0.287	0.450	    0.000
ENSG00000247775	0.321	0.439	   -3.415
ENSG00000176593	0.337	0.437	   -3.422
ENSG00000177025	0.432	0.432	   -3.239
ENSG00000168496	0.123	0.424	    0.000
ENSG00000204371	0.006	0.423	    0.000
ENSG00000275481	0.165	0.423	   -7.574
ENSG00000124541	0.176	0.422	    6.565
ENSG00000134851	0.057	0.415	    4.476
ENSG00000270951	0.273	0.409	   -7.112
ENSG00000136059	0.005	0.406	    0.000
ENSG00000261622	0.366	0.403	   -4.214
ENSG00000164244	0.237	0.402	   -4.535
ENSG00000236680	0.123	0.394	   -2.257
ENSG00000251417	0.154	0.389	    4.937
ENSG00000273106	0.162	0.388	    0.000
ENSG00000266256	0.089	0.387	   -4.165
ENSG00000260231	0.057	0.387	   -7.025
ENSG00000168813	0.231	0.386	    0.000
ENSG00000103811	0.288	0.384	    3.659
ENSG00000185347	0.114	0.383	    0.000
ENSG00000157653	0.154	0.383	   -4.348
ENSG00000149923	0.018	0.383	    0.000
ENSG00000146729	0.378	0.378	    5.389
ENSG00000110944	0.180	0.376	   -7.846
ENSG00000188603	0.164	0.375	    4.997
ENSG00000246339	0.179	0.369	   -3.891
ENSG00000183955	0.126	0.368	   -0.360
ENSG00000270424	0.140	0.363	   -4.845
ENSG00000276449	0.293	0.362	   -3.122
ENSG00000235106	0.005	0.361	   -3.713
ENSG00000237273	0.083	0.354	   -5.757
ENSG00000158234	0.169	0.348	    0.000
ENSG00000107443	0.129	0.347	    0.000
ENSG00000152465	0.278	0.341	    4.258
ENSG00000259520	0.068	0.340	    1.416
ENSG00000163935	0.061	0.339	   12.165
ENSG00000081760	0.099	0.338	    2.474
ENSG00000131165	0.264	0.335	   -6.012
ENSG00000160055	0.145	0.334	    0.000
ENSG00000226261	0.135	0.332	    6.592
ENSG00000164776	0.115	0.332	    0.000
ENSG00000013810	0.149	0.330	   -6.077
ENSG00000185559	0.209	0.330	    0.000
ENSG00000146063	0.318	0.324	    5.605
ENSG00000243415	0.083	0.318	    0.000
ENSG00000250412	0.047	0.314	    4.456
ENSG00000137501	0.042	0.312	    0.000
ENSG00000267114	0.024	0.309	   -4.090
ENSG00000111802	0.109	0.308	    2.508
ENSG00000235381	0.238	0.304	    6.595
ENSG00000188811	0.075	0.302	    0.000
ENSG00000262877	0.193	0.299	    2.911
ENSG00000259933	0.012	0.298	    3.469
ENSG00000257315	0.060	0.291	    0.000
ENSG00000256229	0.266	0.290	   -3.821
ENSG00000145335	0.122	0.290	    0.000
ENSG00000257279	0.152	0.286	    0.000
ENSG00000116032	0.285	0.285	    5.575
ENSG00000259982	0.183	0.283	   -4.473
ENSG00000234329	0.107	0.282	   -6.913
ENSG00000240634	0.120	0.280	    4.718
ENSG00000107798	0.135	0.279	   -3.096
ENSG00000279233	0.278	0.279	    3.261
ENSG00000115556	0.119	0.275	   12.429
ENSG00000151748	0.115	0.274	    0.000
ENSG00000270981	0.046	0.273	    0.000
ENSG00000243056	0.176	0.272	    5.807
ENSG00000135698	0.137	0.269	   -8.938
ENSG00000198793	0.042	0.268	    0.000
ENSG00000267097	0.018	0.266	   -3.094
ENSG00000169683	0.164	0.265	   -7.412
ENSG00000203965	0.102	0.261	   -3.636
ENSG00000164532	0.071	0.260	   -5.069
ENSG00000122870	0.053	0.258	    0.043
ENSG00000139428	0.148	0.257	   -2.225
ENSG00000006747	0.030	0.257	    0.595
ENSG00000176102	0.256	0.256	    0.000
ENSG00000214189	0.023	0.253	   -5.572
ENSG00000133104	0.174	0.252	   -4.898
ENSG00000184730	0.157	0.250	    4.831
ENSG00000273493	0.121	0.248	    4.754
ENSG00000051825	0.242	0.247	  -12.899
ENSG00000213123	0.179	0.246	    2.385
ENSG00000179241	0.060	0.244	    3.607
ENSG00000182093	0.084	0.244	    0.000
ENSG00000088992	0.033	0.242	    6.910
ENSG00000126246	0.093	0.241	    2.155
ENSG00000132953	0.219	0.241	    0.000
ENSG00000164855	0.054	0.240	   -4.916
ENSG00000178209	0.024	0.240	  -11.784
ENSG00000172247	0.017	0.236	    0.000
ENSG00000245573	0.197	0.236	    4.105
ENSG00000272933	0.014	0.235	    0.000
ENSG00000182923	0.053	0.235	   -8.841
ENSG00000163491	0.108	0.235	    3.616
ENSG00000106153	0.114	0.234	    3.002
ENSG00000270871	0.020	0.234	    0.000
ENSG00000084623	0.145	0.229	    0.000
ENSG00000182109	0.080	0.229	   -0.932
ENSG00000162408	0.066	0.227	    4.375
ENSG00000152359	0.091	0.226	    4.174
ENSG00000181222	0.002	0.226	    0.000
ENSG00000153094	0.028	0.222	    4.034
ENSG00000107779	0.175	0.219	   -5.185
ENSG00000136280	0.139	0.216	   -3.696
ENSG00000089693	0.197	0.216	    0.000
ENSG00000149679	0.115	0.215	    4.873
ENSG00000138722	0.035	0.213	    2.702
ENSG00000100298	0.169	0.213	   -5.959
ENSG00000176909	0.104	0.213	    0.000
ENSG00000276269	0.122	0.212	    3.679
ENSG00000166436	0.141	0.209	   -2.772
ENSG00000280169	0.071	0.208	    0.000
ENSG00000226312	0.107	0.206	    0.000
ENSG00000143771	0.099	0.205	   -8.961
ENSG00000159588	0.049	0.204	    0.000
ENSG00000261823	0.103	0.204	    4.324
ENSG00000100281	0.052	0.204	    0.000
ENSG00000235413	0.024	0.202	    0.000
ENSG00000154479	0.065	0.202	    3.432
ENSG00000237984	0.076	0.202	    0.000
ENSG00000273650	0.018	0.200	    0.000
ENSG00000213988	0.185	0.199	    0.000
ENSG00000134245	0.071	0.198	   -4.519
ENSG00000144580	0.080	0.197	    0.000
ENSG00000242970	0.079	0.196	   -3.533
ENSG00000188785	0.112	0.196	    0.000
ENSG00000271806	0.037	0.195	    0.000
ENSG00000233885	0.119	0.194	   -5.096
ENSG00000005471	0.063	0.193	    0.000
ENSG00000072062	0.088	0.192	    0.000
ENSG00000183513	0.066	0.192	    4.775
ENSG00000136824	0.154	0.190	   -3.499
ENSG00000108669	0.047	0.190	    0.000
ENSG00000185684	0.189	0.189	    2.453
ENSG00000250569	0.052	0.189	    3.185
ENSG00000112200	0.045	0.188	    0.000
ENSG00000187867	0.063	0.188	    0.000
ENSG00000162676	0.053	0.187	  -10.447
ENSG00000196993	0.083	0.186	    4.789
ENSG00000137312	0.103	0.184	  -10.228
ENSG00000196262	0.080	0.183	    1.994
ENSG00000242259	0.106	0.182	    4.258
ENSG00000277258	0.152	0.182	   -4.715
ENSG00000260796	0.073	0.180	    0.000
ENSG00000145740	0.018	0.179	   -2.381
ENSG00000119471	0.143	0.179	    3.147
ENSG00000130921	0.026	0.176	   12.081
ENSG00000204577	0.092	0.176	   -1.648
ENSG00000105538	0.023	0.175	    0.000
ENSG00000149485	0.049	0.174	    0.000
ENSG00000152778	0.135	0.173	    3.785
ENSG00000273176	0.043	0.172	    0.000
ENSG00000261051	0.031	0.172	   -0.493
ENSG00000134152	0.170	0.171	    3.139
ENSG00000040933	0.047	0.170	    4.571
ENSG00000233266	0.169	0.169	    4.510
ENSG00000074582	0.078	0.168	  -12.465
ENSG00000261019	0.072	0.164	    4.541
ENSG00000163946	0.009	0.164	    0.000
